mixture,central_cation,system,x_NaCl,r_A,alpha_XNa,alpha_block_sd,random_reference
LiCl-NaCl,Li,li3040,0.05,6.15,0.09099031877128694,0.0028214574936744814,0.0
LiCl-NaCl,Li,li3040,0.05,6.25,0.09712331430838184,0.007468917527054237,0.0
LiCl-NaCl,Li,li3040,0.05,6.3500000000000005,0.09975406255156205,0.00782510922706073,0.0
LiCl-NaCl,Li,li3040,0.05,6.45,0.0980801360463035,0.005010903650124306,0.0
LiCl-NaCl,Li,li3040,0.05,6.550000000000001,0.09136422472566086,0.004807639282909223,0.0
LiCl-NaCl,Li,li3040,0.05,6.65,0.08978399629064138,0.009881856622442974,0.0
LiCl-NaCl,Li,li3040,0.05,6.75,0.07331083508915714,0.0034181013451165597,0.0
LiCl-NaCl,Li,li3040,0.05,6.8500000000000005,0.06791219404687832,0.0058844608803017544,0.0
LiCl-NaCl,Li,li3040,0.05,6.95,0.05279150830161994,0.005785456397343189,0.0
LiCl-NaCl,Li,li3040,0.05,7.050000000000001,0.03994803823279591,0.009564043577226067,0.0
LiCl-NaCl,Li,li3040,0.05,7.15,0.028961747260194515,0.005825395372915304,0.0
LiCl-NaCl,Li,li3040,0.05,7.25,0.01863251779795294,0.0022662367403524816,0.0
LiCl-NaCl,Li,li3040,0.05,7.3500000000000005,0.00044930805480825065,0.003890351113503785,0.0
LiCl-NaCl,Li,li3040,0.05,7.45,-0.012839691647158924,0.004525473112003831,0.0
LiCl-NaCl,Li,li3040,0.05,7.550000000000001,-0.01529898921027395,0.004055881551772841,0.0
LiCl-NaCl,Li,li3040,0.05,7.65,-0.022213717485401796,0.008046620898555464,0.0
LiCl-NaCl,Li,li3040,0.05,7.75,-0.03338072951272841,0.004661797137105759,0.0
LiCl-NaCl,Li,li3040,0.05,7.8500000000000005,-0.038006448372907675,0.00753818243865168,0.0
LiCl-NaCl,Li,li3040,0.05,7.95,-0.04972460429091563,0.006404882035140763,0.0
LiCl-NaCl,Li,li3040,0.05,8.05,-0.05395990675171225,0.0012464311326813885,0.0
LiCl-NaCl,Li,li3040,0.05,8.15,-0.05157438105244583,0.008867950405840274,0.0
LiCl-NaCl,Li,li3040,0.05,8.25,-0.05396491512976764,0.002812696886413819,0.0
LiCl-NaCl,Li,li3040,0.05,8.350000000000001,-0.04865233000878888,0.006470190107463386,0.0
LiCl-NaCl,Li,li3040,0.05,8.45,-0.048763675269279716,0.003456975076703574,0.0
LiCl-NaCl,Li,li3040,0.05,8.55,-0.04789123077582125,0.006024427451943118,0.0
LiCl-NaCl,Li,li3040,0.05,8.65,-0.036820394468771056,0.0052343934591397336,0.0
LiCl-NaCl,Li,li3040,0.05,8.75,-0.026831387937767293,0.004203449233652682,0.0
LiCl-NaCl,Li,li3040,0.05,8.850000000000001,-0.02117897455670903,0.006372250746065498,0.0
LiCl-NaCl,Li,li3040,0.05,8.95,-0.01185325762729672,0.004112499973953844,0.0
LiCl-NaCl,Li,li3040,0.05,9.05,-0.0004406682287947383,0.0020808532675215072,0.0
LiCl-NaCl,Li,li3040,0.05,9.15,0.0018080781939616708,0.0034790745699235727,0.0
LiCl-NaCl,Li,li3040,0.05,9.25,0.010739411111159947,0.007088485954006615,0.0
LiCl-NaCl,Li,li3040,0.05,9.350000000000001,0.01727919539184264,0.00608835327640565,0.0
LiCl-NaCl,Li,li3040,0.05,9.45,0.02648747185868594,0.002223583504834999,0.0
LiCl-NaCl,Li,li3040,0.05,9.55,0.029264815794233567,0.005201675316940984,0.0
LiCl-NaCl,Li,li3040,0.05,9.650000000000002,0.03214243193733346,0.003977899642518326,0.0
LiCl-NaCl,Li,li3040,0.05,9.75,0.03392682398220703,0.0019576218690367706,0.0
LiCl-NaCl,Li,li3040,0.05,9.850000000000001,0.0320726238015232,0.006410274523928287,0.0
LiCl-NaCl,Li,li3040,0.05,9.95,0.03264836504680879,0.006837461475670229,0.0
LiCl-NaCl,Li,li3040,0.05,10.05,0.029053078227256446,0.0037795519127911885,0.0
LiCl-NaCl,Li,li3040,0.05,10.150000000000002,0.023105369861407432,0.002229223418619737,0.0
LiCl-NaCl,Li,li3040,0.05,10.25,0.02035376778156972,0.002502793516171234,0.0
LiCl-NaCl,Li,li3040,0.05,10.350000000000001,0.015465173241128172,0.0021148877309057294,0.0
LiCl-NaCl,Li,li3040,0.05,10.45,0.011943839225146746,0.0045113254566975305,0.0
LiCl-NaCl,Li,li3040,0.05,10.55,0.008725100476222214,0.001523117612716492,0.0
LiCl-NaCl,Li,li3040,0.05,10.650000000000002,0.0023049260282733686,0.004495216761206963,0.0
LiCl-NaCl,Li,li3040,0.05,10.75,-0.003529631446279824,0.0025903962938910127,0.0
LiCl-NaCl,Li,li3040,0.05,10.850000000000001,-0.009667579497020462,0.002846812142959698,0.0
LiCl-NaCl,Li,li3040,0.05,10.95,-0.011069980260145496,0.002485743250878247,0.0
LiCl-NaCl,Li,li3040,0.05,11.05,-0.014920511126552016,0.0033840968277224106,0.0
LiCl-NaCl,Li,li3040,0.05,11.150000000000002,-0.01524596352980545,0.0033746899044698095,0.0
LiCl-NaCl,Li,li3040,0.05,11.25,-0.018964604030593968,0.0046013677710922875,0.0
LiCl-NaCl,Li,li3040,0.05,11.350000000000001,-0.02080622915502306,0.002634142612638941,0.0
LiCl-NaCl,Li,li3040,0.05,11.45,-0.019759010763639173,0.0046574693808669725,0.0
LiCl-NaCl,Li,li3040,0.05,11.55,-0.020576546210962388,0.002099113644661822,0.0
LiCl-NaCl,Li,li3040,0.05,11.650000000000002,-0.016630495144885016,0.004174199821103086,0.0
LiCl-NaCl,Li,li3040,0.05,11.75,-0.018985291980015306,0.0038722959470129893,0.0
LiCl-NaCl,Li,li3040,0.05,11.850000000000001,-0.01557843217850663,0.0022415788409312566,0.0
LiCl-NaCl,Li,li3040,0.05,11.95,-0.01291187185862852,0.004148316076489655,0.0
LiCl-NaCl,Li,li2880,0.1,0.05,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,0.15000000000000002,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,0.25,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,0.35000000000000003,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,0.45,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,0.55,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,0.6500000000000001,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,0.75,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,0.8500000000000001,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,0.95,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,1.05,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,1.1500000000000001,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,1.25,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,1.35,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,1.4500000000000002,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,1.55,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,1.6500000000000001,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,1.75,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,1.85,1.0,0.0,0.0
LiCl-NaCl,Li,li2880,0.1,1.9500000000000002,0.8591989436619718,0.29804922750090945,0.0
LiCl-NaCl,Li,li2880,0.1,2.05,1.0,0.0,0.0
LiCl-NaCl,Li,li2880,0.1,2.1500000000000004,0.9281833692528736,0.043292917293799,0.0
LiCl-NaCl,Li,li2880,0.1,2.25,0.9090799588566479,0.041999337104643576,0.0
LiCl-NaCl,Li,li2880,0.1,2.3500000000000005,0.8740317073647961,0.020265504759358906,0.0
LiCl-NaCl,Li,li2880,0.1,2.45,0.8488125851349935,0.013791655809941829,0.0
LiCl-NaCl,Li,li2880,0.1,2.55,0.8051561964733246,0.010950984067712112,0.0
LiCl-NaCl,Li,li2880,0.1,2.6500000000000004,0.7340927718668812,0.013673291495246277,0.0
LiCl-NaCl,Li,li2880,0.1,2.75,0.6725140169071517,0.013832027039601036,0.0
LiCl-NaCl,Li,li2880,0.1,2.8500000000000005,0.6016453061979103,0.006617101027696026,0.0
LiCl-NaCl,Li,li2880,0.1,2.95,0.522276056172821,0.010137446061235036,0.0
LiCl-NaCl,Li,li2880,0.1,3.05,0.435629781621758,0.0059933256813244,0.0
LiCl-NaCl,Li,li2880,0.1,3.1500000000000004,0.36615639100819786,0.008632309864276815,0.0
LiCl-NaCl,Li,li2880,0.1,3.25,0.2958965559969353,0.005800822384173865,0.0
LiCl-NaCl,Li,li2880,0.1,3.3500000000000005,0.2157055059656806,0.0083173228323525,0.0
LiCl-NaCl,Li,li2880,0.1,3.45,0.15586276480461148,0.013228848329905932,0.0
LiCl-NaCl,Li,li2880,0.1,3.55,0.10207944425555293,0.008096059154674392,0.0
LiCl-NaCl,Li,li2880,0.1,3.6500000000000004,0.06003839242772402,0.00840291062482728,0.0
LiCl-NaCl,Li,li2880,0.1,3.75,0.01255008810713465,0.004986397838902314,0.0
LiCl-NaCl,Li,li2880,0.1,3.8500000000000005,-0.018949213486325833,0.007680303158379382,0.0
LiCl-NaCl,Li,li2880,0.1,3.95,-0.050800387582690565,0.005346201634467582,0.0
LiCl-NaCl,Li,li2880,0.1,4.050000000000001,-0.06369741159212561,0.010459789268511623,0.0
LiCl-NaCl,Li,li2880,0.1,4.15,-0.07576354076527503,0.01350804683246198,0.0
LiCl-NaCl,Li,li2880,0.1,4.25,-0.08497559283706146,0.005575128342853624,0.0
LiCl-NaCl,Li,li2880,0.1,4.35,-0.09965333695958356,0.0074777600582307206,0.0
LiCl-NaCl,Li,li2880,0.1,4.45,-0.10953582682358975,0.015526278236765816,0.0
LiCl-NaCl,Li,li2880,0.1,4.550000000000001,-0.1351814147189485,0.0078921996938875,0.0
LiCl-NaCl,Li,li2880,0.1,4.65,-0.16077237625312502,0.0011179036665273736,0.0
LiCl-NaCl,Li,li2880,0.1,4.75,-0.17469875652184297,0.006848268875182881,0.0
LiCl-NaCl,Li,li2880,0.1,4.8500000000000005,-0.19060783650778124,0.004414009155352347,0.0
LiCl-NaCl,Li,li2880,0.1,4.95,-0.20047193535322538,0.006244602434377874,0.0
LiCl-NaCl,Li,li2880,0.1,5.050000000000001,-0.1965299234907345,0.004948868692751006,0.0
LiCl-NaCl,Li,li2880,0.1,5.15,-0.17930078548267114,0.00657341198731126,0.0
LiCl-NaCl,Li,li2880,0.1,5.25,-0.15072438165853375,0.00950410838700363,0.0
LiCl-NaCl,Li,li2880,0.1,5.3500000000000005,-0.11867818207164738,0.009421801952434758,0.0
LiCl-NaCl,Li,li2880,0.1,5.45,-0.0875447733805843,0.007279484945776871,0.0
LiCl-NaCl,Li,li2880,0.1,5.550000000000001,-0.051626748807631184,0.004722942623624566,0.0
LiCl-NaCl,Li,li2880,0.1,5.65,-0.01820666576880292,0.007893830570387133,0.0
LiCl-NaCl,Li,li2880,0.1,5.75,0.012137756819300405,0.006179090195691588,0.0
LiCl-NaCl,Li,li2880,0.1,5.8500000000000005,0.03593528276678137,0.003606984266211968,0.0
LiCl-NaCl,Li,li2880,0.1,5.95,0.06041029869449255,0.0038654633089138584,0.0
LiCl-NaCl,Li,li2880,0.1,6.050000000000001,0.07603986793490314,0.004803388375915959,0.0
LiCl-NaCl,Li,li2880,0.1,6.15,0.08526322515305718,0.005819820941630001,0.0
LiCl-NaCl,Li,li2880,0.1,6.25,0.09640787722048927,0.003476841870796097,0.0
LiCl-NaCl,Li,li2880,0.1,6.3500000000000005,0.09509064796798683,0.007408648811924892,0.0
LiCl-NaCl,Li,li2880,0.1,6.45,0.09301918222506289,0.007428175667424115,0.0
LiCl-NaCl,Li,li2880,0.1,6.550000000000001,0.08940404173733518,0.0020495316687970215,0.0
LiCl-NaCl,Li,li2880,0.1,6.65,0.0839922630931893,0.006058479322492029,0.0
LiCl-NaCl,Li,li2880,0.1,6.75,0.07730442929350345,0.005800708696662147,0.0
LiCl-NaCl,Li,li2880,0.1,6.8500000000000005,0.0659786705277724,0.0052218660731021965,0.0
