system,system_label,method,kcut,temperature_K,coanion,salt,quantity,x_Cl,x_F,x_coanion,mu_ex,mu_ex_units,mu_ex_kBT,mu_ex_eV,mu_ex_kJ_mol,mu_ex_raw_kBT,mu_ex_reference_kBT,reference_x_Cl,reference_x_coanion,source_s0_csv,source_split,mu_ex_std_split1_to3,mu_ex_se_split1_to3,mu_ex_kBT_std_split1_to3,mu_ex_kBT_se_split1_to3,mu_ex_uncertainty_n_splits
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.025,0.025,-0.5314758614683821,kJ/mol,-0.21439494719826913,-0.005508359143959751,-0.5314758614683821,-0.17334761763158346,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.3182381109161587,0.18373485900384223,0.1283758076949008,0.07411780713008662,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0275,0.0275,-0.48998999478665506,kJ/mol,-0.19765973711341292,-0.005078388434753833,-0.48998999478665506,-0.15661240754672726,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.2942299510912765,0.1698737414661989,0.1186910251278012,0.06852629530792867,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.03,0.03,-0.45037686659203174,kJ/mol,-0.18167998122350262,-0.004667827292223592,-0.45037686659203174,-0.14063265165681696,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.2545669657536326,0.14697430620464602,0.10269115709297462,0.059288767191023044,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0325,0.0325,-0.4144769900831619,kJ/mol,-0.16719813418857116,-0.004295751291465422,-0.4144769900831619,-0.1261508046218855,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.2008061789291463,0.11593550145968277,0.08100430000650499,0.046767854414272864,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.034999999999999996,0.034999999999999996,-0.38382831295335784,kJ/mol,-0.15483459711882214,-0.003978100137089768,-0.38382831295335784,-0.11378726755213647,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.1397373768114692,0.08067741211795391,0.056369422762395496,0.03254490140593286,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0375,0.0375,-0.35990227338373854,kJ/mol,-0.14518294148949606,-0.0037301242111880124,-0.35990227338373854,-0.10413561192281041,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.09922697496899495,0.057288720709221495,0.040027710760646165,0.023110009582703546,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.04,0.04,-0.34431988831408455,kJ/mol,-0.1388970781673096,-0.003568624170441126,-0.34431988831408455,-0.09784974860062394,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.1372485872075664,0.0792405087701843,0.055365456346607334,0.03196526112552022,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0025,0.0,0.0,-0.00044915416625547825,kJ/mol,-0.00018118674946435848,-4.655154896226962e-06,-0.00044915416625547825,0.0408661428172213,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.1311385962905198,0.07571290386948126,0.052900713777823634,0.030542241339949823,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0025,0.0025,0.0025,-0.1975151960206876,kJ/mol,-0.0796767324572657,-0.0020471007527333995,-0.1975151960206876,-0.038629402890580034,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.16522801960603478,0.09539444159721296,0.06665223222224892,0.03848168421560486,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0025,0.005,0.005,-0.33160202760500496,kJ/mol,-0.13376675095420762,-0.003436812832603664,-0.33160202760500496,-0.09271942138752196,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.19542695702226012,0.11282980624371132,0.07883434633540444,0.04551503107813394,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0025,0.0075,0.0075,-0.41518147669139455,kJ/mol,-0.1674823208847583,-0.004303052780642247,-0.41518147669139455,-0.12643499131807265,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.21562542717859073,0.12449139842568742,0.08698231740353156,0.05021926436766642,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0025,0.01,0.01,-0.45939603848306954,kJ/mol,-0.18531827417627897,-0.004761304421776913,-0.45939603848306954,-0.1442709446095933,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.22922755274684378,0.1323445892840694,0.09246935304223916,0.053387205870727324,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0025,0.0125,0.0125,-0.47390112572116744,kJ/mol,-0.19116956044904848,-0.004911639057297634,-0.47390112572116744,-0.15012223088236282,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.23986937035457426,0.1384886455445595,0.09676221390293645,0.05586569024424451,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0025,0.015,0.015,-0.4667861890427333,kJ/mol,-0.18829942732714625,-0.004837897934976354,-0.4667861890427333,-0.14725209776046058,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.2495012664270908,0.14404962333483343,0.10064767700596627,0.05810896341270514,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0025,0.0175,0.0175,-0.4445730954552405,kJ/mol,-0.17933876632244314,-0.004607675443139669,-0.4445730954552405,-0.13829143675575747,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.2581508544787515,0.14904346532483911,0.1041368815175298,0.060123456576713995,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0025,0.02,0.02,-0.4122870225978573,kJ/mol,-0.16631471125741376,-0.0042730538779096605,-0.4122870225978573,-0.1252673816907281,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.26438792208495454,0.1526444379862343,0.10665288624521295,0.06157607258352424,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0025,0.0225,0.0225,-0.37359226746886376,kJ/mol,-0.15070542288858713,-0.003872011001476494,-0.37359226746886376,-0.10965809332190148,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.26608985629262394,0.15362705015917527,0.10733943877006344,0.061972453868559485,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0025,0.025,0.025,-0.33098289463765995,kJ/mol,-0.13351699552886073,-0.003430395971577127,-0.33098289463765995,-0.09246966596217508,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.2612160055947109,0.15081313114674516,0.10537334954797849,0.060837331726937914,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0025,0.0275,0.0275,-0.28601616945186137,kJ/mol,-0.11537762294239398,-0.002964348706200326,-0.28601616945186137,-0.07433029337570832,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.24846328649342417,0.14345034534071757,0.1002289606178758,0.057867217393326995,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0025,0.03,0.03,-0.23957529410904244,kJ/mol,-0.09664358488193281,-0.0024830229510826025,-0.23957529410904244,-0.05559625531524716,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.22782856333505133,0.1315368823705776,0.09190500707129796,0.05306138057248834,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.005,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0025,0.0325,0.0325,-0.19214716871392465,kJ/mol,-0.07751129463698048,-0.0019914650702048675,-0.19214716871392465,-0.036463965070294826,0.04104732956668566,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.20125134194387814,0.11619251644607148,0.08118387674358268,0.046871533091764866,3
