system,system_label,method,kcut,temperature_K,coanion,salt,quantity,x_Cl,x_I,x_coanion,mu_ex,mu_ex_units,mu_ex_kBT,mu_ex_eV,mu_ex_kJ_mol,mu_ex_raw_kBT,mu_ex_reference_kBT,reference_x_Cl,reference_x_coanion,source_s0_csv,source_split,mu_ex_std_split1_to3,mu_ex_se_split1_to3,mu_ex_kBT_std_split1_to3,mu_ex_kBT_se_split1_to3,mu_ex_uncertainty_n_splits
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.01,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0,0.0,0.0,kJ/mol,0.0,0.0,0.0,0.008977050027519142,0.008977050027519142,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.0,0.0,0.0,0.0,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.01,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0025,0.0025,0.01654363451404534,kJ/mol,0.00667362697960878,0.00017146268919532306,0.01654363451404534,0.01565067700712792,0.008977050027519142,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.033152456666714854,0.019140579780825225,0.013373550356390138,0.007721222898282862,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.01,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.005,0.005,0.0620281993540061,kJ/mol,0.025021893729216878,0.0006428769843864758,0.0620281993540061,0.03399894375673602,0.008977050027519142,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.05196605686201277,0.030002616918006472,0.020962871175846016,0.012102919316362145,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.01,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0075,0.0075,0.13535841604266713,kJ/mol,0.05460296988866237,0.0014028911240870912,0.13535841604266713,0.06358001991618151,0.008977050027519142,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.06080288907623935,0.03510456437567375,0.02452760913164832,0.014161021734735081,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.01,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.01,0.01,0.2348287502899663,kJ/mol,0.09472885067621829,0.0024338284910072616,0.2348287502899663,0.10370590070373743,0.008977050027519142,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.06321114235724376,0.03649497005573844,0.02549908756078055,0.014721905067306489,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.01,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0125,0.0125,0.3582654489659197,kJ/mol,0.14452265395797667,0.0037131597215420697,0.3582654489659197,0.1534997039854958,0.008977050027519142,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.061939926628375504,0.03576103331247827,0.024986284912857207,0.014425838320486795,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.01,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.015,0.015,0.5031735826935716,kJ/mol,0.20297793656160226,0.005215026694855851,0.5031735826935716,0.2119549865891214,0.008977050027519142,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.0590534541409096,0.03409452764483138,0.023821895029129035,0.013753577507674657,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.01,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0175,0.0175,0.6668822260402437,kJ/mol,0.2690172593057041,0.0069117472195330265,0.6668822260402437,0.2779943093332232,0.008977050027519142,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.05612156706452829,0.03240180185204904,0.022639185106621183,0.013070739615541508,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.01,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.02,0.02,0.846681408672514,kJ/mol,0.34154743247337255,0.008775234432278012,0.846681408672514,0.3505244825008917,0.008977050027519142,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.05438029700851005,0.03139647911647508,0.021936764679310442,0.012665196992749359,3
NaClIWater,NaCl/NaI/water,"BC S-loss, fixed kappa_D",0.01,298.15,I,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0225,0.0225,1.0399452682948167,kJ/mol,0.4195091951479362,0.01077827318817981,1.0399452682948167,0.42848624517545536,0.008977050027519142,0.0,0.0,NaClIWater/data/S0_NaClIWater_matrix_BC_s_loss_split0.csv,0,0.05469983799873584,0.031580966193199056,0.022065666062597845,0.012739618241089256,3
