system,system_label,method,kcut,temperature_K,coanion,salt,quantity,x_Cl,x_F,x_coanion,mu_ex,mu_ex_units,mu_ex_kBT,mu_ex_eV,mu_ex_kJ_mol,mu_ex_raw_kBT,mu_ex_reference_kBT,reference_x_Cl,reference_x_coanion,source_s0_csv,source_split,mu_ex_std_split1_to3,mu_ex_se_split1_to3,mu_ex_kBT_std_split1_to3,mu_ex_kBT_se_split1_to3,mu_ex_uncertainty_n_splits
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.01,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0,0.0,0.0,kJ/mol,0.0,0.0,0.0,0.04445213156733849,0.04445213156733849,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.0,0.0,0.0,0.0,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.01,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0025,0.0025,-0.2552133798044172,kJ/mol,-0.10295191758340082,-0.002645100288134472,-0.2552133798044172,-0.05849978601606233,0.04445213156733849,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.057224980166932296,0.033038857703749355,0.023084296937616093,0.013327725050985905,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.01,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.005,0.005,-0.43827084143992917,kJ/mol,-0.17679646569356852,-0.004542357183083823,-0.43827084143992917,-0.13234433412623003,0.04445213156733849,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.10732342247110514,0.06196320685404449,0.043293780888295295,0.024995676050093965,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.01,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0075,0.0075,-0.5614064245132929,kJ/mol,-0.2264688003096768,-0.005818567570315736,-0.5614064245132929,-0.18201666874233832,0.04445213156733849,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.15190934816008128,0.08770490305264352,0.0612795406883058,0.035379759312209984,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.01,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.01,0.01,-0.6357135292768381,kJ/mol,-0.2564439486790149,-0.0065887064414482666,-0.6357135292768381,-0.2119918171116764,0.04445213156733849,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.19182206158583076,0.11074851889308837,0.07738014789897266,0.044675449219404924,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.01,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0125,0.0125,-0.6709899900217045,kJ/mol,-0.2706743126278908,-0.00695432119312045,-0.6709899900217045,-0.22622218106055234,0.04445213156733849,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.22725779204929333,0.1312073474150995,0.09167476052852126,0.05292844766903623,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.01,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.015,0.015,-0.6756562086493825,kJ/mol,-0.2725566440164371,-0.007002683141251963,-0.6756562086493825,-0.22810451244909863,0.04445213156733849,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.2579052330935755,0.148901655751989,0.1040377989669882,0.060066251239486806,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.01,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0175,0.0175,-0.6567446352655989,kJ/mol,-0.26492780125799004,-0.006806678495081542,-0.6567446352655989,-0.22047566969065155,0.04445213156733849,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.2830925126347105,0.16344353837521766,0.1141982330690569,0.06593238060339962,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.01,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.02,0.02,-0.6199559751430027,kJ/mol,-0.25008742295240205,-0.006425390901284801,-0.6199559751430027,-0.20563529138506353,0.04445213156733849,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.30195065065715315,0.17433128943889004,0.12180552024557863,0.07032444990256724,3
NaClFWater,NaCl/NaF/water,"BC S-loss, fixed kappa_D",0.01,298.15,F,NaCl,neutral ion-pair NaCl: mu_Na + mu_Cl,0.0,0.0225,0.0225,-0.569774861468338,kJ/mol,-0.2298445897465705,-0.005905300307517791,-0.569774861468338,-0.185392458179232,0.04445213156733849,0.0,0.0,NaClFWater/data/S0_NaClFWater_matrix_BC_s_loss_split0.csv,0,0.31359250497868435,0.18105271716529248,0.12650179137190729,0.07303584330154056,3
