system,x_NaCl,pair,r_A,g_r,g_r_block_sd
cl4256,0.014925373,Mg-Cl,1.53000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,1.55000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,1.57000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,1.59000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,1.61000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,1.63000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,1.65000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,1.67000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,1.69000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,1.71000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,1.73000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,1.75000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,1.77000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,1.79000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,1.81000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,1.83000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,1.85000,0.00000000,0.00000000
cl4256,0.014925373,Mg-Cl,1.87000,0.00009048,0.00020219
cl4256,0.014925373,Mg-Cl,1.89000,0.00008858,0.00019817
cl4256,0.014925373,Mg-Cl,1.91000,0.00017346,0.00023779
cl4256,0.014925373,Mg-Cl,1.93000,0.00076448,0.00046540
cl4256,0.014925373,Mg-Cl,1.95000,0.00241306,0.00107567
cl4256,0.014925373,Mg-Cl,1.97000,0.00529933,0.00202442
cl4256,0.014925373,Mg-Cl,1.99000,0.01757749,0.00246058
cl4256,0.014925373,Mg-Cl,2.01000,0.03868791,0.00326079
cl4256,0.014925373,Mg-Cl,2.03000,0.08161720,0.00589751
cl4256,0.014925373,Mg-Cl,2.05000,0.15803210,0.00695658
cl4256,0.014925373,Mg-Cl,2.07000,0.28591393,0.01212420
cl4256,0.014925373,Mg-Cl,2.09000,0.48009883,0.01494303
cl4256,0.014925373,Mg-Cl,2.11000,0.75950682,0.01013135
cl4256,0.014925373,Mg-Cl,2.13000,1.13648223,0.00895862
cl4256,0.014925373,Mg-Cl,2.15000,1.61490563,0.01882739
cl4256,0.014925373,Mg-Cl,2.17000,2.16474421,0.02075258
cl4256,0.014925373,Mg-Cl,2.19000,2.81009888,0.03509590
cl4256,0.014925373,Mg-Cl,2.21000,3.48723247,0.04252326
cl4256,0.014925373,Mg-Cl,2.23000,4.21646369,0.03952059
cl4256,0.014925373,Mg-Cl,2.25000,4.90114370,0.03648587
cl4256,0.014925373,Mg-Cl,2.27000,5.43207677,0.02435338
cl4256,0.014925373,Mg-Cl,2.29000,5.92732390,0.05356370
cl4256,0.014925373,Mg-Cl,2.31000,6.27132536,0.04718517
cl4256,0.014925373,Mg-Cl,2.33000,6.54650971,0.02759465
cl4256,0.014925373,Mg-Cl,2.35000,6.64450416,0.03317400
cl4256,0.014925373,Mg-Cl,2.37000,6.67664662,0.03811041
cl4256,0.014925373,Mg-Cl,2.39000,6.54986206,0.01830127
cl4256,0.014925373,Mg-Cl,2.41000,6.34496144,0.05471103
cl4256,0.014925373,Mg-Cl,2.43000,6.02650787,0.03819825
cl4256,0.014925373,Mg-Cl,2.45000,5.72135991,0.02824951
cl4256,0.014925373,Mg-Cl,2.47000,5.36168238,0.05613305
cl4256,0.014925373,Mg-Cl,2.49000,4.97644125,0.02318830
cl4256,0.014925373,Mg-Cl,2.51000,4.56980325,0.01747346
cl4256,0.014925373,Mg-Cl,2.53000,4.20298252,0.02487441
cl4256,0.014925373,Mg-Cl,2.55000,3.81436377,0.03605293
cl4256,0.014925373,Mg-Cl,2.57000,3.45141771,0.02947825
cl4256,0.014925373,Mg-Cl,2.59000,3.13564453,0.02451760
cl4256,0.014925373,Mg-Cl,2.61000,2.81052883,0.01210841
cl4256,0.014925373,Mg-Cl,2.63000,2.49385017,0.02173732
cl4256,0.014925373,Mg-Cl,2.65000,2.26995374,0.02609553
cl4256,0.014925373,Mg-Cl,2.67000,2.03537323,0.02028896
cl4256,0.014925373,Mg-Cl,2.69000,1.81684949,0.01457169
cl4256,0.014925373,Mg-Cl,2.71000,1.64498579,0.01482047
cl4256,0.014925373,Mg-Cl,2.73000,1.48499224,0.02529097
cl4256,0.014925373,Mg-Cl,2.75000,1.33577971,0.03211508
cl4256,0.014925373,Mg-Cl,2.77000,1.21371617,0.02311314
cl4256,0.014925373,Mg-Cl,2.79000,1.10036828,0.01531508
cl4256,0.014925373,Mg-Cl,2.81000,0.99896860,0.01230319
cl4256,0.014925373,Mg-Cl,2.83000,0.91734261,0.01223243
cl4256,0.014925373,Mg-Cl,2.85000,0.82461812,0.01105678
cl4256,0.014925373,Mg-Cl,2.87000,0.76418867,0.01182906
cl4256,0.014925373,Mg-Cl,2.89000,0.71318905,0.00422656
cl4256,0.014925373,Mg-Cl,2.91000,0.65096008,0.00717050
cl4256,0.014925373,Mg-Cl,2.93000,0.59971932,0.01112476
cl4256,0.014925373,Mg-Cl,2.95000,0.56572833,0.00818844
cl4256,0.014925373,Mg-Cl,2.97000,0.52897259,0.00802596
cl4256,0.014925373,Mg-Cl,2.99000,0.50089713,0.00992514
cl4256,0.014925373,Mg-Cl,3.01000,0.46709286,0.00300522
cl4256,0.014925373,Mg-Cl,3.03000,0.44712720,0.00991064
cl4256,0.014925373,Mg-Cl,3.05000,0.42458218,0.00935604
cl4256,0.014925373,Mg-Cl,3.07000,0.40359192,0.00754394
cl4256,0.014925373,Mg-Cl,3.09000,0.39321484,0.00662874
cl4256,0.014925373,Mg-Cl,3.11000,0.37580814,0.01484736
cl4256,0.014925373,Mg-Cl,3.13000,0.36595031,0.01502575
cl4256,0.014925373,Mg-Cl,3.15000,0.35369696,0.00674871
cl4256,0.014925373,Mg-Cl,3.17000,0.33803881,0.00975859
cl4256,0.014925373,Mg-Cl,3.19000,0.33471508,0.00663655
cl4256,0.014925373,Mg-Cl,3.21000,0.33316725,0.01139336
cl4256,0.014925373,Mg-Cl,3.23000,0.32274599,0.00523532
cl4256,0.014925373,Mg-Cl,3.25000,0.32034365,0.00606573
cl4256,0.014925373,Mg-Cl,3.27000,0.31359641,0.00607396
cl4256,0.014925373,Mg-Cl,3.29000,0.30728138,0.00612077
cl4256,0.014925373,Mg-Cl,3.31000,0.30958614,0.00556730
cl4256,0.014925373,Mg-Cl,3.33000,0.30710550,0.00584892
cl4256,0.014925373,Mg-Cl,3.35000,0.30745304,0.00409638
cl4256,0.014925373,Mg-Cl,3.37000,0.30693492,0.00562784
cl4256,0.014925373,Mg-Cl,3.39000,0.31240964,0.00797121
cl4256,0.014925373,Mg-Cl,3.41000,0.30437491,0.00699716
cl4256,0.014925373,Mg-Cl,3.43000,0.30887699,0.00356199
cl4256,0.014925373,Mg-Cl,3.45000,0.31256337,0.00963490
cl4256,0.014925373,Mg-Cl,3.47000,0.31937661,0.00837395
cl4256,0.014925373,Mg-Cl,3.49000,0.32157150,0.00840367
cl4256,0.014925373,Mg-Cl,3.51000,0.31843096,0.00438660
