# k^2  LiLi LiLi_error  LiCl LiCl_error  LiNa LiNa_error  ClCl ClCl_error  ClNa ClNa_error  NaNa NaNa_error
0.000000e+00 9.600000e+02 0.000000e+00 1.752712e+03 1.136868e-13 1.466424e+03 0.000000e+00 3.200000e+03 0.000000e+00 2.677312e+03 0.000000e+00 2.240000e+03 0.000000e+00
3.050276e-04 2.346387e-01 6.785955e-02 4.001078e-02 5.196298e-03 -1.048041e-01 4.464291e-02 4.881294e-02 7.499216e-03 3.184122e-02 9.085511e-03 1.072618e-01 2.230669e-02
1.220110e-03 6.448497e-01 1.338043e-01 1.305105e-01 3.552684e-02 -2.642098e-01 4.735057e-02 6.690488e-02 7.156730e-03 -6.869073e-03 1.541344e-02 1.668013e-01 1.776637e-02
2.745248e-03 6.803691e-01 2.888773e-01 1.151000e-01 2.831178e-02 -3.094953e-01 1.658132e-01 5.959994e-02 7.198285e-03 -4.223740e-03 1.820153e-02 2.109327e-01 8.987979e-02
4.880441e-03 7.898609e-01 6.555287e-02 1.266906e-01 1.598228e-02 -3.555143e-01 4.106575e-02 7.404365e-02 6.587003e-03 -3.412979e-03 8.525304e-03 2.383145e-01 3.325477e-02
7.625689e-03 7.423437e-01 1.202612e-01 9.181964e-02 2.086268e-02 -3.682356e-01 5.289399e-02 7.681824e-02 1.442633e-02 2.197376e-02 6.249771e-03 2.870003e-01 3.520608e-02
1.098099e-02 8.155446e-01 1.593026e-01 1.170627e-01 1.923947e-02 -3.714912e-01 8.462182e-02 7.570364e-02 4.910573e-03 9.546669e-04 1.379654e-02 2.775192e-01 4.022115e-02
1.494635e-02 8.151292e-01 1.636547e-01 1.384421e-01 3.287492e-02 -3.619351e-01 7.922121e-02 8.797285e-02 8.014113e-03 -1.036878e-02 1.594677e-02 2.929584e-01 4.283360e-02
3.050276e-04 5.420093e-01 1.937479e-01 1.365351e-01 2.580393e-02 -1.908255e-01 1.061293e-01 7.842811e-02 1.195326e-02 3.284664e-03 1.537908e-02 1.288035e-01 5.327430e-02
6.100551e-04 2.939802e-01 8.909105e-02 7.192152e-02 2.247642e-02 -1.043214e-01 3.416753e-02 7.260325e-02 5.110547e-03 4.110892e-02 1.117323e-02 1.207205e-01 1.545925e-02
1.525138e-03 4.073846e-01 7.905123e-02 4.816447e-02 1.381883e-02 -2.103102e-01 5.118289e-02 5.500912e-02 3.046418e-03 3.147156e-02 1.113362e-02 1.805848e-01 3.542061e-02
3.050276e-03 9.659283e-01 3.976861e-01 1.474930e-01 3.942202e-02 -4.399531e-01 2.111186e-01 7.238404e-02 5.994120e-03 -1.325037e-02 2.566248e-02 2.728769e-01 1.085170e-01
5.185469e-03 5.086037e-01 6.284032e-02 8.793192e-02 1.584622e-02 -2.068051e-01 3.156926e-02 6.499759e-02 7.330800e-03 1.839526e-02 1.113818e-02 1.693845e-01 1.615156e-02
7.930717e-03 7.934092e-01 1.031478e-01 1.135597e-01 1.056855e-02 -3.551682e-01 5.173880e-02 6.971528e-02 4.413249e-03 4.783723e-03 1.050026e-02 2.641708e-01 3.287342e-02
1.128602e-02 6.770123e-01 8.943799e-02 9.532017e-02 1.634625e-02 -2.919389e-01 4.185039e-02 7.327463e-02 5.786593e-03 2.274488e-02 5.237467e-03 2.592711e-01 2.665449e-02
