# k^2  MgMg MgMg_error  MgCl MgCl_error  MgNa MgNa_error  ClCl ClCl_error  ClNa ClNa_error  NaNa NaNa_error
0.000000e+00 5.760000e+02 0.000000e+00 1.417423e+03 0.000000e+00 1.159972e+03 0.000000e+00 3.488000e+03 0.000000e+00 2.854465e+03 0.000000e+00 2.336000e+03 0.000000e+00
2.930498e-04 1.392577e-01 2.873135e-02 6.723812e-02 1.973665e-02 -5.376627e-02 1.850787e-02 8.031504e-02 1.698125e-02 3.283593e-02 1.897332e-02 9.466725e-02 1.835673e-02
1.172199e-03 2.197804e-01 6.738641e-02 6.982952e-02 2.362162e-02 -1.311209e-01 4.256224e-02 7.683786e-02 1.764299e-02 2.510632e-02 6.397802e-03 1.656232e-01 3.480881e-02
2.637448e-03 1.939079e-01 5.615015e-02 5.515357e-02 8.873979e-03 -1.178948e-01 4.568685e-02 6.770684e-02 5.183245e-03 2.982781e-02 1.195691e-02 1.633870e-01 3.233379e-02
4.688797e-03 4.132046e-01 6.579641e-02 1.501517e-01 1.793417e-02 -1.836973e-01 5.527574e-02 1.012510e-01 3.897957e-03 -8.124519e-03 1.371793e-02 1.820419e-01 4.936264e-02
7.326245e-03 3.655199e-01 2.022869e-02 1.142922e-01 1.431472e-02 -1.592857e-01 1.724309e-02 8.966886e-02 9.621133e-03 8.181787e-03 7.933498e-03 1.672775e-01 1.831886e-02
1.054979e-02 6.698916e-01 1.496939e-01 1.854395e-01 4.286884e-02 -3.137907e-01 7.250208e-02 1.130072e-01 1.402288e-02 -2.925691e-02 2.115502e-02 2.564787e-01 3.771422e-02
1.435944e-02 8.833916e-01 2.866561e-01 2.241726e-01 6.847289e-02 -3.657498e-01 1.293455e-01 1.144324e-01 1.811759e-02 -3.976961e-02 3.462003e-02 2.884428e-01 4.960425e-02
2.930498e-04 1.379488e-01 4.975344e-02 6.231055e-02 2.759656e-02 -5.901280e-02 2.097292e-02 8.803001e-02 1.574478e-02 4.632214e-02 2.215144e-02 1.155601e-01 3.238356e-02
5.860996e-04 5.318848e-02 8.421626e-03 3.276763e-02 9.677625e-03 -1.154183e-02 7.126031e-03 5.750237e-02 7.110917e-03 3.812451e-02 6.720969e-03 6.042198e-02 1.399246e-02
1.465249e-03 1.914355e-01 3.416323e-02 7.327145e-02 1.154569e-02 -9.601830e-02 2.090711e-02 7.840950e-02 7.604749e-03 2.383495e-02 1.317020e-02 1.277784e-01 1.441566e-02
2.930498e-03 2.227452e-01 2.797651e-02 8.995439e-02 7.014989e-03 -9.217108e-02 1.931174e-02 8.390321e-02 2.513714e-03 2.036581e-02 6.456660e-03 1.236968e-01 1.163646e-02
4.981846e-03 3.735286e-01 6.288295e-02 9.574317e-02 6.713788e-03 -2.183628e-01 5.263350e-02 7.677931e-02 3.763738e-03 2.598425e-03 7.223211e-03 2.164856e-01 3.952822e-02
7.619294e-03 3.121746e-01 7.926961e-02 9.536240e-02 2.438854e-02 -1.318871e-01 3.984665e-02 8.983748e-02 7.086120e-03 2.790230e-02 1.656129e-02 1.736446e-01 1.460493e-02
1.084284e-02 4.970180e-01 8.313210e-02 1.312330e-01 2.838279e-02 -2.475903e-01 4.431926e-02 8.975258e-02 1.250721e-02 -8.879653e-03 1.533011e-02 2.513601e-01 2.270748e-02
1.465249e-02 8.338930e-01 1.305816e-01 2.122154e-01 4.078515e-02 -3.600480e-01 5.593991e-02 1.106842e-01 1.090916e-02 -3.293014e-02 2.031735e-02 3.072950e-01 2.309039e-02
1.172199e-03 2.300790e-01 8.836103e-02 7.270689e-02 2.498386e-02 -1.327715e-01 5.516101e-02 7.472429e-02 8.555642e-03 2.261917e-02 1.935790e-02 1.632925e-01 3.109814e-02
1.465249e-03 3.282304e-01 1.027973e-01 1.084402e-01 3.315912e-02 -1.829994e-01 8.227666e-02 9.390259e-02 1.919297e-02 1.175106e-02 1.690837e-02 1.978225e-01 6.856227e-02
2.344398e-03 1.797803e-01 2.677319e-02 7.093720e-02 1.247976e-02 -7.694324e-02 2.023691e-02 7.406338e-02 5.710401e-03 2.572276e-02 2.723125e-03 1.123857e-01 1.693025e-02
3.809647e-03 2.683257e-01 3.476345e-02 7.403284e-02 1.226350e-02 -1.551525e-01 1.910494e-02 7.061310e-02 6.074209e-03 1.571352e-02 1.107193e-02 1.741408e-01 1.408376e-02
5.860996e-03 4.409011e-01 8.819174e-02 1.264172e-01 3.171966e-02 -2.207510e-01 5.062772e-02 8.757400e-02 1.046795e-02 -4.804253e-03 1.393711e-02 2.073899e-01 3.201893e-02
8.498444e-03 3.552149e-01 6.353887e-02 9.538186e-02 1.574333e-02 -1.675268e-01 4.881860e-02 9.533923e-02 6.272449e-03 2.930926e-02 1.163522e-02 2.074482e-01 4.069286e-02
1.172199e-02 6.219343e-01 5.979248e-02 1.531313e-01 2.525393e-02 -2.613541e-01 3.719987e-02 9.999609e-02 1.035313e-02 -3.031466e-03 1.553636e-02 2.404125e-01 2.641182e-02
1.553164e-02 6.957752e-01 1.578990e-01 1.928924e-01 4.200149e-02 -2.765411e-01 7.788364e-02 1.240704e-01 1.338973e-02 -4.760304e-03 1.382220e-02 2.887531e-01 5.549269e-02
2.637448e-03 3.690557e-01 6.869723e-02 9.599973e-02 1.777555e-02 -2.223220e-01 4.993663e-02 7.891391e-02 3.943613e-03 7.047545e-03 1.517058e-02 2.252512e-01 3.792069e-02
2.930498e-03 4.430527e-01 3.396325e-02 1.333111e-01 2.243929e-02 -2.491700e-01 1.393308e-02 9.866625e-02 1.502043e-02 -5.480506e-04 3.453573e-03 2.519522e-01 1.471896e-02
3.809647e-03 3.825230e-01 7.866125e-02 1.216297e-01 2.454346e-02 -1.940085e-01 5.767040e-02 8.874683e-02 1.543636e-02 -5.477342e-03 1.854148e-02 1.802197e-01 3.529380e-02
5.274896e-03 4.484681e-01 1.018466e-01 1.335381e-01 2.500948e-02 -2.265477e-01 6.801967e-02 8.141207e-02 9.292925e-03 -1.542326e-02 1.210824e-02 2.094404e-01 5.335139e-02
7.326245e-03 4.358016e-01 1.187282e-01 1.282926e-01 2.525112e-02 -2.237021e-01 7.028961e-02 9.052281e-02 3.225328e-03 -8.732688e-03 2.083690e-02 2.158277e-01 3.876802e-02
