# k^2  MgMg MgMg_error  MgCl MgCl_error  MgNa MgNa_error  ClCl ClCl_error  ClNa ClNa_error  NaNa NaNa_error
0.000000e+00 5.760000e+02 0.000000e+00 1.417423e+03 0.000000e+00 1.159972e+03 0.000000e+00 3.488000e+03 0.000000e+00 2.854465e+03 0.000000e+00 2.336000e+03 0.000000e+00
2.931675e-04 3.517644e-01 6.269094e-02 1.003980e-01 1.705967e-02 -2.237192e-01 4.986826e-02 8.892644e-02 1.535999e-02 9.711984e-03 2.540826e-02 2.333758e-01 3.146602e-02
1.172670e-03 1.902203e-01 7.526294e-02 6.073961e-02 1.915445e-02 -1.081367e-01 5.324694e-02 6.987978e-02 7.963380e-03 2.741140e-02 9.585091e-03 1.419138e-01 4.222752e-02
2.638507e-03 4.295164e-01 1.098320e-01 1.082579e-01 2.302071e-02 -2.742095e-01 7.640158e-02 7.333025e-02 5.265975e-03 -1.429605e-02 1.585961e-02 2.552479e-01 5.582094e-02
4.690679e-03 3.497555e-01 6.612468e-02 9.307854e-02 2.382647e-02 -2.023697e-01 3.344490e-02 7.557612e-02 1.080574e-02 1.243467e-03 7.210779e-03 2.024490e-01 2.420081e-02
7.329187e-03 3.355951e-01 1.204232e-01 1.101647e-01 2.996374e-02 -1.540538e-01 6.833237e-02 9.501897e-02 5.179758e-03 1.818401e-02 1.859627e-02 1.897453e-01 3.984837e-02
1.055403e-02 5.094739e-01 9.810851e-02 1.324968e-01 1.875675e-02 -2.287952e-01 4.936511e-02 9.877144e-02 8.592962e-03 8.916777e-03 1.351265e-02 2.318056e-01 2.998832e-02
1.436521e-02 8.900473e-01 1.185757e-01 2.215972e-01 3.811926e-02 -3.577912e-01 2.524884e-02 1.284585e-01 1.351504e-02 -2.363569e-02 4.642570e-03 3.169202e-01 2.191380e-02
2.931675e-04 1.913626e-01 4.317083e-02 2.590525e-02 2.043003e-02 -1.567831e-01 5.896142e-02 5.823546e-02 5.683849e-03 4.619348e-02 1.443404e-02 2.128058e-01 7.330643e-02
5.863349e-04 4.408166e-01 1.261868e-01 1.582681e-01 3.690221e-02 -2.391386e-01 8.067398e-02 1.013015e-01 1.249143e-02 -3.110619e-02 2.166185e-02 1.997346e-01 5.651568e-02
1.465837e-03 2.480511e-01 3.194436e-02 7.572785e-02 1.319488e-02 -1.474688e-01 3.752937e-02 8.058920e-02 7.417988e-03 2.638128e-02 6.033384e-03 1.825627e-01 3.907204e-02
2.931675e-03 4.048016e-01 7.705398e-02 9.972516e-02 2.267044e-02 -2.545616e-01 5.456968e-02 8.671778e-02 1.288897e-02 1.369889e-02 1.772974e-02 2.694954e-01 3.634108e-02
4.983847e-03 2.859679e-01 7.366595e-02 9.344732e-02 2.095749e-02 -1.239817e-01 4.057771e-02 8.191145e-02 9.868443e-03 1.869422e-02 1.547857e-02 1.483964e-01 1.675666e-02
7.622354e-03 4.187183e-01 9.711686e-02 1.203137e-01 1.832705e-02 -1.983810e-01 6.079240e-02 9.330175e-02 2.847947e-03 8.525958e-03 1.116513e-02 2.077530e-01 3.900272e-02
1.084720e-02 4.008147e-01 6.005832e-02 1.172798e-01 2.055351e-02 -1.695141e-01 2.163248e-02 9.931365e-02 9.460224e-03 2.536417e-02 9.952087e-03 2.229695e-01 3.361309e-02
1.465837e-02 7.578426e-01 1.030921e-01 2.081097e-01 3.380930e-02 -2.804706e-01 4.252154e-02 1.203934e-01 1.559793e-02 -1.740327e-02 8.090649e-03 2.643562e-01 3.161811e-02
1.172670e-03 3.520505e-01 6.548915e-02 1.135127e-01 2.372510e-02 -1.944178e-01 5.013884e-02 1.002535e-01 1.207754e-02 1.445860e-02 1.708121e-02 2.065913e-01 3.732436e-02
1.465837e-03 1.477545e-01 5.691530e-02 5.400486e-02 1.165445e-02 -7.706941e-02 4.198726e-02 7.404936e-02 4.216263e-03 3.604318e-02 1.473318e-02 1.223274e-01 2.442938e-02
2.345340e-03 2.345642e-01 2.275269e-02 7.020655e-02 1.449301e-02 -1.305342e-01 1.252350e-02 7.798920e-02 7.162068e-03 2.933342e-02 8.608014e-03 1.663045e-01 1.725125e-02
3.811177e-03 1.644234e-01 3.786682e-02 5.710451e-02 1.171321e-02 -8.057793e-02 2.610581e-02 6.929349e-02 7.800738e-03 2.826176e-02 5.157418e-03 1.219414e-01 2.193579e-02
5.863349e-03 4.750207e-01 1.024266e-01 1.152754e-01 1.301165e-02 -2.689076e-01 6.582946e-02 7.170316e-02 1.935025e-03 -1.535170e-02 1.013489e-02 2.403806e-01 4.168125e-02
8.501856e-03 6.353068e-01 1.365570e-01 1.700664e-01 4.182688e-02 -2.841516e-01 6.383733e-02 1.066660e-01 1.659904e-02 -8.993278e-03 1.904587e-02 2.493082e-01 3.209897e-02
1.172670e-02 8.145235e-01 1.723215e-01 2.419734e-01 5.447353e-02 -3.579673e-01 7.285115e-02 1.307054e-01 1.931479e-02 -4.763919e-02 1.761483e-02 2.960425e-01 4.283214e-02
1.553788e-02 9.732928e-01 1.090129e-01 2.386514e-01 2.318134e-02 -4.519416e-01 4.241730e-02 1.211480e-01 7.730252e-03 -6.655192e-02 1.140403e-02 3.345679e-01 1.432315e-02
2.638507e-03 6.762772e-01 1.655403e-01 1.494384e-01 3.134467e-02 -4.466795e-01 1.254757e-01 8.211641e-02 1.242584e-02 -3.973557e-02 1.926778e-02 3.785849e-01 9.799863e-02
2.931675e-03 2.559208e-01 5.437478e-02 7.288486e-02 2.147783e-02 -1.469616e-01 3.489380e-02 7.286995e-02 1.175630e-02 1.964413e-02 1.115855e-02 1.738028e-01 3.248125e-02
3.811177e-03 3.865780e-01 5.212466e-02 1.018417e-01 1.446420e-02 -2.282605e-01 3.329166e-02 8.427594e-02 7.390102e-03 5.572327e-03 1.017460e-02 2.283608e-01 1.936670e-02
