system,x_NaCl,r_A,g_LiCl,g_LiCl_block_sd,cutoff_A
li2880,0.1,0.89,0.0,0.0,3.6143165654334726
li2880,0.1,0.91,0.0,0.0,3.6143165654334726
li2880,0.1,0.93,0.0,0.0,3.6143165654334726
li2880,0.1,0.95,0.0,0.0,3.6143165654334726
li2880,0.1,0.97,0.0,0.0,3.6143165654334726
li2880,0.1,0.99,0.0,0.0,3.6143165654334726
li2880,0.1,1.01,0.0,0.0,3.6143165654334726
li2880,0.1,1.03,0.0,0.0,3.6143165654334726
li2880,0.1,1.05,0.0,0.0,3.6143165654334726
li2880,0.1,1.07,0.0,0.0,3.6143165654334726
li2880,0.1,1.09,0.0,0.0,3.6143165654334726
li2880,0.1,1.11,0.0,0.0,3.6143165654334726
li2880,0.1,1.1300000000000001,0.0,0.0,3.6143165654334726
li2880,0.1,1.15,0.0,0.0,3.6143165654334726
li2880,0.1,1.17,0.0,0.0,3.6143165654334726
li2880,0.1,1.19,0.0,0.0,3.6143165654334726
li2880,0.1,1.21,0.0,0.0,3.6143165654334726
li2880,0.1,1.23,0.0,0.0,3.6143165654334726
li2880,0.1,1.25,0.0,0.0,3.6143165654334726
li2880,0.1,1.27,0.0,0.0,3.6143165654334726
li2880,0.1,1.29,0.0,0.0,3.6143165654334726
li2880,0.1,1.31,0.0,0.0,3.6143165654334726
li2880,0.1,1.33,0.0,0.0,3.6143165654334726
li2880,0.1,1.35,0.0,0.0,3.6143165654334726
li2880,0.1,1.37,0.0,0.0,3.6143165654334726
li2880,0.1,1.3900000000000001,0.0,0.0,3.6143165654334726
li2880,0.1,1.4100000000000001,0.0,0.0,3.6143165654334726
li2880,0.1,1.43,0.0,0.0,3.6143165654334726
li2880,0.1,1.45,0.0,0.0,3.6143165654334726
li2880,0.1,1.47,0.0,0.0,3.6143165654334726
li2880,0.1,1.49,0.0,0.0,3.6143165654334726
li2880,0.1,1.51,0.0,0.0,3.6143165654334726
li2880,0.1,1.53,0.0,0.0,3.6143165654334726
li2880,0.1,1.55,0.0,0.0,3.6143165654334726
li2880,0.1,1.57,0.0,0.0,3.6143165654334726
li2880,0.1,1.59,0.0,0.0,3.6143165654334726
li2880,0.1,1.61,0.0,0.0,3.6143165654334726
li2880,0.1,1.6300000000000001,0.0,0.0,3.6143165654334726
li2880,0.1,1.6500000000000001,0.0,0.0,3.6143165654334726
li2880,0.1,1.67,0.0,0.0,3.6143165654334726
li2880,0.1,1.69,0.0,0.0,3.6143165654334726
li2880,0.1,1.71,0.0,0.0,3.6143165654334726
li2880,0.1,1.73,0.0,0.0,3.6143165654334726
li2880,0.1,1.75,0.00023165585220574325,0.00034520981336967746,3.6143165654334726
li2880,0.1,1.77,0.0007548344142250356,0.0007551277225872674,3.6143165654334726
li2880,0.1,1.79,0.002066570839620824,0.0006174986736289514,3.6143165654334726
li2880,0.1,1.81,0.005485988203815374,0.0004706302459937152,3.6143165654334726
li2880,0.1,1.83,0.012286992460094619,0.0013780024654475838,3.6143165654334726
li2880,0.1,1.85,0.023976436355809958,0.0018400548820012548,3.6143165654334726
li2880,0.1,1.87,0.04355132376861042,0.004997559806567749,3.6143165654334726
li2880,0.1,1.8900000000000001,0.07798668770920006,0.0035137417473678125,3.6143165654334726
li2880,0.1,1.9100000000000001,0.1354810110847048,0.003497764280290647,3.6143165654334726
li2880,0.1,1.93,0.21655392551847655,0.010118468656477978,3.6143165654334726
li2880,0.1,1.95,0.31792205795822415,0.004639178811110875,3.6143165654334726
li2880,0.1,1.97,0.45817010435026767,0.006810841319013842,3.6143165654334726
li2880,0.1,1.99,0.6231995164984124,0.00802439941975222,3.6143165654334726
li2880,0.1,2.01,0.8371512332675985,0.031384996001047626,3.6143165654334726
li2880,0.1,2.0300000000000002,1.084426495402566,0.02179836701255009,3.6143165654334726
li2880,0.1,2.05,1.3561531012030976,0.023869081956331816,3.6143165654334726
li2880,0.1,2.0700000000000003,1.6466978959508054,0.02590389088513844,3.6143165654334726
li2880,0.1,2.09,1.9886187732205098,0.021060594560896064,3.6143165654334726
li2880,0.1,2.1100000000000003,2.287436518719879,0.019294543305389326,3.6143165654334726
li2880,0.1,2.13,2.596260527828361,0.029686154197573544,3.6143165654334726
li2880,0.1,2.1500000000000004,2.8646019754627283,0.02312959436004221,3.6143165654334726
li2880,0.1,2.17,3.14550552019514,0.011978430483873776,3.6143165654334726
li2880,0.1,2.1900000000000004,3.3861324503706554,0.034110772677287786,3.6143165654334726
li2880,0.1,2.21,3.5459615346581845,0.03301023679384945,3.6143165654334726
li2880,0.1,2.2300000000000004,3.6983014474312195,0.021829096053558025,3.6143165654334726
li2880,0.1,2.25,3.7949862826895133,0.026284302863213465,3.6143165654334726
li2880,0.1,2.2700000000000005,3.8693932029709015,0.029368173259862212,3.6143165654334726
li2880,0.1,2.29,3.9131702905932335,0.04235963663206908,3.6143165654334726
li2880,0.1,2.31,3.916212814934285,0.015627506243213043,3.6143165654334726
li2880,0.1,2.33,3.83685603693535,0.03665862242468918,3.6143165654334726
li2880,0.1,2.3499999999999996,3.792038018870617,0.025098766881773014,3.6143165654334726
li2880,0.1,2.37,3.680816651419289,0.025585261327432766,3.6143165654334726
li2880,0.1,2.3899999999999997,3.5916086717768354,0.02884592485615145,3.6143165654334726
li2880,0.1,2.41,3.4447863999164814,0.03185255709483472,3.6143165654334726
li2880,0.1,2.4299999999999997,3.31915175374401,0.03612560852234119,3.6143165654334726
li2880,0.1,2.45,3.1790601494736563,0.01180833372818161,3.6143165654334726
li2880,0.1,2.4699999999999998,3.0590997808294427,0.021419267681971395,3.6143165654334726
li2880,0.1,2.49,2.9108719870125674,0.01893686670187007,3.6143165654334726
li2880,0.1,2.51,2.7576522513343673,0.013886410148842964,3.6143165654334726
li2880,0.1,2.5300000000000002,2.611591436674147,0.01338014707012884,3.6143165654334726
li2880,0.1,2.55,2.4810661276347057,0.01903888276611964,3.6143165654334726
li2880,0.1,2.5700000000000003,2.343387225552506,0.009929436871485923,3.6143165654334726
li2880,0.1,2.59,2.225230633872996,0.033842462912051945,3.6143165654334726
li2880,0.1,2.6100000000000003,2.115127872441633,0.029076266169954117,3.6143165654334726
li2880,0.1,2.63,1.987795728236457,0.01553556598200044,3.6143165654334726
li2880,0.1,2.6500000000000004,1.8562394704735188,0.017946584819985855,3.6143165654334726
li2880,0.1,2.67,1.7780463665140234,0.015693905281056103,3.6143165654334726
li2880,0.1,2.6900000000000004,1.686572049034619,0.009541737324545305,3.6143165654334726
li2880,0.1,2.71,1.591637332285835,0.006321775262301555,3.6143165654334726
li2880,0.1,2.7300000000000004,1.50836824107057,0.011453677605981236,3.6143165654334726
li2880,0.1,2.75,1.42143419906277,0.00878695011372079,3.6143165654334726
li2880,0.1,2.7700000000000005,1.3542581985371078,0.010122423074902822,3.6143165654334726
li2880,0.1,2.79,1.2806527033033088,0.021250643406307244,3.6143165654334726
li2880,0.1,2.81,1.2347845127603319,0.012884805565115889,3.6143165654334726
li2880,0.1,2.83,1.1753461669748444,0.01160071322021423,3.6143165654334726
li2880,0.1,2.8499999999999996,1.116342433150552,0.011801920801944416,3.6143165654334726
li2880,0.1,2.87,1.0780419727917094,0.003946787568356248,3.6143165654334726
li2880,0.1,2.8899999999999997,1.0196536269351022,0.01192124891231648,3.6143165654334726
li2880,0.1,2.91,0.9811386718353252,0.011605995960231045,3.6143165654334726
li2880,0.1,2.9299999999999997,0.9391692736317416,0.010485042565046641,3.6143165654334726
li2880,0.1,2.95,0.9112060775489551,0.01277775628675164,3.6143165654334726
li2880,0.1,2.9699999999999998,0.8742301631424796,0.015335006190452527,3.6143165654334726
li2880,0.1,2.99,0.8537654120016565,0.01654923542691686,3.6143165654334726
li2880,0.1,3.01,0.8220981264455528,0.012435883825507348,3.6143165654334726
li2880,0.1,3.0300000000000002,0.7922201129442752,0.006979188326090113,3.6143165654334726
li2880,0.1,3.05,0.7713145097595765,0.0049260628423520225,3.6143165654334726
li2880,0.1,3.0700000000000003,0.7515119414659717,0.007299641542468568,3.6143165654334726
li2880,0.1,3.09,0.7327254300753443,0.0045231098604961726,3.6143165654334726
li2880,0.1,3.1100000000000003,0.7080992339164298,0.00865663488679429,3.6143165654334726
li2880,0.1,3.13,0.69118565089996,0.008879779275201534,3.6143165654334726
li2880,0.1,3.1500000000000004,0.6768834739863858,0.010039451088672565,3.6143165654334726
li2880,0.1,3.17,0.662274204028403,0.0074333328923681915,3.6143165654334726
li2880,0.1,3.1900000000000004,0.6549486896968875,0.012407380433878516,3.6143165654334726
li2880,0.1,3.21,0.6453669074895577,0.007392892219201308,3.6143165654334726
li2880,0.1,3.2300000000000004,0.6257259479571384,0.01084255111777739,3.6143165654334726
li2880,0.1,3.25,0.6145781304260399,0.004382491425633828,3.6143165654334726
li2880,0.1,3.2700000000000005,0.6077468477239004,0.003942259841986014,3.6143165654334726
li2880,0.1,3.29,0.5977367140305926,0.007630269380027223,3.6143165654334726
li2880,0.1,3.3100000000000005,0.5946794123346953,0.011176995810678828,3.6143165654334726
li2880,0.1,3.33,0.5871737175963969,0.0064646571932308996,3.6143165654334726
li2880,0.1,3.3499999999999996,0.5825858795467697,0.005288140753228843,3.6143165654334726
li2880,0.1,3.37,0.5760454427928257,0.011187254737070587,3.6143165654334726
li2880,0.1,3.3899999999999997,0.5741043353737028,0.011130730491279025,3.6143165654334726
li2880,0.1,3.41,0.5608411379981295,0.004463058807398425,3.6143165654334726
li2880,0.1,3.4299999999999997,0.559123894886234,0.006960868229530619,3.6143165654334726
li2880,0.1,3.45,0.559018003209069,0.007569873178827496,3.6143165654334726
li2880,0.1,3.4699999999999998,0.5529853811657158,0.006120503386916441,3.6143165654334726
li2880,0.1,3.49,0.5489954893510165,0.0020005171382815436,3.6143165654334726
li2880,0.1,3.51,0.5484386828816141,0.006661601612190459,3.6143165654334726
li2880,0.1,3.5300000000000002,0.545904471367609,0.0054666033612563525,3.6143165654334726
li2880,0.1,3.55,0.5415909681613664,0.011033834562668121,3.6143165654334726
li2880,0.1,3.5700000000000003,0.5387126722880208,0.005138853337247202,3.6143165654334726
li2880,0.1,3.59,0.5408923508372204,0.004276634751321525,3.6143165654334726
