# k^2  LiLi LiLi_error  LiCl LiCl_error  LiNa LiNa_error  ClCl ClCl_error  ClNa ClNa_error  NaNa NaNa_error
0.000000e+00 1.920000e+03 0.000000e+00 2.478709e+03 0.000000e+00 1.567673e+03 0.000000e+00 3.200000e+03 0.000000e+00 2.023858e+03 0.000000e+00 1.280000e+03 0.000000e+00
3.181881e-04 5.131606e-01 1.697042e-01 7.491765e-02 2.571871e-02 -5.090202e-01 1.864504e-01 5.643286e-02 7.507309e-03 -1.415552e-03 3.132933e-02 6.239761e-01 2.018612e-01
1.272753e-03 2.347233e-01 2.495731e-02 7.376318e-02 4.428817e-03 -1.702540e-01 3.608384e-02 6.020666e-02 2.454129e-03 5.371740e-03 1.957187e-03 2.261835e-01 4.529077e-02
2.863693e-03 6.298946e-01 2.460996e-01 1.444008e-01 4.304919e-02 -5.271847e-01 2.341755e-01 7.835259e-02 5.246239e-03 -4.890886e-02 4.614998e-02 5.798003e-01 2.140364e-01
5.091010e-03 4.068635e-01 4.510129e-02 1.189391e-01 1.436869e-02 -2.749358e-01 3.976668e-02 7.928897e-02 7.076787e-03 -2.100281e-02 1.111818e-02 3.088726e-01 4.434427e-02
7.954703e-03 5.685713e-01 7.815566e-02 1.237120e-01 1.958880e-02 -4.799466e-01 8.627572e-02 7.447846e-02 8.363089e-03 -3.704100e-02 1.634091e-02 5.663530e-01 9.502283e-02
1.145477e-02 6.686846e-01 6.072125e-02 1.839818e-01 1.487501e-02 -4.748371e-01 5.476886e-02 1.009525e-01 5.817178e-03 -6.710350e-02 1.127343e-02 5.094181e-01 5.448985e-02
1.559122e-02 6.256613e-01 5.511432e-02 1.654619e-01 1.889842e-02 -4.214829e-01 3.947759e-02 1.012767e-01 1.024322e-02 -4.730605e-02 1.227980e-02 5.082190e-01 5.721857e-02
3.181881e-04 2.731600e-01 5.299509e-02 8.142643e-02 1.133726e-02 -2.048446e-01 5.156708e-02 6.455974e-02 7.061128e-03 2.405353e-03 8.599921e-03 2.560637e-01 6.449194e-02
6.363763e-04 7.372384e-01 2.570732e-01 1.614562e-01 4.320548e-02 -6.432164e-01 2.459168e-01 8.308755e-02 1.521757e-02 -6.738091e-02 2.965946e-02 6.800156e-01 2.569311e-01
1.590941e-03 5.440818e-01 1.431017e-01 1.243950e-01 2.932030e-02 -4.569670e-01 1.337618e-01 7.165380e-02 9.982943e-03 -3.902149e-02 2.303438e-02 4.961884e-01 1.283428e-01
3.181881e-03 6.792291e-01 1.520436e-01 1.540144e-01 3.101601e-02 -5.877242e-01 1.555847e-01 7.653088e-02 9.837842e-03 -6.785814e-02 2.592725e-02 6.383975e-01 1.689159e-01
5.409198e-03 6.170355e-01 1.091585e-01 1.572646e-01 3.046958e-02 -4.881537e-01 9.042144e-02 8.021716e-02 8.172699e-03 -6.610829e-02 2.432471e-02 5.140323e-01 8.206443e-02
8.272892e-03 6.678222e-01 9.540826e-02 1.447277e-01 3.608220e-02 -5.399843e-01 6.654561e-02 7.565662e-02 1.028385e-02 -6.055076e-02 2.686518e-02 5.811224e-01 5.146781e-02
1.177296e-02 5.929703e-01 5.773235e-02 1.599853e-01 1.815545e-02 -4.604532e-01 5.827466e-02 9.475887e-02 9.779438e-03 -5.872334e-02 7.794731e-03 5.598574e-01 8.659942e-02
1.590941e-02 6.588462e-01 7.333317e-02 1.483677e-01 2.391550e-02 -5.323912e-01 6.089275e-02 9.271356e-02 7.473228e-03 -5.727117e-02 1.666936e-02 6.682630e-01 6.302075e-02
