composition_key,n_para,n_water,n_ethanol,x_para,x_water,x_ethanol,S0_NN,S0_OO,S0_CC,S0_NO,S0_NC,S0_OC,S0_NN_split1,S0_OO_split1,S0_CC_split1,S0_NO_split1,S0_NC_split1,S0_OC_split1,S0_NN_split2,S0_OO_split2,S0_CC_split2,S0_NO_split2,S0_NC_split2,S0_OC_split2,S0_NN_split3,S0_OO_split3,S0_CC_split3,S0_NO_split3,S0_NC_split3,S0_OC_split3
P00104_W09000_E01000,104,9000,1000,0.010293,0.890736,0.098971,2.1906753011039393,3.146410164982058,1.0607398379419537,-2.1097971305739303,0.43886911356083697,-1.388464178631813,2.1670019679890355,3.1520955820807073,1.0777320723720991,-2.098383992441462,0.413247552216514,-1.3424792753932633,2.4042104858372317,3.1671071579907464,1.0497006647967262,-2.2055890519383827,0.3731084443211024,-1.3400049827337022,2.0008134494855514,3.1200277548747213,1.0547867766570354,-2.025418347341946,0.5302513441448946,-1.482908277768474
P00528_W09000_E01000,528,9000,1000,0.050152,0.854863,0.094985,4.090020681739202,13.417467740766975,1.1880518118408816,-6.853859171394025,0.6090347757636779,-2.336410990395315,3.505258203410577,9.491085959840698,0.8943472261016158,-5.470257922840895,0.2409343215030721,-1.210583032328516,3.9093385364805786,14.494565735173522,1.5563809869418468,-6.65424522339633,0.7508297366783049,-3.245839311202499,4.855465305326449,16.26675152728671,1.113427222479182,-8.437074367944849,0.8353402691096568,-2.5528106276549294
P00104_W08000_E02000,104,8000,2000,0.010293,0.791766,0.197941,1.2504594551997517,3.7096291922312505,0.8862520325131351,-1.3031644308427464,0.23641161759022142,-1.5905876492660898,1.2529938038703068,4.046525201728936,0.9355406371108927,-1.416387318086209,0.290237159100176,-1.749487334405328,1.184785819768105,3.5806313354441253,0.9002757143624216,-1.181633089229169,0.193933114714305,-1.5704297387031172,1.3135987419608428,3.50173103952069,0.8229397460660908,-1.311472885212861,0.2250645789561832,-1.451845874689824
P00152_W08000_E02000,152,8000,2000,0.014972,0.788022,0.197006,1.4958932239607872,3.3698377839134737,0.6937892698917558,-1.5757807905219092,0.09495034190853813,-1.1020023633688025,1.4813732166193128,3.382391685318788,0.6583686378232789,-1.5984268919262554,0.1257611844984817,-1.0907754642914764,1.4509266090895043,3.3398326437050287,0.7239080508282498,-1.5001470414787463,0.0955604267384309,-1.1400601269541828,1.5553798461735444,3.387289022716604,0.6990911210237385,-1.6287684381607264,0.0635294144887018,-1.0751714988607484
P00208_W08000_E02000,208,8000,2000,0.020376,0.783699,0.195925,1.560997253959948,3.823130152127011,0.7390491444416707,-1.6725815571550717,0.05386653066906324,-1.168610402596459,1.4419284270196309,3.871972519067648,0.7805778043890862,-1.5361837098634414,0.0327255668605763,-1.2589046146695482,1.4536548764345325,3.6224076944521646,0.7259542940634223,-1.544666395787361,0.0391528426015352,-1.121973597025732,1.7874084584256802,3.97501024286122,0.7106153348725034,-1.936894565814413,0.0897211825450782,-1.1249529960940967
P00256_W08000_E02000,256,8000,2000,0.024961,0.780031,0.195008,2.460672380077938,8.44358915950626,0.8461562397777568,-3.7879565413028935,0.36811047148427894,-1.9083929809009785,2.468776895359055,7.754233595581797,0.843453582687038,-3.7075306571794377,0.351624528827719,-1.7750057659787544,2.074500067239689,8.671814075168045,0.978766167557678,-3.3673565228715447,0.3969042451112868,-2.268162836603676,2.8387401776350707,8.904719807768934,0.7162489690885544,-4.288982443857698,0.3558026405138311,-1.6820103401205055
P00312_W08000_E02000,312,8000,2000,0.030256,0.775795,0.193949,3.073399604448561,9.036463707306579,0.725569327455406,-4.610330554871016,-0.009304128418286034,-0.9885708434070374,3.7670501922501898,11.133990519097091,0.6801294343985255,-5.733523858337785,0.0047089054921309,-0.9694392918929006,3.025015654514884,9.657186503959688,0.6732303474202297,-4.813887306846848,-0.036520013557153,-0.8123021029864419,2.42813296658061,6.31821409886296,0.8233482005474627,-3.2835804994284157,0.003898722810164,-1.1839711353417697
P00416_W08000_E02000,416,8000,2000,0.039939,0.768049,0.192012,2.9532470784142713,9.231494618631784,0.7769464697918602,-4.591945368529163,0.0602255306353389,-1.2688604843716382,3.076808950852179,8.827807748975287,0.7584066837272425,-4.55379478561126,-0.0082669933403932,-1.144807283515062,2.6174902717521116,8.734874381202028,0.819415073871406,-4.119588880764335,0.0383172751795661,-1.303508916489674,3.1654420126385228,10.131801725718038,0.7530176517769321,-5.102452439211893,0.1506263100668438,-1.358265253110179
P00528_W08000_E02000,528,8000,2000,0.050152,0.759878,0.18997,2.3956662524465187,8.993809428032657,0.727960520171233,-3.9862632919468592,-0.12778494665646722,-0.8412296205343114,2.481313164312823,9.658757643890368,0.7703749905169762,-4.102219809019113,-0.0048979577392785,-1.2362491691785078,2.2482090153854415,8.857177124239062,0.6905603126541752,-3.943218634690269,-0.2454218702081252,-0.4171140342198519,2.4574765776412915,8.465493515968545,0.7229462573425476,-3.913351432131196,-0.133035012021998,-0.8703256582045746
P00872_W08000_E02000,872,8000,2000,0.080206,0.735835,0.183959,2.1238541065525585,9.527850396520947,0.6714443550122843,-3.9270969960740323,-0.267650206035658,-0.45847492677337787,2.1519451739266127,9.413069133639322,0.6417561973466948,-3.991836913181037,-0.2748137972634036,-0.3892606520135039,2.2180336622415027,10.097375708619047,0.6931523717841345,-4.150192518794737,-0.2054553127337973,-0.6353779879117618,2.0015834834895605,9.073106347304469,0.6794244959060239,-3.639261556246322,-0.322681508109773,-0.3507861403948679
