# k^2  LiLi LiLi_error  LiCl LiCl_error  LiNa LiNa_error  ClCl ClCl_error  ClNa ClNa_error  NaNa NaNa_error
0.000000e+00 2.720000e+03 0.000000e+00 2.950254e+03 0.000000e+00 1.142629e+03 0.000000e+00 3.200000e+03 0.000000e+00 1.239355e+03 0.000000e+00 4.800000e+02 0.000000e+00
3.306842e-04 9.377464e-02 1.680963e-02 5.372600e-02 7.956108e-03 -8.417714e-02 2.624090e-02 5.693446e-02 4.428668e-03 1.989294e-02 1.048864e-02 2.610103e-01 6.411234e-02
1.322737e-03 3.485670e-01 6.378081e-02 1.032321e-01 1.943836e-02 -5.434273e-01 1.115727e-01 5.981996e-02 7.646240e-03 -9.037134e-02 2.942740e-02 1.045022e+00 2.015314e-01
2.976157e-03 2.730945e-01 5.473151e-02 9.208521e-02 1.596020e-02 -3.811728e-01 9.933476e-02 6.529802e-02 7.856918e-03 -4.698805e-02 2.115527e-02 7.806933e-01 2.081428e-01
5.290947e-03 3.449255e-01 4.245440e-02 1.066304e-01 7.595141e-03 -5.023598e-01 1.034259e-01 6.808219e-02 4.181768e-03 -8.245886e-02 1.363297e-02 9.961019e-01 2.272389e-01
8.267104e-03 2.870409e-01 5.397392e-02 9.848151e-02 1.534003e-02 -3.565731e-01 9.205059e-02 7.729976e-02 7.785797e-03 -3.687901e-02 3.364469e-02 7.907707e-01 1.392456e-01
1.190463e-02 3.962434e-01 4.690841e-02 1.210748e-01 1.328897e-02 -5.072001e-01 6.767432e-02 7.982359e-02 3.878203e-03 -8.176056e-02 2.139632e-02 1.050233e+00 1.114098e-01
1.620352e-02 3.743081e-01 3.058305e-02 1.283114e-01 1.739060e-02 -3.339649e-01 2.623445e-02 1.078682e-01 1.094210e-02 -2.760552e-02 2.736870e-02 7.579560e-01 2.709406e-02
3.306842e-04 1.252275e-01 2.270739e-02 7.950287e-02 8.234898e-03 -9.081997e-02 4.055970e-02 7.724436e-02 7.202137e-03 8.584926e-03 1.910572e-02 2.364069e-01 5.287937e-02
6.613683e-04 1.549521e-01 1.959302e-02 7.286193e-02 3.277739e-03 -1.748841e-01 4.969226e-02 6.675030e-02 8.419830e-03 1.626840e-03 2.077372e-02 4.300118e-01 9.725519e-02
1.653421e-03 2.538207e-01 3.531074e-02 8.980851e-02 6.944712e-03 -3.554864e-01 7.539861e-02 6.157369e-02 4.600269e-03 -5.353258e-02 1.423006e-02 7.100194e-01 1.572889e-01
3.306842e-03 2.978893e-01 7.546032e-02 1.084847e-01 3.072101e-02 -3.965759e-01 1.000975e-01 7.800807e-02 1.131211e-02 -5.646078e-02 4.211682e-02 8.076827e-01 1.510534e-01
5.621631e-03 3.485719e-01 9.154659e-02 1.164636e-01 2.149311e-02 -4.801042e-01 1.624765e-01 7.463224e-02 7.183536e-03 -8.848535e-02 3.179641e-02 9.137748e-01 3.187669e-01
8.597788e-03 3.279045e-01 5.011556e-02 1.026733e-01 1.939245e-02 -4.416701e-01 6.188323e-02 7.309602e-02 5.572445e-03 -5.441805e-02 3.261140e-02 9.758586e-01 6.234320e-02
1.223531e-02 3.212042e-01 5.420254e-02 1.237688e-01 1.512796e-02 -3.822479e-01 7.070252e-02 9.318414e-02 6.951392e-03 -7.070900e-02 1.706121e-02 8.361871e-01 1.238307e-01
1.653421e-02 4.153555e-01 4.656961e-02 1.444826e-01 2.247305e-02 -4.249643e-01 6.226668e-02 1.020659e-01 1.139274e-02 -8.323403e-02 2.893325e-02 8.699703e-01 7.793820e-02
1.322737e-03 3.769584e-01 1.653504e-01 1.209002e-01 3.097219e-02 -5.636361e-01 3.115176e-01 7.219738e-02 5.811210e-03 -9.530914e-02 6.136439e-02 1.089459e+00 5.767647e-01
1.653421e-03 2.649722e-01 7.363069e-02 1.061734e-01 2.540854e-02 -3.339224e-01 1.113309e-01 8.486503e-02 1.300956e-02 -2.728406e-02 2.843576e-02 7.239254e-01 2.196203e-01
