# k^2  LiLi LiLi_error  LiCl LiCl_error  LiNa LiNa_error  ClCl ClCl_error  ClNa ClNa_error  NaNa NaNa_error
0.000000e+00 2.720000e+03 0.000000e+00 2.950254e+03 0.000000e+00 1.142629e+03 0.000000e+00 3.200000e+03 0.000000e+00 1.239355e+03 0.000000e+00 4.800000e+02 0.000000e+00
3.305103e-04 2.513514e-01 5.040614e-02 9.632030e-02 1.585104e-02 -3.425678e-01 9.131321e-02 7.393358e-02 1.019685e-02 -3.534849e-02 3.936580e-02 7.225558e-01 1.486158e-01
1.322041e-03 2.668484e-01 4.211767e-02 9.831483e-02 2.001234e-02 -3.599104e-01 6.376501e-02 7.310903e-02 1.069375e-02 -4.109725e-02 2.189550e-02 7.377261e-01 1.164144e-01
2.974593e-03 2.638410e-01 4.764710e-02 9.370202e-02 1.420008e-02 -3.341368e-01 8.733315e-02 7.007567e-02 4.855024e-03 -3.282852e-02 2.394577e-02 6.836287e-01 1.709635e-01
5.288166e-03 2.697579e-01 5.189068e-02 1.039893e-01 1.736160e-02 -3.277131e-01 8.608532e-02 7.616402e-02 5.940552e-03 -4.830049e-02 3.178933e-02 6.649907e-01 1.222168e-01
8.262759e-03 3.547098e-01 3.902007e-02 1.241522e-01 1.156207e-02 -4.270659e-01 5.591069e-02 9.173446e-02 4.670962e-03 -5.920712e-02 2.747675e-02 8.612696e-01 9.041015e-02
1.189837e-02 2.744504e-01 2.487764e-02 1.012801e-01 1.664201e-02 -2.643468e-01 2.415259e-02 7.529980e-02 1.025166e-02 -4.160568e-02 1.134191e-02 5.637571e-01 3.864098e-02
1.619501e-02 3.154722e-01 2.394777e-02 9.132049e-02 1.014085e-02 -3.383480e-01 3.765709e-02 8.756775e-02 7.031516e-03 -2.158864e-02 1.467195e-02 7.755548e-01 7.863098e-02
3.305103e-04 1.463066e-01 2.963770e-02 7.568542e-02 1.756024e-02 -1.508506e-01 4.683644e-02 6.689862e-02 1.212441e-02 -6.276785e-03 1.305706e-02 3.479330e-01 1.106949e-01
6.610207e-04 3.548231e-01 1.567168e-01 9.691237e-02 3.285284e-02 -5.839725e-01 2.906297e-01 6.233494e-02 9.218012e-03 -6.496354e-02 5.787232e-02 1.224501e+00 5.524206e-01
1.652552e-03 2.237342e-01 5.003745e-02 7.940468e-02 1.178360e-02 -3.131567e-01 8.867724e-02 5.807121e-02 5.150893e-03 -3.855996e-02 2.386165e-02 6.459746e-01 1.514958e-01
3.305103e-03 2.406982e-01 3.368235e-02 8.683714e-02 6.962540e-03 -3.103009e-01 7.777131e-02 7.297617e-02 2.416785e-03 -1.320225e-02 1.392031e-02 6.921388e-01 1.619808e-01
5.618676e-03 2.495072e-01 2.841473e-02 8.546076e-02 1.312659e-02 -3.137707e-01 4.666679e-02 7.022648e-02 6.744504e-03 -1.525420e-02 2.089860e-02 7.071198e-01 1.067257e-01
8.593269e-03 2.385462e-01 2.652126e-02 9.548414e-02 1.173229e-02 -2.382060e-01 4.012013e-02 7.783865e-02 7.564651e-03 -3.013139e-02 1.527199e-02 5.135828e-01 7.027754e-02
