# k^2  LiLi LiLi_error  LiCl LiCl_error  LiNa LiNa_error  ClCl ClCl_error  ClNa ClNa_error  NaNa NaNa_error
0.000000e+00 2.720000e+03 0.000000e+00 2.950254e+03 0.000000e+00 1.142629e+03 0.000000e+00 3.200000e+03 0.000000e+00 1.239355e+03 0.000000e+00 4.800000e+02 0.000000e+00
3.307129e-04 3.531876e-01 1.040426e-01 1.139064e-01 2.155496e-02 -5.462162e-01 1.933276e-01 6.404034e-02 5.463748e-03 -1.071589e-01 3.929349e-02 1.025611e+00 3.613717e-01
1.322852e-03 1.285353e-01 1.520049e-02 7.567005e-02 6.369332e-03 -1.015916e-01 2.654165e-02 7.040023e-02 7.305262e-03 2.175920e-04 1.015704e-02 2.435525e-01 4.784265e-02
2.976416e-03 4.072167e-01 1.042738e-01 1.489961e-01 2.458120e-02 -5.453944e-01 1.851131e-01 8.448132e-02 5.729490e-03 -1.286477e-01 4.570624e-02 9.679166e-01 3.253229e-01
5.291406e-03 2.425100e-01 3.439166e-02 8.368930e-02 1.137646e-02 -3.175183e-01 7.466110e-02 7.477249e-02 6.152713e-03 -9.318806e-03 2.123859e-02 7.414829e-01 1.680955e-01
8.267823e-03 2.606580e-01 1.699762e-02 9.723964e-02 1.125656e-02 -2.577222e-01 2.802872e-02 7.794950e-02 9.232483e-03 -1.653813e-02 7.616456e-03 5.573395e-01 6.718808e-02
1.190566e-02 3.938404e-01 1.783537e-02 1.320064e-01 6.219974e-03 -4.587806e-01 2.081245e-02 8.800729e-02 4.355907e-03 -7.416722e-02 1.803170e-02 9.425856e-01 9.349779e-02
1.620493e-02 3.212581e-01 4.106640e-02 1.172400e-01 1.385022e-02 -3.285743e-01 5.399572e-02 8.850413e-02 5.485078e-03 -5.927371e-02 1.824674e-02 7.053417e-01 7.889433e-02
3.307129e-04 1.649023e-01 2.926565e-02 7.759964e-02 1.152586e-02 -1.899938e-01 4.478407e-02 7.006801e-02 1.055997e-02 -2.873168e-03 1.411922e-02 4.491661e-01 8.525704e-02
6.614258e-04 4.755292e-01 7.197020e-02 1.601255e-01 3.204736e-02 -7.083068e-01 1.156534e-01 9.277881e-02 1.275549e-02 -1.395283e-01 4.353850e-02 1.322105e+00 2.462021e-01
1.653565e-03 2.664670e-01 1.893676e-02 1.091548e-01 1.125385e-02 -3.376402e-01 2.762100e-02 7.765518e-02 6.228806e-03 -5.767372e-02 1.431387e-02 6.611569e-01 7.087417e-02
3.307129e-03 2.523649e-01 4.285585e-02 9.480460e-02 1.481085e-02 -3.128430e-01 6.117934e-02 7.562338e-02 6.060026e-03 -2.570623e-02 2.339234e-02 6.739535e-01 9.005364e-02
5.622119e-03 2.289280e-01 2.570950e-02 8.301659e-02 1.729491e-02 -2.894895e-01 4.905264e-02 6.562566e-02 1.051971e-02 -2.630186e-02 2.342202e-02 6.555180e-01 1.064194e-01
8.598536e-03 2.620339e-01 2.697143e-02 8.502055e-02 1.161159e-02 -3.309880e-01 4.973002e-02 6.763541e-02 5.335046e-03 -3.270466e-02 1.711653e-02 7.475896e-01 1.228404e-01
1.223638e-02 3.559841e-01 5.382912e-02 1.205266e-01 1.717260e-02 -3.628908e-01 7.509231e-02 8.302212e-02 7.402521e-03 -6.386477e-02 2.217665e-02 6.905391e-01 1.228675e-01
1.653565e-02 3.827528e-01 5.427104e-02 1.149483e-01 1.863592e-02 -4.514793e-01 8.000936e-02 9.279912e-02 1.086344e-02 -3.940347e-02 1.243579e-02 1.049129e+00 1.660963e-01
1.322852e-03 1.760740e-01 3.631233e-02 8.534566e-02 1.120553e-02 -1.890867e-01 5.556444e-02 7.114159e-02 6.120660e-03 -2.141825e-02 1.531964e-02 3.968521e-01 9.123783e-02
1.653565e-03 2.426222e-01 2.652514e-02 9.680207e-02 1.358125e-02 -3.148515e-01 4.908599e-02 7.551685e-02 9.095211e-03 -3.524182e-02 2.055079e-02 6.616816e-01 9.201525e-02
2.645703e-03 2.533558e-01 3.289406e-02 9.279102e-02 1.303956e-02 -3.489301e-01 4.789915e-02 6.983931e-02 6.386917e-03 -4.338174e-02 1.928224e-02 7.342249e-01 7.837731e-02
4.299268e-03 2.796599e-01 3.223038e-02 1.027480e-01 4.792806e-03 -3.665013e-01 8.603300e-02 7.461182e-02 6.033128e-03 -5.342808e-02 1.404873e-02 7.353366e-01 2.057797e-01
6.614258e-03 3.704314e-01 6.432243e-02 1.324387e-01 1.947445e-02 -4.616098e-01 1.036628e-01 8.896397e-02 8.670005e-03 -7.811498e-02 3.411761e-02 8.763347e-01 1.594071e-01
9.590674e-03 3.252451e-01 2.563960e-02 1.088542e-01 1.087637e-02 -3.965702e-01 4.507563e-02 8.332256e-02 8.450036e-03 -4.536915e-02 7.366422e-03 8.374139e-01 9.396926e-02
1.322852e-02 3.127452e-01 5.879029e-02 1.026423e-01 1.239857e-02 -3.185374e-01 8.930906e-02 8.449942e-02 7.796828e-03 -1.651945e-02 2.220382e-02 7.039183e-01 1.407656e-01
