# k^2  MgMg MgMg_error  MgCl MgCl_error  MgNa MgNa_error  ClCl ClCl_error  ClNa ClNa_error  NaNa NaNa_error
0.000000e+00 1.344000e+03 0.000000e+00 2.281221e+03 0.000000e+00 1.261466e+03 0.000000e+00 3.872000e+03 0.000000e+00 2.141132e+03 0.000000e+00 1.184000e+03 0.000000e+00
2.908481e-04 1.435760e-01 3.413074e-02 1.140607e-01 2.424158e-02 -9.508499e-02 3.571777e-02 1.298454e-01 2.539562e-02 -4.917947e-03 1.167964e-02 1.930501e-01 5.531192e-02
1.163392e-03 1.119140e-01 2.472317e-02 6.802989e-02 1.041977e-02 -1.091764e-01 4.212291e-02 8.653526e-02 9.563842e-03 1.252368e-02 6.455352e-03 2.554805e-01 7.886562e-02
2.617633e-03 1.658052e-01 3.614116e-02 1.051027e-01 2.752540e-02 -1.303078e-01 5.703601e-02 1.209293e-01 2.363280e-02 1.470796e-02 1.641974e-02 3.043826e-01 1.211133e-01
4.653570e-03 2.506623e-01 5.703756e-02 1.264414e-01 1.831617e-02 -2.396550e-01 8.453364e-02 1.080154e-01 8.383266e-03 -4.155919e-02 3.615022e-02 4.290505e-01 9.805694e-02
7.271202e-03 2.989765e-01 7.610758e-02 1.779816e-01 4.704897e-02 -1.814030e-01 4.657244e-02 1.565815e-01 2.679904e-02 -2.872429e-02 3.376267e-02 3.163281e-01 2.282591e-02
1.047053e-02 4.396614e-01 8.484964e-02 1.979626e-01 3.285728e-02 -3.710092e-01 7.036229e-02 1.329222e-01 1.350387e-02 -1.004835e-01 3.108266e-02 5.361789e-01 6.724877e-02
1.425156e-02 6.076496e-01 1.084622e-01 2.777293e-01 4.215620e-02 -3.572753e-01 1.022321e-01 1.891072e-01 2.234320e-02 -8.637589e-02 3.995587e-02 5.299642e-01 7.689446e-02
2.908481e-04 1.168716e-01 2.526174e-02 6.229875e-02 1.138951e-02 -1.356750e-01 4.033932e-02 8.530564e-02 1.149346e-02 2.247042e-02 1.683068e-02 3.329174e-01 6.598964e-02
5.816962e-04 1.254212e-01 3.729668e-02 6.845177e-02 1.607867e-02 -1.357659e-01 5.190440e-02 8.427491e-02 1.106177e-02 1.000471e-02 1.654920e-02 3.039240e-01 8.537908e-02
1.454240e-03 1.034939e-01 4.898479e-03 7.264099e-02 3.583632e-03 -7.568206e-02 1.367926e-02 9.366276e-02 3.290019e-03 2.443877e-02 4.974651e-03 2.120690e-01 3.382184e-02
2.908481e-03 1.376406e-01 2.811579e-02 8.571349e-02 1.028963e-02 -1.148289e-01 3.902524e-02 9.147776e-02 3.677513e-03 -6.322093e-03 1.547360e-02 2.386330e-01 5.201493e-02
4.944418e-03 3.309057e-01 6.782500e-02 1.706374e-01 3.440540e-02 -3.175192e-01 9.755513e-02 1.433025e-01 2.279539e-02 -6.662026e-02 2.921973e-02 5.385421e-01 1.741248e-01
7.562050e-03 2.756370e-01 4.267688e-02 1.497028e-01 2.223048e-02 -2.167099e-01 4.743516e-02 1.201696e-01 1.360319e-02 -5.833980e-02 2.696598e-02 3.442065e-01 4.776069e-02
1.076138e-02 3.752535e-01 4.626411e-02 1.711510e-01 3.509144e-02 -2.563239e-01 6.554598e-03 1.285325e-01 2.161651e-02 -4.804232e-02 2.317222e-02 4.213353e-01 3.559982e-02
1.454240e-02 4.256361e-01 6.370587e-02 1.679358e-01 2.827538e-02 -3.081918e-01 4.852832e-02 1.273692e-01 1.400140e-02 -3.372038e-02 1.630677e-02 5.780250e-01 6.785786e-02
1.163392e-03 8.530868e-02 1.030015e-02 6.116808e-02 5.288310e-03 -6.627150e-02 2.452342e-02 9.155831e-02 8.876406e-03 4.015892e-02 8.539945e-03 2.240898e-01 6.522052e-02
1.454240e-03 1.442479e-01 3.057254e-02 1.123869e-01 2.158771e-02 -8.790592e-02 3.280392e-02 1.311268e-01 2.124699e-02 8.131827e-03 1.130725e-02 2.027391e-01 5.083869e-02
2.326785e-03 1.574075e-01 3.383813e-02 9.914747e-02 1.758378e-02 -1.259997e-01 3.767599e-02 9.502964e-02 1.377515e-02 -2.361218e-02 1.595930e-02 2.171659e-01 4.417617e-02
3.781025e-03 3.057222e-01 3.058497e-02 1.519375e-01 1.609260e-02 -3.093457e-01 3.637281e-02 1.271799e-01 4.266974e-03 -6.614093e-02 2.245432e-02 4.979943e-01 7.964173e-02
5.816962e-03 2.686839e-01 2.767929e-02 1.359210e-01 2.135088e-02 -2.453907e-01 2.198087e-02 1.211820e-01 1.400749e-02 -3.943939e-02 2.324864e-02 4.180112e-01 2.581664e-02
8.434595e-03 3.263746e-01 5.799517e-02 1.435011e-01 2.671387e-02 -2.563907e-01 5.121043e-02 1.173116e-01 1.687536e-02 -2.213591e-02 1.863328e-02 4.657169e-01 5.587533e-02
1.163392e-02 4.395909e-01 8.302131e-02 2.024308e-01 4.532537e-02 -3.179485e-01 6.841702e-02 1.406945e-01 2.347280e-02 -8.588566e-02 4.228290e-02 4.636257e-01 3.977456e-02
1.541495e-02 6.663513e-01 1.094021e-01 2.946766e-01 4.452762e-02 -3.683085e-01 5.566296e-02 1.857778e-01 2.301558e-02 -9.839709e-02 2.129497e-02 4.751222e-01 1.449017e-02
2.617633e-03 2.015268e-01 6.537630e-02 1.199393e-01 3.091481e-02 -1.855304e-01 8.124204e-02 1.257376e-01 1.547740e-02 -1.270707e-02 4.122692e-02 3.770159e-01 9.571887e-02
2.908481e-03 1.542654e-01 2.805933e-02 8.554081e-02 2.182876e-02 -1.478786e-01 3.369529e-02 8.783583e-02 1.789180e-02 -9.415949e-03 1.495370e-02 3.034137e-01 6.649081e-02
3.781025e-03 2.300476e-01 4.941391e-02 1.436847e-01 3.002992e-02 -1.716773e-01 4.047395e-02 1.308263e-01 1.795583e-02 -3.525628e-02 2.422208e-02 3.004732e-01 4.114780e-02
