# k^2  LiLi LiLi_error  LiCl LiCl_error  LiNa LiNa_error  ClCl ClCl_error  ClNa ClNa_error  NaNa NaNa_error
0.000000e+00 2.240000e+03 0.000000e+00 2.677312e+03 0.000000e+00 1.466424e+03 5.084230e-14 3.200000e+03 0.000000e+00 1.752712e+03 1.136868e-13 9.600000e+02 0.000000e+00
3.232079e-04 6.941409e-01 1.870194e-01 1.560744e-01 1.547236e-02 -7.736052e-01 2.591011e-01 8.053599e-02 2.832073e-03 -9.124597e-02 2.563401e-02 1.016195e+00 3.520516e-01
1.292832e-03 3.462050e-01 3.998264e-02 1.076221e-01 5.108140e-03 -3.249371e-01 5.746829e-02 7.550832e-02 2.384690e-03 -2.646834e-02 8.508473e-03 4.503093e-01 7.782502e-02
2.908871e-03 4.609438e-01 7.415162e-02 1.226155e-01 1.122132e-02 -4.610102e-01 9.438426e-02 7.770454e-02 2.015732e-03 -4.311621e-02 1.594858e-02 6.331562e-01 1.171208e-01
5.171327e-03 4.971263e-01 3.749007e-02 1.266123e-01 8.418772e-03 -5.049579e-01 5.181882e-02 7.382928e-02 2.064894e-03 -5.976436e-02 1.036221e-02 6.878558e-01 6.989390e-02
8.080198e-03 5.220409e-01 4.169110e-02 1.513981e-01 1.162433e-02 -4.711262e-01 4.924009e-02 8.723588e-02 3.894927e-03 -7.374209e-02 1.307187e-02 6.128130e-01 6.090493e-02
1.163548e-02 5.821628e-01 3.360020e-02 1.525544e-01 1.210731e-02 -5.448689e-01 4.131123e-02 9.169173e-02 3.878373e-03 -7.865771e-02 1.294641e-02 7.281497e-01 5.741513e-02
1.583719e-02 4.673463e-01 3.207212e-02 1.275437e-01 8.351405e-03 -3.729636e-01 3.171476e-02 9.525769e-02 4.746795e-03 -2.712983e-02 1.225243e-02 5.931037e-01 3.885438e-02
3.232079e-04 4.459810e-01 6.702137e-02 1.276098e-01 1.536367e-02 -4.441917e-01 7.531096e-02 8.341614e-02 3.649637e-03 -4.177862e-02 1.773502e-02 6.009828e-01 8.671325e-02
6.464158e-04 4.322866e-01 4.806639e-02 1.225195e-01 1.357924e-02 -4.321068e-01 6.700570e-02 7.265566e-02 5.899126e-03 -5.275255e-02 1.491091e-02 5.665743e-01 9.014952e-02
1.616040e-03 3.920821e-01 3.833533e-02 1.122107e-01 1.496434e-02 -3.842667e-01 3.829271e-02 7.292867e-02 4.916587e-03 -3.598741e-02 1.397447e-02 5.255700e-01 5.093384e-02
3.232079e-03 3.731104e-01 4.000650e-02 1.059799e-01 1.009286e-02 -3.575356e-01 4.299774e-02 7.244248e-02 3.441720e-03 -3.043899e-02 1.089912e-02 4.947249e-01 4.519964e-02
5.494535e-03 4.141026e-01 4.498217e-02 1.184528e-01 8.171047e-03 -3.829722e-01 5.652424e-02 7.558937e-02 3.553824e-03 -4.031965e-02 8.456250e-03 5.275922e-01 7.144981e-02
8.403406e-03 4.633606e-01 2.425255e-02 1.154055e-01 5.456988e-03 -4.544280e-01 2.991423e-02 7.510527e-02 3.247660e-03 -4.843271e-02 4.069616e-03 6.436884e-01 3.921836e-02
1.195869e-02 4.990868e-01 4.159443e-02 1.254077e-01 9.092439e-03 -4.595859e-01 4.841053e-02 8.516356e-02 4.087825e-03 -4.529219e-02 8.626872e-03 6.509969e-01 6.336272e-02
1.616040e-02 4.993930e-01 2.898894e-02 1.331705e-01 1.274966e-02 -4.186519e-01 4.154544e-02 9.424330e-02 5.688957e-03 -4.775319e-02 1.546694e-02 6.237126e-01 5.780465e-02
1.292832e-03 3.603855e-01 2.350649e-02 1.070187e-01 8.972183e-03 -3.473348e-01 2.971564e-02 7.303292e-02 6.165021e-03 -2.947994e-02 4.514592e-03 4.802215e-01 4.213504e-02
1.616040e-03 3.819064e-01 4.790987e-02 1.095256e-01 1.455625e-02 -3.701532e-01 4.793480e-02 7.574534e-02 4.234740e-03 -2.697102e-02 1.433060e-02 5.159672e-01 5.368027e-02
2.585663e-03 3.403325e-01 5.061863e-02 1.028386e-01 1.066069e-02 -3.169529e-01 6.303385e-02 7.432819e-02 4.007533e-03 -1.982416e-02 1.153900e-02 4.552800e-01 8.201683e-02
4.201703e-03 3.661772e-01 4.867494e-02 1.212219e-01 1.624955e-02 -3.120891e-01 4.773191e-02 7.987848e-02 7.122089e-03 -3.696595e-02 1.290214e-02 4.233672e-01 5.389787e-02
6.464158e-03 4.508054e-01 3.790483e-02 1.303853e-01 1.124521e-02 -4.048951e-01 4.205318e-02 7.833493e-02 3.947346e-03 -5.401766e-02 8.765086e-03 5.387605e-01 5.058812e-02
9.373030e-03 4.581972e-01 4.392483e-02 1.297194e-01 1.366774e-02 -4.139684e-01 4.862961e-02 8.393537e-02 3.452324e-03 -4.547383e-02 1.674619e-02 5.895197e-01 4.951469e-02
1.292832e-02 4.572431e-01 2.793674e-02 1.181819e-01 1.131051e-02 -4.113624e-01 2.733577e-02 8.204262e-02 5.052814e-03 -4.150811e-02 7.962079e-03 6.088497e-01 4.106252e-02
1.713002e-02 4.723680e-01 1.897950e-02 1.200668e-01 7.782790e-03 -3.969786e-01 2.122465e-02 8.724783e-02 4.873928e-03 -4.255873e-02 4.110289e-03 5.883042e-01 2.347873e-02
2.908871e-03 5.284416e-01 4.929347e-02 1.400366e-01 1.424010e-02 -5.304817e-01 4.753034e-02 7.953334e-02 3.629349e-03 -6.534535e-02 1.632756e-02 6.992416e-01 3.944706e-02
3.232079e-03 3.986929e-01 1.139223e-02 1.201774e-01 9.490404e-03 -3.664776e-01 1.735571e-02 7.135816e-02 5.247069e-03 -5.083816e-02 6.223115e-03 4.714613e-01 3.186700e-02
4.201703e-03 3.913682e-01 6.344134e-02 1.035856e-01 1.687795e-02 -3.819465e-01 7.101150e-02 7.164373e-02 5.506018e-03 -2.748532e-02 1.395758e-02 5.402724e-01 8.882685e-02
5.817742e-03 4.803569e-01 6.936583e-02 1.248310e-01 1.263988e-02 -4.771306e-01 8.397886e-02 7.891698e-02 3.201104e-03 -5.234748e-02 1.429262e-02 6.548454e-01 1.070933e-01
8.080198e-03 4.252166e-01 5.134902e-02 1.119519e-01 1.011494e-02 -3.881096e-01 5.834034e-02 7.799232e-02 4.883471e-03 -2.985165e-02 1.178614e-02 5.585292e-01 5.716970e-02
1.098907e-02 4.470575e-01 3.746100e-02 1.171486e-01 1.070542e-02 -3.926778e-01 2.668028e-02 7.554294e-02 3.849639e-03 -4.356363e-02 5.208459e-03 5.514910e-01 3.146595e-02
1.454436e-02 4.557754e-01 2.360994e-02 1.215696e-01 3.938749e-03 -4.034075e-01 3.051587e-02 9.107086e-02 3.790183e-03 -4.254700e-02 6.202710e-03 6.037172e-01 4.218475e-02
1.874606e-02 5.425888e-01 4.573891e-02 1.479816e-01 1.240869e-02 -4.629670e-01 3.618890e-02 1.043228e-01 7.078556e-03 -6.203877e-02 7.886755e-03 7.037412e-01 3.524821e-02
5.171327e-03 4.418252e-01 4.862244e-02 1.177321e-01 1.494967e-02 -4.383467e-01 4.682896e-02 8.067769e-02 6.044157e-03 -3.706604e-02 1.403679e-02 6.242712e-01 5.416990e-02
5.494535e-03 4.159325e-01 2.764895e-02 1.198791e-01 8.727185e-03 -3.931172e-01 2.962919e-02 7.475857e-02 3.489108e-03 -4.665048e-02 7.602836e-03 5.410063e-01 3.694203e-02
6.464158e-03 4.123054e-01 3.629522e-02 1.211688e-01 1.039721e-02 -3.632364e-01 4.855414e-02 7.914794e-02 4.344520e-03 -3.790335e-02 1.244490e-02 4.987267e-01 5.644138e-02
8.080198e-03 5.707235e-01 3.186811e-02 1.456600e-01 6.850134e-03 -5.464118e-01 4.365816e-02 8.416087e-02 4.251035e-03 -6.581608e-02 5.371164e-03 7.307150e-01 5.735852e-02
1.034265e-02 4.344482e-01 1.124934e-02 1.192908e-01 4.472651e-03 -3.797096e-01 1.920766e-02 7.822100e-02 1.886076e-03 -4.356205e-02 4.042197e-03 5.285526e-01 3.195608e-02
1.325152e-02 4.622189e-01 2.999657e-02 1.227208e-01 1.051260e-02 -4.007385e-01 2.302930e-02 8.667716e-02 5.135536e-03 -3.973692e-02 7.671107e-03 5.906920e-01 2.429731e-02
1.680681e-02 5.149474e-01 3.223740e-02 1.481389e-01 7.681200e-03 -4.220483e-01 3.132282e-02 1.028142e-01 2.777004e-03 -6.053570e-02 7.552852e-03 6.258556e-01 2.713137e-02
2.100851e-02 5.430967e-01 1.539368e-02 1.438348e-01 7.588640e-03 -4.503193e-01 2.340894e-02 1.019696e-01 3.957241e-03 -6.903986e-02 6.836148e-03 7.038609e-01 3.197568e-02
8.080198e-03 5.125252e-01 3.209090e-02 1.393072e-01 4.214037e-03 -4.724441e-01 4.301608e-02 8.707062e-02 3.422018e-03 -5.279366e-02 8.967807e-03 6.443552e-01 5.148496e-02
8.403406e-03 5.121772e-01 5.534119e-02 1.318043e-01 1.359345e-02 -4.995212e-01 5.192484e-02 8.236652e-02 4.777954e-03 -5.805209e-02 1.094963e-02 6.888104e-01 5.400862e-02
9.373030e-03 4.813555e-01 4.655248e-02 1.369158e-01 8.070618e-03 -4.254739e-01 5.606553e-02 8.883236e-02 1.838528e-03 -4.765524e-02 1.169667e-02 5.945150e-01 6.591296e-02
