# k^2  LiLi LiLi_error  LiCl LiCl_error  LiNa LiNa_error  ClCl ClCl_error  ClNa ClNa_error  NaNa NaNa_error
0.000000e+00 2.240000e+03 0.000000e+00 2.677312e+03 0.000000e+00 1.466424e+03 0.000000e+00 3.200000e+03 0.000000e+00 1.752712e+03 1.136868e-13 9.600000e+02 0.000000e+00
3.230816e-04 3.274974e-01 1.067845e-01 1.109139e-01 2.322305e-02 -2.984336e-01 1.283353e-01 7.695131e-02 5.341098e-03 -3.212399e-02 3.239050e-02 3.959907e-01 1.468926e-01
1.292326e-03 3.910062e-01 6.110938e-02 1.056496e-01 1.957187e-02 -4.002821e-01 8.184874e-02 6.915338e-02 5.852317e-03 -3.857653e-02 2.223604e-02 5.428507e-01 1.191486e-01
2.907734e-03 2.648700e-01 8.069092e-03 9.689449e-02 8.712120e-03 -2.065168e-01 2.115556e-02 7.735325e-02 6.777016e-03 -3.781018e-03 8.030030e-03 3.123092e-01 3.908154e-02
5.169305e-03 6.100035e-01 1.136837e-01 1.442447e-01 2.033440e-02 -6.594141e-01 1.521761e-01 7.764365e-02 4.235095e-03 -8.611519e-02 2.637401e-02 8.794699e-01 2.027696e-01
8.077040e-03 5.612392e-01 5.824480e-02 1.752338e-01 1.730653e-02 -4.816425e-01 6.930900e-02 9.878141e-02 9.256574e-03 -8.545245e-02 1.616744e-02 6.019558e-01 8.265396e-02
1.163094e-02 5.064048e-01 4.303435e-02 1.193060e-01 1.586441e-02 -4.718301e-01 3.856086e-02 8.339412e-02 2.729003e-03 -4.499720e-02 2.430156e-02 6.444142e-01 7.876274e-02
1.583100e-02 5.377098e-01 9.054786e-02 1.607213e-01 2.449994e-02 -4.311505e-01 9.096539e-02 1.022057e-01 8.924455e-03 -7.080362e-02 2.810671e-02 6.150006e-01 9.522767e-02
3.230816e-04 4.540291e-01 7.885308e-02 1.458975e-01 2.116339e-02 -4.213262e-01 8.529163e-02 8.120670e-02 6.565593e-03 -7.253486e-02 2.344315e-02 5.095355e-01 9.714978e-02
6.461632e-04 6.040297e-01 1.131949e-01 1.162585e-01 1.380589e-02 -7.042421e-01 1.710382e-01 5.987290e-02 4.259530e-03 -6.562184e-02 2.301013e-02 9.576633e-01 2.508873e-01
1.615408e-03 3.149206e-01 8.045737e-02 9.112071e-02 1.007871e-02 -3.092295e-01 1.128426e-01 6.682802e-02 3.823069e-03 -1.751945e-02 1.278354e-02 4.448748e-01 1.527436e-01
3.230816e-03 4.485183e-01 7.697544e-02 1.356865e-01 2.201800e-02 -4.220913e-01 8.121422e-02 7.828039e-02 6.855363e-03 -6.513143e-02 2.537239e-02 5.324788e-01 8.356269e-02
5.492387e-03 5.327944e-01 1.448438e-01 1.420800e-01 3.078361e-02 -5.249491e-01 1.704739e-01 8.482673e-02 1.443702e-02 -6.450899e-02 2.220769e-02 6.960330e-01 2.317765e-01
8.400121e-03 4.717998e-01 9.604954e-02 1.202201e-01 2.569996e-02 -4.963917e-01 1.023554e-01 8.299547e-02 7.996439e-03 -4.545273e-02 2.664015e-02 7.506505e-01 1.154557e-01
1.195402e-02 6.264091e-01 2.394436e-02 1.402343e-01 1.565335e-02 -6.214719e-01 4.189051e-02 9.882556e-02 8.696046e-03 -4.472503e-02 2.530518e-02 8.882706e-01 9.857209e-02
1.615408e-02 4.878164e-01 5.213265e-02 1.231829e-01 1.342924e-02 -3.635703e-01 4.101040e-02 8.424374e-02 7.341374e-03 -2.328327e-02 1.323632e-02 5.541820e-01 3.607925e-02
1.292326e-03 4.109513e-01 6.101060e-02 1.232591e-01 2.168181e-02 -3.993687e-01 5.490558e-02 8.354798e-02 8.171378e-03 -3.793824e-02 1.857459e-02 5.459721e-01 5.441290e-02
1.615408e-03 3.690502e-01 7.276018e-02 1.000117e-01 1.377231e-02 -3.598101e-01 8.350171e-02 7.230193e-02 4.969378e-03 -1.438133e-02 1.918938e-02 5.179252e-01 8.936502e-02
2.584653e-03 2.436093e-01 3.884112e-02 9.967468e-02 1.366347e-02 -1.721829e-01 4.508815e-02 8.160957e-02 8.680394e-03 -4.284253e-04 1.172281e-02 2.649332e-01 4.955710e-02
4.200061e-03 3.144618e-01 4.371265e-02 1.194918e-01 1.703041e-02 -2.397280e-01 3.867091e-02 8.267018e-02 8.130542e-03 -3.183197e-02 1.125643e-02 3.227008e-01 5.055287e-02
6.461632e-03 5.108675e-01 1.160690e-01 1.330600e-01 3.040724e-02 -4.970346e-01 1.235740e-01 7.729291e-02 9.042034e-03 -6.425290e-02 2.703644e-02 6.612339e-01 1.488781e-01
9.369366e-03 3.700085e-01 2.959534e-02 1.111505e-01 7.383538e-03 -3.177549e-01 5.372322e-02 8.070040e-02 5.699880e-03 -2.233282e-02 1.334480e-02 5.025123e-01 7.327479e-02
1.292326e-02 4.480429e-01 5.228490e-02 1.332260e-01 1.732255e-02 -3.893785e-01 6.183215e-02 8.948419e-02 7.326135e-03 -6.092718e-02 2.324468e-02 5.263869e-01 7.305665e-02
1.712332e-02 4.638929e-01 5.159099e-02 1.123599e-01 1.226309e-02 -3.997787e-01 5.874856e-02 8.084067e-02 5.892433e-03 -3.355135e-02 5.286913e-03 6.166872e-01 7.702793e-02
2.907734e-03 5.608138e-01 2.007700e-01 1.603643e-01 5.200768e-02 -5.367866e-01 2.138287e-01 8.664303e-02 1.321829e-02 -8.181584e-02 5.629961e-02 6.712606e-01 2.253434e-01
3.230816e-03 4.112482e-01 3.878609e-02 1.059292e-01 6.255450e-03 -4.080847e-01 5.841142e-02 5.797689e-02 3.316023e-03 -5.033151e-02 1.214622e-02 5.382238e-01 7.884060e-02
4.200061e-03 5.283813e-01 1.098777e-01 1.145332e-01 2.058775e-02 -5.401921e-01 1.233001e-01 6.870855e-02 8.044079e-03 -4.201839e-02 1.652732e-02 7.257632e-01 1.466769e-01
5.815469e-03 2.754762e-01 3.165034e-02 8.184740e-02 6.968927e-03 -2.411784e-01 3.839286e-02 7.015453e-02 4.479668e-03 1.001492e-03 1.028104e-02 3.884089e-01 7.222059e-02
8.077040e-03 4.732435e-01 4.956154e-02 1.283568e-01 8.502236e-03 -4.394709e-01 6.748326e-02 7.562083e-02 7.910355e-03 -5.852536e-02 1.437360e-02 5.810991e-01 8.002350e-02
1.098477e-02 4.004887e-01 6.129141e-02 1.042958e-01 1.279833e-02 -3.590186e-01 5.536871e-02 7.298136e-02 8.807446e-03 -3.738955e-02 8.731724e-03 5.075573e-01 6.362150e-02
1.453867e-02 5.004802e-01 3.251982e-02 1.300719e-01 1.385710e-02 -4.169495e-01 4.648845e-02 8.326875e-02 7.302066e-03 -6.320314e-02 1.241708e-02 5.647336e-01 7.629075e-02
1.873873e-02 6.102718e-01 8.297154e-02 1.783773e-01 2.323913e-02 -4.998589e-01 7.088989e-02 1.239184e-01 1.484745e-02 -8.677858e-02 8.576316e-03 6.639513e-01 8.205049e-02
5.169305e-03 6.335983e-01 1.419262e-01 1.654157e-01 3.600270e-02 -6.352393e-01 1.661997e-01 9.115726e-02 1.518600e-02 -8.290079e-02 3.754078e-02 8.390275e-01 1.967727e-01
5.492387e-03 4.638536e-01 1.201350e-01 1.311063e-01 2.190300e-02 -4.339404e-01 1.539048e-01 7.674599e-02 8.343355e-03 -5.563538e-02 2.892791e-02 5.748252e-01 1.895258e-01
6.461632e-03 3.868499e-01 1.188420e-01 1.124136e-01 2.974506e-02 -3.309216e-01 1.257199e-01 7.493296e-02 1.033748e-02 -3.007750e-02 3.123301e-02 4.563892e-01 1.336141e-01
8.077040e-03 7.093231e-01 4.445495e-02 1.582066e-01 1.163024e-02 -7.249038e-01 6.863193e-02 8.140262e-02 6.893058e-03 -9.403674e-02 8.097536e-03 9.451363e-01 1.051807e-01
1.033861e-02 3.945205e-01 5.840215e-02 1.026255e-01 1.982709e-02 -3.482619e-01 6.501205e-02 7.221561e-02 6.504068e-03 -2.987193e-02 1.761817e-02 5.161089e-01 8.256519e-02
1.324635e-02 4.374153e-01 5.431682e-02 1.259800e-01 2.221704e-02 -3.269070e-01 4.191484e-02 8.628048e-02 7.138937e-03 -3.439507e-02 1.516535e-02 4.801475e-01 3.308451e-02
1.680024e-02 4.913095e-01 6.948183e-02 1.311432e-01 1.955550e-02 -4.180650e-01 8.796770e-02 9.569109e-02 9.199888e-03 -5.509562e-02 3.190514e-02 6.650850e-01 8.631703e-02
2.100030e-02 5.831455e-01 5.227899e-02 1.523604e-01 1.470582e-02 -5.475298e-01 6.826045e-02 1.015442e-01 5.377881e-03 -9.203737e-02 1.371403e-02 8.283585e-01 9.297432e-02
8.077040e-03 5.386621e-01 1.202995e-01 1.453002e-01 2.677102e-02 -4.995613e-01 1.382884e-01 8.758796e-02 6.210705e-03 -5.705432e-02 3.106351e-02 6.869139e-01 1.620660e-01
8.400121e-03 5.851441e-01 1.689129e-01 1.530667e-01 3.247397e-02 -5.740876e-01 1.992098e-01 9.222844e-02 1.282062e-02 -7.125286e-02 2.979957e-02 7.772440e-01 2.556248e-01
9.369366e-03 4.337603e-01 8.628426e-02 1.243792e-01 2.912359e-02 -3.857435e-01 8.187766e-02 8.917399e-02 9.909140e-03 -2.735479e-02 3.735890e-02 5.820606e-01 7.954799e-02
1.098477e-02 4.747657e-01 5.179401e-02 1.312140e-01 1.246605e-02 -4.379483e-01 5.459936e-02 7.841248e-02 6.377536e-03 -6.391835e-02 1.334268e-02 5.993244e-01 6.491261e-02
1.324635e-02 4.607685e-01 3.999952e-02 1.217026e-01 1.197126e-02 -3.974561e-01 6.611396e-02 8.777212e-02 4.547192e-03 -2.492468e-02 1.494516e-02 6.290542e-01 8.800571e-02
1.615408e-02 5.736962e-01 6.996355e-02 1.495418e-01 1.462646e-02 -5.268836e-01 1.020493e-01 9.465358e-02 6.443463e-03 -8.877660e-02 3.508542e-02 7.148334e-01 1.169511e-01
1.970798e-02 4.789789e-01 4.051784e-02 1.303586e-01 8.608470e-03 -3.855889e-01 4.989301e-02 9.972584e-02 5.320748e-03 -4.990561e-02 1.075963e-02 6.069628e-01 7.313775e-02
2.390804e-02 4.578343e-01 7.867231e-02 1.143108e-01 2.711752e-02 -3.563764e-01 7.058562e-02 1.185260e-01 1.473959e-02 -3.666673e-02 1.990462e-02 6.204653e-01 1.034650e-01
1.163094e-02 5.537376e-01 5.164481e-02 1.592252e-01 2.584573e-02 -4.729496e-01 3.782641e-02 9.898901e-02 1.758685e-02 -7.270924e-02 1.621274e-02 6.326477e-01 5.347979e-02
1.195402e-02 4.585737e-01 6.446477e-02 1.367298e-01 7.321611e-03 -3.944507e-01 7.606181e-02 9.125961e-02 7.398953e-03 -4.839266e-02 1.621520e-02 5.708557e-01 6.708474e-02
1.292326e-02 5.221169e-01 6.756623e-02 1.604565e-01 1.287289e-02 -4.360701e-01 7.407215e-02 1.072653e-01 7.049847e-03 -6.825294e-02 1.790449e-02 5.602748e-01 7.967254e-02
1.453867e-02 4.303366e-01 4.418911e-02 1.258274e-01 1.494151e-02 -3.641619e-01 3.843329e-02 9.471290e-02 9.470829e-03 -4.208410e-02 1.632102e-02 5.556843e-01 4.652661e-02
1.680024e-02 5.565376e-01 5.466934e-02 1.570190e-01 2.533426e-02 -4.675597e-01 4.740243e-02 1.059629e-01 1.443447e-02 -7.133167e-02 1.226238e-02 6.524303e-01 5.901097e-02
1.970798e-02 5.069549e-01 6.813735e-02 1.398665e-01 2.379690e-02 -3.946185e-01 2.925293e-02 1.211402e-01 6.041559e-03 -4.617726e-02 1.993503e-02 6.173012e-01 3.984989e-02
2.326187e-02 4.781019e-01 4.268050e-02 1.220109e-01 7.060806e-03 -3.686766e-01 6.876619e-02 1.128457e-01 8.827762e-03 -2.226377e-02 1.586238e-02 6.474928e-01 9.217779e-02
2.746193e-02 4.831853e-01 4.611658e-02 1.250744e-01 2.466881e-02 -3.297027e-01 4.000323e-02 1.352143e-01 1.705646e-02 -2.063345e-02 2.020155e-02 6.126235e-01 3.626872e-02
1.583100e-02 5.570334e-01 1.108371e-01 1.386393e-01 3.163992e-02 -4.989809e-01 1.071635e-01 9.649835e-02 1.369255e-02 -5.666251e-02 2.628230e-02 6.729353e-01 1.170719e-01
1.615408e-02 5.128908e-01 6.846731e-02 1.276203e-01 2.257219e-02 -4.911582e-01 8.752962e-02 8.472656e-02 1.229733e-02 -5.849520e-02 2.121732e-02 7.654955e-01 1.322533e-01
1.712332e-02 6.360368e-01 7.950005e-02 1.722032e-01 1.493279e-02 -5.121398e-01 1.015313e-01 1.046770e-01 9.265813e-03 -6.948933e-02 2.783714e-02 7.430697e-01 1.107881e-01
1.873873e-02 4.872522e-01 6.925937e-02 1.122276e-01 1.772726e-02 -4.428138e-01 6.781366e-02 9.450786e-02 3.599951e-03 -2.027499e-02 2.573613e-02 7.710096e-01 9.034851e-02
2.100030e-02 6.786689e-01 8.300916e-02 1.647725e-01 2.442298e-02 -5.892642e-01 6.777248e-02 1.181387e-01 1.034401e-02 -7.573016e-02 2.328199e-02 8.517840e-01 9.335112e-02
2.390804e-02 5.361494e-01 5.305631e-02 1.626505e-01 1.506266e-02 -4.048845e-01 6.750804e-02 1.230040e-01 9.787735e-03 -8.011861e-02 1.790276e-02 6.418383e-01 7.959474e-02
2.746193e-02 5.141071e-01 5.831565e-02 1.304333e-01 2.324093e-02 -3.989743e-01 3.381938e-02 1.154072e-01 1.670054e-02 -5.722448e-02 1.163376e-02 6.954718e-01 5.421119e-02
3.166200e-02 5.591034e-01 3.845485e-02 1.683340e-01 7.799811e-03 -3.673186e-01 1.605742e-02 1.497374e-01 1.435794e-02 -7.724310e-02 1.009239e-02 6.895281e-01 3.512424e-02
3.230816e-04 7.873915e-01 2.440793e-01 1.604996e-01 4.783761e-02 -9.076156e-01 2.923031e-01 7.509885e-02 1.183768e-02 -1.075979e-01 5.323625e-02 1.190712e+00 3.629459e-01
6.461632e-04 5.701002e-01 1.891679e-01 1.565164e-01 3.985210e-02 -5.818335e-01 2.198974e-01 8.519535e-02 1.087178e-02 -8.271256e-02 4.356297e-02 7.413326e-01 2.602681e-01
1.615408e-03 3.286632e-01 6.255605e-02 9.199395e-02 2.278979e-02 -3.275731e-01 5.786906e-02 7.246768e-02 5.921124e-03 -7.202532e-03 2.658203e-02 4.958179e-01 5.284874e-02
3.230816e-03 5.099614e-01 1.032292e-01 1.347899e-01 1.535513e-02 -5.164392e-01 1.391951e-01 8.078441e-02 3.685978e-03 -5.850245e-02 1.917789e-02 6.971855e-01 1.866976e-01
5.492387e-03 3.003365e-01 5.310031e-02 8.576015e-02 1.711254e-02 -2.791146e-01 6.829367e-02 6.674187e-02 5.484485e-03 -1.555847e-02 1.985544e-02 4.221302e-01 1.032820e-01
8.400121e-03 4.405760e-01 1.030143e-01 1.253433e-01 2.355261e-02 -3.759240e-01 1.103725e-01 8.548754e-02 5.524864e-03 -3.409008e-02 2.857025e-02 5.182339e-01 1.090713e-01
1.195402e-02 4.017576e-01 4.328440e-02 1.089109e-01 1.043408e-02 -3.333009e-01 4.744122e-02 8.223007e-02 5.809795e-03 -2.714153e-02 2.015810e-02 4.962877e-01 6.358536e-02
1.615408e-02 5.425405e-01 5.503650e-02 1.529305e-01 1.645255e-02 -4.725174e-01 6.298892e-02 1.093666e-01 3.123832e-03 -5.836900e-02 2.161233e-02 6.720077e-01 6.771172e-02
6.461632e-04 2.299585e-01 4.877177e-02 6.468583e-02 6.102703e-03 -2.295370e-01 7.159353e-02 6.523256e-02 5.813551e-03 2.039722e-02 3.041085e-03 3.898330e-01 1.087503e-01
9.692448e-04 1.208467e-01 1.570424e-02 6.080106e-02 1.082596e-02 -6.977234e-02 1.318448e-02 6.337143e-02 8.799315e-03 2.294574e-02 8.826188e-03 1.536569e-01 2.819345e-02
1.938490e-03 5.408716e-01 2.113881e-01 1.208493e-01 2.436999e-02 -5.903788e-01 2.853429e-01 7.735201e-02 7.330079e-03 -4.413125e-02 2.792491e-02 8.158978e-01 3.862183e-01
3.553897e-03 3.524607e-01 4.497868e-02 1.061469e-01 1.396426e-02 -3.091727e-01 5.440704e-02 7.417266e-02 5.040306e-03 -1.861157e-02 1.957706e-02 4.370053e-01 7.931982e-02
5.815469e-03 3.192654e-01 4.729794e-02 1.011145e-01 1.682252e-02 -2.740657e-01 5.789145e-02 7.830370e-02 9.118749e-03 -8.996633e-03 1.133901e-02 4.287993e-01 7.396333e-02
8.723203e-03 5.041939e-01 7.569403e-02 1.453710e-01 1.665025e-02 -4.622553e-01 1.158978e-01 9.093085e-02 8.474527e-03 -6.395820e-02 1.630334e-02 6.372735e-01 1.801751e-01
1.227710e-02 5.180295e-01 4.193801e-02 1.577518e-01 3.281187e-03 -4.093407e-01 6.699802e-02 9.716853e-02 4.960057e-03 -5.045956e-02 1.554978e-02 5.735885e-01 7.113254e-02
1.647716e-02 4.987844e-01 5.269044e-02 1.277159e-01 1.984935e-02 -4.089147e-01 3.674077e-02 9.456758e-02 8.892865e-03 -4.196338e-02 1.486299e-02 5.869328e-01 4.040512e-02
1.615408e-03 6.754986e-01 1.808280e-01 1.515936e-01 3.677388e-02 -7.378980e-01 2.181014e-01 8.720660e-02 9.676289e-03 -6.811186e-02 4.567316e-02 9.989667e-01 2.761235e-01
1.938490e-03 3.323034e-01 5.868417e-02 8.555842e-02 1.858479e-02 -3.458050e-01 7.980944e-02 6.301273e-02 5.634528e-03 -1.435167e-02 2.408492e-02 5.155491e-01 1.073196e-01
2.907734e-03 4.996791e-01 1.282952e-01 1.423281e-01 2.111820e-02 -4.645257e-01 1.585252e-01 7.910603e-02 6.359361e-03 -6.320670e-02 3.154444e-02 5.822517e-01 1.817674e-01
4.523142e-03 3.381651e-01 5.659246e-02 1.031422e-01 1.933617e-02 -3.071819e-01 5.451111e-02 7.574220e-02 7.469304e-03 -2.265768e-02 1.686545e-02 4.403530e-01 6.200783e-02
6.784713e-03 3.790589e-01 6.910331e-02 9.925275e-02 1.400935e-02 -3.486484e-01 8.251217e-02 6.773132e-02 4.833721e-03 -2.013477e-02 1.522341e-02 5.071287e-01 1.100295e-01
9.692448e-03 4.418482e-01 6.257351e-02 1.246057e-01 2.036521e-02 -3.644664e-01 6.375267e-02 8.513830e-02 5.885714e-03 -4.019431e-02 1.753862e-02 4.980782e-01 7.208220e-02
1.324635e-02 4.218137e-01 5.705261e-02 1.318411e-01 2.070731e-02 -3.397221e-01 6.365307e-02 1.015194e-01 6.370735e-03 -3.481880e-02 2.870604e-02 5.158029e-01 6.574691e-02
