tag,x_MgCl2,split,k2cut_cycles2_per_A2,k_max_cycles_per_A,n_Mg,n_Cl,n_Na,box_L,n_fit_points,fit_converged,fit_status,fit_nfev,fit_cost,fit_rmse,n_starts,n_starts_converged,best_start_factor,n_basins,selection_rule,alt_S0_NN,alt_cost,kappa_calculated,kappa_used,S0_MgMg,S0_MgCl,S0_MgNa,S0_ClCl,S0_ClNa,S0_NaNa,S0_NN,S0_ZZ
cl3232,0.0202020202020202,0,0.015,0.1224744871391589,64,3232,3104,58.402717026746025,259,1,2,33,390.3883696321055,0.8788130730409761,4,4,0.75,1,lowest-cost,,,7.609616772821247,4.854686841363245,0.8414734831563224,0.0767036306251522,-0.1633879287757975,0.0593363662575067,0.038519438386179,0.0862279090096334,0.1064709262551051,7.467212700371059e-18
cl3232,0.0202020202020202,1,0.015,0.1224744871391589,64,3232,3104,58.4169553938313,259,1,2,43,470.5655702427247,0.9418577022256468,4,4,1.0,1,lowest-cost,,,7.606834825854179,5.114840479336906,0.8197986029625006,0.074816292823088,-0.1590891248178071,0.0589772796223485,0.0386950345260741,0.0851725445640877,0.1060653046525656,7.5084097956167205e-19
cl3232,0.0202020202020202,2,0.015,0.1224744871391589,64,3232,3104,58.38546360494601,259,1,2,48,447.7198754419111,0.9526456836607102,4,4,0.3,1,lowest-cost,,,7.612990085769758,4.875765059508235,0.826067729089111,0.0730518834788299,-0.1626899343282287,0.0591762666847878,0.0394047918011672,0.086930880401065,0.1070314891492967,1.462747909387463e-17
cl3232,0.0202020202020202,3,0.015,0.1224744871391589,64,3232,3104,58.41154378697968,259,1,2,275,460.6420578888499,0.940466632569727,4,4,0.5,1,lowest-cost,,,7.607891966709277,4.5572592868161435,0.7857895178941439,0.0705491880239429,-0.153676482329282,0.0591568446989471,0.0401037056555546,0.0850555467139873,0.1073008743383644,3.1671486561272793e-17
cl3232,0.0202020202020202,4,0.015,0.1224744871391589,64,3232,3104,58.39587555433205,259,1,2,40,462.4923141434564,0.9314340044709288,4,4,1.0,1,lowest-cost,,,7.610954089220712,5.029543861383969,0.7850168449133371,0.0749260392484359,-0.148988399653608,0.0585631644506063,0.038240949816443,0.0818084326483658,0.1048497786297259,-8.188920927928192e-18
cl3264,0.0408163265306122,0,0.015,0.1224744871391589,128,3264,3008,58.39218195969234,259,1,2,41,393.1005401195963,0.9023985627349528,4,4,0.3,1,lowest-cost,,,7.721730287848875,4.457319496524657,0.7058949908371615,0.0867739796893757,-0.2008389357617634,0.0625324457116548,0.0293388624952244,0.1134216534556376,0.1066291196127519,-1.7937675830032666e-17
cl3264,0.0408163265306122,1,0.015,0.1224744871391589,128,3264,3008,58.408524704242915,259,1,2,28,484.1488368537007,0.9509721084443664,4,4,1.0,1,lowest-cost,,,7.718489696552487,4.846026292435197,0.7311085072842161,0.0932006455436457,-0.204546680839114,0.062822990431791,0.0269900785149445,0.1125046606508241,0.1051298554294747,9.228853224694068e-18
cl3264,0.0408163265306122,2,0.015,0.1224744871391589,128,3264,3008,58.38680709037884,259,1,2,40,444.8222752571305,0.9617790490322818,4,4,0.75,1,lowest-cost,,,7.722796562450554,5.509878915342782,0.6456609056097985,0.0802637388257021,-0.1827698659892575,0.0627483787501963,0.0322497168702945,0.1089991160547248,0.108494949696933,-1.1655801899356284e-17
cl3264,0.0408163265306122,3,0.015,0.1224744871391589,128,3264,3008,58.38351322818848,259,1,2,50,440.7104829750651,0.9592352900938128,4,4,0.3,1,lowest-cost,,,7.723450125031239,3.727133935387468,0.6681977026256489,0.0779871466730339,-0.1944393290189604,0.0609504175423614,0.0313160589397909,0.1128409919968793,0.1061975429208073,1.487317272724017e-17
cl3264,0.0408163265306122,4,0.015,0.1224744871391589,128,3264,3008,58.3896635490812,259,1,2,40,487.88831878861754,0.9541894460657242,4,4,0.3,1,lowest-cost,,,7.722229863355826,5.061698021083189,0.7009825151705154,0.0835496116796435,-0.2021709768980035,0.0627153501533504,0.0308596638666809,0.1155554067267621,0.1082065759859734,4.996992915502292e-18
