tag,x_MgCl2,split,k2cut_cycles2_per_A2,k_max_cycles_per_A,n_Mg,n_Cl,n_Na,box_L,n_fit_points,fit_converged,fit_status,fit_nfev,fit_cost,fit_rmse,n_starts,n_starts_converged,best_start_factor,n_basins,selection_rule,alt_S0_NN,alt_cost,kappa_calculated,kappa_used,S0_MgMg,S0_MgCl,S0_MgNa,S0_ClCl,S0_ClNa,S0_NaNa,S0_NN,S0_ZZ
cl3232,0.0202020202020202,0,0.02,0.1414213562373095,64,3232,3104,58.402717026746025,367,1,2,46,493.8375464370616,0.8284491279038184,4,4,0.3,1,lowest-cost,,,7.609616772821247,5.048775677725056,0.8445391106362735,0.0781958710176892,-0.1627456282623313,0.0588790020860601,0.0376241928240103,0.0851299332887626,0.1051535324863428,7.742747905725784e-18
cl3232,0.0202020202020202,1,0.02,0.1414213562373095,64,3232,3104,58.4169553938313,367,1,2,42,595.1467563735075,0.8866496149603448,4,4,1.0,1,lowest-cost,,,7.606834825854179,4.5964359315786245,0.8390586643044436,0.0795223014388736,-0.1598182325791102,0.0585541476804906,0.0369117794361316,0.0835622803075738,0.1040654797559832,1.0612891644857192e-17
cl3232,0.0202020202020202,2,0.02,0.1414213562373095,64,3232,3104,58.38546360494601,367,1,2,41,576.1115760491393,0.89995608679383,4,4,0.75,1,lowest-cost,,,7.612990085769758,4.907371892311748,0.8187098882327108,0.0726747083346463,-0.16096175896882,0.0575163022582305,0.0378192654459233,0.0848166899897381,0.1037119959192609,8.542681634676257e-18
cl3232,0.0202020202020202,3,0.02,0.1414213562373095,64,3232,3104,58.41154378697968,367,1,2,40,607.107393255474,0.9006543257142966,4,4,1.0,1,lowest-cost,,,7.607891966709277,4.734546804254582,0.804695380278081,0.0742026123898625,-0.1553779378535688,0.0591872534870298,0.0390855327629653,0.0845052221906818,0.1065128603869884,2.689580786475899e-18
cl3232,0.0202020202020202,4,0.02,0.1414213562373095,64,3232,3104,58.39587555433205,367,1,2,36,600.9334779889612,0.8903197296310512,4,4,0.3,1,lowest-cost,,,7.610954089220712,5.034748301523355,0.7869545859684792,0.0730610439739444,-0.151447946779905,0.0578344843096134,0.0380329925483128,0.0823025716871593,0.1039273534182823,-8.150780534708457e-18
cl3264,0.0408163265306122,0,0.02,0.1414213562373095,128,3264,3008,58.39218195969234,367,1,2,40,498.74208609267447,0.8399444892923829,4,4,0.3,1,lowest-cost,,,7.721730287848875,4.7130040058488065,0.7136737940865386,0.0902491290762029,-0.2004282160449687,0.0627806399043117,0.0281636653485454,0.112028018907665,0.1058871202950072,-1.4981490210817258e-17
cl3264,0.0408163265306122,1,0.02,0.1414213562373095,128,3264,3008,58.408524704242915,367,1,2,44,640.2081752454918,0.9143963881679328,4,4,1.0,1,lowest-cost,,,7.718489696552487,4.676109381756173,0.7272406342751065,0.0940590755870614,-0.2020567050971909,0.0627749905473631,0.0265859165901952,0.1110563659267909,0.1046077894665508,-2.0298039964499164e-17
cl3264,0.0408163265306122,2,0.02,0.1414213562373095,128,3264,3008,58.38680709037884,367,1,2,49,601.8293118053107,0.9248054945598624,4,4,0.3,1,lowest-cost,,,7.722796562450554,4.793837448392835,0.6588835309200822,0.0848848989367338,-0.1834113142760389,0.0631338290572908,0.0307446893526658,0.1076959937290819,0.1076788636551185,-2.071602288707967e-18
cl3264,0.0408163265306122,3,0.02,0.1414213562373095,128,3264,3008,58.38351322818848,367,1,2,47,589.0284026611837,0.9144159628634336,4,4,1.0,1,lowest-cost,,,7.723450125031239,5.161496607027781,0.6661735329170447,0.0827684396729015,-0.1886236220460594,0.0617191855657304,0.0301442617207956,0.1092209716238433,0.1057937986037513,-7.852902994375752e-19
cl3264,0.0408163265306122,4,0.02,0.1414213562373095,128,3264,3008,58.3896635490812,367,1,2,39,646.5655676886465,0.9189258967401208,4,4,1.0,1,lowest-cost,,,7.722229863355826,4.944569363162595,0.7175814448084181,0.0891210790155337,-0.2032154617832184,0.0623665281315334,0.0281976894959903,0.11321339112037,0.105576195179315,-7.299371710501703e-18
cl3296,0.0618556701030927,0,0.02,0.1414213562373095,192,3296,2912,58.38460780332274,367,1,2,41,646.5815923985482,0.9118335742078958,4,4,1.0,1,lowest-cost,,,7.831761430405489,1.6836755238334522,0.6168604973845909,0.094325739635659,-0.2164378207455085,0.0680290648474345,0.0239344120292085,0.1366158549890641,0.1117476744446974,2.758708949163345e-17
cl3296,0.0618556701030927,1,0.02,0.1414213562373095,192,3296,2912,58.38158294569838,367,1,2,43,626.3357972614733,0.9083639733300664,4,4,1.0,1,lowest-cost,,,7.832370105323128,5.9314309158557315,0.588578638336292,0.0906864851952675,-0.2057853757629517,0.0651918453529861,0.0227848628616096,0.129922267054264,0.1068639551297875,1.4345185008396373e-17
cl3296,0.0618556701030927,2,0.02,0.1414213562373095,192,3296,2912,58.38928531792577,367,1,2,2379,650.4090992368035,0.9088612064026348,4,4,0.5,1,lowest-cost,,,7.83082035591076,4.391771871601937,0.5983990537548955,0.0905506187629108,-0.2109732228805976,0.0661713898828311,0.0238967679039553,0.1337694472785943,0.1092439810427939,-2.5547291910470725e-17
cl3296,0.0618556701030927,3,0.02,0.1414213562373095,192,3296,2912,58.387832182381025,367,1,2,10767,623.596026784901,0.9284262194134364,4,4,0.75,1,lowest-cost,,,7.831112693726158,5.324113915147985,0.6146530311134251,0.0986726822385656,-0.2106794892907882,0.0674926168838798,0.021131305205494,0.1306764434644243,0.1084151020616991,-1.1809478705308168e-17
cl3296,0.0618556701030927,4,0.02,0.1414213562373095,192,3296,2912,58.37966280308538,367,1,2,44,629.3132695229541,0.9159955669417656,4,4,0.3,1,lowest-cost,,,7.832756525624477,6.236836529205907,0.6332788493882909,0.0957542982649721,-0.2233496745546109,0.0651855740270732,0.0201756023096943,0.1361664843968115,0.1056723658274312,1.3496175464283789e-17
cl3360,0.1052631578947368,0,0.02,0.1414213562373095,320,3360,2720,58.379254921539875,367,1,2,46,459.6889156734345,0.7440935166062147,4,4,0.5,1,lowest-cost,,,8.045533541677974,6.796137339196932,0.4826483084307641,0.0979188402377652,-0.2222633017773606,0.0715979120423586,0.0124048599349314,0.1662585981209714,0.111029369403513,2.1191434745014665e-18
cl3360,0.1052631578947368,1,0.02,0.1414213562373095,320,3360,2720,58.3764895111863,367,1,2,2072,575.1757467406271,0.8951515240855058,4,4,0.3,1,lowest-cost,,,8.046105247824686,5.906618106941222,0.4598974714772621,0.0951226777054392,-0.2097641172864323,0.0706155870016064,0.0132312183658585,0.1586026743448903,0.1096410654025191,1.0585926153699766e-17
cl3360,0.1052631578947368,2,0.02,0.1414213562373095,320,3360,2720,58.394850038636086,367,1,2,1913,606.8083436688194,0.8729778008987371,4,4,0.5,1,lowest-cost,,,8.042310757646856,6.361667216002847,0.4495751882726314,0.0912706739288677,-0.2069643522621817,0.071093212925024,0.0164045226908609,0.1602089819528735,0.1126243494459894,9.909313776380132e-18
cl3360,0.1052631578947368,3,0.02,0.1414213562373095,320,3360,2720,58.38228936707715,367,1,2,61,617.0873224806172,0.8799442425144844,4,4,0.75,1,lowest-cost,,,8.044906294535462,10.32221867938532,0.4839618577290158,0.0988353834934515,-0.222145708286909,0.0715372222570883,0.0117086635235505,0.1654041506021139,0.1103736104014601,7.555292936159307e-18
