tag,x_MgCl2,k2cut_cycles2_per_A2,n_blocks,all_converged,S0_NN,S0_NN_err,S0_NN_blockmean,S0_MgMg,S0_MgMg_err,S0_MgMg_blockmean,S0_MgCl,S0_MgCl_err,S0_MgCl_blockmean,S0_MgNa,S0_MgNa_err,S0_MgNa_blockmean,S0_ClCl,S0_ClCl_err,S0_ClCl_blockmean,S0_ClNa,S0_ClNa_err,S0_ClNa_blockmean,S0_NaNa,S0_NaNa_err,S0_NaNa_blockmean
cl3232,0.0202020202020202,0.01,4,1,0.1080173567585812,0.0009977692779152,0.1079586830502464,0.8277249670782805,0.0776393931761455,0.7521958447856274,0.075721825816107,0.0073999813346627,0.0689678003412819,-0.1604414287684841,0.0149815359738076,-0.1456426058826102,0.0600318287828655,0.0002649740408877,0.0594262657903774,0.0395110533966359,0.0019039194458234,0.0408327737789313,0.0863935776595637,0.0026010204390939,0.0834923004564813
cl3264,0.0408163265306122,0.01,4,1,0.1083354636285139,0.0013205725961528,0.1089328587297362,0.7176117460130157,0.0196538725547438,0.7020661519959717,0.0853584019891957,0.0041298580249262,0.0822665734742058,-0.2071474850550349,0.0051030590705805,-0.2039545721953802,0.0629736925515081,0.0002167552407754,0.0628066677903977,0.0303825252098089,0.0016877370442951,0.0314841291703053,0.1171115293308241,0.0018387298917697,0.1169417577237997
cl3296,0.0618556701030927,0.01,4,1,0.1130799002643004,0.0034619370480429,0.1131935024502233,0.5960754529821525,0.1125588006486913,0.4193635424361866,0.0892603216132657,0.0134225759024236,0.0771076412144472,-0.2111526696773785,0.0453868426524692,-0.1333309607126561,0.0677559052589786,0.0013643018223261,0.0674514113863277,0.0262451580286995,0.006521200512113,0.0321622496618817,0.1363600382584006,0.0175748441508575,0.1026896498408872
cl3360,0.1052631578947368,0.01,4,1,0.1161936580928265,0.0012329412323294,0.1163394166949642,0.4726354308011652,0.08044103394752,0.3350864995255556,0.0917025773895292,0.0131465088168825,0.0715433427451368,-0.2223035142706886,0.0408122369432122,-0.1503514624856853,0.0723771186173762,0.0025291660529695,0.0695002271531149,0.017535220756905,0.0064292373681775,0.0281668555393896,0.171988260919138,0.020880859336347,0.1344459620179796
cl3424,0.1505376344086021,0.01,4,1,0.1189479930141701,0.0012811889248589,0.117424179255292,0.3241962025238783,0.0250498863530414,0.311717206515106,0.079153551921576,0.0060007083232657,0.0762083188802238,-0.1808344247202913,0.0143085993453035,-0.1737555372922821,0.0736100225056709,0.0016499059732842,0.0722408027285098,0.0190249043894779,0.0034185080815119,0.0199111120999489,0.1743926820824878,0.0081556434658009,0.1694640613777368
cl3488,0.1978021978021978,0.01,4,1,0.1233969568209938,0.0019886987662207,0.1252868740522406,0.1719367318601368,0.0360594160721518,0.154234237434235,0.058097260115957,0.0082219786890432,0.0568412022675595,-0.0997633393979858,0.0263440498775832,-0.0837173472160876,0.0731148609666831,0.0023924871243678,0.074202206570572,0.0316444102497615,0.005780063658949,0.0342205123100807,0.1377454157334354,0.0194619757947523,0.1249575627852026
cl3552,0.247191011235955,0.01,4,1,0.131247487513311,0.0009806224217084,0.1306638087456623,0.2166485708096062,0.0108784315235202,0.2005822516834262,0.0763608942363801,0.0046614634727706,0.0727219329214472,-0.1500035287451165,0.0069271861600045,-0.1362745424006821,0.0823811056542346,0.001898151644947,0.0812942203766443,0.0185221242937901,0.0029918388678357,0.0212935914107713,0.1957521640781502,0.0048027642583181,0.1835852981315822
cl3616,0.2988505747126437,0.01,4,1,0.1345180326767863,0.002670325988007,0.1338669528176865,0.1585974608589737,0.0043590107685613,0.1452010914081503,0.0654059104242862,0.0022662764640179,0.0604813818468829,-0.1180639248284318,0.0038699087173907,-0.1072744820907339,0.0817719972725538,0.0020160575397578,0.0798923212155466,0.0258936955516519,0.0013648489748262,0.029765441694344,0.1894016624092042,0.0032627739714353,0.1805832590377498
cl3680,0.3529411764705882,0.01,4,1,0.1377654751825254,0.0024908862556863,0.1361475330672232,0.1484418348252554,0.0073896426699628,0.1358342720295972,0.0707573808985095,0.0034835403217465,0.0649194871664609,-0.116948117530978,0.0069440685396149,-0.1067670934949752,0.0863566530138648,0.0022174104139018,0.0834937051773246,0.02035593579768,0.0029194931436155,0.0248392605896139,0.202178452381722,0.0065082622694447,0.193622960180571
cl3744,0.4096385542168674,0.01,4,1,0.1471013659301446,0.0055117776702826,0.1459525261974904,0.1376087447652016,0.0026472921632657,0.1290334545249162,0.0743661837289141,0.0022820987715247,0.0708420701322874,-0.114340953755192,0.0049930244636104,-0.1055002261935794,0.0929553196866319,0.0034852478446316,0.0911876038230479,0.0197448906455493,0.0025307261532185,0.0228844768095485,0.2210009784096263,0.0044510687983804,0.2111238501867288
