# k^2  MgMg MgMg_error  MgCl MgCl_error  MgNa MgNa_error  ClCl ClCl_error  ClNa ClNa_error  NaNa NaNa_error
0.000000e+00 2.048000e+03 0.000000e+00 2.941216e+03 0.000000e+00 5.120000e+02 0.000000e+00 4.224000e+03 0.000000e+00 7.353040e+02 0.000000e+00 1.280000e+02 0.000000e+00
2.806832e-04 8.806004e-02 2.634463e-02 1.045868e-01 3.106900e-02 -9.099512e-02 4.297460e-02 1.468794e-01 3.990037e-02 2.002959e-02 2.371481e-02 8.479018e-01 2.341518e-01
1.122733e-03 1.864098e-01 3.460824e-02 2.060127e-01 3.862337e-02 -2.373802e-01 6.227981e-02 2.474501e-01 4.079075e-02 -1.592264e-01 6.855008e-02 9.409260e-01 2.032683e-01
2.526149e-03 1.024927e-01 7.923094e-03 1.168620e-01 1.478431e-02 -4.514872e-02 4.293294e-02 1.600779e-01 1.558812e-02 7.068683e-02 2.594246e-02 8.004833e-01 3.244386e-01
4.490931e-03 1.648094e-01 2.786933e-02 1.582926e-01 2.697302e-02 -1.491545e-01 3.455229e-02 1.774438e-01 2.510892e-02 -4.731592e-02 5.223659e-02 8.806877e-01 1.741201e-01
7.017080e-03 2.563138e-01 4.196334e-02 2.341242e-01 3.481653e-02 -1.339533e-01 4.761419e-02 2.466432e-01 2.794819e-02 -3.183089e-02 3.363880e-02 7.887462e-01 2.065387e-01
1.010460e-02 2.779565e-01 6.315703e-02 2.366446e-01 4.781102e-02 -1.158915e-01 6.553587e-02 2.426075e-01 3.827159e-02 5.397882e-03 6.480020e-02 1.128684e+00 2.221919e-01
1.375348e-02 4.499384e-01 8.476722e-02 2.924046e-01 5.185700e-02 -1.766228e-01 8.578354e-02 2.392353e-01 3.426664e-02 -2.008143e-02 4.543994e-02 9.937774e-01 1.359150e-01
2.806832e-04 7.943937e-02 1.733469e-02 9.082840e-02 1.034374e-02 -1.069988e-01 9.234804e-02 1.374144e-01 1.472631e-02 6.996803e-02 9.158155e-02 1.279114e+00 3.170907e-01
5.613664e-04 6.612728e-02 6.498794e-03 8.334325e-02 6.918932e-03 -3.905171e-02 2.672129e-02 1.256034e-01 1.424355e-02 6.297500e-02 4.711436e-02 6.968157e-01 1.328965e-01
