# k^2  MgMg MgMg_error  MgCl MgCl_error  MgNa MgNa_error  ClCl ClCl_error  ClNa ClNa_error  NaNa NaNa_error
0.000000e+00 2.048000e+03 0.000000e+00 2.941216e+03 0.000000e+00 5.120000e+02 0.000000e+00 4.224000e+03 0.000000e+00 7.353040e+02 0.000000e+00 1.280000e+02 0.000000e+00
2.806821e-04 9.373857e-02 8.836104e-03 1.099216e-01 8.249095e-03 -1.063449e-01 3.453631e-02 1.749502e-01 1.597652e-02 1.396592e-01 4.942247e-02 1.667034e+00 2.649317e-01
1.122728e-03 1.459860e-01 1.548143e-02 1.696292e-01 1.889022e-02 -1.190399e-01 3.035096e-02 2.195947e-01 2.324599e-02 -1.991433e-02 3.750849e-02 8.225233e-01 2.251238e-01
2.526139e-03 1.343696e-01 1.454755e-02 1.414964e-01 1.392862e-02 -1.375603e-01 3.016599e-02 1.709362e-01 1.246722e-02 -4.540197e-02 4.016476e-02 8.186399e-01 3.759983e-02
4.490914e-03 1.536595e-01 1.301404e-02 1.513924e-01 1.495017e-02 -1.191004e-01 2.473328e-02 1.756582e-01 1.598269e-02 -1.501960e-02 1.923047e-02 8.894751e-01 1.543542e-01
7.017052e-03 2.140355e-01 2.201919e-02 1.865068e-01 2.208013e-02 -1.665580e-01 2.321911e-02 1.934556e-01 2.263680e-02 -5.333959e-02 2.627528e-02 9.291744e-01 7.380138e-02
1.010456e-02 2.424682e-01 2.199622e-02 1.820306e-01 2.379256e-02 -1.836261e-01 2.399541e-02 1.757778e-01 2.564266e-02 -4.189800e-02 1.475322e-02 1.123303e+00 1.678020e-01
1.375342e-02 4.027693e-01 3.755803e-02 2.643465e-01 2.823685e-02 -1.750865e-01 3.181854e-02 2.185332e-01 2.110843e-02 -3.415562e-02 1.888937e-02 1.036797e+00 9.439789e-02
2.806821e-04 9.015170e-02 6.420982e-03 1.047066e-01 9.074887e-03 -1.117058e-01 2.292353e-02 1.616657e-01 1.402228e-02 1.013738e-01 2.181130e-02 1.501662e+00 1.072081e-01
5.613642e-04 6.488514e-02 2.250531e-03 8.704382e-02 4.265362e-03 -2.584465e-03 2.009297e-02 1.339872e-01 9.786943e-03 8.686526e-02 2.867598e-02 5.303441e-01 3.544683e-02
1.403410e-03 9.600952e-02 6.434957e-03 1.027319e-01 4.698424e-03 -1.278998e-01 3.723879e-02 1.401402e-01 1.149102e-02 2.676510e-02 5.177875e-02 1.201803e+00 1.468783e-01
2.806821e-03 1.033171e-01 4.462119e-03 1.143803e-01 5.833090e-03 -5.705869e-02 2.232817e-02 1.510064e-01 6.773909e-03 5.362350e-02 9.720538e-03 8.694923e-01 1.475004e-01
