# k^2  MgMg MgMg_error  MgCl MgCl_error  MgNa MgNa_error  ClCl ClCl_error  ClNa ClNa_error  NaNa NaNa_error
0.000000e+00 1.216000e+03 0.000000e+00 2.151866e+03 0.000000e+00 1.293529e+03 0.000000e+00 3.808000e+03 0.000000e+00 2.289063e+03 0.000000e+00 1.376000e+03 0.000000e+00
2.911896e-04 8.960243e-02 2.708879e-02 6.238491e-02 1.835671e-02 -6.452364e-02 3.020244e-02 1.025214e-01 1.748425e-02 5.479419e-02 1.815555e-02 2.175071e-01 6.693920e-02
1.164758e-03 1.159591e-01 2.349378e-02 6.887788e-02 1.044062e-02 -9.351332e-02 3.253901e-02 8.730656e-02 1.062661e-02 1.960184e-02 8.200082e-03 2.083059e-01 5.096715e-02
2.620707e-03 1.910718e-01 5.964783e-02 1.074976e-01 3.159605e-02 -1.617912e-01 5.666869e-02 1.049301e-01 1.811905e-02 -1.473961e-02 3.145126e-02 2.889595e-01 5.101873e-02
4.659034e-03 2.678707e-01 6.403760e-02 1.208971e-01 2.547748e-02 -2.359077e-01 6.568118e-02 1.000311e-01 1.260083e-02 -3.777703e-02 2.366693e-02 3.594987e-01 7.301158e-02
7.279740e-03 2.148365e-01 1.609855e-02 1.011922e-01 1.316560e-02 -1.604020e-01 2.244984e-02 9.934828e-02 1.327612e-02 3.840321e-03 1.213864e-02 3.236356e-01 2.735562e-02
1.048283e-02 5.021891e-01 5.924058e-02 2.252995e-01 2.281223e-02 -3.373299e-01 7.040338e-02 1.544049e-01 3.397756e-03 -7.338090e-02 3.369172e-02 4.699388e-01 7.219970e-02
1.426829e-02 6.415777e-01 6.422697e-02 2.630481e-01 2.717995e-02 -4.186495e-01 4.905578e-02 1.584987e-01 1.363580e-02 -1.074272e-01 1.992761e-02 5.210126e-01 4.773677e-02
2.911896e-04 1.008814e-01 3.614121e-02 5.778568e-02 1.573772e-02 -9.266329e-02 4.969340e-02 8.023486e-02 1.243324e-02 2.611596e-02 1.237501e-02 2.207514e-01 7.710596e-02
5.823792e-04 1.243882e-01 2.108739e-02 8.422382e-02 8.251975e-03 -8.851714e-02 3.498789e-02 1.119406e-01 1.019500e-02 3.248363e-02 1.449176e-02 2.233236e-01 6.034153e-02
1.455948e-03 1.621672e-01 3.749881e-02 1.161220e-01 2.304979e-02 -9.387053e-02 3.413697e-02 1.446641e-01 1.826324e-02 3.316773e-02 1.622768e-02 2.324494e-01 3.973642e-02
2.911896e-03 2.282345e-01 4.738738e-02 1.198851e-01 2.030962e-02 -1.923415e-01 5.086930e-02 1.131641e-01 5.469382e-03 -1.752844e-02 2.907352e-02 3.311052e-01 6.095035e-02
4.950224e-03 2.432178e-01 5.035829e-02 1.150245e-01 2.046255e-02 -2.091117e-01 5.680205e-02 1.018880e-01 1.575960e-02 -2.151475e-02 3.332530e-02 3.505658e-01 3.889041e-02
7.570930e-03 2.482142e-01 4.314008e-02 1.151993e-01 1.918268e-02 -1.805541e-01 4.113384e-02 1.071891e-01 1.441247e-02 -3.211001e-03 1.632287e-02 3.380094e-01 4.411630e-02
1.077402e-02 3.009462e-01 3.628185e-02 1.288417e-01 9.731151e-03 -2.101226e-01 3.015544e-02 1.153833e-01 9.067319e-03 -7.454714e-03 8.133534e-03 3.964353e-01 3.594109e-02
1.455948e-02 4.499136e-01 4.961675e-02 1.639165e-01 1.902644e-02 -3.228435e-01 5.066083e-02 1.225729e-01 7.333926e-03 -4.935886e-02 2.356167e-02 4.922669e-01 5.729214e-02
1.164758e-03 1.818614e-01 4.092729e-02 9.864222e-02 1.494892e-02 -1.673033e-01 5.490520e-02 1.068414e-01 1.005306e-02 -3.642264e-03 1.941830e-02 3.070151e-01 7.204323e-02
1.455948e-03 1.003821e-01 1.201258e-02 8.031160e-02 1.105827e-02 -4.963425e-02 1.532583e-02 1.012054e-01 9.713115e-03 2.095741e-02 6.911224e-03 1.353448e-01 2.734660e-02
2.329517e-03 1.335814e-01 2.870167e-02 7.437822e-02 1.301453e-02 -1.075040e-01 2.936304e-02 8.727440e-02 1.108301e-02 1.641652e-02 6.305118e-03 2.333974e-01 4.359275e-02
3.785465e-03 1.862194e-01 2.494951e-02 8.626161e-02 9.343345e-03 -1.749844e-01 3.222605e-02 8.391050e-02 6.898542e-03 -1.161330e-02 1.283625e-02 3.099565e-01 4.070699e-02
5.823792e-03 3.062605e-01 2.797045e-02 1.552058e-01 2.606029e-02 -2.342849e-01 3.697926e-02 1.270309e-01 2.373196e-02 -4.010932e-02 9.602961e-03 3.674228e-01 6.454893e-02
8.444499e-03 3.041652e-01 4.199888e-02 1.500233e-01 8.651941e-03 -1.925406e-01 5.459670e-02 1.250985e-01 1.067862e-02 -2.274386e-02 2.102126e-02 3.127564e-01 5.672410e-02
1.164758e-02 3.004428e-01 3.525486e-02 1.321944e-01 1.397787e-02 -1.745557e-01 3.655715e-02 1.051707e-01 9.901606e-03 -9.571005e-03 1.101623e-02 3.379285e-01 5.561052e-02
1.543305e-02 5.827801e-01 1.582148e-01 2.301717e-01 6.993099e-02 -3.561601e-01 1.044342e-01 1.528335e-01 3.483307e-02 -6.655432e-02 3.363988e-02 4.748508e-01 9.989421e-02
2.620707e-03 1.865184e-01 5.229551e-02 8.938782e-02 2.780096e-02 -1.739697e-01 5.038492e-02 1.009713e-01 1.117768e-02 1.722756e-02 3.177112e-02 3.595589e-01 5.926692e-02
2.911896e-03 1.370964e-01 3.273751e-02 9.296063e-02 2.190113e-02 -8.208381e-02 2.895943e-02 1.054236e-01 1.726954e-02 1.392893e-02 2.189069e-02 1.896707e-01 2.400034e-02
3.785465e-03 1.741036e-01 2.832830e-02 9.752337e-02 8.654942e-03 -1.243359e-01 3.317340e-02 1.057875e-01 9.661889e-03 1.264320e-02 1.080760e-02 2.553559e-01 4.467377e-02
5.241413e-03 2.102932e-01 2.075880e-02 1.226149e-01 1.279605e-02 -1.421354e-01 2.795927e-02 1.189123e-01 8.581982e-03 -4.021524e-03 1.164823e-02 2.785467e-01 4.979291e-02
7.279740e-03 2.763218e-01 2.891637e-02 1.246493e-01 2.078598e-02 -2.345488e-01 2.474940e-02 1.169275e-01 1.817455e-02 -1.724718e-02 1.571196e-02 4.040771e-01 4.203459e-02
9.900447e-03 3.275632e-01 7.544377e-02 1.494608e-01 3.748481e-02 -2.306154e-01 5.682499e-02 1.119002e-01 2.044986e-02 -5.078908e-02 2.982949e-02 3.254422e-01 4.251548e-02
1.310353e-02 4.912091e-01 5.667643e-02 2.249735e-01 3.997430e-02 -2.755071e-01 3.041000e-02 1.537625e-01 2.738331e-02 -6.302092e-02 9.711080e-03 4.126005e-01 4.365723e-02
1.688900e-02 5.965340e-01 1.249587e-01 2.387099e-01 5.478316e-02 -3.354291e-01 5.659780e-02 1.567357e-01 2.884340e-02 -6.707548e-02 2.247296e-02 5.080107e-01 3.355485e-02
4.659034e-03 2.494548e-01 5.077592e-02 1.173902e-01 2.540835e-02 -2.096233e-01 4.004266e-02 1.031871e-01 1.246585e-02 -2.551904e-02 2.371355e-02 3.339642e-01 4.238941e-02
4.950224e-03 2.405432e-01 1.420380e-02 1.522744e-01 6.808979e-03 -1.215994e-01 2.982446e-02 1.404689e-01 9.285980e-03 -9.435207e-03 1.595563e-02 2.124431e-01 3.231051e-02
5.823792e-03 1.415774e-01 2.551324e-02 8.438170e-02 1.423096e-02 -8.292584e-02 2.337585e-02 9.154835e-02 1.108756e-02 8.708718e-03 1.173860e-02 1.937388e-01 2.456959e-02
7.279740e-03 2.353348e-01 4.803023e-02 1.369721e-01 2.709799e-02 -1.279757e-01 3.498976e-02 1.310186e-01 2.045374e-02 6.346187e-05 1.716893e-02 2.497713e-01 3.643726e-02
9.318068e-03 4.183226e-01 6.244656e-02 1.863228e-01 3.483265e-02 -2.902622e-01 2.915157e-02 1.338911e-01 1.907729e-02 -5.722635e-02 2.046722e-02 3.918254e-01 2.026820e-02
1.193877e-02 3.639823e-01 3.903748e-02 1.541027e-01 1.798443e-02 -2.486183e-01 3.279905e-02 1.283669e-01 8.176329e-03 -2.412906e-02 1.366675e-02 4.315061e-01 2.177094e-02
1.514186e-02 6.516634e-01 5.232983e-02 2.718661e-01 3.072712e-02 -3.798469e-01 4.452904e-02 1.751503e-01 2.462048e-02 -9.180990e-02 1.158263e-02 4.869693e-01 5.353192e-02
1.892733e-02 6.847896e-01 1.063910e-01 2.575221e-01 4.650485e-02 -4.239292e-01 5.337513e-02 1.635501e-01 2.615579e-02 -1.025866e-01 2.258783e-02 5.159267e-01 5.432147e-02
7.279740e-03 2.434320e-01 2.797660e-02 1.220562e-01 1.562050e-02 -1.691169e-01 3.640375e-02 1.035158e-01 1.292640e-02 -1.717641e-02 2.332534e-02 3.008216e-01 3.595714e-02
7.570930e-03 4.208379e-01 4.763006e-02 1.691395e-01 1.387202e-02 -3.673392e-01 6.250221e-02 1.174282e-01 1.014431e-02 -7.268698e-02 1.261546e-02 5.104052e-01 8.466401e-02
8.444499e-03 3.030505e-01 2.526596e-02 1.258208e-01 1.903058e-02 -2.418798e-01 2.464971e-02 9.820986e-02 1.398728e-02 -3.462061e-02 1.388781e-02 3.770557e-01 3.809647e-02
9.900447e-03 3.035703e-01 6.682199e-02 1.257954e-01 3.263345e-02 -2.216294e-01 4.602743e-02 1.151384e-01 1.483509e-02 -1.398128e-02 3.039045e-02 3.728992e-01 2.910668e-02
