mixture,central_cation,system,x_NaCl,r_A,alpha_XNa,alpha_block_sd,random_reference
LiCl-NaCl,Li,li3040,0.05,6.15,0.09077148958087766,0.008415499109279056,0.0
LiCl-NaCl,Li,li3040,0.05,6.25,0.09671308986728788,0.008704041638273695,0.0
LiCl-NaCl,Li,li3040,0.05,6.3500000000000005,0.09900223256602236,0.009812919941208448,0.0
LiCl-NaCl,Li,li3040,0.05,6.45,0.09873193299000016,0.009982391006240885,0.0
LiCl-NaCl,Li,li3040,0.05,6.550000000000001,0.09321003963309105,0.009898259173523,0.0
LiCl-NaCl,Li,li3040,0.05,6.65,0.08565379993730626,0.008193058732541579,0.0
LiCl-NaCl,Li,li3040,0.05,6.75,0.073195258049227,0.0046503404849530154,0.0
LiCl-NaCl,Li,li3040,0.05,6.8500000000000005,0.06963562985608396,0.0073719168720854916,0.0
LiCl-NaCl,Li,li3040,0.05,6.95,0.052644712664462245,0.006337146406773139,0.0
LiCl-NaCl,Li,li3040,0.05,7.050000000000001,0.03650873438434965,0.006160538411345661,0.0
LiCl-NaCl,Li,li3040,0.05,7.15,0.02828275784202383,0.0048474313518506625,0.0
LiCl-NaCl,Li,li3040,0.05,7.25,0.019417898627243968,0.0041881375374911295,0.0
LiCl-NaCl,Li,li3040,0.05,7.3500000000000005,0.0008608922625430449,0.007196031620256888,0.0
LiCl-NaCl,Li,li3040,0.05,7.45,-0.014282255654090914,0.0030161275085647636,0.0
LiCl-NaCl,Li,li3040,0.05,7.550000000000001,-0.015387277113945386,0.0041265600686550405,0.0
LiCl-NaCl,Li,li3040,0.05,7.65,-0.02425374313291262,0.006338496039292906,0.0
LiCl-NaCl,Li,li3040,0.05,7.75,-0.03541157438486775,0.004683009117884637,0.0
LiCl-NaCl,Li,li3040,0.05,7.8500000000000005,-0.03989872755914048,0.010274201109636467,0.0
LiCl-NaCl,Li,li3040,0.05,7.95,-0.05165866240415862,0.003320415688410413,0.0
LiCl-NaCl,Li,li3040,0.05,8.05,-0.05398591049513257,0.002517688175404125,0.0
LiCl-NaCl,Li,li3040,0.05,8.15,-0.052376589111842176,0.009987970716847698,0.0
LiCl-NaCl,Li,li3040,0.05,8.25,-0.0542137074924256,0.005164476704608743,0.0
LiCl-NaCl,Li,li3040,0.05,8.350000000000001,-0.05108788333671743,0.0067591889215578025,0.0
LiCl-NaCl,Li,li3040,0.05,8.45,-0.047721345659018866,0.005313161810221304,0.0
LiCl-NaCl,Li,li3040,0.05,8.55,-0.049847884736400117,0.007181156702503972,0.0
LiCl-NaCl,Li,li3040,0.05,8.65,-0.03909969733685714,0.006743457525001778,0.0
LiCl-NaCl,Li,li3040,0.05,8.75,-0.027656062626510103,0.005241261973993327,0.0
LiCl-NaCl,Li,li3040,0.05,8.850000000000001,-0.02271811464568607,0.0034054749209348695,0.0
LiCl-NaCl,Li,li3040,0.05,8.95,-0.012665732380451322,0.0063588334439676755,0.0
LiCl-NaCl,Li,li3040,0.05,9.05,-0.0010341105708613352,0.0016296668750180395,0.0
LiCl-NaCl,Li,li3040,0.05,9.15,0.00030883956594984774,0.002354062765492416,0.0
LiCl-NaCl,Li,li3040,0.05,9.25,0.0093035116273813,0.008236337269591826,0.0
LiCl-NaCl,Li,li3040,0.05,9.350000000000001,0.016172062576090607,0.005924581816926185,0.0
LiCl-NaCl,Li,li3040,0.05,9.45,0.026634635361293846,0.0046372200426538,0.0
LiCl-NaCl,Li,li3040,0.05,9.55,0.029684174301742083,0.0034063865636217057,0.0
LiCl-NaCl,Li,li3040,0.05,9.650000000000002,0.030738258405514585,0.005230405481041812,0.0
LiCl-NaCl,Li,li3040,0.05,9.75,0.034071208780309004,0.00430374130459411,0.0
LiCl-NaCl,Li,li3040,0.05,9.850000000000001,0.03050909185231987,0.005245597478130116,0.0
LiCl-NaCl,Li,li3040,0.05,9.95,0.03001285962244693,0.004604054219229601,0.0
LiCl-NaCl,Li,li3040,0.05,10.05,0.02799879167506414,0.005613201131420368,0.0
LiCl-NaCl,Li,li3040,0.05,10.150000000000002,0.023828630218626023,0.004368243563277934,0.0
LiCl-NaCl,Li,li3040,0.05,10.25,0.020095625060111866,0.006291649555238906,0.0
LiCl-NaCl,Li,li3040,0.05,10.350000000000001,0.015470849029141642,0.00422297335999191,0.0
LiCl-NaCl,Li,li3040,0.05,10.45,0.010201067158657762,0.0033445749500990545,0.0
LiCl-NaCl,Li,li3040,0.05,10.55,0.008142612661071968,0.0023547633811715034,0.0
LiCl-NaCl,Li,li3040,0.05,10.650000000000002,0.0010525199662287932,0.005279479622426519,0.0
LiCl-NaCl,Li,li3040,0.05,10.75,-0.004280102747040049,0.002328649825066968,0.0
LiCl-NaCl,Li,li3040,0.05,10.850000000000001,-0.01056378635231603,0.0025107018287457154,0.0
LiCl-NaCl,Li,li3040,0.05,10.95,-0.010967968033751996,0.0028952800427760822,0.0
LiCl-NaCl,Li,li3040,0.05,11.05,-0.016250644312918228,0.002889205941060007,0.0
LiCl-NaCl,Li,li3040,0.05,11.150000000000002,-0.01544587499955119,0.0048954635501108216,0.0
LiCl-NaCl,Li,li3040,0.05,11.25,-0.0196410086468084,0.0031608244481827123,0.0
LiCl-NaCl,Li,li3040,0.05,11.350000000000001,-0.021889725032328,0.0019647199060282825,0.0
LiCl-NaCl,Li,li3040,0.05,11.45,-0.02171796680911764,0.002678763615528708,0.0
LiCl-NaCl,Li,li3040,0.05,11.55,-0.020982900595682308,0.0029993155840853858,0.0
LiCl-NaCl,Li,li3040,0.05,11.650000000000002,-0.016225293351131098,0.005108806980581764,0.0
LiCl-NaCl,Li,li3040,0.05,11.75,-0.01949997586711305,0.0033550573600680876,0.0
LiCl-NaCl,Li,li3040,0.05,11.850000000000001,-0.015957753509190598,0.0016637045918245325,0.0
LiCl-NaCl,Li,li3040,0.05,11.95,-0.014383245955240875,0.004169951949232387,0.0
LiCl-NaCl,Li,li2880,0.1,0.05,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,0.15000000000000002,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,0.25,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,0.35000000000000003,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,0.45,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,0.55,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,0.6500000000000001,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,0.75,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,0.8500000000000001,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,0.95,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,1.05,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,1.1500000000000001,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,1.25,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,1.35,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,1.4500000000000002,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,1.55,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,1.6500000000000001,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,1.75,nan,nan,0.0
LiCl-NaCl,Li,li2880,0.1,1.85,1.0,0.0,0.0
LiCl-NaCl,Li,li2880,0.1,1.9500000000000002,0.7959821428571429,0.4967487125015158,0.0
LiCl-NaCl,Li,li2880,0.1,2.05,1.0,0.0,0.0
LiCl-NaCl,Li,li2880,0.1,2.1500000000000004,0.9284660107334526,0.024530025610917862,0.0
LiCl-NaCl,Li,li2880,0.1,2.25,0.8919840626688277,0.05382152977194453,0.0
LiCl-NaCl,Li,li2880,0.1,2.3500000000000005,0.8820659653952025,0.022012381994726486,0.0
LiCl-NaCl,Li,li2880,0.1,2.45,0.8509103706538377,0.014812260797592807,0.0
LiCl-NaCl,Li,li2880,0.1,2.55,0.8049083254642745,0.00948783828363651,0.0
LiCl-NaCl,Li,li2880,0.1,2.6500000000000004,0.7304824060000258,0.013245640141651723,0.0
LiCl-NaCl,Li,li2880,0.1,2.75,0.6672256440170975,0.011798901075252768,0.0
LiCl-NaCl,Li,li2880,0.1,2.8500000000000005,0.603410717528359,0.009667776889734171,0.0
LiCl-NaCl,Li,li2880,0.1,2.95,0.5230082925876034,0.012402166201066748,0.0
LiCl-NaCl,Li,li2880,0.1,3.05,0.43630977061418064,0.005613594000890162,0.0
LiCl-NaCl,Li,li2880,0.1,3.1500000000000004,0.36577344086600605,0.008758389962948362,0.0
LiCl-NaCl,Li,li2880,0.1,3.25,0.29595894673864975,0.005420869901810523,0.0
LiCl-NaCl,Li,li2880,0.1,3.3500000000000005,0.21259362273490567,0.00781377549671387,0.0
LiCl-NaCl,Li,li2880,0.1,3.45,0.15982336424930732,0.010531964817858858,0.0
LiCl-NaCl,Li,li2880,0.1,3.55,0.10068439654482475,0.00855121466269893,0.0
LiCl-NaCl,Li,li2880,0.1,3.6500000000000004,0.05689973104231927,0.0063254141221694106,0.0
LiCl-NaCl,Li,li2880,0.1,3.75,0.010780849863971653,0.006781223189408433,0.0
LiCl-NaCl,Li,li2880,0.1,3.8500000000000005,-0.01973183679299173,0.007524394313670769,0.0
LiCl-NaCl,Li,li2880,0.1,3.95,-0.050503720060840473,0.008277395595484434,0.0
LiCl-NaCl,Li,li2880,0.1,4.050000000000001,-0.06500459125862545,0.011670404657484354,0.0
LiCl-NaCl,Li,li2880,0.1,4.15,-0.07913227950021584,0.01250768378558405,0.0
LiCl-NaCl,Li,li2880,0.1,4.25,-0.08681160178862868,0.006960166901130548,0.0
LiCl-NaCl,Li,li2880,0.1,4.35,-0.09760285357242515,0.0052528629478610965,0.0
LiCl-NaCl,Li,li2880,0.1,4.45,-0.114699046104064,0.00750041858329103,0.0
LiCl-NaCl,Li,li2880,0.1,4.550000000000001,-0.13800718959656,0.005151941735142276,0.0
LiCl-NaCl,Li,li2880,0.1,4.65,-0.16038584478317786,0.007750055133911457,0.0
LiCl-NaCl,Li,li2880,0.1,4.75,-0.1752611589860662,0.0061796584879849435,0.0
LiCl-NaCl,Li,li2880,0.1,4.8500000000000005,-0.18932149340963078,0.006960694844472881,0.0
LiCl-NaCl,Li,li2880,0.1,4.95,-0.2014120714226766,0.012646076782122116,0.0
LiCl-NaCl,Li,li2880,0.1,5.050000000000001,-0.19535900451469557,0.0043531678904695625,0.0
LiCl-NaCl,Li,li2880,0.1,5.15,-0.17991198859355895,0.005471288706874711,0.0
LiCl-NaCl,Li,li2880,0.1,5.25,-0.1519203829810858,0.005612081918579852,0.0
LiCl-NaCl,Li,li2880,0.1,5.3500000000000005,-0.12102554412989841,0.00735197415307779,0.0
LiCl-NaCl,Li,li2880,0.1,5.45,-0.08839217713984548,0.007165834116733003,0.0
LiCl-NaCl,Li,li2880,0.1,5.550000000000001,-0.05339966646528138,0.005378594240241387,0.0
