# k^2  MgMg MgMg_error  MgCl MgCl_error  MgNa MgNa_error  ClCl ClCl_error  ClNa ClNa_error  NaNa NaNa_error
0.000000e+00 1.920000e+02 0.000000e+00 7.955074e+02 0.000000e+00 7.477326e+02 0.000000e+00 3.296000e+03 0.000000e+00 3.098056e+03 0.000000e+00 2.912000e+03 0.000000e+00
2.933292e-04 1.522964e-01 1.039472e-01 4.843335e-02 2.888079e-02 -2.658672e-02 2.281891e-02 6.223002e-02 7.810435e-03 4.114916e-02 1.429417e-02 5.850239e-02 6.529513e-03
1.173317e-03 4.967992e-01 2.595985e-01 7.948699e-02 3.074270e-02 -1.639530e-01 1.017618e-01 6.368767e-02 8.867794e-03 2.835103e-02 1.511981e-02 1.170940e-01 3.823249e-02
2.639962e-03 3.271067e-01 1.408082e-01 6.136949e-02 2.788759e-02 -9.287351e-02 4.352876e-02 6.383223e-02 4.347795e-03 3.826628e-02 1.230028e-02 9.583980e-02 1.246779e-02
4.693267e-03 4.495074e-01 5.803292e-02 5.790832e-02 8.653544e-03 -1.351771e-01 2.199548e-02 6.249199e-02 8.871645e-03 3.922474e-02 7.587902e-03 1.161230e-01 1.743136e-02
7.333229e-03 1.216562e+00 1.379303e-01 1.788083e-01 2.265762e-02 -3.356288e-01 3.723213e-02 9.139188e-02 6.195613e-03 1.244574e-02 9.840842e-03 1.832559e-01 1.529486e-02
1.055985e-02 9.456731e-01 2.522996e-01 1.276132e-01 3.898952e-02 -2.470859e-01 8.148546e-02 7.449250e-02 8.678705e-03 1.582484e-02 9.534186e-03 1.533410e-01 3.089793e-02
1.437313e-02 8.846442e-01 2.395909e-01 1.219248e-01 1.950632e-02 -1.997053e-01 7.580959e-02 9.010589e-02 5.330208e-03 3.060599e-02 1.045288e-02 1.603949e-01 1.779511e-02
2.933292e-04 1.444213e-01 6.159577e-02 3.999595e-02 2.616630e-02 -3.079389e-02 9.743190e-03 6.774240e-02 1.634367e-02 5.178692e-02 1.833962e-02 7.191440e-02 2.189996e-02
5.866583e-04 3.939426e-01 1.026190e-01 1.102157e-01 3.838382e-02 -8.395550e-02 2.576928e-02 7.902480e-02 1.486907e-02 2.728855e-02 9.065192e-03 7.390974e-02 7.579969e-03
