tag,x_LiCl,k2cut_cycles2_per_A2,n_blocks,all_converged,S0_NN,S0_NN_err,S0_NN_blockmean,S0_LiLi,S0_LiLi_err,S0_LiLi_blockmean,S0_LiCl,S0_LiCl_err,S0_LiCl_blockmean,S0_LiNa,S0_LiNa_err,S0_LiNa_blockmean,S0_ClCl,S0_ClCl_err,S0_ClCl_blockmean,S0_ClNa,S0_ClNa_err,S0_ClNa_blockmean,S0_NaNa,S0_NaNa_err,S0_NaNa_blockmean
li160,0.05,0.01,4,1,0.1134868144739972,0.0019864824069385,0.1130725775883633,0.936192334663554,0.0555399408751503,0.8494562983570418,0.0501165808312083,0.004177279409628,0.0467411563063625,-0.1633587244874882,0.008552725938508,-0.1469232255567952,0.0567434072369986,0.0009932412034692,0.0565362887941816,0.0467199752782376,0.0008350178723986,0.047281851734082,0.0854107449078814,0.001746898348997,0.0822166559394103
li320,0.1,0.01,4,1,0.1174131602943532,0.0002771390391217,0.11549799361485,0.850290505163932,0.045551012659349,0.7781599100429673,0.0685717471038926,0.0024187926903328,0.0623612778054175,-0.2111492003928589,0.0126640511358816,-0.1936520781264469,0.0587065801471766,0.0001385695195608,0.0577489968074249,0.0390249199334695,0.0007662407415786,0.0400856948986125,0.1115189442961097,0.0034143424431401,0.1068047251988849
li480,0.15,0.01,4,1,0.1193700985029001,0.0018162102645826,0.1153533804948623,0.7910995793651984,0.1345197905794586,0.5014090765213344,0.0813586851002757,0.0128950194990502,0.0548843126714193,-0.2440824116087734,0.0426483450426933,-0.1511035477667432,0.05968504925145,0.0009081051322912,0.057676690247431,0.0305600413726438,0.0045821800853919,0.0395031311163936,0.1356821407808112,0.0129696898137114,0.1063233481608718
li640,0.2,0.01,4,1,0.1213542077460432,0.0018711868389663,0.1182050179987088,0.7301212929590855,0.158226659177563,0.4166777668274862,0.0852413734693005,0.0120149679444166,0.0611655486569309,-0.2697578936931411,0.0677750057201474,-0.1399537210747587,0.0606771038730216,0.0009355934194831,0.0591025089993544,0.0252183777342955,0.0050199927046859,0.0354958395532102,0.1630739502946465,0.0295340815667248,0.1096624156170821
li800,0.25,0.01,4,1,0.1287639035513813,0.0058159979784554,0.1282473186116166,0.80824011461715,0.1560314397769334,0.6944894589097119,0.1085329340435705,0.0201813225093356,0.100045199104364,-0.3413146103720748,0.0671881209694286,-0.2854414307828112,0.0643819517756906,0.0029079989892277,0.0641236593058083,0.0116803556913016,0.0083689393705799,0.0162825012892304,0.2105453951818768,0.0293177215825835,0.1836010999051632
li960,0.3,0.01,4,1,0.1319537427315565,0.0045974785867581,0.13061485104088,0.4416487531672605,0.0956205416572894,0.4066585021181093,0.0840037214478489,0.0135550600621426,0.0802023695485699,-0.1887233262595221,0.0467111900394112,-0.1703603145153675,0.0659768713657782,0.002298739293379,0.06530742552044,0.023864099611792,0.0063855047124993,0.0255525277595556,0.1520714728760348,0.0234332858747933,0.1420681174594833
li1120,0.35,0.01,4,1,0.1333222828247902,0.0018426603078203,0.1301636014311882,0.655647203420564,0.0310795397268371,0.5835060787462663,0.1069040776541653,0.0043587138072773,0.0970444785664537,-0.3485153261260506,0.0175771712960834,-0.3078075407159613,0.0666611414123951,0.0009213301539101,0.0650818007155941,0.0042368233129779,0.0021775710518054,0.0095128600253036,0.260995464771459,0.0103100084295591,0.2376682349770731
li1280,0.4,0.01,4,1,0.1401392657770883,0.0026445702744368,0.1379341451787785,0.628785694570901,0.0088519488793336,0.6171478356281315,0.1183709351118516,0.0027960347580768,0.1154374247542872,-0.3605851496323393,0.0067080828509715,-0.3548700231831735,0.0700696328885441,0.0013222851372184,0.0689670725893892,-0.0061899567159781,0.0012727393519793,-0.0052181547645173,0.2864253420498748,0.0046927231150767,0.2830135517691678
li1440,0.45,0.01,4,1,0.1374510598209328,0.0008055240388424,0.1366151768251531,0.4897965531739709,0.0270419556371718,0.4898910271831345,0.1042302412320995,0.0037320478385265,0.1000494514680599,-0.3024936233447301,0.0198337177882938,-0.3082164540691283,0.0687255299104664,0.0004027620194212,0.0683075884125765,-0.0016103149119648,0.0034662818057206,0.0016077995167012,0.2714444291182692,0.0135793250240106,0.2809602288881767
li1600,0.5,0.01,4,1,0.1394628555475666,0.0017426134069501,0.138250982641743,0.5563570620065542,0.0203118326223656,0.4888993905807631,0.1160724112413951,0.0047256670757104,0.1052220530721883,-0.3922058838116258,0.0136479873162507,-0.3400929360653328,0.0697314277737832,0.000871306703475,0.0691254913208715,-0.0174572803600698,0.0040491513299191,-0.007463845740508,0.3675175611642655,0.0080281129175805,0.3295374641916457
li1760,0.55,0.01,4,1,0.1377018777703157,0.0012665245072669,0.1372995665837271,0.5196610289146247,0.0169632483362331,0.4992006959359427,0.1139060012366364,0.0018045288357352,0.11002574095051,-0.4047058424864168,0.0171302830023881,-0.3878704438078567,0.0688509388851578,0.0006332622536334,0.0686497832918635,-0.0232909027159622,0.0020200098998118,-0.0193009786170704,0.4126991155105552,0.0172614118680068,0.4000347096464034
li1920,0.6,0.01,4,1,0.1408326284246659,0.0041036363974218,0.1418048237893439,0.4749606831895459,0.0269855056743426,0.4236324814189576,0.1130466414972164,0.00277651145571,0.1108356463164936,-0.4029632263671861,0.0372001656857451,-0.3435951648242751,0.0704163142123329,0.0020518181987109,0.0709024118946719,-0.0271153257292308,0.0002537661069972,-0.0236388328002083,0.4506540504517514,0.0458763938242719,0.3834401395152008
li2080,0.65,0.01,4,1,0.1448532540218448,0.0062744299920422,0.1363879692133713,0.4446067299288206,0.0676791652896895,0.369611384562989,0.1127951742272997,0.013520970312819,0.0936878387799316,-0.4152381984534763,0.0706392446974136,-0.3453340617699705,0.0724266270109224,0.0031372149960211,0.0681939846066856,-0.0312905680894178,0.0131444865247216,-0.0124061305372579,0.5129835656791701,0.0760727699126637,0.4496408107076038
li2240,0.7,0.01,4,1,0.1436369287306101,0.0020790575601032,0.1440405167950015,0.4008694028276975,0.0054985053420919,0.4021688322335173,0.1104863717769385,0.0032135555774214,0.110910455530111,-0.4106185336861182,0.0040446443142362,-0.411829177430645,0.071818464365305,0.0010395287800516,0.0720202583975007,-0.0376487440487555,0.0032099499889944,-0.0379281188707157,0.558493282865331,0.0055290552498091,0.5598325054250153
li2400,0.75,0.01,4,1,0.1404070744668334,0.0022910360920099,0.1406023887569677,0.2712291852193011,0.007024156178361,0.3014776585091306,0.0926265335567,0.0022925803610906,0.0966396559011018,-0.2845296621819404,0.0093082697270095,-0.3288953100825101,0.0702035372334161,0.0011455180460049,0.0703011943784838,-0.0200267877823554,0.0019656870876759,-0.0267824052897159,0.4527662555948044,0.0136593716510119,0.5160985768545958
li2560,0.8,0.01,4,1,0.148419861898099,0.0023799943971303,0.1503010598138316,0.3100190088673208,0.0413326803812653,0.2683382570660872,0.1053048767100988,0.0047094818390298,0.1020816270651923,-0.384569155048626,0.0730287467900021,-0.3084150567606223,0.0742099309490495,0.0011899971985652,0.0751505299069158,-0.0446713032125571,0.0100476479535391,-0.03612156071339,0.6692502394704696,0.1271129572621809,0.5360598483127184
li2720,0.85,0.01,4,1,0.143049157559924,0.0043128949031074,0.139192363203909,0.2392704702882639,0.0379038004913451,0.1935540395935361,0.0946516697219961,0.0097930176894215,0.0836085986702053,-0.3251880858597979,0.065557039944333,-0.2448743001045658,0.071524578779962,0.0021564474515537,0.0695961816019544,-0.0406403733477081,0.0178664260514332,-0.0193317062686799,0.6691694875546479,0.1112684590624353,0.5330031784405118
li2880,0.9,0.01,4,1,0.143523550671599,0.0023990717224294,0.1443019812417146,0.1999473530470427,0.0238896509440765,0.2084860359139808,0.0897351364692452,0.0055989275722578,0.0912047389048368,-0.3160746417522732,0.0544471660066125,-0.3370433994016871,0.0717617753357995,0.0011995358612147,0.0721509906208573,-0.0422747504093148,0.0130545419492982,-0.0454527509151548,0.8145394264482491,0.1235333923871795,0.8673959793928698
li3040,0.95,0.01,4,1,0.1411799660738174,0.0038520601696939,0.1403010981501525,0.1351449460561095,0.0088645331730393,0.1272492198865155,0.0804743661303456,0.003811753048627,0.0781094592667796,-0.2291908563615177,0.0219651181255973,-0.2053503689171671,0.0705899830369086,0.0019260300848469,0.0701505490750762,-0.0350916283054993,0.0081276894584529,-0.0267484466968879,0.8420852489988973,0.0605621464762894,0.7754788159151849
