tag,x_LiCl,k2cut_cycles2_per_A2,n_blocks,all_converged,S0_NN,S0_NN_err,S0_NN_blockmean,S0_LiLi,S0_LiLi_err,S0_LiLi_blockmean,S0_LiCl,S0_LiCl_err,S0_LiCl_blockmean,S0_LiNa,S0_LiNa_err,S0_LiNa_blockmean,S0_ClCl,S0_ClCl_err,S0_ClCl_blockmean,S0_ClNa,S0_ClNa_err,S0_ClNa_blockmean,S0_NaNa,S0_NaNa_err,S0_NaNa_blockmean
li160,0.05,0.02,4,1,0.109455500308142,0.0007247174918395,0.1084196260922666,0.9466024134838464,0.0142580378780756,0.9068392247025366,0.0515944525141021,0.0012248547127121,0.0498765532650054,-0.1642306960058873,0.0021950610273631,-0.1568709223112259,0.054727750154071,0.0003623587459197,0.0542098130461332,0.0443129077292292,0.0004959096843755,0.0441756285856907,0.0831411896963998,0.0006513828456939,0.0813118963836546
li320,0.1,0.02,4,1,0.1148583506858023,0.0005147810804293,0.1133400766566849,0.8913348601433044,0.0132435466843851,0.8708344995945225,0.0745362353575706,0.0015664037718586,0.0723607040489302,-0.2185435293996687,0.0030019083408077,-0.2140032872355184,0.0574291753429012,0.000257390540212,0.0566700383283469,0.0356902542903929,0.0004937681170118,0.0356152307192373,0.1104686744093017,0.0004961751314179,0.1088761785668573
li480,0.15,0.02,4,1,0.1168605958308902,0.0008508575959558,0.1159784893101742,0.8564406277131991,0.0087347224836418,0.8161446049558713,0.0873348738553403,0.00153868186561,0.0848709482036793,-0.2650490553969041,0.0029980711695398,-0.2507938425553461,0.0584302979154451,0.0004254287979779,0.0579892446550871,0.0266885710361704,0.0004988133538184,0.027245237413275,0.1402906937358273,0.0015763403569251,0.1349060960053309
li640,0.2,0.02,4,1,0.1215049262918509,0.0005555473341507,0.120027766781309,0.7966510883615722,0.0175801252512313,0.7836712023005492,0.0961084393960107,0.0017666852805736,0.0941972124768101,-0.2908730423303366,0.0069270604776506,-0.2865199159557052,0.0607524631459254,0.0002777736670753,0.0600138833906545,0.0198690989994146,0.0007332978192853,0.0199989551892194,0.1676508491723504,0.0026494983309057,0.165619469618886
li800,0.25,0.02,4,1,0.1241865914394289,0.0013357575067335,0.1230775940136506,0.7782169460146818,0.0280798203378328,0.7602269519483891,0.1053577531576581,0.0037443093207169,0.1032694452841779,-0.327647108975929,0.0121610078485202,-0.3196719512848442,0.0620932957197144,0.0006678787533667,0.0615387970068253,0.0108708348505082,0.0016756478404476,0.0114362400011092,0.2017197054209691,0.0053009166726251,0.1977681196129929
li960,0.3,0.02,4,1,0.1272847712279046,0.000481196009971,0.126484468161846,0.7049945963429135,0.0093728328708869,0.6842507896235819,0.1071235967222034,0.0014871352646681,0.1051271887459544,-0.3334901127879993,0.0050065995584584,-0.3222962675038482,0.0636423856139523,0.0002405980049855,0.063242234080923,0.0059383442384559,0.0009082476307747,0.0067670274879923,0.2254182054073597,0.002641227814475,0.2190805794306751
li1120,0.35,0.02,4,1,0.1315394096144796,0.0004667346811427,0.1302448340565705,0.6716024621035109,0.015774549109378,0.6520914869585701,0.112080265140696,0.0010644149374265,0.1096012463246431,-0.3538030147356086,0.0106052380834889,-0.3425607175686466,0.0657697048072398,0.0002333673405713,0.0651224170282852,-0.0006671509121688,0.0005282956968459,0.000349089893548,0.2587929360104699,0.007382280762888,0.2518038368415944
li1280,0.4,0.02,4,1,0.1344569310975748,0.0007407903652199,0.1336167007662198,0.6374433484437949,0.004531988387672,0.6241364347883238,0.116935209205384,0.0007488432894991,0.11482755260829,-0.3695076085935688,0.0033677350847623,-0.361363532057866,0.0672284655487874,0.0003703951826099,0.0668083503831099,-0.0086856226857534,0.0005000085228897,-0.0075070946271758,0.2904886083723079,0.0023981664742234,0.2853604709073958
li1440,0.45,0.02,4,1,0.1361366389557781,0.0010073955047343,0.1351660687147719,0.607825864995838,0.0090354710815921,0.5966115565287491,0.1186211274495359,0.0017665015005763,0.1165843171299632,-0.3898504858486882,0.0058597982692466,-0.3824531966500623,0.068068319477889,0.0005036977523671,0.0675830343573859,-0.0155135436377259,0.00100974222912,-0.0143255377064104,0.3317145745438525,0.0042010553742537,0.3266253815773245
li1600,0.5,0.02,4,1,0.1387466252995238,0.0009647988377835,0.1382431352061881,0.567378663346925,0.0067604502059386,0.5535657442898253,0.1190543922449357,0.001683363648148,0.117318172060282,-0.3990103271740507,0.0044905289493388,-0.3876527942493541,0.0693733126497619,0.0004823994188917,0.069121567603094,-0.0209457126288934,0.0010785774101613,-0.0195655137034975,0.3693886163007001,0.0032348719991453,0.3599829794150712
li1760,0.55,0.02,4,1,0.1383202920141372,0.0008484596923274,0.1377564077366309,0.5387533737678013,0.0068963746094459,0.5230459879421929,0.1196967514291381,0.0011690314172902,0.1167848438390485,-0.4171808831876675,0.0064906747222226,-0.4041565303244629,0.0691601460070686,0.0004242298461637,0.0688782038683154,-0.0292318791678852,0.0011002587382741,-0.0264329387263626,0.4176345071278918,0.0059870847194343,0.4074079573278902
li1920,0.6,0.02,4,1,0.1430494656715371,0.0005098418736383,0.1423375744468162,0.4996125053624982,0.0016198170892064,0.4914194359152778,0.1205068757640435,0.0006197455111744,0.1191230040206227,-0.4213597530631618,0.0012432114518281,-0.4135134266261024,0.0715247328357685,0.0002549209368191,0.0711687872234081,-0.0344996456614043,0.0010859888184632,-0.0333675552700873,0.4615094671955418,0.0013666222412763,0.4536897112093657
li2080,0.65,0.02,4,1,0.1425443014359365,0.0009544939685602,0.1422365839409381,0.4553999265744204,0.0077642263480654,0.4483347996835861,0.1167419833286523,0.0017123167897999,0.1157708692812173,-0.4232755211425998,0.0076872754134712,-0.4152888584747011,0.0712721507179682,0.0004772469842801,0.071118291970469,-0.0386205833660639,0.0015701771435591,-0.0375572467463663,0.511546603036309,0.0078681102189078,0.5024599833909984
li2240,0.7,0.02,4,1,0.1441713991491336,0.0009265398637796,0.1438644946961378,0.413155067445264,0.0032587669208159,0.4080002420993498,0.1149724758492597,0.0011681288513384,0.1140306500710399,-0.4211947283913109,0.0028930505765459,-0.4150401333572375,0.0720856995745668,0.0004632699318898,0.0719322473480689,-0.0440134787034689,0.0011184292970956,-0.0428549802165922,0.563028324655972,0.0026014266492325,0.5557421446311516
li2400,0.75,0.02,4,1,0.1442401093474296,0.0011095214041223,0.1435826563753665,0.3615241441169976,0.0031561742966629,0.356830029632764,0.1101315502089133,0.0010810380139329,0.1092628373499019,-0.4059150853556662,0.0040453902277735,-0.3995220662904513,0.0721200546737147,0.0005547607020611,0.0717913281876832,-0.0465133311307309,0.0011303056820713,-0.0456661292937981,0.6100388891332094,0.0051166976452099,0.6006602589723664
