# k^2  LiLi LiLi_error  LiCl LiCl_error  LiNa LiNa_error  ClCl ClCl_error  ClNa ClNa_error  NaNa NaNa_error
0.000000e+00 2.880000e+03 0.000000e+00 3.035787e+03 0.000000e+00 9.600000e+02 0.000000e+00 3.200000e+03 0.000000e+00 1.011929e+03 0.000000e+00 3.200000e+02 0.000000e+00
3.334975e-04 1.853087e-01 4.899792e-02 6.423392e-02 1.306378e-02 -3.476333e-01 1.163936e-01 6.072059e-02 8.049791e-03 -1.573215e-03 2.980406e-02 1.029382e+00 3.166316e-01
1.333990e-03 1.630182e-01 2.261069e-02 9.072071e-02 7.997569e-03 -1.939469e-01 4.688356e-02 8.155025e-02 7.556742e-03 -1.366269e-02 1.160098e-02 5.554942e-01 1.183642e-01
3.001478e-03 2.138666e-01 2.293541e-02 7.370085e-02 5.618709e-03 -3.754453e-01 5.769578e-02 6.590719e-02 4.443016e-03 -4.213332e-03 6.576462e-03 1.153535e+00 1.662639e-01
5.335961e-03 2.280185e-01 1.627517e-02 8.347274e-02 1.281966e-02 -3.584536e-01 3.238561e-02 6.858664e-02 8.065780e-03 -3.024919e-02 1.666570e-02 9.928202e-01 8.736907e-02
8.337438e-03 2.656199e-01 5.215538e-02 9.206389e-02 2.186313e-02 -3.765668e-01 5.975637e-02 7.193404e-02 1.042428e-02 -3.166326e-02 2.027074e-02 1.079408e+00 1.131815e-01
1.200591e-02 2.234602e-01 3.495343e-02 9.051052e-02 1.644522e-02 -2.363129e-01 5.324951e-02 8.238561e-02 6.509750e-03 -8.688423e-03 2.965108e-02 6.955895e-01 1.238937e-01
1.634138e-02 2.714816e-01 2.483747e-02 8.969686e-02 7.202190e-03 -2.897584e-01 3.871347e-02 7.680188e-02 3.061067e-03 -2.493017e-02 1.274718e-02 8.170700e-01 4.638922e-02
3.334975e-04 1.806948e-01 5.329086e-02 9.194568e-02 2.040687e-02 -2.454171e-01 9.912699e-02 7.814887e-02 1.009482e-02 -2.615166e-02 4.465658e-02 6.545551e-01 1.786377e-01
6.669951e-04 2.882270e-01 9.209971e-02 9.858418e-02 1.981923e-02 -5.425414e-01 2.179412e-01 6.953749e-02 5.668695e-03 -7.619809e-02 4.242057e-02 1.373996e+00 5.319044e-01
1.667488e-03 2.064032e-01 2.289855e-02 9.430378e-02 6.959591e-03 -3.104591e-01 6.405956e-02 7.328067e-02 6.650776e-03 -5.386693e-02 5.008221e-03 7.761225e-01 1.790091e-01
3.334975e-03 3.127240e-01 7.693789e-02 1.159227e-01 1.165275e-02 -5.376813e-01 1.974384e-01 7.803429e-02 2.625523e-03 -9.817432e-02 3.070524e-02 1.313030e+00 5.027286e-01
5.669458e-03 1.783197e-01 3.068742e-02 8.553125e-02 1.163680e-02 -2.192922e-01 8.142693e-02 8.028647e-02 8.880952e-03 -1.393577e-02 1.648497e-02 6.349801e-01 2.267709e-01
8.670936e-03 2.756043e-01 4.883491e-02 1.172007e-01 2.170827e-02 -3.417809e-01 7.935151e-02 9.079497e-02 9.574299e-03 -6.910199e-02 2.911134e-02 8.015890e-01 1.790623e-01
1.233941e-02 2.409635e-01 1.529086e-02 9.096767e-02 6.696568e-03 -2.729649e-01 1.167010e-02 7.597760e-02 5.302802e-03 -2.110922e-02 1.261474e-02 8.096208e-01 4.441264e-02
1.667488e-02 2.776563e-01 2.816769e-02 1.125182e-01 7.756733e-03 -2.668137e-01 6.719716e-02 9.820680e-02 5.362668e-03 -3.182088e-02 2.209821e-02 8.031683e-01 1.405446e-01
1.333990e-03 2.651121e-01 3.801941e-02 1.034152e-01 4.484159e-03 -4.538075e-01 1.034140e-01 8.049089e-02 4.765411e-03 -5.469541e-02 2.175453e-02 1.189957e+00 2.514228e-01
1.667488e-03 1.822442e-01 9.108552e-03 9.158430e-02 1.227525e-02 -2.477898e-01 2.660947e-02 7.307126e-02 7.444206e-03 -4.385524e-02 1.685430e-02 6.306978e-01 1.096981e-01
2.667980e-03 2.404617e-01 3.873651e-02 9.944919e-02 1.819095e-02 -3.713338e-01 7.534986e-02 7.432088e-02 8.217185e-03 -5.940748e-02 2.763836e-02 9.132983e-01 1.961290e-01
4.335468e-03 2.641902e-01 3.014879e-02 9.292230e-02 7.092810e-03 -4.255569e-01 7.258831e-02 6.827292e-02 4.890746e-03 -5.133527e-02 1.379830e-02 1.075173e+00 1.608446e-01
6.669951e-03 2.293489e-01 1.906416e-02 9.779761e-02 1.074145e-02 -3.068340e-01 3.136478e-02 7.249700e-02 7.399827e-03 -6.118165e-02 6.385192e-03 7.722129e-01 7.737688e-02
9.671429e-03 2.508249e-01 4.597219e-02 1.066248e-01 1.992652e-02 -3.313928e-01 8.731369e-02 8.508662e-02 7.430801e-03 -7.495413e-02 3.863691e-02 8.460411e-01 1.847227e-01
1.333990e-02 2.733877e-01 2.296413e-02 1.002733e-01 1.237733e-02 -3.303455e-01 3.998756e-02 7.897311e-02 2.524285e-03 -5.011473e-02 2.233134e-02 9.093190e-01 1.187850e-01
1.767537e-02 3.114203e-01 3.105139e-02 1.264357e-01 1.667150e-02 -3.311837e-01 5.412721e-02 1.042790e-01 1.253927e-02 -9.923019e-02 2.424476e-02 8.735488e-01 1.142005e-01
3.001478e-03 1.769334e-01 3.728809e-02 7.955186e-02 1.419447e-02 -2.486007e-01 6.182456e-02 5.965640e-02 6.534758e-03 -4.547307e-02 1.999399e-02 6.189524e-01 1.153000e-01
3.334975e-03 2.322204e-01 4.513983e-02 9.466317e-02 1.772801e-02 -3.495833e-01 8.368976e-02 6.865930e-02 6.111833e-03 -6.022222e-02 3.470989e-02 8.483994e-01 1.487095e-01
4.335468e-03 2.614196e-01 3.378318e-02 1.062744e-01 1.255537e-02 -4.035478e-01 6.355758e-02 7.879629e-02 5.853247e-03 -6.441420e-02 2.411981e-02 1.050387e+00 1.298387e-01
6.002956e-03 1.888953e-01 2.201346e-02 8.365935e-02 1.296556e-02 -2.176315e-01 3.016437e-02 7.433434e-02 7.745184e-03 -1.371229e-02 1.409395e-02 6.092787e-01 9.274622e-02
8.337438e-03 2.321384e-01 5.670468e-02 9.191676e-02 1.453069e-02 -3.078054e-01 1.134349e-01 7.122915e-02 7.483042e-03 -5.329491e-02 2.309404e-02 7.721241e-01 2.501578e-01
1.133892e-02 2.548786e-01 4.983078e-02 9.304543e-02 1.347887e-02 -3.104529e-01 7.745100e-02 7.996231e-02 1.135820e-02 -3.229399e-02 2.656112e-02 8.349237e-01 1.113626e-01
1.500739e-02 2.771157e-01 4.718038e-02 1.070402e-01 1.993771e-02 -3.164261e-01 5.192198e-02 9.035844e-02 8.580086e-03 -4.469180e-02 2.645276e-02 9.124106e-01 8.768706e-02
1.934286e-02 2.890308e-01 1.911963e-02 1.137534e-01 1.022046e-02 -2.846404e-01 2.289558e-02 1.070646e-01 6.851675e-03 -4.165791e-02 2.158442e-02 8.470409e-01 7.473974e-02
5.335961e-03 1.988028e-01 1.863752e-02 8.033956e-02 7.175038e-03 -2.889159e-01 5.519211e-02 6.866440e-02 4.751351e-03 -2.172940e-02 1.436034e-02 8.526210e-01 1.647530e-01
5.669458e-03 2.183979e-01 2.170641e-02 9.327064e-02 1.262037e-02 -2.854344e-01 2.375481e-02 7.498079e-02 6.498911e-03 -2.363927e-02 2.172520e-02 8.015020e-01 4.434591e-02
6.669951e-03 2.200369e-01 6.083735e-02 9.931255e-02 1.802510e-02 -2.903128e-01 1.348352e-01 7.917804e-02 8.365005e-03 -4.811172e-02 2.876135e-02 7.759906e-01 3.418779e-01
8.337438e-03 2.613700e-01 1.722284e-02 9.821958e-02 8.254955e-03 -3.730855e-01 2.745825e-02 6.849731e-02 4.090741e-03 -7.518623e-02 1.292424e-02 8.975309e-01 9.518056e-02
1.067192e-02 2.580405e-01 2.348114e-02 1.121332e-01 1.483830e-02 -3.020993e-01 1.828630e-02 8.893386e-02 7.060330e-03 -5.785570e-02 1.519223e-02 7.888234e-01 6.676098e-02
