# k^2  MgMg MgMg_error  MgCl MgCl_error  MgNa MgNa_error  ClCl ClCl_error  ClNa ClNa_error  NaNa NaNa_error
0.000000e+00 1.984000e+03 0.000000e+00 2.883908e+03 0.000000e+00 6.666453e+02 0.000000e+00 4.192000e+03 0.000000e+00 9.690243e+02 0.000000e+00 2.240000e+02 0.000000e+00
2.825121e-04 9.805044e-02 1.987417e-02 1.035808e-01 2.039245e-02 -1.261979e-01 3.803075e-02 1.279821e-01 2.248525e-02 -5.517102e-02 2.979418e-02 5.101781e-01 1.140854e-01
1.130048e-03 1.092667e-01 2.411451e-02 1.129601e-01 2.351639e-02 -1.268579e-01 9.039925e-02 1.925694e-01 3.175878e-02 2.015542e-01 7.898740e-02 1.679440e+00 3.193747e-01
2.542609e-03 1.160911e-01 1.664704e-02 8.869171e-02 1.657435e-02 -2.262272e-01 6.824422e-02 1.115376e-01 1.869823e-02 5.244204e-03 4.643698e-02 1.339404e+00 2.816254e-01
4.520193e-03 1.660092e-01 4.489026e-02 1.222683e-01 3.286300e-02 -3.109777e-01 8.450306e-02 1.263530e-01 2.303346e-02 -9.330517e-02 7.229387e-02 1.379526e+00 1.971708e-01
7.062802e-03 2.520870e-01 3.071662e-02 2.019972e-01 2.762441e-02 -2.745460e-01 6.852023e-02 2.035326e-01 2.682267e-02 -1.025521e-01 3.524724e-02 1.044349e+00 3.160296e-01
1.017043e-02 2.586197e-01 4.430817e-02 1.866654e-01 4.170735e-02 -1.814598e-01 4.399960e-02 1.767951e-01 4.094672e-02 -2.441294e-02 2.738179e-02 1.024816e+00 8.963557e-02
1.384309e-02 2.192173e-01 2.961720e-02 1.357158e-01 2.173065e-02 -8.636670e-02 2.633960e-02 1.254388e-01 1.638621e-02 1.246019e-02 1.985810e-02 7.606883e-01 6.711750e-02
2.825121e-04 1.311618e-01 1.980567e-02 1.201619e-01 2.273204e-02 -2.519136e-01 6.120858e-02 1.610402e-01 3.317496e-02 -1.045949e-02 5.091312e-02 1.450926e+00 1.455897e-01
5.650241e-04 1.210021e-01 2.400112e-02 1.223774e-01 1.974591e-02 -1.799476e-01 6.894954e-02 1.542180e-01 1.288838e-02 -5.056061e-02 7.594141e-02 8.660182e-01 1.805108e-01
1.412560e-03 1.094517e-01 1.415003e-02 1.078260e-01 1.279575e-02 -1.427593e-01 2.908056e-02 1.413110e-01 1.178434e-02 8.110888e-03 3.655122e-02 9.066754e-01 2.076692e-01
2.825121e-03 1.413222e-01 4.865187e-02 1.293889e-01 3.739772e-02 -1.915117e-01 1.076798e-01 1.571065e-01 2.548637e-02 -1.387337e-02 1.020419e-01 1.118229e+00 1.392558e-01
4.802705e-03 1.606942e-01 1.176978e-02 1.491875e-01 1.850874e-02 -1.446742e-01 3.432821e-02 1.700892e-01 2.338722e-02 -3.256049e-02 1.480555e-02 7.895819e-01 1.303505e-01
7.345314e-03 2.368554e-01 4.784388e-02 1.916366e-01 4.157635e-02 -1.650728e-01 4.667764e-02 1.863842e-01 3.573292e-02 -5.421477e-02 5.251106e-02 7.570311e-01 4.330202e-02
1.045295e-02 2.648544e-01 4.767338e-02 1.795141e-01 2.296910e-02 -2.493603e-01 1.455880e-01 1.630491e-01 1.333333e-02 -5.539985e-02 9.914041e-02 1.128675e+00 2.631634e-01
1.412560e-02 3.465539e-01 8.152812e-02 1.966394e-01 3.966868e-02 -2.805725e-01 1.047068e-01 1.597856e-01 2.220229e-02 -8.998898e-02 5.462781e-02 1.146931e+00 1.920104e-01
1.130048e-03 1.418583e-01 2.910327e-02 1.226878e-01 1.662463e-02 -2.935293e-01 1.085691e-01 1.377856e-01 8.066665e-03 -1.208120e-01 9.259927e-02 1.231704e+00 2.643950e-01
