# k^2  LiLi LiLi_error  LiCl LiCl_error  LiNa LiNa_error  ClCl ClCl_error  ClNa ClNa_error  NaNa NaNa_error
0.000000e+00 6.400000e+02 0.000000e+00 1.431084e+03 0.000000e+00 1.280000e+03 0.000000e+00 3.200000e+03 0.000000e+00 2.862167e+03 0.000000e+00 2.560000e+03 0.000000e+00
3.009078e-04 1.046598e+00 1.055271e-01 1.504194e-01 3.612756e-02 -3.519167e-01 2.905187e-02 6.196158e-02 5.508691e-03 -5.184358e-03 1.323846e-02 1.707497e-01 1.879659e-02
1.203631e-03 7.659302e-01 2.096686e-01 8.317564e-02 1.053982e-02 -2.875717e-01 9.616075e-02 5.986724e-02 5.383253e-03 2.662986e-02 9.778034e-03 1.786428e-01 4.446909e-02
2.708170e-03 6.819873e-01 1.262153e-01 9.079406e-02 2.903435e-02 -2.354442e-01 5.239221e-02 6.535773e-02 5.972481e-03 2.761943e-02 1.053295e-02 1.569321e-01 3.103497e-02
4.814525e-03 9.849460e-01 1.761126e-01 9.735195e-02 2.370039e-02 -3.760125e-01 7.365449e-02 6.250962e-02 7.270176e-03 1.901443e-02 6.682509e-03 2.239207e-01 3.079746e-02
7.522695e-03 9.713638e-01 1.402491e-01 1.148277e-01 1.991572e-02 -3.622810e-01 5.225920e-02 7.253510e-02 8.143193e-03 1.712632e-02 7.810766e-03 2.288535e-01 2.700010e-02
1.083268e-02 1.052267e+00 1.571183e-01 1.092046e-01 1.557358e-02 -3.869250e-01 7.256480e-02 7.698194e-02 4.105642e-03 1.512315e-02 8.858993e-03 2.344909e-01 3.402054e-02
1.474448e-02 1.004173e+00 1.761903e-01 1.359838e-01 3.276088e-02 -3.571555e-01 8.450812e-02 8.429059e-02 8.348620e-03 2.266791e-03 1.522592e-02 2.298359e-01 4.289298e-02
3.009078e-04 9.568426e-01 3.165233e-01 7.604562e-02 2.033745e-02 -3.925358e-01 1.406137e-01 4.998985e-02 9.346243e-03 1.781616e-02 8.164992e-03 2.167224e-01 6.337694e-02
6.018156e-04 5.899849e-01 1.183124e-01 9.561490e-02 2.258506e-02 -1.865730e-01 4.408191e-02 7.454857e-02 4.361269e-03 3.447401e-02 1.031747e-02 1.322529e-01 1.704976e-02
1.504539e-03 3.612194e-01 8.436478e-02 6.169172e-02 1.051954e-02 -1.076576e-01 4.205247e-02 5.978145e-02 4.299476e-03 3.700406e-02 3.222727e-03 1.013844e-01 2.101979e-02
3.009078e-03 4.403672e-01 1.109999e-01 7.513076e-02 1.331711e-02 -1.325303e-01 4.494404e-02 6.968172e-02 1.118762e-02 4.020922e-02 7.499303e-03 1.218323e-01 2.187285e-02
5.115432e-03 1.026488e+00 2.321830e-01 1.478390e-01 4.643402e-02 -3.258919e-01 5.886306e-02 7.631554e-02 1.289810e-02 7.941877e-03 1.222885e-02 1.817007e-01 2.359633e-02
7.823602e-03 1.087838e+00 2.275223e-01 1.320646e-01 1.548076e-02 -3.748542e-01 8.940434e-02 5.918996e-02 3.370323e-03 -9.722196e-03 1.029006e-02 1.943820e-01 2.947761e-02
