# k^2  MgMg MgMg_error  MgCl MgCl_error  MgNa MgNa_error  ClCl ClCl_error  ClNa ClNa_error  NaNa NaNa_error
0.000000e+00 3.200000e+02 0.000000e+00 1.036919e+03 0.000000e+00 9.329523e+02 5.684342e-14 3.360000e+03 0.000000e+00 3.023111e+03 0.000000e+00 2.720000e+03 0.000000e+00
2.934432e-04 1.883493e+00 2.390455e-01 2.718075e-01 5.662566e-02 -9.855929e-01 1.767986e-01 1.016911e-01 2.369013e-02 -7.173787e-02 1.842460e-02 5.965244e-01 1.183084e-01
1.173773e-03 4.878061e-01 1.289273e-01 8.818894e-02 2.341573e-02 -2.242087e-01 6.850630e-02 6.543503e-02 6.665555e-03 1.366568e-02 9.611272e-03 1.666013e-01 3.717514e-02
2.640989e-03 6.701728e-01 1.987397e-01 1.453545e-01 5.637595e-02 -2.681864e-01 6.804575e-02 8.220737e-02 2.008988e-02 -5.507889e-03 1.622777e-02 1.713487e-01 2.921838e-02
4.695091e-03 6.130525e-01 1.011741e-01 1.152194e-01 1.737724e-02 -2.614736e-01 4.708463e-02 8.440983e-02 8.512079e-03 1.657065e-02 8.855156e-03 1.992201e-01 2.102844e-02
7.336079e-03 8.661269e-01 2.682215e-01 1.603971e-01 5.005677e-02 -3.272543e-01 1.122065e-01 9.543632e-02 7.701630e-03 6.234109e-03 2.438720e-02 2.217332e-01 4.598529e-02
1.056395e-02 6.053710e-01 1.267601e-01 1.252741e-01 3.670167e-02 -1.962051e-01 2.886688e-02 8.229927e-02 1.112410e-02 6.848026e-03 9.602087e-03 1.512186e-01 1.193727e-02
1.437872e-02 1.320685e+00 3.024159e-01 2.604041e-01 5.354318e-02 -3.806043e-01 1.069196e-01 1.134810e-01 1.157327e-02 -2.762694e-02 1.403904e-02 2.249485e-01 4.126247e-02
2.934432e-04 2.217753e-01 6.562425e-02 5.599505e-02 2.064965e-02 -8.953544e-02 3.715867e-02 6.974312e-02 5.732420e-03 3.891282e-02 1.227445e-02 1.053679e-01 2.409460e-02
5.868863e-04 7.611409e-02 1.746029e-02 2.067809e-02 7.773826e-03 -2.729995e-02 1.430186e-02 6.341105e-02 9.699719e-03 5.703955e-02 6.379548e-03 8.397293e-02 8.662207e-03
1.467216e-03 2.127401e-01 2.008260e-02 7.617676e-02 1.517817e-02 -5.039193e-02 1.607890e-02 7.425014e-02 8.662088e-03 3.502299e-02 4.379862e-03 7.694331e-02 8.988267e-03
2.934432e-03 3.653413e-01 7.368044e-02 7.756159e-02 1.127212e-02 -1.462368e-01 3.685604e-02 8.051714e-02 7.958881e-03 3.504122e-02 1.107161e-02 1.395526e-01 1.826584e-02
4.988534e-03 7.618800e-01 1.628785e-01 1.445329e-01 3.256506e-02 -3.013289e-01 6.584645e-02 8.078731e-02 3.412842e-03 -1.769523e-03 1.821022e-02 1.988106e-01 2.610190e-02
7.629522e-03 6.979243e-01 2.017061e-01 1.355959e-01 3.915806e-02 -2.503454e-01 8.315423e-02 9.053422e-02 7.301870e-03 1.497957e-02 1.832530e-02 1.906021e-01 2.929200e-02
1.085740e-02 6.196674e-01 1.562876e-01 1.121248e-01 2.464444e-02 -2.317987e-01 6.259550e-02 8.392125e-02 8.537861e-03 1.921389e-02 8.421025e-03 1.978306e-01 2.905423e-02
1.467216e-02 8.699657e-01 1.187160e-01 1.249981e-01 2.371408e-02 -2.879831e-01 5.404281e-02 8.876495e-02 9.619126e-03 1.614963e-02 5.600777e-03 2.097646e-01 2.501312e-02
1.173773e-03 9.879093e-01 8.527123e-02 1.460772e-01 8.622375e-03 -5.092917e-01 5.654768e-02 7.412960e-02 5.875374e-03 -1.805195e-02 6.427519e-03 3.296710e-01 3.861403e-02
1.467216e-03 4.703576e-01 8.530478e-02 6.461827e-02 1.811378e-02 -2.411853e-01 4.013359e-02 5.648887e-02 7.356239e-03 1.716799e-02 8.234183e-03 1.816748e-01 1.863336e-02
2.347545e-03 3.919060e-01 9.393532e-02 7.519197e-02 3.561538e-02 -1.736043e-01 2.730655e-02 6.913931e-02 1.353685e-02 2.718681e-02 9.414863e-03 1.532887e-01 1.582910e-02
3.814761e-03 4.264107e-01 1.138696e-01 8.548181e-02 1.098334e-02 -1.776223e-01 5.730320e-02 7.478139e-02 5.544601e-03 2.356910e-02 7.433738e-03 1.500129e-01 3.421240e-02
5.868863e-03 5.176695e-01 9.513484e-02 1.227122e-01 1.697031e-02 -1.772215e-01 4.260562e-02 7.452826e-02 5.477522e-03 5.017658e-03 7.648006e-03 1.399091e-01 1.882524e-02
8.509852e-03 7.866399e-01 2.012361e-01 1.288274e-01 4.214688e-02 -3.082476e-01 7.220783e-02 8.276934e-02 9.451090e-03 6.874444e-03 2.081406e-02 2.185768e-01 1.963743e-02
1.173773e-02 7.507994e-01 1.380472e-01 1.325902e-01 2.343507e-02 -2.363476e-01 6.097867e-02 8.883453e-02 1.139386e-02 1.376023e-02 9.089784e-03 1.846094e-01 2.680713e-02
1.555249e-02 9.446554e-01 2.382020e-01 1.523730e-01 2.485684e-02 -3.123796e-01 1.056389e-01 1.060368e-01 7.216439e-03 1.389348e-02 1.236289e-02 2.354943e-01 4.796222e-02
2.640989e-03 6.817030e-01 2.167957e-01 1.159508e-01 2.941801e-02 -3.145514e-01 1.108622e-01 8.055310e-02 5.449719e-03 1.020781e-02 1.797772e-02 2.217263e-01 5.445372e-02
2.934432e-03 3.566897e-01 5.405876e-02 6.769391e-02 1.119091e-02 -1.511316e-01 3.921686e-02 6.026522e-02 3.957789e-03 2.151568e-02 6.340981e-03 1.277699e-01 2.770821e-02
3.814761e-03 7.892544e-01 2.271977e-01 1.618661e-01 4.782866e-02 -3.119637e-01 9.111367e-02 9.740673e-02 6.601811e-03 4.741768e-03 2.311854e-02 2.121165e-01 3.448098e-02
5.281977e-03 5.245438e-01 1.368063e-01 1.046321e-01 1.920437e-02 -1.959100e-01 6.864717e-02 8.830609e-02 1.054808e-02 3.077059e-02 6.737954e-03 1.675447e-01 3.815031e-02
7.336079e-03 4.793861e-01 9.986108e-02 8.537034e-02 2.132998e-02 -1.941025e-01 4.555563e-02 7.915147e-02 6.183097e-03 2.877099e-02 3.986398e-03 1.724049e-01 2.705492e-02
9.977068e-03 1.182525e+00 2.124952e-01 2.037824e-01 3.635033e-02 -4.513864e-01 8.224889e-02 8.365551e-02 9.787123e-03 -2.561222e-02 1.050661e-02 2.728294e-01 3.246442e-02
1.320494e-02 5.929301e-01 8.701714e-02 1.253733e-01 1.617397e-02 -1.570879e-01 4.414794e-02 8.465061e-02 3.510487e-03 1.508749e-02 9.860476e-03 1.534175e-01 8.531681e-03
1.701970e-02 1.199600e+00 1.121403e-01 2.055321e-01 2.787556e-02 -3.602160e-01 4.635669e-02 1.057535e-01 9.719633e-03 -9.719642e-03 1.049632e-02 2.417653e-01 3.176775e-02
4.695091e-03 5.578100e-01 1.017720e-01 1.130135e-01 2.429174e-02 -2.246035e-01 4.731681e-02 7.900150e-02 8.571752e-03 1.179819e-02 9.272493e-03 1.693783e-01 3.260988e-02
4.988534e-03 8.252556e-01 3.850075e-01 1.311238e-01 5.629313e-02 -3.473758e-01 1.706756e-01 8.755724e-02 1.737744e-02 1.701083e-02 1.407183e-02 2.443726e-01 8.853302e-02
5.868863e-03 5.211156e-01 1.784948e-01 1.289643e-01 4.548833e-02 -1.706954e-01 6.942451e-02 8.123392e-02 1.497931e-02 1.045242e-02 1.402220e-02 1.367752e-01 3.171576e-02
7.336079e-03 6.399675e-01 1.169459e-01 1.115118e-01 2.046735e-02 -2.573277e-01 6.083237e-02 7.740589e-02 7.780543e-03 1.554147e-02 1.057069e-02 2.012304e-01 3.817192e-02
9.390181e-03 7.695001e-01 1.725864e-01 1.354735e-01 4.067610e-02 -2.739218e-01 8.054098e-02 8.088951e-02 1.041930e-02 2.052662e-03 1.802193e-02 1.874201e-01 3.623096e-02
1.203117e-02 8.608965e-01 1.043218e-01 1.668678e-01 1.525452e-02 -2.626607e-01 4.556236e-02 9.619866e-02 8.025149e-03 5.694526e-03 1.470473e-02 1.903135e-01 2.110640e-02
1.525904e-02 8.770543e-01 2.286347e-01 1.967698e-01 5.970926e-02 -1.952205e-01 3.384767e-02 1.132343e-01 1.374711e-02 3.073039e-03 1.596690e-02 1.578116e-01 1.481936e-02
1.907381e-02 8.125091e-01 1.200426e-01 1.446256e-01 2.542497e-02 -2.259524e-01 6.704884e-02 9.785339e-02 1.080806e-02 -3.713111e-03 1.416586e-02 1.831776e-01 2.589111e-02
7.336079e-03 5.925696e-01 7.239883e-02 1.112788e-01 8.367537e-03 -2.296042e-01 4.303540e-02 7.139070e-02 4.167461e-03 5.727946e-03 7.392332e-03 1.688354e-01 2.340886e-02
7.629522e-03 4.811706e-01 4.882796e-02 8.476365e-02 1.444815e-02 -1.994584e-01 2.067696e-02 7.736023e-02 4.563288e-03 2.826564e-02 6.146844e-03 1.860995e-01 1.229003e-02
8.509852e-03 7.311086e-01 2.864559e-01 1.709462e-01 5.916380e-02 -2.204011e-01 9.025105e-02 9.726473e-02 1.588422e-02 7.712919e-03 1.673418e-02 1.613156e-01 3.454019e-02
9.977068e-03 7.099687e-01 1.414310e-01 1.140475e-01 3.475874e-02 -2.477122e-01 6.282138e-02 8.188802e-02 8.712641e-03 1.791160e-02 1.329209e-02 1.927892e-01 2.403533e-02
1.203117e-02 5.879925e-01 1.138488e-01 1.091779e-01 2.884939e-02 -1.723851e-01 3.916602e-02 8.561921e-02 1.035198e-02 2.666322e-02 8.976836e-03 1.638207e-01 1.257398e-02
1.467216e-02 1.480372e+00 6.031502e-01 2.986226e-01 1.185037e-01 -4.451677e-01 1.871592e-01 1.346071e-01 2.733100e-02 -3.420023e-02 3.759752e-02 2.462060e-01 5.727462e-02
1.790003e-02 7.347790e-01 8.379380e-02 1.298041e-01 1.706106e-02 -1.934905e-01 3.311323e-02 1.032691e-01 7.044576e-03 2.442639e-02 5.356418e-03 2.029373e-01 2.012387e-02
2.171479e-02 8.935626e-01 1.593545e-01 1.741868e-01 3.938120e-02 -2.012403e-01 3.857530e-02 1.077925e-01 1.239275e-02 1.027575e-02 1.040903e-02 2.084632e-01 1.225583e-02
1.056395e-02 4.453163e-01 7.991139e-02 9.819161e-02 1.917563e-02 -1.433743e-01 2.197691e-02 8.196309e-02 1.035593e-02 2.472221e-02 6.086110e-03 1.461884e-01 1.237922e-02
1.085740e-02 8.718949e-01 2.080622e-01 1.741887e-01 4.081603e-02 -2.690170e-01 6.654654e-02 8.733463e-02 8.607109e-03 -1.285955e-03 1.156732e-02 1.946937e-01 2.040284e-02
1.173773e-02 7.798853e-01 1.490346e-01 1.601631e-01 3.893736e-02 -2.565611e-01 5.539768e-02 9.807174e-02 1.255595e-02 1.023661e-03 1.621269e-02 1.843766e-01 1.987254e-02
1.320494e-02 9.502898e-01 1.636680e-01 1.515423e-01 2.677714e-02 -3.441956e-01 6.924531e-02 9.346223e-02 6.749540e-03 2.131127e-04 1.524806e-02 2.398805e-01 3.063521e-02
1.525904e-02 7.261684e-01 1.198751e-01 1.306430e-01 2.566567e-02 -2.053678e-01 5.261195e-02 9.877074e-02 1.215738e-02 2.061587e-02 9.729267e-03 1.743357e-01 2.013267e-02
1.790003e-02 1.216490e+00 1.197513e-01 2.429888e-01 2.214990e-02 -3.098005e-01 4.829926e-02 1.386366e-01 8.754258e-03 4.154800e-03 1.765401e-02 2.340200e-01 1.388972e-02
2.112791e-02 1.092205e+00 1.633377e-01 1.634487e-01 2.993027e-02 -3.003890e-01 6.860332e-02 9.847128e-02 1.529375e-02 -9.448648e-03 1.769663e-02 2.331843e-01 2.718343e-02
2.494267e-02 7.584041e-01 1.079731e-01 1.353548e-01 2.715370e-02 -2.362720e-01 3.057063e-02 1.256804e-01 6.973796e-03 -9.813020e-04 2.090987e-02 2.553881e-01 2.737497e-02
1.437872e-02 8.282987e-01 6.557733e-02 1.626581e-01 1.621468e-02 -2.406092e-01 3.263026e-02 1.007524e-01 5.034875e-03 7.803187e-03 4.005715e-03 1.803897e-01 1.994629e-02
1.467216e-02 6.852749e-01 1.376737e-01 1.416589e-01 3.287719e-02 -2.105186e-01 6.762063e-02 1.011952e-01 6.631338e-03 1.141834e-02 2.004294e-02 1.978019e-01 3.891725e-02
1.555249e-02 6.942121e-01 9.974132e-02 1.364345e-01 2.809969e-02 -1.895461e-01 2.304798e-02 1.017157e-01 4.905178e-03 1.867496e-02 1.407716e-02 1.833747e-01 1.148986e-02
1.701970e-02 1.265685e+00 3.502471e-01 2.272092e-01 6.005154e-02 -3.743016e-01 1.109974e-01 1.116269e-01 1.234350e-02 -1.395064e-02 1.901330e-02 2.399147e-01 3.646736e-02
1.907381e-02 9.371316e-01 1.269159e-01 2.008670e-01 4.308067e-02 -1.984426e-01 2.000729e-02 1.219989e-01 1.590977e-02 1.212345e-02 8.153139e-03 1.850670e-01 1.627493e-02
2.171479e-02 9.636906e-01 1.858261e-01 1.972649e-01 3.997064e-02 -2.298514e-01 2.680978e-02 1.195128e-01 8.729937e-03 1.365313e-02 9.243978e-03 2.331513e-01 1.313811e-02
2.494267e-02 1.085932e+00 2.589657e-01 2.132918e-01 5.785789e-02 -2.434581e-01 6.256791e-02 1.368813e-01 1.636484e-02 -7.667158e-03 9.156613e-03 2.476104e-01 2.117511e-02
2.875743e-02 1.168201e+00 2.942609e-01 1.815580e-01 4.069120e-02 -3.154312e-01 1.094775e-01 1.453056e-01 5.398286e-03 -9.165686e-03 2.759306e-02 2.977903e-01 4.776810e-02
2.934432e-04 9.192101e-02 2.890529e-02 3.317226e-02 8.527216e-03 -2.500342e-02 1.350557e-02 7.771817e-02 8.159037e-03 6.455468e-02 1.020635e-02 9.030677e-02 6.962609e-03
5.868863e-04 4.150621e-01 9.996136e-02 6.293993e-02 2.982311e-02 -2.096959e-01 4.498088e-02 5.257311e-02 1.120853e-02 1.558175e-02 8.838768e-03 1.604226e-01 2.587877e-02
1.467216e-03 3.754392e-01 6.734351e-02 3.064407e-02 1.391232e-02 -2.141895e-01 5.140199e-02 5.940384e-02 6.046853e-03 4.582964e-02 7.983716e-03 1.991172e-01 3.937906e-02
2.934432e-03 4.959576e-01 1.101732e-01 1.277107e-01 2.822103e-02 -1.782531e-01 4.318911e-02 8.964814e-02 1.178522e-02 1.548148e-02 1.145005e-02 1.413543e-01 1.988400e-02
4.988534e-03 9.564917e-01 2.387363e-01 1.618018e-01 2.621414e-02 -4.142525e-01 1.308331e-01 9.392491e-02 1.182394e-02 3.743441e-04 8.663547e-03 2.768086e-01 7.875022e-02
7.629522e-03 7.567971e-01 1.898050e-01 1.409056e-01 4.563401e-02 -2.534884e-01 6.735012e-02 7.861264e-02 1.326516e-02 7.538916e-03 1.395566e-02 1.716006e-01 2.993130e-02
1.085740e-02 8.794003e-01 1.900935e-01 1.918937e-01 3.495619e-02 -2.632035e-01 7.053838e-02 1.082335e-01 1.202404e-02 2.869846e-03 1.411256e-02 1.927742e-01 3.720742e-02
1.467216e-02 1.045554e+00 1.564486e-01 1.663203e-01 2.461806e-02 -3.666170e-01 6.729042e-02 1.021011e-01 6.906986e-03 6.358604e-03 1.459881e-02 2.623399e-01 3.076142e-02
5.868863e-04 1.035406e-01 2.318946e-02 1.226427e-02 7.552766e-03 -5.736678e-02 2.359635e-02 7.538974e-02 6.181287e-03 7.711411e-02 8.834304e-03 1.294327e-01 2.490525e-02
8.803295e-04 3.716719e-01 1.058987e-01 9.960971e-02 4.185648e-02 -1.320487e-01 3.520652e-02 6.896111e-02 1.351327e-02 9.856956e-03 1.384537e-02 9.838236e-02 2.306562e-02
1.760659e-03 3.482651e-01 1.479853e-01 6.180914e-02 1.074957e-02 -1.607416e-01 9.427553e-02 6.041680e-02 4.573827e-03 2.642343e-02 4.044017e-03 1.424052e-01 6.453214e-02
3.227875e-03 3.572048e-01 6.727099e-02 7.353478e-02 1.467548e-02 -1.395014e-01 2.905499e-02 5.969189e-02 6.851478e-03 1.928624e-02 5.355473e-03 1.200919e-01 1.530546e-02
5.281977e-03 3.393840e-01 7.807458e-02 7.412932e-02 1.547768e-02 -1.193181e-01 3.321973e-02 6.232293e-02 6.086351e-03 1.518290e-02 8.529721e-03 1.053392e-01 1.189591e-02
7.922966e-03 7.748125e-01 1.949422e-01 1.332348e-01 2.842138e-02 -2.987171e-01 9.643829e-02 7.716443e-02 5.053381e-03 6.955205e-03 1.369593e-02 2.098281e-01 4.836552e-02
1.115084e-02 6.780086e-01 9.922602e-02 1.262371e-01 1.662812e-02 -2.285646e-01 4.920620e-02 8.817412e-02 1.149244e-02 6.960773e-03 1.148474e-02 1.688643e-01 2.111127e-02
1.496560e-02 8.297680e-01 1.734457e-01 1.589451e-01 4.506101e-02 -2.181847e-01 4.285206e-02 9.300005e-02 9.830315e-03 4.188215e-03 1.560176e-02 1.662043e-01 1.539943e-02
1.467216e-03 7.475786e-01 2.241711e-01 1.243059e-01 5.092740e-02 -3.559827e-01 1.154803e-01 7.989045e-02 1.177950e-02 5.751056e-03 2.042161e-02 2.481530e-01 7.013108e-02
1.760659e-03 4.173551e-01 1.005332e-01 7.640805e-02 1.705097e-02 -1.924717e-01 5.860108e-02 6.318642e-02 5.911922e-03 1.731676e-02 9.356080e-03 1.526599e-01 3.481218e-02
