# k^2  MgMg MgMg_error  MgCl MgCl_error  MgNa MgNa_error  ClCl ClCl_error  ClNa ClNa_error  NaNa NaNa_error
0.000000e+00 1.728000e+03 0.000000e+00 2.650017e+03 0.000000e+00 1.025000e+03 0.000000e+00 4.064000e+03 0.000000e+00 1.571913e+03 0.000000e+00 6.080000e+02 0.000000e+00
2.872308e-04 7.108313e-02 9.413159e-03 6.300931e-02 1.071485e-02 -7.456877e-02 1.297119e-02 9.521095e-02 1.378915e-02 3.535358e-02 3.455182e-02 3.460485e-01 8.513453e-02
1.148923e-03 1.470605e-01 2.154341e-02 1.287819e-01 1.835108e-02 -1.360210e-01 3.783769e-02 1.544359e-01 2.407184e-02 -1.260733e-02 3.248835e-02 4.258747e-01 8.229850e-02
2.585077e-03 1.178245e-01 2.466513e-02 8.752204e-02 1.222942e-02 -1.227324e-01 6.156342e-02 1.014011e-01 1.172407e-02 -2.442327e-03 3.044045e-02 4.004736e-01 1.156380e-01
4.595693e-03 1.651836e-01 3.803010e-02 1.217490e-01 2.770172e-02 -1.584076e-01 4.219957e-02 1.283086e-01 2.223875e-02 -2.023750e-02 2.220153e-02 4.871732e-01 9.305793e-02
7.180770e-03 2.494615e-01 4.274965e-02 1.600070e-01 3.009785e-02 -2.296295e-01 4.002827e-02 1.493055e-01 2.536133e-02 -3.702704e-02 2.182124e-02 6.533212e-01 8.483569e-02
1.034031e-02 3.336887e-01 6.128921e-02 1.845249e-01 2.965324e-02 -2.596739e-01 8.340311e-02 1.437581e-01 1.385803e-02 -6.702162e-02 5.327101e-02 6.547824e-01 1.193034e-01
1.407431e-02 3.661801e-01 1.164881e-01 1.921180e-01 5.870397e-02 -2.735443e-01 1.429411e-01 1.521570e-01 3.193567e-02 -6.970085e-02 7.026700e-02 7.317869e-01 1.789088e-01
2.872308e-04 8.342148e-02 6.137626e-03 9.909512e-02 8.289802e-03 -1.716319e-02 1.744836e-02 1.379224e-01 1.561347e-02 3.175008e-02 1.648084e-02 1.442202e-01 2.684138e-02
5.744616e-04 1.753209e-01 3.894844e-02 1.159727e-01 1.371056e-02 -2.821533e-01 1.193393e-01 1.198095e-01 1.445793e-02 -7.375442e-02 3.868784e-02 7.635053e-01 3.160864e-01
1.436154e-03 1.730428e-01 3.332856e-02 1.403540e-01 2.223484e-02 -1.856732e-01 5.227593e-02 1.449488e-01 1.650553e-02 -7.714333e-02 3.163319e-02 4.035312e-01 9.390179e-02
2.872308e-03 1.857443e-01 1.930910e-02 1.192901e-01 1.041186e-02 -2.504186e-01 6.706388e-02 1.208071e-01 2.006124e-02 -4.459114e-02 3.759774e-02 7.122745e-01 1.423476e-01
4.882924e-03 2.630736e-01 5.964384e-02 1.719254e-01 3.160820e-02 -2.952631e-01 1.011408e-01 1.530165e-01 2.037719e-02 -9.117302e-02 3.787219e-02 7.124401e-01 2.226526e-01
7.468001e-03 2.471354e-01 4.672262e-02 1.553019e-01 3.220007e-02 -2.433894e-01 5.644089e-02 1.397879e-01 2.252046e-02 -6.179539e-02 3.452526e-02 6.425232e-01 9.460966e-02
1.062754e-02 3.573375e-01 3.315439e-02 2.094541e-01 1.639964e-02 -2.775787e-01 4.476600e-02 1.690124e-01 1.392006e-02 -6.961921e-02 2.372433e-02 6.259381e-01 6.274191e-02
1.436154e-02 4.190018e-01 6.310166e-02 2.140200e-01 3.928446e-02 -3.155420e-01 3.397168e-02 1.576518e-01 2.285656e-02 -9.393952e-02 2.565719e-02 7.162421e-01 7.944609e-02
1.148923e-03 1.249076e-01 2.181626e-02 9.932300e-02 1.121142e-02 -1.463102e-01 4.991313e-02 1.193492e-01 9.916378e-03 -1.511329e-02 2.120504e-02 4.536253e-01 1.190209e-01
1.436154e-03 1.219594e-01 2.812844e-02 1.184293e-01 2.668269e-02 -7.701395e-02 2.460330e-02 1.477693e-01 2.013047e-02 5.307806e-03 3.480195e-02 2.722795e-01 3.585349e-02
2.297846e-03 8.770309e-02 1.022074e-02 8.399377e-02 1.257596e-02 -5.445597e-02 1.413804e-02 1.136423e-01 1.305968e-02 2.578415e-02 1.362198e-02 2.735627e-01 6.232569e-02
3.734000e-03 1.854284e-01 4.326403e-02 1.466010e-01 3.330818e-02 -1.414445e-01 6.644448e-02 1.572473e-01 3.436494e-02 -1.178522e-02 4.168764e-02 4.403548e-01 9.998704e-02
5.744616e-03 1.273451e-01 1.161811e-02 1.088069e-01 1.103235e-02 -3.900375e-02 5.850800e-03 1.357124e-01 1.541628e-02 6.434084e-02 1.658796e-02 3.817582e-01 4.498585e-02
8.329693e-03 2.451926e-01 1.030246e-02 1.642824e-01 7.702379e-03 -1.870510e-01 1.568724e-02 1.558120e-01 6.347306e-03 -2.616645e-02 1.554223e-02 5.634678e-01 5.689894e-02
1.148923e-02 4.967853e-01 1.281632e-01 2.658861e-01 5.840458e-02 -4.543534e-01 1.619571e-01 1.943460e-01 3.576555e-02 -1.542957e-01 6.751505e-02 8.436378e-01 1.912315e-01
1.522323e-02 5.813068e-01 9.788988e-02 2.962744e-01 5.219137e-02 -4.249766e-01 6.271317e-02 2.043618e-01 2.697753e-02 -1.428919e-01 3.420264e-02 8.267757e-01 5.336931e-02
2.585077e-03 1.944651e-01 2.830744e-02 1.315086e-01 2.633940e-02 -2.651476e-01 9.432289e-02 1.519363e-01 2.845068e-02 -1.281305e-02 2.946084e-02 8.649995e-01 3.080830e-01
2.872308e-03 7.481382e-02 1.116167e-02 7.226129e-02 1.157812e-02 -3.360684e-02 1.251651e-02 1.175603e-01 1.195830e-02 9.425394e-02 2.693048e-02 4.270256e-01 6.799387e-02
3.734000e-03 1.394978e-01 3.951751e-02 1.189551e-01 3.424722e-02 -9.574226e-02 2.722932e-02 1.450134e-01 2.935508e-02 2.128718e-02 3.041045e-02 3.896521e-01 6.365398e-02
5.170154e-03 1.710564e-01 3.037977e-02 1.207017e-01 1.936723e-02 -1.383394e-01 3.765844e-02 1.249386e-01 1.000762e-02 4.915706e-04 3.638664e-02 4.751319e-01 4.574189e-02
7.180770e-03 2.104524e-01 1.288739e-02 1.307970e-01 1.309651e-02 -1.983107e-01 4.138641e-02 1.162409e-01 1.249052e-02 -5.702324e-02 1.637981e-02 4.957016e-01 1.108889e-01
9.765847e-03 3.394993e-01 8.065050e-02 2.090806e-01 5.038410e-02 -2.645059e-01 9.253068e-02 1.756954e-01 3.191435e-02 -7.167871e-02 6.009901e-02 6.444163e-01 1.067515e-01
1.292539e-02 4.048078e-01 5.370492e-02 2.048242e-01 2.666590e-02 -3.296562e-01 5.918712e-02 1.544775e-01 1.235569e-02 -8.785596e-02 3.934812e-02 6.980986e-01 6.153974e-02
1.665939e-02 6.143400e-01 1.367339e-01 2.938291e-01 7.066448e-02 -3.673712e-01 9.352411e-02 1.904392e-01 3.617602e-02 -1.026996e-01 4.810831e-02 7.314186e-01 9.241407e-02
4.595693e-03 2.177208e-01 1.933591e-02 1.451981e-01 1.240673e-02 -2.561746e-01 3.853525e-02 1.455486e-01 1.038530e-02 -4.959767e-02 2.730628e-02 6.959155e-01 8.350694e-02
4.882924e-03 2.029327e-01 2.893835e-02 1.254554e-01 2.067058e-02 -2.759167e-01 6.293754e-02 1.248911e-01 2.009647e-02 -5.098036e-02 1.605476e-02 8.013317e-01 2.067907e-01
5.744616e-03 2.555984e-01 7.780962e-02 1.802456e-01 5.122203e-02 -2.033596e-01 8.184695e-02 1.726962e-01 3.758369e-02 -3.658857e-02 4.072641e-02 5.555263e-01 1.156515e-01
7.180770e-03 3.365323e-01 8.345837e-02 2.165047e-01 4.313920e-02 -3.163641e-01 1.232123e-01 1.803630e-01 2.071664e-02 -1.047550e-01 6.546647e-02 7.251352e-01 1.779895e-01
9.191386e-03 3.486162e-01 9.917789e-02 2.054819e-01 6.104937e-02 -3.190566e-01 7.875031e-02 1.619760e-01 3.987228e-02 -9.624113e-02 4.360977e-02 7.365289e-01 1.124409e-01
1.177646e-02 4.288021e-01 1.006073e-01 2.536546e-01 6.273905e-02 -3.177233e-01 6.880807e-02 1.913661e-01 3.816123e-02 -1.173644e-01 4.573470e-02 6.160272e-01 5.664439e-02
1.493600e-02 4.005024e-01 5.389351e-02 1.969929e-01 2.904919e-02 -2.850699e-01 5.908711e-02 1.377728e-01 1.626672e-02 -7.510234e-02 2.319184e-02 7.339233e-01 1.607249e-01
1.867000e-02 6.907185e-01 8.766873e-02 3.394788e-01 4.614079e-02 -3.925543e-01 7.159416e-02 2.433519e-01 2.298355e-02 -9.051517e-02 5.792187e-02 9.010114e-01 5.125625e-02
7.180770e-03 2.980974e-01 5.211094e-02 1.947950e-01 3.427959e-02 -2.628652e-01 5.549221e-02 1.755692e-01 2.127917e-02 -5.533048e-02 3.503066e-02 6.968815e-01 1.308310e-01
