# k^2  MgMg MgMg_error  MgCl MgCl_error  MgNa MgNa_error  ClCl ClCl_error  ClNa ClNa_error  NaNa NaNa_error
0.000000e+00 1.728000e+03 0.000000e+00 2.650017e+03 0.000000e+00 1.025000e+03 0.000000e+00 4.064000e+03 0.000000e+00 1.571913e+03 0.000000e+00 6.080000e+02 0.000000e+00
2.873085e-04 1.433027e-01 2.010191e-02 1.004839e-01 1.331252e-02 -2.193507e-01 4.421759e-02 1.360376e-01 1.844036e-02 1.733236e-02 2.743018e-02 7.888487e-01 8.779490e-02
1.149234e-03 1.073783e-01 1.088615e-02 1.000655e-01 1.038177e-02 -8.472088e-02 1.668575e-02 1.319378e-01 1.028989e-02 1.961586e-02 1.019218e-02 3.426102e-01 5.018572e-02
2.585776e-03 1.438501e-01 1.218022e-02 1.026617e-01 1.169387e-02 -1.707757e-01 2.534921e-02 1.211122e-01 1.467558e-02 -5.644153e-04 1.352166e-02 5.715794e-01 4.767787e-02
4.596935e-03 1.718183e-01 1.407383e-02 1.213030e-01 7.165394e-03 -1.732857e-01 2.953330e-02 1.350190e-01 8.364404e-03 3.200318e-03 1.143735e-02 6.073997e-01 7.071042e-02
7.182711e-03 2.084221e-01 1.579785e-02 1.357026e-01 1.195272e-02 -1.907585e-01 1.315233e-02 1.369681e-01 1.051424e-02 -1.069304e-02 1.349634e-02 6.299482e-01 3.869393e-02
1.034310e-02 3.172483e-01 4.573960e-02 1.842578e-01 2.437151e-02 -2.709270e-01 5.238142e-02 1.532532e-01 1.355297e-02 -6.581996e-02 2.503611e-02 7.015822e-01 7.479951e-02
1.407811e-02 3.887328e-01 2.910193e-02 2.056312e-01 1.263074e-02 -2.681531e-01 4.361571e-02 1.598664e-01 4.965271e-03 -6.987058e-02 2.397067e-02 6.549879e-01 4.316298e-02
2.873085e-04 8.325635e-02 1.476663e-02 9.010369e-02 5.094374e-03 -4.349499e-02 4.525455e-02 1.297560e-01 8.196493e-03 3.536907e-02 1.415240e-02 2.394155e-01 1.182479e-01
5.746169e-04 1.297777e-01 2.081429e-02 1.125114e-01 9.022036e-03 -1.378353e-01 5.609663e-02 1.352116e-01 9.621871e-03 -2.236751e-02 2.032575e-02 4.099723e-01 1.508529e-01
1.436542e-03 1.429850e-01 1.503375e-02 1.229940e-01 8.904535e-03 -1.348207e-01 2.559036e-02 1.434258e-01 5.266951e-03 -2.100781e-02 1.760021e-02 3.973869e-01 5.156438e-02
2.873085e-03 1.571796e-01 1.332796e-02 1.243244e-01 8.293280e-03 -1.528892e-01 3.575776e-02 1.465171e-01 1.309471e-02 -6.388018e-04 2.150080e-02 5.179867e-01 7.582824e-02
4.884244e-03 2.177692e-01 1.322424e-02 1.506197e-01 9.233831e-03 -2.300970e-01 2.702600e-02 1.460188e-01 7.559225e-03 -5.695204e-02 1.340370e-02 6.223236e-01 6.276860e-02
7.470020e-03 2.395295e-01 1.583866e-02 1.581363e-01 9.807530e-03 -2.107191e-01 2.554420e-02 1.496786e-01 8.666598e-03 -3.990348e-02 1.404502e-02 5.947241e-01 3.703762e-02
1.063041e-02 3.223408e-01 1.672398e-02 1.910133e-01 1.338210e-02 -2.624411e-01 3.003124e-02 1.585948e-01 1.185712e-02 -6.703733e-02 1.131026e-02 6.426883e-01 6.797848e-02
1.436542e-02 4.159629e-01 2.891307e-02 2.183366e-01 2.040236e-02 -2.734700e-01 2.178563e-02 1.665452e-01 1.409129e-02 -5.734010e-02 9.042954e-03 7.440832e-01 4.349336e-02
1.149234e-03 1.366701e-01 7.834938e-03 1.043834e-01 5.448863e-03 -1.733851e-01 1.640039e-02 1.243931e-01 9.390014e-03 -1.743001e-02 1.001749e-02 5.431850e-01 7.430890e-02
1.436542e-03 1.218947e-01 1.741870e-02 1.055962e-01 8.162845e-03 -1.136266e-01 3.994692e-02 1.352009e-01 8.138418e-03 1.308440e-02 1.189592e-02 4.220359e-01 1.108623e-01
2.298468e-03 1.224445e-01 1.616732e-02 9.950336e-02 8.038155e-03 -1.242333e-01 3.234272e-02 1.206977e-01 5.001583e-03 -1.659720e-03 2.022277e-02 4.268636e-01 6.650587e-02
3.735010e-03 1.697237e-01 1.730683e-02 1.259593e-01 1.185577e-02 -1.672963e-01 2.415760e-02 1.371020e-01 9.355990e-03 -1.490374e-02 1.721674e-02 5.296056e-01 3.386435e-02
5.746169e-03 2.035233e-01 2.022596e-02 1.437556e-01 1.275028e-02 -1.737778e-01 2.566762e-02 1.454901e-01 7.117833e-03 -1.852615e-02 2.036501e-02 5.405771e-01 3.281928e-02
