system,x_NaCl,distribution,value,probability,block_sd
cl4000,0.3333333333333333,Mg-Cl CN,4,0.493390625,0.0013562283984454955
cl4000,0.3333333333333333,Mg-Cl CN,5,0.4113625,0.0006117142600409956
cl4000,0.3333333333333333,Mg-Cl CN,6,0.07583125,0.0005411982149014357
cl4000,0.3333333333333333,Mg-Cl CN,7,0.000953125,0.00010423175050098704
cl4000,0.3333333333333333,Mg-Cl CN,8,0.0,0.0
cl4000,0.3333333333333333,Mg-Cl CN,9+,0.0,0.0
cl4000,0.3333333333333333,n_Mg(Cl),0,0.0030675,0.0001747989917018974
cl4000,0.3333333333333333,n_Mg(Cl),1,0.28904375,0.0008498276479675253
cl4000,0.3333333333333333,n_Mg(Cl),2,0.59802875,0.001513626904573914
cl4000,0.3333333333333333,n_Mg(Cl),3+,0.10986,0.000723970173764085
cl3936,0.4025974025974026,Mg-Cl CN,0,0.0,0.0
cl3936,0.4025974025974026,Mg-Cl CN,1,0.0,0.0
cl3936,0.4025974025974026,Mg-Cl CN,2,6.7934782608695655e-06,9.302353218498067e-06
cl3936,0.4025974025974026,Mg-Cl CN,3,0.015230978260869565,0.00046300432639643374
cl3936,0.4025974025974026,Mg-Cl CN,4,0.47885529891304346,0.0023382669599080266
cl3936,0.4025974025974026,Mg-Cl CN,5,0.4200441576086957,0.002451171544034158
cl3936,0.4025974025974026,Mg-Cl CN,6,0.08456182065217391,0.0015074883631417102
cl3936,0.4025974025974026,Mg-Cl CN,7,0.0013009510869565217,0.00011556403421334234
cl3936,0.4025974025974026,Mg-Cl CN,8,0.0,0.0
cl3936,0.4025974025974026,Mg-Cl CN,9+,0.0,0.0
cl3936,0.4025974025974026,n_Mg(Cl),0,0.006873729674796748,0.0002358412710079215
cl3936,0.4025974025974026,n_Mg(Cl),1,0.3663401930894309,0.0009355084831624674
cl3936,0.4025974025974026,n_Mg(Cl),2,0.5380843495934959,0.0009049339711792286
cl3936,0.4025974025974026,n_Mg(Cl),3+,0.08870172764227642,0.000531631476988921
cl3872,0.46835443037974683,Mg-Cl CN,0,0.0,0.0
cl3872,0.46835443037974683,Mg-Cl CN,1,0.0,0.0
cl3872,0.46835443037974683,Mg-Cl CN,2,3.7202380952380952e-06,8.318705273436717e-06
cl3872,0.46835443037974683,Mg-Cl CN,3,0.01488095238095238,0.0004225378233482351
cl3872,0.46835443037974683,Mg-Cl CN,4,0.4986904761904762,0.002035730126578756
cl3872,0.46835443037974683,Mg-Cl CN,5,0.40775669642857143,0.0028372761135289507
cl3872,0.46835443037974683,Mg-Cl CN,6,0.07778645833333334,0.0010396218503440214
cl3872,0.46835443037974683,Mg-Cl CN,7,0.0008779761904761905,0.0001671004068562181
cl3872,0.46835443037974683,Mg-Cl CN,8,3.7202380952380952e-06,8.318705273436719e-06
cl3872,0.46835443037974683,Mg-Cl CN,9+,0.0,0.0
cl3872,0.46835443037974683,n_Mg(Cl),0,0.014288481404958678,0.000433146732963845
cl3872,0.46835443037974683,n_Mg(Cl),1,0.45495996900826446,0.00047279858073675845
cl3872,0.46835443037974683,n_Mg(Cl),2,0.46942665289256197,0.0006183094773730689
cl3872,0.46835443037974683,n_Mg(Cl),3+,0.06132489669421488,0.0005881367137501035
cl3808,0.5308641975308642,Mg-Cl CN,0,0.0,0.0
cl3808,0.5308641975308642,Mg-Cl CN,1,0.0,0.0
cl3808,0.5308641975308642,Mg-Cl CN,2,8.223684210526316e-06,1.1260743369760817e-05
cl3808,0.5308641975308642,Mg-Cl CN,3,0.015538651315789473,0.000836181282734325
cl3808,0.5308641975308642,Mg-Cl CN,4,0.5264432565789474,0.0028577450539185477
cl3808,0.5308641975308642,Mg-Cl CN,5,0.3907483552631579,0.002033388031509559
cl3808,0.5308641975308642,Mg-Cl CN,6,0.06668174342105262,0.0015360771184002942
cl3808,0.5308641975308642,Mg-Cl CN,7,0.0005797697368421053,0.00016408774621081343
cl3808,0.5308641975308642,Mg-Cl CN,8,0.0,0.0
cl3808,0.5308641975308642,Mg-Cl CN,9+,0.0,0.0
cl3808,0.5308641975308642,n_Mg(Cl),0,0.029279149159663866,0.0003506478012781289
cl3808,0.5308641975308642,n_Mg(Cl),1,0.5407352941176471,0.0016242379250591057
cl3808,0.5308641975308642,n_Mg(Cl),2,0.39136029411764706,0.0010640568679544824
cl3808,0.5308641975308642,n_Mg(Cl),3+,0.03862526260504202,0.0005233727381436744
cl3744,0.5903614457831325,Mg-Cl CN,0,0.0,0.0
cl3744,0.5903614457831325,Mg-Cl CN,1,0.0,0.0
cl3744,0.5903614457831325,Mg-Cl CN,2,0.0,0.0
cl3744,0.5903614457831325,Mg-Cl CN,3,0.010730698529411765,0.0007996191471188105
cl3744,0.5903614457831325,Mg-Cl CN,4,0.5136764705882353,0.002944423902294583
cl3744,0.5903614457831325,Mg-Cl CN,5,0.40074448529411766,0.0026858451416035944
cl3744,0.5903614457831325,Mg-Cl CN,6,0.07392463235294118,0.0010662358946421568
cl3744,0.5903614457831325,Mg-Cl CN,7,0.0009145220588235295,0.00012202130558227715
cl3744,0.5903614457831325,Mg-Cl CN,8,9.191176470588234e-06,1.2585536707379735e-05
cl3744,0.5903614457831325,Mg-Cl CN,9+,0.0,0.0
cl3744,0.5903614457831325,n_Mg(Cl),0,0.05253338675213675,0.0008966639936539383
cl3744,0.5903614457831325,n_Mg(Cl),1,0.6026268696581196,0.0021665177711233555
cl3744,0.5903614457831325,n_Mg(Cl),2,0.31826255341880344,0.0015282747042953103
cl3744,0.5903614457831325,n_Mg(Cl),3+,0.026577190170940172,0.0005625127775007561
cl3680,0.6470588235294118,Mg-Cl CN,0,0.0,0.0
cl3680,0.6470588235294118,Mg-Cl CN,1,0.0,0.0
cl3680,0.6470588235294118,Mg-Cl CN,2,0.0,0.0
cl3680,0.6470588235294118,Mg-Cl CN,3,0.010348958333333333,0.00036947976870075944
cl3680,0.6470588235294118,Mg-Cl CN,4,0.54034375,0.0033596475180162283
cl3680,0.6470588235294118,Mg-Cl CN,5,0.385390625,0.002824470570934726
cl3680,0.6470588235294118,Mg-Cl CN,6,0.06346354166666666,0.000811063099083198
cl3680,0.6470588235294118,Mg-Cl CN,7,0.000453125,9.49717840042212e-05
cl3680,0.6470588235294118,Mg-Cl CN,8,0.0,0.0
cl3680,0.6470588235294118,Mg-Cl CN,9+,0.0,0.0
cl3680,0.6470588235294118,n_Mg(Cl),0,0.09297146739130435,0.0001674147931360149
cl3680,0.6470588235294118,n_Mg(Cl),1,0.6537010869565217,0.0007527805410254694
cl3680,0.6470588235294118,n_Mg(Cl),2,0.2391100543478261,0.0006171978752029241
cl3680,0.6470588235294118,n_Mg(Cl),3+,0.014217391304347826,0.00023392659531718893
cl3616,0.7011494252873564,Mg-Cl CN,0,0.0,0.0
cl3616,0.7011494252873564,Mg-Cl CN,1,0.0,0.0
cl3616,0.7011494252873564,Mg-Cl CN,2,0.0,0.0
cl3616,0.7011494252873564,Mg-Cl CN,3,0.008599759615384615,0.00036207620988923264
cl3616,0.7011494252873564,Mg-Cl CN,4,0.5406850961538462,0.002622286566018192
cl3616,0.7011494252873564,Mg-Cl CN,5,0.38717548076923075,0.0017901190688080853
cl3616,0.7011494252873564,Mg-Cl CN,6,0.06308894230769231,0.0013454024345149736
cl3616,0.7011494252873564,Mg-Cl CN,7,0.00045072115384615387,0.00010189798652531954
cl3616,0.7011494252873564,Mg-Cl CN,8,0.0,0.0
cl3616,0.7011494252873564,Mg-Cl CN,9+,0.0,0.0
cl3616,0.7011494252873564,n_Mg(Cl),0,0.1513799778761062,0.0012272733437410151
cl3616,0.7011494252873564,n_Mg(Cl),1,0.6681042588495575,0.0027556456885264222
cl3616,0.7011494252873564,n_Mg(Cl),2,0.17292311946902655,0.0016282911309353136
cl3616,0.7011494252873564,n_Mg(Cl),3+,0.007592643805309734,0.0004074520273398646
cl3552,0.7528089887640449,Mg-Cl CN,0,0.0,0.0
cl3552,0.7528089887640449,Mg-Cl CN,1,0.0,0.0
cl3552,0.7528089887640449,Mg-Cl CN,2,0.0,0.0
cl3552,0.7528089887640449,Mg-Cl CN,3,0.007585227272727273,0.0005950670473196992
cl3552,0.7528089887640449,Mg-Cl CN,4,0.5579048295454545,0.002191600716583571
cl3552,0.7528089887640449,Mg-Cl CN,5,0.37735795454545457,0.002358981156581673
cl3552,0.7528089887640449,Mg-Cl CN,6,0.05690340909090909,0.0016778132862416944
cl3552,0.7528089887640449,Mg-Cl CN,7,0.00024857954545454543,4.3492360489758124e-05
cl3552,0.7528089887640449,Mg-Cl CN,8,0.0,0.0
cl3552,0.7528089887640449,Mg-Cl CN,9+,0.0,0.0
cl3552,0.7528089887640449,n_Mg(Cl),0,0.2328828828828829,0.0007734915518322926
