# k^2  MgMg MgMg_error  MgCl MgCl_error  MgNa MgNa_error  ClCl ClCl_error  ClNa ClNa_error  NaNa NaNa_error
0.000000e+00 1.472000e+03 0.000000e+00 2.407030e+03 0.000000e+00 1.208397e+03 0.000000e+00 3.936000e+03 0.000000e+00 1.975984e+03 0.000000e+00 9.920000e+02 0.000000e+00
2.899916e-04 1.663187e-01 3.076075e-02 8.279303e-02 3.383576e-02 -2.383331e-01 4.387314e-02 1.215464e-01 2.582329e-02 4.297165e-02 4.161069e-02 6.709575e-01 1.735575e-01
1.159966e-03 1.485914e-01 4.348893e-02 8.842180e-02 2.254220e-02 -1.781477e-01 6.097610e-02 1.019774e-01 9.082155e-03 -5.436107e-03 3.915669e-02 4.320623e-01 8.635219e-02
2.609925e-03 1.408689e-01 1.547793e-02 8.964282e-02 6.924756e-03 -1.289700e-01 3.617840e-02 1.113923e-01 5.829862e-03 2.733234e-02 2.409805e-02 3.730150e-01 7.187196e-02
4.639866e-03 2.244079e-01 6.115120e-02 1.389007e-01 2.731284e-02 -1.788205e-01 6.338404e-02 1.290209e-01 1.686368e-02 -3.916072e-02 1.822922e-02 3.189977e-01 8.301260e-02
7.249790e-03 3.359914e-01 6.046845e-02 1.843097e-01 3.726805e-02 -2.583953e-01 5.391569e-02 1.444400e-01 2.526718e-02 -7.170024e-02 3.024272e-02 4.239384e-01 4.349749e-02
1.043970e-02 5.138369e-01 1.754792e-01 2.769921e-01 9.610862e-02 -3.755293e-01 1.269364e-01 1.946833e-01 5.378513e-02 -1.379074e-01 7.054338e-02 5.369793e-01 9.430139e-02
1.420959e-02 4.331474e-01 7.018701e-02 1.868013e-01 1.932183e-02 -2.883733e-01 1.003804e-01 1.397947e-01 1.517390e-02 -4.645049e-02 2.441059e-02 5.420937e-01 1.433695e-01
2.899916e-04 7.029776e-02 1.541130e-02 5.581053e-02 1.396069e-02 -5.677725e-02 1.418437e-02 9.997974e-02 1.809805e-02 6.671868e-02 3.341774e-02 2.740139e-01 4.679196e-02
5.799832e-04 1.914844e-01 5.039217e-02 1.237616e-01 1.861423e-02 -2.102971e-01 9.320290e-02 1.374055e-01 1.987922e-02 -2.027066e-02 5.384679e-02 4.717261e-01 1.550349e-01
1.449958e-03 9.937510e-02 2.163963e-02 9.077091e-02 2.447074e-02 -4.508944e-02 7.285036e-03 1.311595e-01 2.259780e-02 5.227096e-02 2.103554e-02 2.241520e-01 6.157540e-02
2.899916e-03 2.693606e-01 1.032490e-01 1.520083e-01 4.658971e-02 -3.022554e-01 1.530448e-01 1.297656e-01 2.680450e-02 -8.274072e-02 5.796110e-02 5.537251e-01 2.451751e-01
4.929857e-03 3.439245e-01 1.339669e-01 1.806966e-01 7.345447e-02 -3.574812e-01 1.362704e-01 1.401081e-01 4.171058e-02 -9.868313e-02 7.042341e-02 6.141301e-01 1.465651e-01
7.539782e-03 2.779567e-01 7.296248e-02 1.489412e-01 3.066129e-02 -2.363635e-01 7.598732e-02 1.362733e-01 1.087240e-02 -2.080908e-02 3.890216e-02 5.159633e-01 6.235709e-02
1.072969e-02 4.293443e-01 3.381427e-02 2.032598e-01 1.379612e-02 -3.673698e-01 6.463364e-02 1.398052e-01 1.166809e-02 -1.071191e-01 2.338744e-02 6.190572e-01 9.289774e-02
1.449958e-02 3.994297e-01 7.851066e-02 1.779309e-01 3.813571e-02 -3.018985e-01 5.388987e-02 1.437851e-01 1.608275e-02 -5.086163e-02 4.147322e-02 6.045615e-01 2.498180e-02
1.159966e-03 9.050977e-02 3.014584e-03 5.859808e-02 7.248732e-03 -9.607741e-02 1.796668e-02 1.139808e-01 1.727193e-02 9.320410e-02 3.630962e-02 4.332038e-01 1.030163e-01
1.449958e-03 1.316221e-01 1.861519e-02 8.143577e-02 1.563513e-02 -1.444696e-01 3.982264e-02 1.128656e-01 6.363636e-03 3.518076e-02 3.372207e-02 4.260586e-01 1.099543e-01
2.319933e-03 1.517191e-01 2.953740e-02 6.936950e-02 1.599674e-02 -2.113139e-01 5.585464e-02 9.503185e-02 9.186385e-03 2.873167e-02 2.567090e-02 5.745242e-01 1.397105e-01
3.769891e-03 1.574262e-01 4.112742e-02 9.608169e-02 1.603049e-02 -1.444597e-01 6.698215e-02 9.772259e-02 5.662160e-03 -6.164519e-03 2.936103e-02 3.512898e-01 9.945137e-02
5.799832e-03 1.734019e-01 2.764385e-02 1.032876e-01 1.835736e-02 -1.549817e-01 3.453400e-02 1.153045e-01 1.145516e-02 1.172362e-02 2.953423e-02 4.343443e-01 2.544957e-02
8.409757e-03 2.376224e-01 4.727316e-02 1.315680e-01 2.471413e-02 -1.770670e-01 4.405709e-02 1.184174e-01 1.508766e-02 -1.599075e-02 2.409322e-02 3.975446e-01 6.859646e-02
1.159966e-02 5.020534e-01 6.845573e-02 2.654198e-01 3.083279e-02 -3.547003e-01 7.345615e-02 1.889232e-01 1.534856e-02 -1.158682e-01 3.124991e-02 5.695316e-01 1.141755e-01
