# k^2  MgMg MgMg_error  MgCl MgCl_error  MgNa MgNa_error  ClCl ClCl_error  ClNa ClNa_error  NaNa NaNa_error
0.000000e+00 1.472000e+03 0.000000e+00 2.407030e+03 0.000000e+00 1.208397e+03 0.000000e+00 3.936000e+03 0.000000e+00 1.975984e+03 1.136868e-13 9.920000e+02 0.000000e+00
2.898506e-04 1.358425e-01 1.329180e-02 8.557526e-02 6.387441e-03 -1.578533e-01 4.439930e-02 1.193486e-01 8.782070e-03 3.259750e-02 1.344178e-02 4.539453e-01 1.199809e-01
1.159402e-03 1.286365e-01 1.276626e-02 8.766790e-02 9.321178e-03 -1.278669e-01 1.342200e-02 1.047743e-01 6.518764e-03 3.931457e-03 8.748964e-03 3.261922e-01 2.192800e-02
2.608655e-03 1.546051e-01 2.247514e-02 9.259490e-02 7.516920e-03 -1.561532e-01 3.635500e-02 1.087689e-01 2.535566e-03 1.309098e-02 1.408857e-02 4.059750e-01 5.942292e-02
4.637609e-03 1.972268e-01 2.655539e-02 1.136288e-01 1.327464e-02 -1.773229e-01 3.435891e-02 1.138574e-01 7.128593e-03 -1.141185e-02 1.285593e-02 3.951107e-01 6.617863e-02
7.246264e-03 2.928733e-01 3.585018e-02 1.630665e-01 2.113940e-02 -2.296371e-01 2.753890e-02 1.396097e-01 1.388190e-02 -4.379055e-02 1.466692e-02 4.328811e-01 2.581064e-02
1.043462e-02 4.402491e-01 5.536659e-02 2.315099e-01 3.208255e-02 -3.220401e-01 3.559486e-02 1.661573e-01 1.810742e-02 -9.897149e-02 2.106758e-02 5.249237e-01 3.095270e-02
1.420268e-02 4.760936e-01 3.053865e-02 2.156157e-01 1.592198e-02 -3.245040e-01 1.951668e-02 1.500615e-01 9.762785e-03 -8.220044e-02 1.056484e-02 5.512269e-01 4.854516e-02
2.898506e-04 7.820602e-02 9.765888e-03 7.164226e-02 7.246632e-03 -4.508727e-02 1.473833e-02 1.090988e-01 6.004533e-03 4.516314e-02 1.508456e-02 2.018225e-01 2.669448e-02
5.797011e-04 1.763555e-01 4.124096e-02 1.041220e-01 1.320212e-02 -2.144303e-01 7.758076e-02 1.131600e-01 9.863132e-03 -2.256737e-02 1.972331e-02 4.777322e-01 1.484192e-01
1.449253e-03 1.497250e-01 2.999713e-02 9.550441e-02 1.255360e-02 -1.587214e-01 6.168804e-02 1.138607e-01 1.382696e-02 6.804581e-03 1.437759e-02 4.084039e-01 1.318607e-01
2.898506e-03 2.262207e-01 2.463135e-02 1.226725e-01 1.107569e-02 -2.612656e-01 3.898830e-02 1.210177e-01 3.329375e-03 -3.144324e-02 2.376894e-02 5.625944e-01 5.426636e-02
4.927459e-03 2.684416e-01 4.286442e-02 1.572737e-01 2.131419e-02 -2.480365e-01 5.319071e-02 1.411397e-01 1.240765e-02 -5.086429e-02 2.456256e-02 4.868749e-01 6.975664e-02
7.536114e-03 2.895164e-01 1.756711e-02 1.640109e-01 8.490041e-03 -2.117973e-01 2.380292e-02 1.455018e-01 4.772274e-03 -2.407291e-02 1.672359e-02 4.442395e-01 3.185118e-02
1.072447e-02 3.706722e-01 1.874875e-02 1.793168e-01 7.718576e-03 -3.093266e-01 3.056302e-02 1.367774e-01 3.603883e-03 -7.186831e-02 1.286585e-02 5.673485e-01 4.510950e-02
1.449253e-02 5.063499e-01 4.048159e-02 2.341846e-01 2.427467e-02 -3.488283e-01 3.423105e-02 1.640795e-01 1.178700e-02 -8.846764e-02 1.849735e-02 5.970987e-01 2.983453e-02
1.159402e-03 1.114193e-01 1.396454e-02 8.052692e-02 5.432999e-03 -1.006358e-01 2.600897e-02 1.107734e-01 5.414231e-03 3.295030e-02 2.012215e-02 3.181809e-01 4.837684e-02
1.449253e-03 9.516821e-02 1.292559e-02 7.398436e-02 9.853367e-03 -7.119627e-02 2.195243e-02 1.025148e-01 8.684905e-03 3.220995e-02 1.032075e-02 2.431044e-01 5.103111e-02
2.318804e-03 1.575218e-01 1.756462e-02 9.065852e-02 8.926539e-03 -1.766336e-01 3.591924e-02 1.072353e-01 7.746780e-03 8.183021e-03 1.579501e-02 4.479771e-01 8.874495e-02
3.768057e-03 1.917844e-01 1.492747e-02 1.185054e-01 1.143942e-02 -1.772301e-01 1.814649e-02 1.172058e-01 1.040060e-02 -2.249082e-02 6.949793e-03 3.910557e-01 2.792877e-02
5.797011e-03 2.204034e-01 1.524446e-02 1.316748e-01 8.543285e-03 -1.879982e-01 1.260405e-02 1.306839e-01 5.532603e-03 -1.052974e-02 8.561990e-03 4.504493e-01 1.301685e-02
8.405666e-03 2.990099e-01 3.450458e-02 1.627236e-01 1.656539e-02 -2.405896e-01 3.779106e-02 1.334336e-01 9.074961e-03 -5.656714e-02 1.688928e-02 4.484480e-01 4.102953e-02
