# k^2  MgMg MgMg_error  MgCl MgCl_error  MgNa MgNa_error  ClCl ClCl_error  ClNa ClNa_error  NaNa NaNa_error
0.000000e+00 6.400000e+01 0.000000e+00 4.548055e+02 2.842171e-14 4.457084e+02 2.842171e-14 3.232000e+03 0.000000e+00 3.167353e+03 0.000000e+00 3.104000e+03 0.000000e+00
2.933530e-04 3.300420e+00 5.670131e-01 3.367826e-01 3.762876e-02 -5.999348e-01 1.463839e-01 9.954605e-02 6.152355e-03 5.314456e-03 6.822588e-03 1.781269e-01 4.014208e-02
1.173412e-03 6.399984e-01 2.024453e-01 5.831124e-02 2.845391e-02 -1.240201e-01 4.950851e-02 5.268279e-02 3.875516e-03 3.688828e-02 9.064299e-03 7.735116e-02 1.698147e-02
2.640177e-03 4.361805e-01 1.512879e-01 5.040653e-02 2.304158e-02 -7.066842e-02 3.128331e-02 5.688921e-02 2.864197e-03 4.268016e-02 4.276658e-03 7.064014e-02 9.345713e-03
4.693648e-03 7.966050e-01 2.487083e-01 8.999971e-02 3.287816e-02 -1.188054e-01 3.465661e-02 6.661526e-02 5.923871e-03 4.244047e-02 1.319650e-02 8.775330e-02 1.292349e-02
7.333826e-03 7.406656e-01 1.280027e-01 6.598237e-02 2.182658e-02 -1.145656e-01 3.071698e-02 5.719217e-02 5.690115e-03 3.633246e-02 6.950232e-03 8.928430e-02 1.534755e-02
1.056071e-02 1.101257e+00 1.061991e-01 6.950073e-02 3.153846e-02 -1.731687e-01 2.745179e-02 6.220634e-02 1.189888e-02 3.527996e-02 3.835744e-03 1.114866e-01 4.657262e-03
1.437430e-02 1.452670e+00 3.452386e-01 1.033544e-01 4.392045e-02 -2.299761e-01 6.820994e-02 8.496958e-02 6.347323e-03 3.836381e-02 8.143382e-03 1.344936e-01 2.375564e-02
2.933530e-04 2.759704e-01 8.308679e-02 -2.060107e-02 1.050370e-02 -1.011346e-01 3.428736e-02 4.958197e-02 4.651779e-03 5.714673e-02 2.450258e-03 8.941911e-02 8.244535e-03
5.867061e-04 6.277683e-01 1.048257e-01 4.495852e-02 1.675517e-02 -1.292057e-01 3.340947e-02 5.752895e-02 7.156181e-03 4.657046e-02 1.069999e-02 8.584139e-02 1.720541e-02
1.466765e-03 6.429926e-01 2.591514e-01 7.305709e-02 2.570634e-02 -9.938450e-02 4.200631e-02 6.494054e-02 5.759676e-03 4.718808e-02 4.439440e-03 7.948622e-02 7.122704e-03
2.933530e-03 7.877451e-01 1.287305e-01 6.864214e-02 2.265284e-02 -1.575532e-01 3.303718e-02 5.330289e-02 4.171935e-03 3.495091e-02 6.708044e-03 9.275328e-02 9.315493e-03
4.987001e-03 7.938582e-01 1.207478e-01 5.737081e-02 2.706376e-02 -1.460306e-01 1.333865e-02 6.955755e-02 4.153915e-03 5.242701e-02 6.074659e-03 1.056214e-01 7.931703e-03
7.627179e-03 8.133825e-01 2.326435e-01 2.902459e-02 2.455560e-02 -1.606099e-01 5.364930e-02 6.203942e-02 3.140343e-03 4.790104e-02 7.310294e-03 1.073943e-01 1.860472e-02
1.085406e-02 1.101721e+00 1.610142e-01 6.036760e-02 9.221515e-03 -1.927050e-01 3.598483e-02 5.468264e-02 6.232615e-03 3.049565e-02 5.945338e-03 1.118229e-01 1.077455e-02
1.466765e-02 1.059476e+00 2.025620e-01 9.441561e-02 1.295173e-02 -1.383817e-01 4.370929e-02 7.595612e-02 9.071855e-03 3.297540e-02 8.681365e-03 1.196842e-01 1.475017e-02
1.173412e-03 6.284656e-01 1.838208e-01 5.789312e-02 8.021733e-03 -1.165746e-01 4.792958e-02 6.925813e-02 7.451790e-03 5.674253e-02 8.149672e-03 9.721595e-02 1.037804e-02
1.466765e-03 2.543342e-01 2.620880e-02 3.644942e-02 6.000454e-03 -3.054034e-02 9.739691e-03 5.618054e-02 4.090389e-03 4.720471e-02 5.737818e-03 6.092467e-02 8.869664e-03
2.346824e-03 4.186066e-01 1.121292e-01 6.878481e-02 2.971569e-02 -3.303258e-02 7.341765e-03 7.019234e-02 7.164223e-03 5.339199e-02 2.544653e-03 7.151073e-02 3.275623e-03
3.813589e-03 1.253258e+00 1.626056e-01 1.232165e-01 3.819627e-02 -1.884325e-01 4.697790e-02 7.911533e-02 1.010486e-02 4.449952e-02 4.242046e-03 1.008555e-01 1.170543e-02
5.867061e-03 1.413348e+00 1.958455e-01 9.831300e-02 3.343251e-02 -2.487293e-01 4.404164e-02 6.104638e-02 7.280177e-03 3.594126e-02 1.128384e-02 1.212514e-01 1.816636e-02
8.507238e-03 9.030510e-01 9.540526e-02 4.775230e-02 2.585587e-02 -1.593136e-01 3.981650e-02 5.983858e-02 5.180769e-03 4.535674e-02 4.153143e-03 1.137793e-01 1.458116e-02
1.173412e-02 8.598963e-01 1.776867e-01 5.791098e-02 3.280365e-02 -1.484364e-01 2.703066e-02 7.506153e-02 7.678414e-03 5.309908e-02 8.186662e-03 1.307330e-01 1.551824e-02
1.554771e-02 4.816792e-01 7.484280e-02 2.711811e-02 9.830185e-03 -7.916870e-02 2.531100e-02 7.684259e-02 4.475334e-03 5.337301e-02 4.127773e-03 1.259428e-01 9.595358e-03
2.640177e-03 1.187716e+00 1.739064e-01 9.030049e-02 2.428920e-02 -2.281629e-01 3.872334e-02 5.681867e-02 7.836240e-03 3.156740e-02 3.400571e-03 1.007308e-01 7.860109e-03
2.933530e-03 4.082721e-01 1.059721e-01 1.577068e-02 1.582257e-02 -9.135503e-02 4.034113e-02 5.327422e-02 2.836098e-03 4.832151e-02 5.401387e-03 8.192696e-02 1.376878e-02
3.813589e-03 5.915842e-01 1.141129e-01 4.882183e-02 1.059266e-02 -9.904324e-02 3.313877e-02 5.773238e-02 3.780086e-03 4.445499e-02 1.964055e-03 8.196175e-02 8.849477e-03
5.280354e-03 8.535237e-01 2.549462e-01 6.077722e-02 1.825849e-02 -1.497333e-01 4.647993e-02 5.911607e-02 4.651186e-03 3.890816e-02 7.006739e-03 9.175505e-02 5.184675e-03
7.333826e-03 1.643942e+00 5.304882e-01 1.367131e-01 4.415572e-02 -2.611117e-01 9.379167e-02 7.824147e-02 1.109113e-02 3.746506e-02 7.045605e-03 1.241709e-01 2.105644e-02
9.974003e-03 6.991757e-01 1.311043e-01 5.483509e-02 2.314165e-02 -1.061154e-01 2.843855e-02 6.956838e-02 5.552320e-03 4.414385e-02 1.159603e-02 9.803387e-02 1.721382e-02
1.320089e-02 1.166244e+00 1.634326e-01 1.048619e-01 3.161047e-02 -1.622893e-01 2.227804e-02 7.318578e-02 7.241025e-03 3.211588e-02 6.858836e-03 1.102514e-01 8.974721e-03
1.701448e-02 1.051366e+00 2.022716e-01 9.595125e-02 2.621074e-02 -1.300012e-01 3.496047e-02 8.932448e-02 5.168769e-03 3.386522e-02 5.239866e-03 1.257713e-01 1.235943e-02
4.693648e-03 9.411637e-01 1.985297e-01 6.305064e-02 1.033141e-02 -1.796264e-01 4.560571e-02 5.579230e-02 2.187931e-03 4.206388e-02 3.844825e-03 1.076960e-01 1.307495e-02
4.987001e-03 6.758131e-01 2.428565e-01 2.335261e-02 1.351228e-02 -1.536580e-01 8.076136e-02 6.569930e-02 7.020021e-03 5.370594e-02 6.687176e-03 1.081356e-01 2.614149e-02
5.867061e-03 8.457120e-01 1.980770e-01 6.532578e-02 3.168408e-02 -1.533136e-01 1.878261e-02 5.113315e-02 3.909400e-03 3.350242e-02 8.255860e-03 9.218287e-02 6.875149e-03
7.333826e-03 6.544146e-01 1.568247e-01 5.512682e-02 2.535914e-02 -1.274101e-01 2.172884e-02 5.917317e-02 2.659645e-03 3.852857e-02 8.514440e-03 9.326172e-02 8.223409e-03
9.387297e-03 1.211076e+00 2.466403e-01 9.384842e-02 1.167728e-02 -1.957203e-01 5.358692e-02 6.883951e-02 5.912819e-03 3.272210e-02 5.860684e-03 1.042842e-01 1.500882e-02
1.202747e-02 9.463525e-01 9.499484e-02 1.151789e-01 1.704074e-02 -1.093891e-01 1.660655e-02 7.426565e-02 7.407658e-03 3.526414e-02 8.609311e-03 1.049349e-01 9.396106e-03
1.525436e-02 7.830365e-01 1.764503e-01 4.819718e-02 2.236272e-02 -1.201024e-01 1.841713e-02 7.716332e-02 5.640739e-03 4.710211e-02 5.108154e-03 1.185030e-01 1.228377e-02
1.906795e-02 9.402538e-01 1.630676e-01 6.490987e-02 1.514369e-02 -1.269826e-01 2.967597e-02 8.056857e-02 9.396650e-03 3.953413e-02 9.307440e-03 1.385097e-01 1.267326e-02
7.333826e-03 5.064278e-01 1.205451e-01 5.287039e-02 1.923393e-02 -7.414822e-02 3.606113e-02 7.206132e-02 9.381669e-03 5.448066e-02 5.852057e-03 9.797826e-02 9.274096e-03
7.627179e-03 6.767989e-01 1.504131e-01 4.591153e-02 1.128449e-02 -1.245166e-01 4.048925e-02 5.596269e-02 4.561163e-03 3.736354e-02 5.352390e-03 9.560036e-02 1.223810e-02
8.507238e-03 1.399087e+00 2.769900e-01 1.661713e-01 6.271740e-02 -1.591382e-01 2.028272e-02 8.711187e-02 1.205504e-02 3.949112e-02 5.502764e-03 1.025498e-01 6.668550e-03
9.974003e-03 1.490320e+00 3.491935e-01 1.172723e-01 2.192356e-02 -2.281623e-01 7.185128e-02 7.857363e-02 1.006482e-02 4.038351e-02 1.018808e-02 1.205577e-01 1.233090e-02
1.202747e-02 1.073558e+00 2.982409e-01 1.085496e-01 3.725531e-02 -1.608533e-01 5.824462e-02 8.241434e-02 6.370246e-03 3.838125e-02 1.041099e-02 1.131429e-01 1.366053e-02
1.466765e-02 7.282917e-01 1.933263e-01 6.912495e-02 1.807297e-02 -8.509276e-02 3.058635e-02 7.015984e-02 7.355145e-03 4.102174e-02 4.828378e-03 1.143951e-01 1.597799e-02
1.789453e-02 1.212267e+00 3.337795e-01 1.230015e-01 2.823976e-02 -9.900945e-02 4.381323e-02 9.302318e-02 8.421555e-03 3.942964e-02 3.062962e-03 1.160395e-01 6.224372e-03
2.170812e-02 9.578712e-01 2.035690e-01 7.256808e-02 1.799865e-02 -1.473271e-01 3.301200e-02 1.087278e-01 1.060875e-02 5.130419e-02 1.463401e-02 1.593684e-01 9.694499e-03
1.056071e-02 9.637943e-01 1.769118e-01 1.044867e-01 3.472286e-02 -1.129115e-01 1.743987e-02 7.834726e-02 6.917201e-03 4.226095e-02 6.319397e-03 9.892898e-02 1.006754e-02
1.085406e-02 1.247761e+00 2.476646e-01 1.375003e-01 3.244920e-02 -1.044967e-01 3.756195e-02 8.427266e-02 1.386000e-02 4.666788e-02 1.235217e-02 1.004415e-01 7.862062e-03
1.173412e-02 5.981805e-01 7.168128e-02 4.813264e-02 7.711313e-03 -7.838018e-02 1.137616e-02 7.997352e-02 7.941351e-03 5.120167e-02 5.177786e-03 9.578891e-02 7.178325e-03
1.320089e-02 9.812250e-01 3.473468e-01 1.105220e-01 6.174711e-02 -1.211826e-01 3.413157e-02 7.754391e-02 9.917308e-03 3.999089e-02 1.035909e-02 1.175847e-01 1.231130e-02
1.525436e-02 7.139766e-01 1.668552e-01 7.945160e-02 6.407989e-03 -7.278371e-02 3.832390e-02 7.907890e-02 5.825755e-03 4.026066e-02 5.936507e-03 1.103368e-01 1.495660e-02
1.789453e-02 1.095584e+00 2.005493e-01 3.457674e-02 2.501814e-02 -1.573350e-01 2.238015e-02 8.197386e-02 3.631982e-03 3.882606e-02 5.464253e-03 1.274899e-01 7.057526e-03
2.112142e-02 6.455874e-01 1.211601e-01 5.283618e-02 3.249076e-02 -7.768623e-02 2.012305e-02 9.517263e-02 1.849035e-02 5.131992e-02 1.344551e-02 1.606695e-01 1.144964e-02
2.493501e-02 9.383980e-01 1.709422e-01 1.148186e-01 1.530607e-02 -6.956074e-02 2.209563e-02 1.273828e-01 5.980162e-03 4.857392e-02 6.616636e-03 1.633556e-01 9.371063e-03
