algorithm,method,kcut,file,split,source,n_O,n_Na,n_Cl,n_I,n_X,x_O,x_Na,x_Cl,x_I,x_X,x_I_anion,n_fit_points,fit_rmse_scaled,fit_success,kappa_D_input,kappa_D_fit,S0_OO,S0_ONa,S0_OCl,S0_OI,S0_NaNa,S0_NaCl,S0_NaI,S0_ClCl,S0_ClI,S0_II,S0_OO_std_split1_to3,S0_OO_se_split1_to3,S0_OO_uncertainty_n_splits,S0_ONa_std_split1_to3,S0_ONa_se_split1_to3,S0_ONa_uncertainty_n_splits,S0_OCl_std_split1_to3,S0_OCl_se_split1_to3,S0_OCl_uncertainty_n_splits,S0_OI_std_split1_to3,S0_OI_se_split1_to3,S0_OI_uncertainty_n_splits,S0_NaNa_std_split1_to3,S0_NaNa_se_split1_to3,S0_NaNa_uncertainty_n_splits,S0_NaCl_std_split1_to3,S0_NaCl_se_split1_to3,S0_NaCl_uncertainty_n_splits,S0_NaI_std_split1_to3,S0_NaI_se_split1_to3,S0_NaI_uncertainty_n_splits,S0_ClCl_std_split1_to3,S0_ClCl_se_split1_to3,S0_ClCl_uncertainty_n_splits,S0_ClI_std_split1_to3,S0_ClI_se_split1_to3,S0_ClI_uncertainty_n_splits,S0_II_std_split1_to3,S0_II_se_split1_to3,S0_II_uncertainty_n_splits
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O31872-Na64-Cl32-I32-allSk.dat,0,main,31872,64,32,32,128,0.996,0.002,0.001,0.001,0.004,0.5,89,0.8426352010577842,1,0.1090765135081884,0.1090765135081884,0.0639186803964888,-0.0310859202154989,0.0028294153107351,-0.0467915452783418,0.5004236612762664,0.3489532973262714,0.3587526313830242,0.737054851508808,-0.2435603657951837,0.7509132026340923,0.000580927537786158,0.0003353986703205048,3,0.0010725220140433928,0.0006192208735197525,3,0.0030372573152580417,0.0017535613285623905,3,0.004476548556653164,0.002584536514224135,3,0.01959868699679163,0.011315307213360866,3,0.025308109779555617,0.014611643993907037,3,0.007025517587186817,0.004056184470158759,3,0.033518303579912596,0.019351801594642136,3,0.045356954492882275,0.026186849886087188,3,0.03711676368545019,0.02142937350524239,3
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O31872-Na64-Cl32-I32-allSk.dat,0,main,31872,64,32,32,128,0.996,0.002,0.001,0.001,0.004,0.5,229,0.8431131403598462,1,0.1090765135081884,0.1090765135081884,0.0638047601293216,-0.0302977840039762,0.0026316911528631,-0.0454792282011369,0.4955029681575148,0.3588904432238306,0.3418565745406507,0.7624662247047798,-0.2549184924915472,0.7383766965933445,0.00013063067298993322,7.541965421515993e-05,3,0.0010931236482356055,0.0006311152325663726,3,0.0015470063690016624,0.0008931645435811754,3,0.0030207915035661247,0.0017440547877496364,3,0.01610660535528235,0.009299152937603335,3,0.023993358539443083,0.013852572011510671,3,0.011868489107535136,0.0068522753811095525,3,0.02161970589684048,0.01248214301934139,3,0.01472762063859591,0.008502995740216037,3,0.021271767073917463,0.012281260446265267,3
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O31872-Na64-Cl32-I32-allSk.dat,0,main,31872,64,32,32,128,0.996,0.002,0.001,0.001,0.004,0.5,470,0.8304466860581465,1,0.1090765135081884,0.1090765135081884,0.0633331478496429,-0.0316899603785878,0.0011267075717976,-0.0459430793302625,0.4952324807499949,0.3615246380094707,0.3388398527948447,0.7692551216821488,-0.2579820754771317,0.7371739907721042,0.00013570437924683904,7.834895988837358e-05,3,0.001352127706174505,0.0007806512951386018,3,0.0006677933006334113,0.0003855506418837287,3,0.0015859199658148004,0.0009156313191763771,3,0.005944747885659228,0.003432201792049814,3,0.00976079203631078,0.005635395909667985,3,0.009329488818157834,0.005386382880565029,3,0.015817773637082724,0.009132395867350276,3,0.006505236069191137,0.0037557997956895665,3,0.008440388784839613,0.00487306073699225,3
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O31616-Na192-Cl160-I32-allSk.dat,0,main,31616,192,160,32,384,0.988,0.006,0.005,0.001,0.012,0.1666666666666666,89,0.749096714587631,1,0.1895983020700457,0.1895983020700457,0.0630715760415907,-0.0341778821676144,-0.0147075299297598,-0.0508313350955679,0.5035050249479681,0.4765686830458578,0.1676904228117467,0.6162976139057542,-0.21073325821167,0.8819698611216578,0.0004896592449923187,0.0002827048969075041,3,0.0023661060785975974,0.0013660719814095328,3,0.00478425777621218,0.0027621925149686625,3,0.005077816404512298,0.002931678668040673,3,0.06280245747772738,0.03625901573053593,3,0.06714211850625244,0.038764520193546606,3,0.04191120125166793,0.024197443324711063,3,0.06206452224258731,0.0358329686238833,3,0.03784691294064457,0.021850925374277477,3,0.08178135544634382,0.04721648758163908,3
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O31616-Na192-Cl160-I32-allSk.dat,0,main,31616,192,160,32,384,0.988,0.006,0.005,0.001,0.012,0.1666666666666666,229,0.7017027238608912,1,0.1895983020700457,0.1895983020700457,0.063706500118332,-0.0358709611505965,-0.0157169788421056,-0.052721318310286,0.5015687981141661,0.4699413569853609,0.1777668066229741,0.6053258523304309,-0.2024332207035934,0.8880924118277486,0.00026765994214103896,0.00015453353964640853,3,0.00048667246468772326,0.0002809804784946357,3,0.0016823522682583325,0.0009713065349507258,3,0.0029878252774387256,0.0017250217282208165,3,0.01699246539918597,0.009810604472415422,3,0.01966460836905922,0.01135336693538491,3,0.02075217008058465,0.011981270982294446,3,0.021203706718908893,0.012241965781979927,3,0.0182129628948651,0.010515259030091033,3,0.028147477673075,0.016250953811558833,3
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O31616-Na192-Cl160-I32-allSk.dat,0,main,31616,192,160,32,384,0.988,0.006,0.005,0.001,0.012,0.1666666666666666,467,0.6906711160468666,1,0.1895983020700457,0.1895983020700457,0.0633998713581747,-0.036709673794408,-0.0164794786145449,-0.0530707350044424,0.4922954666013246,0.4583833453925923,0.1808963758070023,0.5917920939721051,-0.2004820478667774,0.8913953043443843,0.00018653072861988358,0.00010769356638082681,3,8.287915349265484e-05,4.7850301579192585e-05,3,0.0007356226437318207,0.00042471193138055084,3,0.0016392297101824119,0.0009464097144374477,3,0.00954275736911794,0.005509513535871528,3,0.01197117195047638,0.006911559348122836,3,0.00810699079464351,0.004680573317605249,3,0.012925486016320592,0.007462532830929438,3,0.005945008755799224,0.0034323524054953643,3,0.013554089768353822,0.007825457376379432,3
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O31616-Na192-Cl32-I160-allSk.dat,0,main,31616,192,32,160,384,0.988,0.006,0.001,0.005,0.012,0.8333333333333334,89,0.7415332192324656,1,0.1895983020700457,0.1895983020700457,0.0720657858967286,-0.0687507346823458,0.0076823687063354,-0.0787483161922637,0.4713709949110772,0.2331137646675265,0.4121094088754042,0.9060745108193656,-0.149845505027684,0.5184561858752949,0.002601802909538624,0.001502151610200476,3,0.007922994520791902,0.0045743430193671344,3,0.00468762867991726,0.0027064036802112402,3,0.010666964854084604,0.006158575029942024,3,0.031611544763457185,0.018250933878681912,3,0.014710987058296213,0.00849339233815242,3,0.040993622484584574,0.0236676789765328,3,0.032093746685850764,0.0185293332883796,3,0.02226370441329688,0.012853955736175215,3,0.05145712180364863,0.0297087831250599,3
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O31616-Na192-Cl32-I160-allSk.dat,0,main,31616,192,32,160,384,0.988,0.006,0.001,0.005,0.012,0.8333333333333334,229,0.6969606110919134,1,0.1895983020700457,0.1895983020700457,0.0725758593833125,-0.0711358811037413,0.0059866637753989,-0.0806027708890947,0.4706489018433948,0.2202700756143763,0.4170622679127712,0.90515870670109,-0.1635055014071612,0.5299907072084956,0.0009835074238885048,0.0005678282759320237,3,0.0018886602325651992,0.001090418493679259,3,0.004086742388795989,0.002359481818280019,3,0.0034253309122952223,0.001977615724277193,3,0.009101922071143761,0.005254997157917847,3,0.004982715632407344,0.0028767722116657367,3,0.011331050201921404,0.006541984884280486,3,0.005376851462599579,0.0031043266393244997,3,0.006930661813956559,0.00400141946395008,3,0.013983231046436324,0.008073222208800744,3
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O31616-Na192-Cl32-I160-allSk.dat,0,main,31616,192,32,160,384,0.988,0.006,0.001,0.005,0.012,0.8333333333333334,470,0.6945595753018003,1,0.1895983020700457,0.1895983020700457,0.0726287793799359,-0.0718109058700547,0.0070348340332622,-0.0818109794615789,0.4655500987084311,0.2051070977400061,0.4182578987798593,0.9121957850420648,-0.183262788555332,0.5401361826240615,0.00043592377807104564,0.0002516807106154769,3,0.0010784800283137647,0.0006226607346625873,3,0.0015576655339371792,0.0008993186153260326,3,0.0018702069831590682,0.001079764505167206,3,0.00423524895899558,0.0024452221265611803,3,0.005031237567364518,0.002904786363874863,3,0.005451925687028173,0.0031476707630075512,3,0.00966283509479481,0.005578840443114747,3,0.006287189720462368,0.0036299106775551965,3,0.008719087561689882,0.0050339675508295715,3
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O31360-Na320-Cl160-I160-allSk.dat,0,main,31360,320,160,160,640,0.98,0.01,0.005,0.005,0.02,0.5,89,0.7081215849006965,1,0.2445270316186424,0.2445270316186424,0.0739616140785137,-0.0621933068358679,0.0080713722817864,-0.0960259902979023,0.4305328538082296,0.3165004180786895,0.2923649828241019,0.7016205529762612,-0.2540213692326237,0.6674878931054459,0.0005930075096790971,0.00034237304534469635,3,0.0030030860427524217,0.0017338325351827187,3,0.009957761936815137,0.005749116534746429,3,0.0062372761446919485,0.003601093061147928,3,0.006155162391697065,0.0035536846637521614,3,0.007438934808342896,0.004294871014080848,3,0.005489629009014761,0.003169438786105851,3,0.04485750235147653,0.025898491057799247,3,0.04376928003979101,0.025270205613209456,3,0.05149741102833113,0.029732044119775782,3
