# k^2  LiLi LiLi_error  LiCl LiCl_error  LiNa LiNa_error  ClCl ClCl_error  ClNa ClNa_error  NaNa NaNa_error
0.000000e+00 3.200000e+02 0.000000e+00 1.011929e+03 0.000000e+00 9.600000e+02 0.000000e+00 3.200000e+03 0.000000e+00 3.035787e+03 0.000000e+00 2.880000e+03 0.000000e+00
2.969592e-04 5.244937e-01 2.399539e-01 4.773307e-02 2.259779e-02 -1.237095e-01 5.779889e-02 5.618144e-02 3.652898e-03 4.319478e-02 7.442050e-03 8.760835e-02 1.194463e-02
1.187837e-03 8.331059e-01 1.181346e-01 7.506432e-02 9.628231e-03 -2.026514e-01 3.429363e-02 6.296546e-02 1.636183e-03 4.013866e-02 2.155645e-03 1.142691e-01 1.152354e-02
2.672633e-03 8.890550e-01 1.340274e-01 7.895340e-02 1.018391e-02 -2.066826e-01 3.371500e-02 6.076786e-02 2.694102e-03 3.696622e-02 3.298613e-03 1.149228e-01 1.211423e-02
4.751347e-03 9.538406e-01 1.787183e-01 8.024135e-02 1.529323e-02 -2.282643e-01 4.574579e-02 6.062320e-02 1.095993e-03 3.372480e-02 4.692530e-03 1.272103e-01 1.273732e-02
7.423980e-03 8.398148e-01 6.021533e-02 6.448021e-02 1.484267e-02 -1.947299e-01 1.178564e-02 6.232737e-02 1.911685e-03 4.071042e-02 3.847994e-03 1.274196e-01 4.941316e-03
1.069053e-02 1.003413e+00 4.561822e-02 9.196920e-02 9.515681e-03 -2.337409e-01 1.667417e-02 7.473998e-02 1.932149e-03 3.551138e-02 3.651775e-03 1.486628e-01 4.665780e-03
1.455100e-02 8.425781e-01 4.574004e-02 6.966497e-02 7.073735e-03 -1.853736e-01 1.385361e-02 7.698127e-02 2.017334e-03 3.948248e-02 3.459308e-03 1.487123e-01 7.610276e-03
2.969592e-04 9.498213e-01 3.322777e-01 4.909302e-02 1.169815e-02 -2.675928e-01 1.069440e-01 5.621186e-02 4.218177e-03 4.333183e-02 5.484568e-03 1.374347e-01 3.506789e-02
5.939184e-04 1.021789e+00 2.308448e-01 5.558555e-02 1.776158e-02 -2.832006e-01 6.611910e-02 5.796690e-02 2.315370e-03 4.245317e-02 6.652492e-03 1.417622e-01 2.087488e-02
1.484796e-03 8.902763e-01 7.834944e-02 8.848141e-02 1.404945e-02 -1.979966e-01 1.559957e-02 6.699636e-02 2.487335e-03 4.051000e-02 4.239603e-03 1.118783e-01 7.185357e-03
2.969592e-03 9.326212e-01 1.979301e-01 7.615760e-02 1.835564e-02 -2.189850e-01 4.817130e-02 5.926629e-02 3.210761e-03 3.555628e-02 4.575050e-03 1.163833e-01 1.126587e-02
5.048307e-03 7.874696e-01 1.374825e-01 7.276934e-02 1.305092e-02 -1.864767e-01 4.820100e-02 6.655375e-02 4.404592e-03 4.416877e-02 4.364190e-03 1.279131e-01 1.594087e-02
7.720939e-03 8.705558e-01 1.171901e-01 8.799725e-02 1.172258e-02 -1.883712e-01 3.575649e-02 6.786866e-02 3.460600e-03 3.629238e-02 2.192237e-03 1.236961e-01 9.172822e-03
1.098749e-02 9.701614e-01 6.460804e-02 9.661519e-02 7.592149e-03 -1.976181e-01 1.089444e-02 7.178684e-02 4.149566e-03 3.064841e-02 6.004087e-03 1.272290e-01 4.947126e-03
1.484796e-02 8.851237e-01 4.311610e-02 9.908925e-02 1.047833e-02 -1.671021e-01 1.619844e-02 8.165906e-02 3.400061e-03 3.514229e-02 2.265020e-03 1.413354e-01 5.091568e-03
1.187837e-03 7.031069e-01 1.349815e-01 5.120798e-02 1.325580e-02 -1.793558e-01 4.621730e-02 5.605490e-02 2.314209e-03 4.157355e-02 2.876653e-03 1.073806e-01 1.545222e-02
1.484796e-03 7.236605e-01 1.212412e-01 6.167879e-02 9.942552e-03 -1.784543e-01 4.071945e-02 6.053514e-02 3.280146e-03 4.301711e-02 2.094560e-03 1.104375e-01 1.344325e-02
2.375674e-03 8.386976e-01 1.155602e-01 6.535511e-02 6.712871e-03 -2.088539e-01 3.248450e-02 5.952351e-02 1.712825e-03 3.991461e-02 1.793424e-03 1.187021e-01 9.202959e-03
3.860470e-03 7.179601e-01 9.450796e-02 5.482941e-02 5.215099e-03 -1.779215e-01 3.293918e-02 5.335409e-02 1.064949e-03 3.510969e-02 1.427319e-03 1.077536e-01 1.087405e-02
5.939184e-03 8.811118e-01 9.932618e-02 6.308789e-02 1.016443e-02 -2.134799e-01 2.383975e-02 6.133234e-02 2.962493e-03 3.829071e-02 2.915995e-03 1.252188e-01 8.874400e-03
8.611817e-03 8.682619e-01 5.144814e-02 8.751136e-02 1.477359e-02 -1.799632e-01 1.681435e-02 7.206401e-02 5.400893e-03 3.654646e-02 3.846287e-03 1.212570e-01 6.903831e-03
1.187837e-02 8.450820e-01 5.326539e-02 7.028469e-02 6.945767e-03 -2.046646e-01 2.036123e-02 7.608020e-02 3.120395e-03 4.297727e-02 4.717573e-03 1.500731e-01 9.386374e-03
1.573884e-02 8.809885e-01 8.058617e-02 8.231358e-02 1.344554e-02 -1.957582e-01 1.538840e-02 7.936841e-02 2.704809e-03 3.330085e-02 5.244440e-03 1.559224e-01 6.419715e-03
2.672633e-03 9.110448e-01 1.010333e-01 8.015024e-02 1.438747e-02 -2.175464e-01 2.252586e-02 6.379784e-02 2.994929e-03 4.005105e-02 4.518550e-03 1.243608e-01 6.979679e-03
2.969592e-03 7.187977e-01 9.332596e-02 7.301011e-02 1.359313e-02 -1.584527e-01 2.701830e-02 6.456815e-02 2.258335e-03 4.173695e-02 3.965087e-03 1.046545e-01 9.797700e-03
3.860470e-03 1.056116e+00 1.484044e-01 8.895085e-02 1.623079e-02 -2.525949e-01 3.132507e-02 5.923294e-02 2.672844e-03 3.006928e-02 2.776362e-03 1.254357e-01 7.892153e-03
5.345266e-03 1.103802e+00 1.036392e-01 1.014844e-01 1.083615e-02 -2.503449e-01 3.286082e-02 6.523139e-02 8.234517e-04 3.169640e-02 3.720522e-03 1.323008e-01 9.214094e-03
7.423980e-03 9.446935e-01 1.016760e-01 8.204011e-02 1.450723e-02 -2.143830e-01 2.432286e-02 6.598284e-02 3.210823e-03 3.471428e-02 4.998626e-03 1.293832e-01 8.582107e-03
