# k^2  LiLi LiLi_error  LiCl LiCl_error  LiNa LiNa_error  ClCl ClCl_error  ClNa ClNa_error  NaNa NaNa_error
0.000000e+00 1.440000e+03 0.000000e+00 2.146625e+03 0.000000e+00 1.591980e+03 0.000000e+00 3.200000e+03 0.000000e+00 2.373184e+03 0.000000e+00 1.760000e+03 0.000000e+00
3.117276e-04 5.262905e-01 1.182561e-01 4.872386e-02 1.830049e-02 -4.094392e-01 8.582362e-02 4.720163e-02 9.373350e-03 1.875989e-02 7.517228e-03 3.955576e-01 7.344150e-02
1.246910e-03 6.509151e-01 2.820933e-01 1.306868e-01 4.643049e-02 -4.074207e-01 1.929742e-01 6.834963e-02 8.308231e-03 -2.743820e-02 3.201190e-02 3.323668e-01 1.316368e-01
2.805548e-03 1.075163e+00 4.804396e-01 1.765281e-01 7.802951e-02 -7.189456e-01 3.375651e-01 7.176589e-02 1.092144e-02 -6.187054e-02 5.777624e-02 5.706337e-01 2.328711e-01
4.987642e-03 7.806672e-01 2.147363e-01 1.545283e-01 4.481347e-02 -4.786543e-01 1.359708e-01 7.774218e-02 1.309382e-02 -3.416492e-02 2.536284e-02 4.029539e-01 9.407202e-02
7.793190e-03 7.776364e-01 1.820272e-01 1.477534e-01 3.707588e-02 -4.586415e-01 1.154300e-01 9.116172e-02 7.730773e-03 -8.256306e-03 2.421275e-02 4.204251e-01 7.591999e-02
1.122219e-02 9.201201e-01 1.072761e-01 1.968193e-01 2.733997e-02 -5.189734e-01 7.679331e-02 9.390738e-02 8.204482e-03 -5.768977e-02 1.773906e-02 4.264036e-01 6.333648e-02
1.527465e-02 8.133096e-01 1.207072e-01 1.622823e-01 3.394159e-02 -5.194419e-01 9.185001e-02 9.859888e-02 1.319966e-02 -3.677781e-02 2.750915e-02 5.092168e-01 6.937902e-02
3.117276e-04 6.942093e-01 1.857283e-01 1.385239e-01 3.645095e-02 -4.409379e-01 1.274273e-01 6.915479e-02 8.957593e-03 -3.310004e-02 2.706798e-02 3.546048e-01 8.786331e-02
6.234552e-04 3.711244e-01 7.031457e-02 7.893300e-02 1.400549e-02 -2.270577e-01 5.136497e-02 7.000208e-02 7.555311e-03 2.347139e-02 1.059739e-02 2.391239e-01 4.546163e-02
1.558638e-03 6.063797e-01 1.672523e-01 1.296803e-01 4.424214e-02 -3.649308e-01 9.279043e-02 7.240696e-02 1.021079e-02 -1.955487e-02 2.842150e-02 3.056876e-01 4.811443e-02
3.117276e-03 6.324193e-01 1.401460e-01 1.025989e-01 2.547891e-02 -4.182145e-01 9.623873e-02 5.840638e-02 6.553188e-03 -1.518874e-02 1.540752e-02 3.607647e-01 6.842973e-02
5.299369e-03 7.649013e-01 8.874734e-02 1.298108e-01 1.422286e-02 -4.966355e-01 7.670673e-02 7.196959e-02 5.347187e-03 -2.632659e-02 1.590934e-02 4.224095e-01 5.887149e-02
8.104918e-03 7.497425e-01 1.115242e-01 1.290535e-01 1.673478e-02 -4.702935e-01 7.919199e-02 7.838979e-02 5.292110e-03 -2.218701e-02 8.900433e-03 4.056467e-01 6.034885e-02
1.153392e-02 8.104640e-01 1.010728e-01 1.405506e-01 2.068466e-02 -4.807382e-01 8.956948e-02 8.571195e-02 9.302324e-03 -1.436519e-02 1.205994e-02 4.334167e-01 6.607483e-02
1.558638e-02 6.256050e-01 1.217687e-01 1.380173e-01 2.514887e-02 -3.347458e-01 6.785773e-02 9.317449e-02 5.769255e-03 -2.082773e-02 1.750488e-02 3.409647e-01 3.871480e-02
1.246910e-03 6.150023e-01 1.715146e-01 1.129144e-01 2.997577e-02 -4.026311e-01 1.189475e-01 6.080038e-02 1.075609e-02 -2.266235e-02 1.594839e-02 3.365922e-01 8.848995e-02
1.558638e-03 7.735882e-01 1.540576e-01 1.639866e-01 3.437065e-02 -4.715334e-01 9.779818e-02 7.537869e-02 9.495939e-03 -4.773680e-02 2.144333e-02 3.623366e-01 6.583463e-02
2.493821e-03 4.301745e-01 3.736668e-02 9.923337e-02 2.139897e-02 -2.347194e-01 2.877666e-02 5.832991e-02 7.642360e-03 -8.589775e-03 1.182697e-02 1.998503e-01 2.838593e-02
4.052459e-03 4.858308e-01 9.704947e-02 9.608732e-02 1.276301e-02 -2.918506e-01 7.278932e-02 6.667994e-02 5.847846e-03 5.264386e-03 1.425144e-02 2.891828e-01 5.160568e-02
6.234552e-03 6.566176e-01 5.229780e-02 1.257203e-01 1.011512e-02 -4.038041e-01 3.868343e-02 8.032049e-02 2.837688e-03 -7.507050e-03 5.683978e-03 3.681936e-01 3.441246e-02
9.040100e-03 4.733462e-01 4.231967e-02 9.687683e-02 2.497207e-02 -2.832185e-01 2.931084e-02 6.854894e-02 7.958534e-03 -2.722745e-04 2.022510e-02 2.924037e-01 4.102333e-02
1.246910e-02 5.490460e-01 3.656478e-02 9.238589e-02 1.167159e-02 -3.524942e-01 3.432128e-02 8.006376e-02 3.505252e-03 1.243954e-02 1.339914e-02 3.837800e-01 5.898662e-02
1.652156e-02 9.527108e-01 1.784995e-01 1.699150e-01 4.102708e-02 -6.217348e-01 1.145807e-01 9.620080e-02 9.016746e-03 -5.550283e-02 2.804002e-02 5.819466e-01 7.742668e-02
2.805548e-03 6.133937e-01 1.014880e-01 1.271309e-01 1.206508e-02 -3.838316e-01 8.174493e-02 7.877829e-02 6.375475e-03 -9.625281e-03 4.455172e-03 3.502214e-01 7.536065e-02
3.117276e-03 5.332571e-01 1.243764e-01 1.234031e-01 2.109350e-02 -2.946573e-01 8.725800e-02 7.539340e-02 1.071282e-02 -5.715336e-03 4.446321e-03 2.659611e-01 7.017636e-02
4.052459e-03 6.592737e-01 1.747209e-01 1.279524e-01 3.661804e-02 -4.028126e-01 1.047093e-01 7.720847e-02 9.442390e-03 -8.869130e-03 2.140923e-02 3.614614e-01 6.382170e-02
5.611097e-03 5.138520e-01 1.559206e-01 1.202741e-01 2.677074e-02 -2.866264e-01 1.159944e-01 7.023845e-02 7.810351e-03 -1.409667e-02 1.906196e-02 2.612400e-01 8.651548e-02
7.793190e-03 6.183134e-01 8.719426e-02 1.252579e-01 1.023454e-02 -3.515495e-01 6.731144e-02 6.789582e-02 4.455016e-03 -2.057761e-02 5.209289e-03 3.154866e-01 5.818654e-02
1.059874e-02 6.944918e-01 5.294121e-02 1.377211e-01 1.169761e-02 -4.123131e-01 4.113115e-02 8.391297e-02 9.746229e-03 -1.690094e-02 1.070424e-02 4.024994e-01 4.844666e-02
1.402774e-02 7.225113e-01 8.121784e-02 1.462142e-01 1.874873e-02 -3.964018e-01 6.642129e-02 8.619347e-02 5.593355e-03 -3.164151e-02 1.373599e-02 3.615832e-01 5.033260e-02
1.808020e-02 6.954227e-01 6.495040e-02 1.414706e-01 1.442634e-02 -3.938727e-01 5.030105e-02 1.049856e-01 4.426726e-03 -2.728063e-02 1.043483e-02 3.990192e-01 5.069591e-02
4.987642e-03 6.460785e-01 1.611734e-01 1.329340e-01 3.502819e-02 -3.804320e-01 9.672254e-02 7.768745e-02 9.855208e-03 -1.175782e-02 1.718346e-02 3.441183e-01 6.479353e-02
5.299369e-03 4.680613e-01 6.670498e-02 1.075535e-01 1.357043e-02 -2.614554e-01 4.437187e-02 7.566672e-02 7.533722e-03 -9.830266e-04 8.973501e-03 2.430442e-01 2.699562e-02
6.234552e-03 5.720509e-01 9.239865e-02 1.094480e-01 1.868490e-02 -3.506248e-01 6.092223e-02 6.223109e-02 6.156887e-03 -1.412464e-02 1.420919e-02 3.206832e-01 3.539208e-02
7.793190e-03 9.046018e-01 6.281137e-02 1.539114e-01 2.045569e-02 -5.448722e-01 4.127620e-02 7.831698e-02 1.042363e-02 -3.003987e-02 9.118360e-03 4.475788e-01 3.863518e-02
9.975283e-03 8.490484e-01 6.234410e-02 1.769674e-01 9.850639e-03 -5.050021e-01 6.431893e-02 8.343101e-02 5.229628e-03 -5.252896e-02 4.027883e-03 4.183056e-01 6.381324e-02
1.278083e-02 6.391696e-01 1.085015e-01 1.503383e-01 3.557567e-02 -3.558275e-01 4.828861e-02 1.003412e-01 8.598123e-03 -1.490869e-02 2.378914e-02 3.595478e-01 2.642131e-02
1.620984e-02 7.626805e-01 1.355557e-01 1.408605e-01 3.319097e-02 -4.850353e-01 8.714491e-02 9.006180e-02 9.080660e-03 -3.754112e-02 2.288245e-02 4.663055e-01 6.478068e-02
2.026229e-02 6.673209e-01 7.119623e-02 1.496406e-01 1.399192e-02 -3.667193e-01 4.728207e-02 1.100457e-01 1.003468e-02 -3.669237e-02 1.029457e-02 3.617759e-01 3.447747e-02
7.793190e-03 7.277954e-01 1.575678e-01 1.699355e-01 2.853074e-02 -4.194107e-01 1.108761e-01 9.001531e-02 1.053532e-02 -3.939847e-02 1.518929e-02 3.593374e-01 8.319271e-02
8.104918e-03 6.898275e-01 1.235361e-01 1.391714e-01 1.340665e-02 -4.123470e-01 9.305358e-02 8.440065e-02 4.570899e-03 -2.519768e-02 1.067081e-02 3.612107e-01 6.519887e-02
9.040100e-03 5.622895e-01 1.109745e-01 9.647173e-02 2.507185e-02 -3.283417e-01 4.855808e-02 7.249962e-02 5.819592e-03 5.068868e-04 1.424757e-02 3.178304e-01 3.201277e-02
1.059874e-02 6.704015e-01 1.241852e-01 1.055475e-01 1.090349e-02 -4.096725e-01 1.256185e-01 7.106441e-02 7.215044e-03 -3.544173e-03 8.691391e-03 3.985056e-01 1.132638e-01
1.278083e-02 6.094413e-01 8.759659e-02 1.332521e-01 1.884530e-02 -3.351161e-01 6.534037e-02 8.416402e-02 1.106069e-02 -1.619922e-02 1.261158e-02 3.415883e-01 5.015982e-02
1.558638e-02 7.317788e-01 1.520501e-01 1.194768e-01 2.070838e-02 -4.401998e-01 1.112739e-01 8.736878e-02 6.542445e-03 -1.026409e-02 1.307903e-02 4.389760e-01 7.481250e-02
1.901538e-02 9.107844e-01 1.875276e-01 1.939369e-01 4.004459e-02 -5.215832e-01 1.170595e-01 1.024165e-01 7.932326e-03 -5.580771e-02 3.091772e-02 5.073442e-01 6.549452e-02
2.306784e-02 8.097424e-01 1.342749e-01 1.463668e-01 3.734019e-02 -4.901447e-01 9.880968e-02 1.230694e-01 1.789973e-02 -2.801757e-02 2.163163e-02 5.675860e-01 6.714136e-02
1.122219e-02 6.701618e-01 7.318861e-02 1.047335e-01 1.114075e-02 -4.066337e-01 5.420768e-02 6.960272e-02 6.631201e-03 -9.675914e-03 5.912508e-03 3.796653e-01 4.389713e-02
1.153392e-02 7.104785e-01 8.714515e-02 1.400143e-01 1.384831e-02 -4.272153e-01 5.659575e-02 8.359626e-02 5.633142e-03 -2.750140e-02 6.646311e-03 3.806111e-01 4.826895e-02
1.246910e-02 4.621244e-01 7.527561e-02 9.173602e-02 2.412906e-02 -2.603783e-01 3.480182e-02 8.269246e-02 7.564157e-03 1.602137e-02 1.382106e-02 3.158612e-01 3.021142e-02
1.402774e-02 8.195577e-01 1.400220e-01 1.542726e-01 2.694601e-02 -4.983626e-01 1.056212e-01 9.064558e-02 8.742221e-03 -4.062377e-02 1.827448e-02 4.487665e-01 7.795130e-02
1.620984e-02 7.310590e-01 1.280815e-01 1.590958e-01 3.099609e-02 -3.943490e-01 7.215116e-02 1.056266e-01 1.247596e-02 -2.132263e-02 2.295133e-02 4.070036e-01 4.824834e-02
1.901538e-02 8.940428e-01 5.576209e-02 1.687860e-01 1.344010e-02 -5.206984e-01 4.537148e-02 1.076951e-01 5.938726e-03 -3.457256e-02 8.391848e-03 5.232780e-01 6.419719e-02
2.244439e-02 7.490964e-01 2.666898e-02 1.486845e-01 1.772462e-02 -4.109941e-01 4.709282e-02 1.096249e-01 1.081947e-02 -3.759245e-02 1.017175e-02 4.427235e-01 4.842615e-02
2.649685e-02 7.586062e-01 1.389396e-01 1.239905e-01 3.288879e-02 -4.526165e-01 1.017890e-01 1.103412e-01 1.125825e-02 -2.355092e-02 2.576034e-02 5.403308e-01 6.860810e-02
1.527465e-02 6.384208e-01 1.230556e-01 1.273758e-01 4.654201e-02 -3.434320e-01 7.675648e-02 9.198835e-02 1.922365e-02 -1.132308e-02 2.289251e-02 3.368726e-01 5.587508e-02
1.558638e-02 8.052520e-01 1.301630e-01 1.608531e-01 1.824634e-02 -4.571967e-01 6.906585e-02 9.229828e-02 3.064626e-03 -4.152440e-02 7.328992e-03 4.277741e-01 3.645005e-02
1.652156e-02 6.619247e-01 6.980858e-02 1.427061e-01 2.918777e-02 -4.028734e-01 5.166956e-02 1.046733e-01 1.420008e-02 -1.379183e-02 1.619705e-02 4.363891e-01 5.538691e-02
1.808020e-02 7.268265e-01 2.361752e-02 1.467677e-01 1.300502e-02 -3.903567e-01 2.978907e-02 1.097626e-01 1.267417e-02 -2.093486e-02 2.929691e-03 3.663308e-01 3.399819e-02
2.026229e-02 8.741247e-01 1.163014e-01 2.022063e-01 2.972390e-02 -4.378834e-01 6.287057e-02 1.083812e-01 5.574042e-03 -5.245038e-02 1.588693e-02 4.091140e-01 3.802062e-02
2.306784e-02 7.612339e-01 1.678347e-01 1.950452e-01 5.432869e-02 -4.681671e-01 1.091560e-01 1.354819e-01 2.129986e-02 -6.865613e-02 2.998396e-02 5.394631e-01 9.423366e-02
2.649685e-02 7.302167e-01 7.540572e-02 1.099248e-01 2.082468e-02 -3.984449e-01 5.211125e-02 1.014395e-01 6.902159e-03 -3.042989e-02 1.307827e-02 4.985122e-01 6.093512e-02
3.054930e-02 8.304051e-01 8.077716e-02 1.991397e-01 1.980060e-02 -4.650452e-01 5.994800e-02 1.622957e-01 9.523509e-03 -2.387530e-02 2.426853e-02 6.338865e-01 4.808956e-02
3.117276e-04 7.897906e-01 2.409612e-01 1.666817e-01 2.646630e-02 -4.876853e-01 1.889257e-01 7.511186e-02 9.062972e-03 -4.844222e-02 1.991642e-02 3.774005e-01 1.446691e-01
6.234552e-04 2.523133e-01 5.009928e-02 6.951400e-02 1.299106e-02 -1.312614e-01 3.676234e-02 6.022229e-02 7.351354e-03 1.961182e-02 7.936647e-03 1.474033e-01 2.378524e-02
1.558638e-03 4.239235e-01 1.248664e-01 8.833975e-02 1.632544e-02 -2.572501e-01 9.809334e-02 7.177897e-02 7.540291e-03 1.783339e-02 8.443932e-03 2.625022e-01 7.754462e-02
3.117276e-03 4.034084e-01 8.536483e-02 7.602182e-02 1.814667e-02 -2.534759e-01 6.103708e-02 5.463856e-02 6.361147e-03 4.573581e-03 7.634873e-03 2.445122e-01 5.463148e-02
5.299369e-03 3.869041e-01 6.975807e-02 7.345927e-02 1.046307e-02 -2.385793e-01 4.864156e-02 5.561412e-02 2.753971e-03 3.452172e-03 1.126072e-02 2.400820e-01 3.175439e-02
8.104918e-03 8.166327e-01 2.043507e-01 1.391824e-01 3.859292e-02 -5.018180e-01 1.399649e-01 7.828802e-02 9.350126e-03 -1.944116e-02 2.396705e-02 4.457840e-01 9.848594e-02
1.153392e-02 8.821122e-01 8.388036e-02 1.755357e-01 1.670108e-02 -5.047124e-01 5.004900e-02 9.432695e-02 5.847768e-03 -3.786333e-02 1.347654e-02 4.423578e-01 5.049130e-02
1.558638e-02 8.202472e-01 1.095962e-01 1.599248e-01 3.115873e-02 -4.860243e-01 6.783173e-02 8.570610e-02 9.897124e-03 -4.934872e-02 1.702262e-02 4.415180e-01 4.542092e-02
6.234552e-04 1.876275e-01 4.242600e-02 6.646863e-02 1.354481e-02 -7.853131e-02 2.631230e-02 7.652038e-02 1.264491e-02 4.225393e-02 6.641129e-03 1.292904e-01 2.821152e-02
9.351828e-04 6.632725e-01 1.933797e-01 1.634400e-01 2.919593e-02 -3.777910e-01 1.410909e-01 7.452519e-02 7.567991e-03 -4.840504e-02 2.607530e-02 2.787508e-01 9.401434e-02
1.870366e-03 7.638247e-01 1.314489e-01 1.582981e-01 2.726326e-02 -4.798247e-01 9.478429e-02 7.829309e-02 3.937230e-03 -3.978869e-02 2.141340e-02 3.888186e-01 6.632282e-02
3.429004e-03 7.833314e-01 9.214928e-02 1.168304e-01 1.219373e-02 -5.378040e-01 7.671152e-02 7.316004e-02 7.085694e-03 -8.233271e-03 1.632365e-02 4.831304e-01 5.724825e-02
5.611097e-03 5.480179e-01 9.341116e-02 1.128762e-01 2.511368e-02 -3.195989e-01 6.335611e-02 7.374222e-02 1.319248e-02 -4.527070e-03 1.384493e-02 2.911121e-01 3.945733e-02
8.416645e-03 9.159394e-01 1.576128e-01 1.597953e-01 1.976173e-02 -5.838188e-01 1.268555e-01 7.936689e-02 7.685460e-03 -4.638381e-02 6.845737e-03 4.888079e-01 1.115574e-01
