algorithm,method,kcut,file,split,source,n_O,n_Na,n_Cl,n_F,n_X,x_O,x_Na,x_Cl,x_F,x_X,x_F_anion,n_fit_points,fit_rmse_scaled,fit_success,kappa_D_input,kappa_D_fit,S0_OO,S0_ONa,S0_OCl,S0_OF,S0_NaNa,S0_NaCl,S0_NaF,S0_ClCl,S0_ClF,S0_FF
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O31872-Na64-Cl32-F32-3-allSk.dat,3,main,31872,64,32,32,128,0.996,0.002,0.001,0.001,0.004,0.5,89,0.9551093302926696,1,0.10907651350818841,0.10907651350818841,0.062364702930065394,0.006784303505129909,-0.021423746981289623,0.031018201009499674,0.5181878818353264,0.3653040862866321,0.3675242440622737,0.7479516818762166,-0.2313336886593503,0.7510914591131371
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O31872-Na64-Cl32-F32-3-allSk.dat,3,main,31872,64,32,32,128,0.996,0.002,0.001,0.001,0.004,0.5,229,0.9365454623597105,1,0.10907651350818841,0.10907651350818841,0.06211162065398949,0.005255409002370228,-0.02397005109916457,0.03140232178613422,0.5243742549623253,0.3609650491279433,0.38061213399906474,0.7444963922173062,-0.23401472419789857,0.7722815661031417
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O31872-Na64-Cl32-F32-3-allSk.dat,3,main,31872,64,32,32,128,0.996,0.002,0.001,0.001,0.004,0.5,467,0.8965519825626801,1,0.10907651350818841,0.10907651350818841,0.06138989330025543,0.0035625366970251267,-0.024742133212855698,0.029780320926240476,0.5349618696726649,0.36594466351679933,0.3906056679267513,0.7460816907093786,-0.22855778448586206,0.7809576176076752
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O31616-Na192-Cl160-F32-3-allSk.dat,3,main,31616,192,160,32,384,0.988,0.006,0.005,0.001,0.012,0.16666666666666666,89,0.863662325723073,1,0.1895983020700457,0.1895983020700457,0.0613236779083601,-0.015519128893955111,-0.034370352477060315,0.03884049750666205,0.4645359964295821,0.4290029586349942,0.17859638035144687,0.5593007890374453,-0.19979623735694252,0.8842279701478787
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O31616-Na192-Cl160-F32-3-allSk.dat,3,main,31616,192,160,32,384,0.988,0.006,0.005,0.001,0.012,0.16666666666666666,229,0.8446998407227931,1,0.1895983020700457,0.1895983020700457,0.06184575598587292,-0.01602827225032366,-0.034931113281744336,0.03884725535602217,0.46656289618447,0.420771738112264,0.20196681913731065,0.5459659765237783,-0.19014098035018245,0.9198838092308474
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O31616-Na192-Cl160-F32-3-allSk.dat,3,main,31616,192,160,32,384,0.988,0.006,0.005,0.001,0.012,0.16666666666666666,467,0.8226801488588378,1,0.1895983020700457,0.1895983020700457,0.06148315054720042,-0.016976447345031273,-0.03511475759631273,0.03693535135822963,0.4840438113328266,0.43156244634663293,0.22065738435025795,0.5505146374820773,-0.17388036632208576,0.9293063186840709
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O31616-Na192-Cl32-F160-3-allSk.dat,3,main,31616,192,32,160,384,0.988,0.006,0.001,0.005,0.012,0.8333333333333334,89,0.968375359622205,1,0.1895983020700457,0.1895983020700457,0.062414264041236865,0.02874662676170892,-0.028502632510348375,0.0442371166253062,0.5263844504040341,0.17804122926199648,0.49700281652700784,0.820299871169166,-0.17181485990822634,0.6212772487707667
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O31616-Na192-Cl32-F160-3-allSk.dat,3,main,31616,192,32,160,384,0.988,0.006,0.001,0.005,0.012,0.8333333333333334,229,0.9298569927521778,1,0.1895983020700457,0.1895983020700457,0.06206868323583571,0.028480472694178974,-0.031544662969904366,0.04530599683162881,0.5375830001511583,0.18927849366356073,0.5042447557260882,0.8716870437838622,-0.1824860957410485,0.6339827174348254
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O31616-Na192-Cl32-F160-3-allSk.dat,3,main,31616,192,32,160,384,0.988,0.006,0.001,0.005,0.012,0.8333333333333334,467,0.8634986919468086,1,0.1895983020700457,0.1895983020700457,0.061045297412393486,0.02648726865322956,-0.032855217526333344,0.04370864901703139,0.5572474259257709,0.19850484872482888,0.5216599034600619,0.8857374349628279,-0.1786626561171577,0.6513501617658128
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O31360-Na320-Cl160-F160-3-allSk.dat,3,main,31360,320,160,160,640,0.98,0.01,0.005,0.005,0.02,0.5,86,0.9191873510101981,1,0.24452703161864242,0.24452703161864242,0.06278004901175062,0.0017822144874243134,-0.0498027988858894,0.05232323078506269,0.46872968234557866,0.32593128189520937,0.33695259196474076,0.6391729984219799,-0.1782365591641264,0.6547594845974303
