algorithm,method,kcut,file,split,source,n_O,n_Na,n_Cl,n_F,n_X,x_O,x_Na,x_Cl,x_F,x_X,x_F_anion,n_fit_points,fit_rmse_scaled,fit_success,kappa_D_input,kappa_D_fit,S0_OO,S0_ONa,S0_OCl,S0_OF,S0_NaNa,S0_NaCl,S0_NaF,S0_ClCl,S0_ClF,S0_FF
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O31872-Na64-Cl32-F32-2-allSk.dat,2,main,31872,64,32,32,128,0.996,0.002,0.001,0.001,0.004,0.5,89,0.9279097002897784,1,0.10907651350818841,0.10907651350818841,0.06170597006734022,0.004588895585001428,-0.022815446741446314,0.029305125114069366,0.5094803668704619,0.3346342332185633,0.3858798113724642,0.7162099435953686,-0.2429656725433553,0.7886821352322658
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O31872-Na64-Cl32-F32-2-allSk.dat,2,main,31872,64,32,32,128,0.996,0.002,0.001,0.001,0.004,0.5,229,0.9224148243724096,1,0.10907651350818841,0.10907651350818841,0.06189944568827132,0.004740307822771465,-0.02275511895770489,0.02945892657049158,0.5192224306173225,0.3517466438895498,0.38254475937779103,0.7179580963492386,-0.2205132220414179,0.7615132089682423
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O31872-Na64-Cl32-F32-2-allSk.dat,2,main,31872,64,32,32,128,0.996,0.002,0.001,0.001,0.004,0.5,467,0.8889290831209777,1,0.10907651350818841,0.10907651350818841,0.06136961814004205,0.0034294819200599153,-0.023716651673331937,0.028566671516593988,0.5196880851429897,0.3544656210309418,0.380484317181978,0.7325827196792096,-0.23129263102225003,0.7693787126512698
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O31616-Na192-Cl160-F32-2-allSk.dat,2,main,31616,192,160,32,384,0.988,0.006,0.005,0.001,0.012,0.16666666666666666,89,0.8830454065431724,1,0.1895983020700457,0.1895983020700457,0.0624412956015928,-0.018900121516991157,-0.03490784106000462,0.03176065176470314,0.5520650459229426,0.5118391982642547,0.20777042646950625,0.626299620024277,-0.14670365855391418,0.8369708815652128
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O31616-Na192-Cl160-F32-2-allSk.dat,2,main,31616,192,160,32,384,0.988,0.006,0.005,0.001,0.012,0.16666666666666666,229,0.847938314611854,1,0.1895983020700457,0.1895983020700457,0.062114192308720444,-0.01991344220689714,-0.03669925413587895,0.03328425454206544,0.562376442302435,0.5091745905471576,0.23898633012364415,0.6214789800867208,-0.14245130923005847,0.903925375225515
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O31616-Na192-Cl160-F32-2-allSk.dat,2,main,31616,192,160,32,384,0.988,0.006,0.005,0.001,0.012,0.16666666666666666,467,0.8281616688484971,1,0.1895983020700457,0.1895983020700457,0.06130031115403154,-0.018613279259093535,-0.03555260103068729,0.03390499605683741,0.5385244384081995,0.4819213783884564,0.2415011262319696,0.5969732628763116,-0.1544113233508292,0.9368287470839498
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O31616-Na192-Cl32-F160-2-allSk.dat,2,main,31616,192,32,160,384,0.988,0.006,0.001,0.005,0.012,0.8333333333333334,89,0.9399909839522874,1,0.1895983020700457,0.1895983020700457,0.06258943144547345,0.028406949105619757,-0.0354035945924789,0.04695122246142365,0.4850225049110342,0.17228945940945128,0.45426534506562266,0.9221668391258403,-0.22367190109844406,0.5976518682731654
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O31616-Na192-Cl32-F160-2-allSk.dat,2,main,31616,192,32,160,384,0.988,0.006,0.001,0.005,0.012,0.8333333333333334,229,0.9018957415328381,1,0.1895983020700457,0.1895983020700457,0.06218287647623789,0.028787006804835594,-0.03580379616644004,0.04754653039626762,0.5230022289598522,0.19789330887839887,0.4844196586646929,0.9604211976959326,-0.21273215851190108,0.6257918621857846
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O31616-Na192-Cl32-F160-2-allSk.dat,2,main,31616,192,32,160,384,0.988,0.006,0.001,0.005,0.012,0.8333333333333334,467,0.8452106849992735,1,0.1895983020700457,0.1895983020700457,0.06134673218047241,0.026503170897241267,-0.034089503127814835,0.044278058354264085,0.5454152156585386,0.19890013755222363,0.5085215879852869,0.9195334045404382,-0.19334365597038022,0.6435234009894
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O31360-Na320-Cl160-F160-2-allSk.dat,2,main,31360,320,160,160,640,0.98,0.01,0.005,0.005,0.02,0.5,86,0.9308033520081402,1,0.24452703161864242,0.24452703161864242,0.06347232669439704,0.00845353246981713,-0.05411200931849747,0.06606710958727419,0.45993951247184534,0.29524901382271856,0.3552036825862346,0.7072326818632879,-0.28968752223791794,0.7920213875562389
