algorithm,method,kcut,file,split,source,n_O,n_Na,n_Cl,n_F,n_X,x_O,x_Na,x_Cl,x_F,x_X,x_F_anion,n_fit_points,fit_rmse_scaled,fit_success,kappa_D_input,kappa_D_fit,S0_OO,S0_ONa,S0_OCl,S0_OF,S0_NaNa,S0_NaCl,S0_NaF,S0_ClCl,S0_ClF,S0_FF,S0_OO_std_split1_to3,S0_OO_se_split1_to3,S0_OO_uncertainty_n_splits,S0_ONa_std_split1_to3,S0_ONa_se_split1_to3,S0_ONa_uncertainty_n_splits,S0_OCl_std_split1_to3,S0_OCl_se_split1_to3,S0_OCl_uncertainty_n_splits,S0_OF_std_split1_to3,S0_OF_se_split1_to3,S0_OF_uncertainty_n_splits,S0_NaNa_std_split1_to3,S0_NaNa_se_split1_to3,S0_NaNa_uncertainty_n_splits,S0_NaCl_std_split1_to3,S0_NaCl_se_split1_to3,S0_NaCl_uncertainty_n_splits,S0_NaF_std_split1_to3,S0_NaF_se_split1_to3,S0_NaF_uncertainty_n_splits,S0_ClCl_std_split1_to3,S0_ClCl_se_split1_to3,S0_ClCl_uncertainty_n_splits,S0_ClF_std_split1_to3,S0_ClF_se_split1_to3,S0_ClF_uncertainty_n_splits,S0_FF_std_split1_to3,S0_FF_se_split1_to3,S0_FF_uncertainty_n_splits
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O31872-Na64-Cl32-F32-allSk.dat,0,main,31872,64,32,32,128,0.996,0.002,0.001,0.001,0.004,0.5,89,0.8816342906432306,1,0.1090765135081884,0.1090765135081884,0.0621008437402673,0.0061097949844923,-0.0214408690069459,0.0300814239373341,0.5250647842645345,0.3501350654307958,0.3924186736006121,0.7212610923245184,-0.2260953341298957,0.7810591444643422,0.0004631148293990743,0.00026737947141926315,3,0.001135599435752982,0.0006556386399235713,3,0.0017898710547734416,0.001033382535288166,3,0.002231426557506881,0.0012883147236534777,3,0.009861876280317844,0.005693756925156293,3,0.016354165317456773,0.00944208174840531,3,0.011440846794430993,0.0066053759765220006,3,0.047358742188230434,0.02734258255085693,3,0.037042415193076876,0.021386448383156818,3,0.04991704625086177,0.028819620090086043,3
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O31872-Na64-Cl32-F32-allSk.dat,0,main,31872,64,32,32,128,0.996,0.002,0.001,0.001,0.004,0.5,229,0.8496066486669426,1,0.1090765135081884,0.1090765135081884,0.0620404597992632,0.0054185210175922,-0.0229671487640095,0.0306300946750921,0.5285140383522242,0.3558455997638535,0.3915861211784359,0.7347867495788147,-0.2315450762819847,0.7853314796896033,0.00024400089599515046,0.00014087398298531,3,0.00025777972549644024,0.00014882919390699762,3,0.0012757416341384576,0.0007365497758862516,3,0.0014957986511286289,0.000863599753882593,3,0.00984173611877441,0.005682128997467669,3,0.00839273515004261,0.004845547898114336,3,0.0064916592447097216,0.0037479612124204807,3,0.02162211947925605,0.012483536501798733,3,0.00983539412878918,0.005678467447842498,3,0.01710081626205201,0.009873160872258058,3
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O31872-Na64-Cl32-F32-allSk.dat,0,main,31872,64,32,32,128,0.996,0.002,0.001,0.001,0.004,0.5,467,0.8044375346745954,1,0.1090765135081884,0.1090765135081884,0.0614661267247125,0.0038546382235129,-0.0237927981180154,0.0292440797717492,0.5290596809595876,0.3561431751229455,0.392060200994886,0.7366121273313684,-0.2329496189258826,0.787406472439572,0.00016911059818614353,9.763604938558861e-05,3,0.00016750321622425817,9.670802697720355e-05,3,0.0009336179051117806,0.000539024548836541,3,0.0008276469318353272,0.00047784217888909405,3,0.012872615379946351,0.007432007954786543,3,0.012547556400184257,0.007244335065318392,3,0.006151332278669588,0.003551473346964721,3,0.01818016591700733,0.010496323686096242,3,0.0017556819398283452,0.0010136434405712594,3,0.008371299989368853,0.004833172302329219,3
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O31616-Na192-Cl160-F32-allSk.dat,0,main,31616,192,160,32,384,0.988,0.006,0.005,0.001,0.012,0.1666666666666666,89,0.77672186781616,1,0.1895983020700457,0.1895983020700457,0.0615941612892091,-0.0169981988130794,-0.0339082067586446,0.03418414166902,0.5173355632920809,0.4723287481160514,0.2110489673460426,0.5919972614595843,-0.1667816953854592,0.8898974890236633,0.0006483977360485977,0.00037435260744960185,3,0.0018553819033212528,0.0010712052413320856,3,0.0006159543393207065,0.000355621403615328,3,0.003596188600198618,0.002076260456381336,3,0.04538131673686867,0.026200915434210797,3,0.047392100974040514,0.027361842254824218,3,0.026478106182728455,0.015287141732229769,3,0.04204256248085766,0.02427328476574483,3,0.026549072833294194,0.015328114347037384,3,0.058273850346482844,0.03364442318425784,3
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O31616-Na192-Cl160-F32-allSk.dat,0,main,31616,192,160,32,384,0.988,0.006,0.005,0.001,0.012,0.1666666666666666,229,0.7230682056241403,1,0.1895983020700457,0.1895983020700457,0.0617804676552321,-0.0180271569997673,-0.0358470674427778,0.0359991434335986,0.5171838971266164,0.4667193507132046,0.2232204565349873,0.5866262227960506,-0.1685118492254868,0.9235801685442137,0.00023895162275774085,0.00013795878372247958,3,0.0020573017475574965,0.0011877837177566083,3,0.0009877908079236773,0.000570301288857773,3,0.002861992913346155,0.001652372378939204,3,0.049861917811453146,0.02878779167075347,3,0.04609761782688659,0.026614472061353464,3,0.01907435914707914,0.011012586388185742,3,0.03930462908305731,0.022692538181501534,3,0.025035482454642776,0.01445424253448016,3,0.009849771514145527,0.005686768235148228,3
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O31616-Na192-Cl160-F32-allSk.dat,0,main,31616,192,160,32,384,0.988,0.006,0.005,0.001,0.012,0.1666666666666666,467,0.6934877360595474,1,0.1895983020700457,0.1895983020700457,0.0613182502498115,-0.0182296032442109,-0.0358112694053928,0.0354232065893152,0.5143284311103454,0.459241843302375,0.2329462366901384,0.5770099783416476,-0.1653253506415982,0.9402781398310386,0.00011119852364631387,6.420049756068828e-05,3,0.0008338723944539103,0.00048143645140776297,3,0.00028214020833597787,0.00016289372523199393,3,0.0015151917002541493,0.0008747963360156199,3,0.02801663221390301,0.016175410150483644,3,0.025879839768900903,0.01494173245715932,3,0.010758801174731701,0.00621159675438901,3,0.023946866039893308,0.01382572955438031,3,0.009871387517589173,0.005699248240555221,3,0.004737614784195635,0.0027352631709721006,3
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O31616-Na192-Cl32-F160-allSk.dat,0,main,31616,192,32,160,384,0.988,0.006,0.001,0.005,0.012,0.8333333333333334,89,0.9039570238518716,1,0.1895983020700457,0.1895983020700457,0.062504059243773,0.0301154841231337,-0.0326522436825384,0.0475923872672668,0.5448313778608815,0.1941258691250421,0.510017143471087,0.8785047578467422,-0.1802250363902989,0.6392948749101424,0.00017260117439070807,9.965133449692086e-05,3,0.0023693478805426613,0.0013679436366351749,3,0.004885056559675672,0.002820388719735296,3,0.0017111570093254502,0.0009879369599597636,3,0.05138552760687575,0.029667448196280664,3,0.027564498353132752,0.01591437054425819,3,0.0447073516795801,0.02581180152696084,3,0.06564864864766402,0.03790226496866399,3,0.0550431616417151,0.0317791841908923,3,0.024359925208297824,0.0140642093764499,3
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O31616-Na192-Cl32-F160-allSk.dat,0,main,31616,192,32,160,384,0.988,0.006,0.001,0.005,0.012,0.8333333333333334,229,0.8336384280476206,1,0.1895983020700457,0.1895983020700457,0.0621803097132317,0.0302025844700509,-0.0342268371431589,0.0483919805197878,0.5559656886812989,0.1978737245043019,0.5205380779887467,0.9112169063223736,-0.1907487840596391,0.6555263442661963,6.430437541356617e-05,3.7126148455093186e-05,3,0.0022078033703707366,0.001274675870201308,3,0.002948344461544816,0.001702227468536642,3,0.0018728102054883277,0.0010812674762797644,3,0.030209626150375573,0.017441535790037297,3,0.008884265605919914,0.005129333139129996,3,0.030306842886330912,0.01749766389871085,3,0.05705983555710004,0.03294351141880749,3,0.028840934595048398,0.016651321352131584,3,0.020798037665101125,0.01200775264456211,3
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O31616-Na192-Cl32-F160-allSk.dat,0,main,31616,192,32,160,384,0.988,0.006,0.001,0.005,0.012,0.8333333333333334,467,0.7559799228713865,1,0.1895983020700457,0.1895983020700457,0.0613256480145157,0.0276825950288681,-0.033721236981406,0.0454053591303436,0.5614443377428942,0.1977795950737014,0.5265817333012287,0.8998990501787764,-0.1857903985452398,0.6599293795412913,0.00017442729538815605,0.00010070564594637026,3,0.0013265411838492027,0.000765878909586462,3,0.0013219775825455268,0.0007632441131453107,3,0.0009728864003073229,0.0005616962251083589,3,0.009505208814480587,0.005487834867743971,3,0.0012469971519909124,0.00071995414138065,3,0.010901851442216712,0.006294186864829129,3,0.023985562278345574,0.013848070838067352,3,0.009649865026898347,0.005571352170923316,3,0.007784615200496014,0.004494449681544026,3
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O31360-Na320-Cl160-F160-allSk.dat,0,main,31360,320,160,160,640,0.98,0.01,0.005,0.005,0.02,0.5,86,0.8406343642212275,1,0.2445270316186424,0.2445270316186424,0.0635895530292963,0.0071291314431593,-0.0513424540965165,0.0614245684713729,0.5151098917436592,0.3385432622242304,0.3899321327921894,0.7050650814845087,-0.2262926085969711,0.7777399191967521,0.0003531370851237764,0.00020388379115705212,3,0.003912552849463538,0.0022589134408564113,3,0.005243506283537861,0.0030273397642980784,3,0.007126712503949808,0.004114609382592494,3,0.04127320300319692,0.023829094864213817,3,0.023498056742963482,0.013566609385983069,3,0.04125993983972854,0.02382143737321504,3,0.03445482969539444,0.019892505199518695,3,0.06355824154741795,0.03669536786662101,3,0.07351144016136317,0.04244184976568009,3
