row_id,x_Fe,x_Cu,x_Ni,split0_FeFe_S0,split0_FeFe_S0_error,split0_FeCu_S0,split0_FeCu_S0_error,split0_CuCu_S0,split0_CuCu_S0_error,split0_FeNi_S0,split0_FeNi_S0_error,split0_CuNi_S0,split0_CuNi_S0_error,split0_NiNi_S0,split0_NiNi_S0_error,split1_FeFe_S0,split1_FeFe_S0_error,split1_FeCu_S0,split1_FeCu_S0_error,split1_CuCu_S0,split1_CuCu_S0_error,split1_FeNi_S0,split1_FeNi_S0_error,split1_CuNi_S0,split1_CuNi_S0_error,split1_NiNi_S0,split1_NiNi_S0_error,split2_FeFe_S0,split2_FeFe_S0_error,split2_FeCu_S0,split2_FeCu_S0_error,split2_CuCu_S0,split2_CuCu_S0_error,split2_FeNi_S0,split2_FeNi_S0_error,split2_CuNi_S0,split2_CuNi_S0_error,split2_NiNi_S0,split2_NiNi_S0_error,split3_FeFe_S0,split3_FeFe_S0_error,split3_FeCu_S0,split3_FeCu_S0_error,split3_CuCu_S0,split3_CuCu_S0_error,split3_FeNi_S0,split3_FeNi_S0_error,split3_CuNi_S0,split3_CuNi_S0_error,split3_NiNi_S0,split3_NiNi_S0_error
0,0.01,0.01,0.98,0.975810229627,0.0287542822238,0.0161631174506,0.0205969987955,0.97855635238,0.0289675829364,-0.100696785638,0.00437651919869,-0.094925792954,0.00426898117623,0.056559037019,0.000991998095952,0.906637833557,0.0383462484399,0.0160225087221,0.027110081369,0.959775513002,0.0449121115054,-0.0920250275003,0.00622361954471,-0.0859331619515,0.00630085841808,0.0540292147333,0.00160771566317,1.00343624839,0.0516307712807,0.0489178394441,0.0391803480486,0.959115949345,0.038875614348,-0.109114468259,0.00896263188205,-0.10292220813,0.00806059539307,0.058946788518,0.00225039666145,0.931580720069,0.0438425305126,-0.0492211167839,0.0353957634132,0.894220251389,0.059482457971,-0.0887292891692,0.00647849053724,-0.0811019702344,0.00764976836127,0.0538468459294,0.00166916803794
1,0.01,0.05,0.94,1.01457238812,0.0279401923096,0.000572341414488,0.0183492517201,0.965100061446,0.0336285117406,-0.106787536655,0.00624366538408,-0.215094158962,0.00952500072019,0.099131481394,0.00301967296848,0.894242076581,0.0458331873883,0.00497703424294,0.0332241904985,0.928852575119,0.0616486224105,-0.0956577546215,0.0106141797987,-0.205605512254,0.0182440596255,0.0960598284917,0.0058235847075,0.935178287348,0.0417449462537,0.0180338492884,0.0334584472102,0.899746097987,0.0542011630974,-0.103368441044,0.0112584016115,-0.201363719007,0.0155828178337,0.0946128197638,0.00513897458897,1.0973973719,0.0483272633857,-0.0174632108401,0.0338369524903,0.971489805767,0.0564066765453,-0.108532262464,0.0116858457282,-0.215721116695,0.0166996054304,0.0995357595415,0.00549825822974
2,0.01,0.1,0.89,0.98939855164,0.0300270349666,-0.0252283399183,0.0226229828513,0.920894206134,0.0518924875908,-0.0976367927585,0.00971663108207,-0.297861910119,0.0202439448482,0.152011522539,0.00810623392023,0.986396013571,0.0436503868196,-0.039818413402,0.0321232689568,0.845788561914,0.0765536767039,-0.0946807852983,0.0128922362292,-0.271072799534,0.0287600701943,0.142952614951,0.0112462554534,0.875715919892,0.0403789285242,-0.0420049412137,0.0295787290646,0.888642560745,0.0752100942561,-0.0787557382069,0.0128453350197,-0.282562863383,0.0295802028909,0.143550383999,0.011930211292,1.00286598403,0.0512985170362,0.00013992122822,0.0409281510291,0.924184582151,0.0893145587627,-0.106102694295,0.0173971084698,-0.304208508906,0.0357456752492,0.155763530198,0.0146891177446
3,0.01,0.15,0.84,1.01779192828,0.0265765690141,-0.0925366200516,0.0262979693356,0.926440367573,0.0600728504423,-0.07351137705,0.0118417096574,-0.378539761264,0.0282610027609,0.2161870926,0.0134947854185,1.06498753259,0.0425635451703,-0.1099974014,0.0483134574581,0.865611267898,0.112715070822,-0.0693548620232,0.0220675374001,-0.351447594637,0.0530246116937,0.204408888306,0.0253655631993,0.916398772753,0.0376633911569,-0.0267340461563,0.0437383785888,0.855357182816,0.0848703207674,-0.0914629871271,0.0197362712931,-0.351904532788,0.0414312444902,0.204895005,0.0204650563508,0.969517592807,0.0486628453417,-0.0964666819663,0.0394715952247,0.94078204552,0.111019110643,-0.0672548748168,0.018941141011,-0.386900768712,0.0525072628981,0.220307147539,0.0251018318423
4,0.01,0.2,0.79,0.9814299486,0.0328827905096,-0.10803849491,0.0264256100412,0.864863031192,0.0741946450165,-0.0577865427128,0.0143434642639,-0.42489538716,0.04159182251,0.277419593382,0.0235231122123,1.00794339488,0.0575081882742,-0.0503016852401,0.0446479980063,0.795589801098,0.132857626492,-0.0913200765216,0.0260069230923,-0.396462743324,0.0752223681059,0.267211132006,0.0430151838715,0.990348588633,0.0420138894401,-0.0772489004129,0.041640360029,0.811112110753,0.105847936913,-0.0734872760913,0.0236875832988,-0.402472687332,0.0601256486093,0.26961983341,0.0345328620889,0.859666047072,0.0495063761193,-0.150799800804,0.0419264706149,0.873546411844,0.113370513458,-0.0215217312,0.0210457528108,-0.423025029655,0.0628141890227,0.26982052104,0.035014192503
5,0.01,0.25,0.74,1.07324461758,0.0304495100387,-0.0555635870924,0.0235216657949,0.780320871794,0.0688908458031,-0.0996793450011,0.0155690145922,-0.452137110161,0.045708018808,0.342856698611,0.0304860520851,0.99975424054,0.0449338530339,-0.133794719305,0.0387622002549,0.779994518547,0.130319682185,-0.040573651966,0.0232114668677,-0.442736841411,0.0835936926528,0.328409086391,0.0538854487598,1.07678540928,0.061630017362,-0.0145069781049,0.046886117374,0.766192319521,0.114877633582,-0.125591819533,0.0328715055975,-0.447488535208,0.0763856960286,0.342404847385,0.051206230419,1.00636172435,0.0543552395337,-0.0345654315011,0.0351804441209,0.745282940736,0.0981035291396,-0.104263217737,0.0242685599138,-0.432881935663,0.0654807803946,0.332575909183,0.043984837512
6,0.01,0.3,0.69,1.04169799281,0.0246523039113,-0.0948714691054,0.0246704002631,0.73650281712,0.0654291391642,-0.0664841096527,0.0181658228936,-0.481788724727,0.047650728014,0.402718247245,0.0349320099736,1.04631619822,0.0394541690475,-0.0449198942754,0.0404503185937,0.717609000615,0.11379397162,-0.100805071842,0.0304689879193,-0.474515493332,0.084554329604,0.401042674263,0.0631749782957,0.990946971098,0.0406934685255,-0.138245187151,0.0399860704973,0.687930277165,0.11742833467,-0.0279409615688,0.0281027266996,-0.442097930412,0.0853763072898,0.370342439764,0.0623018468219,0.957159924706,0.0467660244595,-0.0591533594699,0.0404309587067,0.736032294637,0.121953854545,-0.0820362647389,0.0297572821604,-0.486301385655,0.0906432438809,0.407679801354,0.0676962791284
7,0.01,0.35,0.64,1.01098773963,0.0388769308466,-0.0914507806344,0.0241603386893,0.690800593135,0.084409541455,-0.0645835658172,0.0194971841861,-0.512865346618,0.0705148635958,0.482572196297,0.0591729108631,0.844129719215,0.0460426506619,-0.0755783923501,0.029147540682,0.637482565699,0.117077929479,-0.0582312628724,0.0237707265131,-0.469078443923,0.0977537765863,0.444758271439,0.0817340496369,1.02468781786,0.0616551612636,-0.0392515733688,0.0424414078344,0.689779816058,0.16342283771,-0.107873784879,0.03785317711,-0.522252110306,0.138809057133,0.496733333232,0.118287958267,1.01329551985,0.057038697501,-0.142477836203,0.0420846242046,0.686760755604,0.122151655231,-0.0188047741885,0.0328774379522,-0.501662503139,0.0999082923837,0.46629923608,0.0821742646446
8,0.01,0.4,0.59,1.01925092486,0.0299863527264,-0.0949482102164,0.0228810663982,0.64012227152,0.0626222343116,-0.0669388538886,0.0212033801364,-0.531127806872,0.0583089250757,0.559194688624,0.0545319485883,0.988060029803,0.0405774057444,-0.0992898693329,0.0357110225672,0.657911984948,0.118502086038,-0.0614866570434,0.032094932771,-0.546958110342,0.109889515391,0.572448632299,0.102148957331,0.987445819726,0.051228415336,-0.0931802873298,0.0335226144953,0.5924430246,0.108507370491,-0.0631117873756,0.0301263987711,-0.481421620532,0.0995331149545,0.508752461839,0.0915721008397,0.999259717789,0.0474468497042,-0.0790827000099,0.0404612438269,0.621934106294,0.113770196526,-0.076026283187,0.0392041909456,-0.523656344191,0.107685907229,0.55832038214,0.102415266889
9,0.01,0.45,0.54,0.983657088287,0.0259166960303,-0.116321839378,0.02184578777,0.612143428647,0.0623824094367,-0.0317883437867,0.0225624530978,-0.56866172455,0.0645146294673,0.662983202801,0.0669312236019,0.96418009417,0.0509348654877,-0.0938282507682,0.0372242191771,0.574706428806,0.0868364125125,-0.0528157581214,0.0383093017459,-0.535114918092,0.0904420054023,0.632139599657,0.0948121331266,0.807782160488,0.0563037897783,-0.115637074624,0.0389166724438,0.595590973687,0.129290171286,-0.000635267730484,0.0396694595931,-0.545179556972,0.132175115504,0.62836099606,0.135453455357,0.993607124091,0.0323307563587,-0.0960810217671,0.0347858433614,0.602461114198,0.0950387031171,-0.0582955262308,0.0365961675914,-0.564918454094,0.100023144368,0.665474659548,0.105670726922
