# k^2  LiLi LiLi_error  LiCl LiCl_error  LiNa LiNa_error  ClCl ClCl_error  ClNa ClNa_error  NaNa NaNa_error
0.000000e+00 3.040000e+03 0.000000e+00 3.118974e+03 0.000000e+00 6.974238e+02 0.000000e+00 3.200000e+03 0.000000e+00 7.155418e+02 0.000000e+00 1.600000e+02 0.000000e+00
3.359082e-04 1.160086e-01 2.049805e-02 7.497467e-02 1.272755e-02 -1.700593e-01 4.023498e-02 6.552401e-02 8.375339e-03 -3.581228e-02 2.263891e-02 5.923466e-01 8.226909e-02
1.343633e-03 1.556518e-01 2.229726e-02 7.379194e-02 7.966130e-03 -3.283635e-01 9.753724e-02 6.519173e-02 7.533943e-03 -2.531489e-02 2.992490e-02 1.327815e+00 4.109973e-01
3.023173e-03 1.537358e-01 2.180864e-02 9.168792e-02 9.791535e-03 -2.259280e-01 5.182003e-02 7.972453e-02 4.573952e-03 -4.528437e-02 3.419293e-02 8.019438e-01 9.162975e-02
5.374531e-03 1.468989e-01 1.250418e-02 8.466479e-02 6.503283e-03 -2.115661e-01 4.411831e-02 7.957898e-02 7.364325e-03 -3.284989e-02 2.342628e-02 7.879694e-01 1.055277e-01
8.397704e-03 1.688267e-01 2.041537e-02 8.035020e-02 6.293146e-03 -2.620795e-01 7.677344e-02 7.756517e-02 8.141029e-03 -2.549678e-02 2.650110e-02 1.085466e+00 2.525435e-01
1.209269e-02 1.550285e-01 1.084945e-02 7.538422e-02 9.710889e-03 -1.258021e-01 1.544881e-02 6.962121e-02 8.222513e-03 -1.016455e-02 1.789688e-02 6.013507e-01 5.371556e-02
1.645950e-02 1.973219e-01 1.628431e-02 8.360658e-02 5.127783e-03 -1.843058e-01 4.954376e-02 7.932309e-02 2.978866e-03 1.171312e-03 1.803529e-02 8.638907e-01 1.465854e-01
3.359082e-04 1.371355e-01 1.435456e-02 8.358289e-02 7.039015e-03 -2.122670e-01 3.692068e-02 7.398082e-02 8.077648e-03 -2.815531e-02 1.846527e-02 7.923170e-01 1.397963e-01
6.718163e-04 1.874289e-01 4.137079e-02 8.989423e-02 1.319673e-02 -4.038008e-01 1.236999e-01 7.880373e-02 8.309610e-03 -3.736835e-02 2.947456e-02 1.594182e+00 4.098988e-01
1.679541e-03 9.877584e-02 9.254517e-03 6.860010e-02 4.656260e-03 -1.059523e-01 2.585086e-02 6.433738e-02 9.852026e-04 -9.434809e-03 2.159402e-02 4.428027e-01 9.846175e-02
3.359082e-03 1.290836e-01 1.589160e-02 6.932235e-02 6.346535e-03 -2.052815e-01 4.935634e-02 6.173023e-02 6.006044e-03 -2.170874e-02 1.524469e-02 8.448442e-01 2.000308e-01
5.710439e-03 2.059068e-01 6.082045e-02 8.861423e-02 2.143627e-02 -3.734360e-01 1.559028e-01 6.685939e-02 6.683977e-03 -8.055187e-02 6.380385e-02 1.222560e+00 3.472889e-01
8.733612e-03 1.708376e-01 1.493434e-02 8.534219e-02 1.463416e-02 -2.013071e-01 2.731475e-02 7.372459e-02 1.051050e-02 -2.578604e-02 1.414944e-02 7.991598e-01 9.555944e-02
1.242860e-02 1.942483e-01 9.090695e-03 8.960184e-02 5.521742e-03 -2.250767e-01 3.157982e-02 7.815274e-02 6.653508e-03 -4.023835e-02 6.778399e-03 8.366691e-01 8.091725e-02
1.679541e-02 2.398990e-01 2.277021e-02 9.819248e-02 2.859730e-03 -2.941743e-01 4.994120e-02 9.208684e-02 4.668247e-03 -4.932513e-02 9.890635e-03 1.143684e+00 1.024112e-01
1.343633e-03 1.653012e-01 3.111598e-02 9.965105e-02 1.546510e-02 -2.340259e-01 6.759463e-02 7.896852e-02 8.340838e-03 -6.843667e-02 3.151003e-02 6.905487e-01 1.606025e-01
1.679541e-03 1.317024e-01 1.502968e-02 8.651158e-02 1.013641e-02 -1.591664e-01 3.625264e-02 7.844054e-02 5.985948e-03 -2.420645e-02 2.977796e-02 5.739546e-01 9.333029e-02
2.687265e-03 1.336075e-01 3.059069e-02 8.212880e-02 1.620711e-02 -1.610863e-01 7.138389e-02 7.159852e-02 1.043151e-02 -2.349444e-02 3.047442e-02 6.146682e-01 1.832617e-01
4.366806e-03 1.394030e-01 5.322573e-03 7.480797e-02 9.217371e-03 -1.985458e-01 2.311561e-02 7.272520e-02 9.152089e-03 1.790895e-03 8.279332e-03 8.459158e-01 7.820127e-02
