algorithm,method,kcut,file,split,source,n_O,n_Na,n_Cl,n_X,x_O,x_Na,x_Cl,x_X,n_fit_points,fit_rmse_scaled,fit_success,kappa_D_input,kappa_D_fit,S0_OO,S0_ONa,S0_OCl,S0_NaNa,S0_NaCl,S0_ClCl,S0_OX,S0_XX,S0_reconstructed_OO,S0_reconstructed_OX,S0_reconstructed_XX
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O32640-Na72-Cl72-2-allSk.dat,0,main,32640,72,72,144,0.9956076134699854,0.0021961932650073207,0.0021961932650073207,0.004392386530014641,89,0.9538547069166221,1,0.11397848324217887,0.11397848324217887,0.06257481682406921,-0.015568977484899167,-0.015568977484899167,0.4815805066009202,0.4815805066009201,0.4815805066009201,-0.02026908715486876,0.9438534226268798,0.0604286266841111,-0.02201785911142576,0.9631610132018402
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O32640-Na88-Cl88-2-allSk.dat,0,main,32640,88,88,176,0.9946367625548513,0.002681618722574354,0.002681618722574354,0.005363237445148708,89,0.959752506461458,1,0.1261802049406459,0.1261802049406459,0.06454743446794607,-0.016837135034092378,-0.01683713503409237,0.5003947881290172,0.5003947881290172,0.5003947881290172,-0.02314671522367996,0.998412498824602,0.06139450200972256,-0.02381130471672062,1.0007895762580343
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O32640-Na104-Cl104-2-allSk.dat,0,main,32640,104,104,208,0.9936678032148076,0.0031660983925962008,0.0031660983925962008,0.0063321967851924016,89,0.9237027840079424,1,0.1372682475471806,0.1372682475471806,0.06267220361761397,-0.02071621994352501,-0.020716219943525023,0.4542182577954693,0.45421825779546915,0.45421825779546926,-0.025192340158069218,0.930766532282514,0.06066850341223574,-0.029297159205237074,0.9084365155909384
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O32640-Na120-Cl120-2-allSk.dat,0,main,32640,120,120,240,0.9927007299270073,0.0036496350364963502,0.0036496350364963502,0.0072992700729927005,89,0.9279695263811253,1,0.1475017667734147,0.1475017667734147,0.06337498587843793,-0.022488771948775847,-0.022488771948775854,0.5189114475011961,0.518911447501196,0.5189114475011962,-0.031366674179854705,1.0214627107146788,0.06059670030803023,-0.031803926291074425,1.0378228950023922
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O32640-Na136-Cl136-2-allSk.dat,0,main,32640,136,136,272,0.9917355371900827,0.004132231404958678,0.004132231404958678,0.008264462809917356,89,0.9212102832350462,1,0.15705393735778908,0.15705393735778908,0.06447514394982613,-0.01752431869984003,-0.017524318699840016,0.4473882936575577,0.4473882936575578,0.44738829365755783,-0.026915475606887517,0.8867908300922297,0.06077215146186899,-0.024783129176662207,0.8947765873151156
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O32640-Na160-Cl160-2-allSk.dat,0,main,32640,160,160,320,0.9902912621359223,0.0048543689320388345,0.0048543689320388345,0.009708737864077669,89,0.9055465403594682,1,0.17052321339305881,0.17052321339305881,0.06350066133832517,-0.020108125487559865,-0.020108125487559872,0.4716312938831993,0.47163129388319935,0.47163129388319935,-0.02932364686862704,0.9464426332188833,0.060698052257344204,-0.028437183778407274,0.9432625877663987
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O32640-Na176-Cl176-2-allSk.dat,0,main,32640,176,176,352,0.9893307468477207,0.00533462657613967,0.00533462657613967,0.01066925315227934,89,0.8883982765876346,1,0.1788143669885311,0.1788143669885311,0.06232667229981115,-0.019046048458684295,-0.01904604845868428,0.4505428411663617,0.4505428411663616,0.45054284116636156,-0.023857686951189824,0.9212822348142344,0.05976279258337308,-0.026935180039886507,0.9010856823327232
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O32640-Na192-Cl192-2-allSk.dat,0,main,32640,192,192,384,0.9883720930232558,0.005813953488372093,0.005813953488372093,0.011627906976744186,89,0.8847166249729588,1,0.18671308881197668,0.18671308881197668,0.06271394956004211,-0.018203186862243967,-0.018203186862243953,0.44268212735563844,0.4426821273556386,0.4426821273556385,-0.031498905053857995,0.9234750747932298,0.05899077939713303,-0.025743193738997153,0.8853642547112771
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O32640-Na224-Cl224-2-allSk.dat,0,Sk_files_more,32640,224,224,448,0.9864603481624759,0.006769825918762089,0.006769825918762089,0.013539651837524178,89,0.8598003329621792,1,0.2016168566676635,0.2016168566676635,0.06234499727522891,-0.02176170566075314,-0.02176170566075314,0.4413470612609108,0.4413470612609108,0.44134706126091083,-0.03233193815822616,0.8842987419561374,0.05988278562451637,-0.030775699285808446,0.8826941225218217
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O32640-Na240-Cl240-2-allSk.dat,0,Sk_files_more,32640,240,240,480,0.9855072463768116,0.007246376811594203,0.007246376811594203,0.014492753623188406,89,0.9035015597555663,1,0.2086424617726188,0.2086424617726188,0.06483367275605262,-0.02762452327494331,-0.027624523274943302,0.4074188394831228,0.4074188394831227,0.40741883948312285,-0.045330861761923275,0.8080335112774129,0.06085170809907682,-0.039066975469516055,0.8148376789662455
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O32640-Na256-Cl256-2-allSk.dat,0,Sk_files_more,32640,256,256,512,0.9845559845559846,0.007722007722007722,0.007722007722007722,0.015444015444015444,89,0.8962754625062768,1,0.21545473661763645,0.21545473661763645,0.06357787761600123,-0.03693809649158448,-0.03693809649158447,0.5653614528371204,0.5653614528371204,0.5653614528371205,-0.04714165585337622,1.1153337599681654,0.059786788075122,-0.05223835702664481,1.130722905674241
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O32640-Na288-Cl288-2-allSk.dat,0,main,32640,288,288,576,0.9826589595375722,0.008670520231213872,0.008670520231213872,0.017341040462427744,89,0.898013094500703,1,0.22842704951533246,0.22842704951533246,0.0632827695740131,-0.0318749509469149,-0.03187495094691491,0.49315576085489565,0.49315576085489565,0.49315576085489576,-0.04586267038330579,0.9717675837700691,0.06030079404670934,-0.04507798792910418,0.9863115217097913
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O32640-Na320-Cl320-2-allSk.dat,0,main,32640,320,320,640,0.9807692307692307,0.009615384615384616,0.009615384615384616,0.019230769230769232,89,0.916167607092555,1,0.24067189768127967,0.24067189768127967,0.06382896703353728,-0.03181659175546056,-0.03181659175546056,0.4159318081835939,0.4159318081835938,0.41593180818359377,-0.04005778878792575,0.8262658639819767,0.061091337862903744,-0.04499545556906033,0.8318636163671876
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O32640-Na352-Cl352-2-allSk.dat,0,main,32640,352,352,704,0.9788867562380038,0.01055662188099808,0.01055662188099808,0.02111324376199616,89,0.8770750101216345,1,0.2503301423516103,0.2503301423516103,0.06400003867583429,-0.0303044173577606,-0.03030441735776057,0.41585521829800043,0.41585521829800043,0.4158552182980002,-0.04443299834178407,0.8422010179118176,0.06024286603928658,-0.04285691802715966,0.8317104365960007
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O32640-Na384-Cl384-2-allSk.dat,0,Sk_files_more,32640,384,384,768,0.9770114942528736,0.011494252873563218,0.011494252873563218,0.022988505747126436,89,0.9165397592299155,1,0.2607542042317177,0.2607542042317177,0.06278684368719596,-0.031984058418934966,-0.03198405841893494,0.42971404958629145,0.42971404958629145,0.42971404958629134,-0.049718997400195204,0.8657457559235374,0.06034582156549392,-0.045232289195791184,0.8594280991725829
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O32640-Na416-Cl416-2-allSk.dat,0,main,32640,416,416,832,0.9751434034416826,0.0124282982791587,0.0124282982791587,0.0248565965583174,89,0.8889181627143246,1,0.2720389277554833,0.2720389277554833,0.06327856990297531,-0.039511867166939454,-0.03951186716693947,0.453472787604789,0.4534727876047891,0.453472787604789,-0.051719329123740235,0.8944052759496898,0.06038916664773804,-0.05587821842216999,0.9069455752095781
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O32640-Na456-Cl456-2-allSk.dat,0,Sk_files_more,32640,456,456,912,0.9728183118741058,0.013590844062947067,0.013590844062947067,0.027181688125894134,89,0.883799073144538,1,0.2863985435057831,0.2863985435057831,0.06254562036217617,-0.04816190363820509,-0.048161903638205064,0.5003301335477358,0.5003301335477359,0.5003301335477358,-0.06398831025838722,1.0120884024706422,0.05981209524164826,-0.06811121731485573,1.0006602670954718
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O32640-Na496-Cl496-2-allSk.dat,0,main,32640,496,496,992,0.9705042816365367,0.014747859181731684,0.014747859181731684,0.029495718363463368,89,0.8902921625811271,1,0.2973658324026492,0.2973658324026492,0.06234069987701494,-0.039579491876007795,-0.0395794918760078,0.4299056376670671,0.4299056376670672,0.4299056376670671,-0.05996176032115543,0.8640812418725641,0.05858286211853732,-0.05597385420288597,0.8598112753341343
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O32640-Na512-Cl512-2-allSk.dat,0,main,32640,512,512,1024,0.9695817490494296,0.015209125475285171,0.015209125475285171,0.030418250950570342,89,0.9002003471234649,1,0.3019759663575162,0.3019759663575162,0.06357810406673038,-0.0403958920815536,-0.040395892081553586,0.42046854276435697,0.42046854276435697,0.42046854276435686,-0.063119220749268,0.8502338938980455,0.059361614936532414,-0.05712841844589302,0.8409370855287139
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O32640-Na576-Cl576-2-allSk.dat,0,main,32640,576,576,1152,0.9659090909090909,0.017045454545454544,0.017045454545454544,0.03409090909090909,89,0.8788092135509207,1,0.32183969996766726,0.32183969996766726,0.061741722781191784,-0.03611879846597618,-0.03611879846597617,0.36923459433218425,0.36923459433218425,0.36923459433218425,-0.053235590219111305,0.7365332867247281,0.05744109205056147,-0.05107969464720405,0.7384691886643685
