algorithm,method,kcut,file,split,source,n_O,n_Na,n_Cl,n_X,x_O,x_Na,x_Cl,x_X,n_fit_points,fit_rmse_scaled,fit_success,kappa_D_input,kappa_D_fit,S0_OO,S0_ONa,S0_OCl,S0_NaNa,S0_NaCl,S0_ClCl,S0_OX,S0_XX,S0_reconstructed_OO,S0_reconstructed_OX,S0_reconstructed_XX
individual_OZ,direct O/X + reconstructed O/X from Na/Cl/O,0.0025,O32640-Na72-Cl72-allSk.dat,0,main,32640,72,72,144,0.9956076134699854,0.0021961932650073,0.0021961932650073,0.0043923865300146,89,0.0793875291890978,1,,,0.0634613586007181,0.0127330051099456,-0.0429813089226217,0.7359360968674785,0.44246266624853,0.7649051589945582,-0.0238410082898394,0.9816282328383076,0.0634613586007181,-0.0213887807453342,1.1928832941795484
individual_OZ,direct O/X + reconstructed O/X from Na/Cl/O,0.0025,O32640-Na88-Cl88-allSk.dat,0,main,32640,88,88,176,0.9946367625548512,0.0026816187225743,0.0026816187225743,0.0053632374451487,89,0.0963776026141077,1,,,0.0636334940275789,0.0119026882081251,-0.0449169043802713,0.8244205722015423,0.6960527707006847,0.7730813509208632,-0.0271522578200506,1.1616409939666856,0.0636334940275789,-0.0233445761308831,1.4948037322618877
individual_OZ,direct O/X + reconstructed O/X from Na/Cl/O,0.0025,O32640-Na104-Cl104-allSk.dat,0,main,32640,104,104,208,0.9936678032148076,0.0031660983925962,0.0031660983925962,0.0063321967851924,89,0.0822524716589534,1,,,0.0635202855390346,0.0113996225196188,-0.0417328862964521,0.7148019046384416,0.3365663346937371,0.6587329756994521,-0.0236493352965891,0.9436566037278526,0.0635202855390346,-0.0214488565121191,1.0233337748626838
individual_OZ,direct O/X + reconstructed O/X from Na/Cl/O,0.0025,O32640-Na120-Cl120-allSk.dat,0,main,32640,120,120,240,0.9927007299270072,0.0036496350364963,0.0036496350364963,0.0072992700729927,89,0.070538724269715,1,,,0.0630962227719722,0.0112504810529895,-0.0489411476657728,0.6827755569936621,0.5872098547701944,0.6998217369912887,-0.0312378984770444,1.0120727269456309,0.0630962227719722,-0.0266513259493405,1.2785085017626696
individual_OZ,direct O/X + reconstructed O/X from Na/Cl/O,0.0025,O32640-Na136-Cl136-allSk.dat,0,main,32640,136,136,272,0.9917355371900828,0.0041322314049586,0.0041322314049586,0.0082644628099173,89,0.0847586885026667,1,,,0.0646788015715215,0.0110885363535503,-0.0516999879068779,0.6817846302554934,0.4406210798038895,0.7091545722170641,-0.0320696546566293,0.9970673002469268,0.0646788015715215,-0.0287166327871868,1.1360906810401683
individual_OZ,direct O/X + reconstructed O/X from Na/Cl/O,0.0025,O32640-Na224-Cl224-allSk.dat,0,Sk_files_more,32640,224,224,448,0.986460348162476,0.006769825918762,0.006769825918762,0.0135396518375241,89,0.0740490839326701,1,,,0.0634884449267706,0.0080367963171919,-0.0524017614200829,0.5801921987309885,0.4035863697517006,0.5831737875774489,-0.0380073401548548,0.8943939801231778,0.0634884449267706,-0.0313707676713587,0.9852693629059192
individual_OZ,direct O/X + reconstructed O/X from Na/Cl/O,0.0025,O32640-Na240-Cl240-allSk.dat,0,Sk_files_more,32640,240,240,480,0.9855072463768116,0.0072463768115942,0.0072463768115942,0.0144927536231884,89,0.0749926473479894,1,,,0.063957738181533,0.0073097683461116,-0.0528425433653499,0.5526478959407901,0.4339171226013881,0.5746441836409276,-0.0390764932609552,0.871770596692656,0.063957738181533,-0.0321965339823448,0.9975631623922472
individual_OZ,direct O/X + reconstructed O/X from Na/Cl/O,0.0025,O32640-Na256-Cl256-allSk.dat,0,Sk_files_more,32640,256,256,512,0.9845559845559846,0.0077220077220077,0.0077220077220077,0.0154440154440154,89,0.0682882965591717,1,,,0.0644642863254547,0.006223829626648,-0.0580408223579458,0.6067990476864236,0.5687911253429402,0.6267293177967563,-0.0475022212508001,1.0283650220151848,0.0644642863254547,-0.0366401469409946,1.1855553080845302
individual_OZ,direct O/X + reconstructed O/X from Na/Cl/O,0.0025,O32640-Na352-Cl352-allSk.dat,0,main,32640,352,352,704,0.9788867562380038,0.010556621880998,0.010556621880998,0.0211132437619961,89,0.063540473613906,1,,,0.0631626020763463,0.0050475221818766,-0.0554795980592174,0.5405570612645398,0.4269217084908874,0.5167437091960428,-0.0438272706776048,0.8618515723187304,0.0631626020763463,-0.0356608628421821,0.9555720937211788
individual_OZ,direct O/X + reconstructed O/X from Na/Cl/O,0.0025,O32640-Na384-Cl384-allSk.dat,0,Sk_files_more,32640,384,384,768,0.9770114942528736,0.0114942528735632,0.0114942528735632,0.0229885057471264,89,0.0772599184464308,1,,,0.0633331865822086,0.0036555540093569,-0.0569029454617175,0.5387854820039579,0.4383077178692203,0.51723638012699,-0.051119356658947,0.8861865300881957,0.0633331865822086,-0.0376515915764587,0.9663186489346942
