algorithm,method,kcut,file,split,source,n_O,n_Na,n_Cl,n_X,x_O,x_Na,x_Cl,x_X,n_fit_points,fit_rmse_scaled,fit_success,kappa_D_input,kappa_D_fit,S0_OO,S0_ONa,S0_OCl,S0_NaNa,S0_NaCl,S0_ClCl,S0_OX,S0_XX,S0_reconstructed_OO,S0_reconstructed_OX,S0_reconstructed_XX
matrix_OZ_s_loss,direct O/X + reconstructed O/X from Na/Cl/O,0.0025,O32640-Na72-Cl72-1-allSk.dat,0,main,32640,72,72,144,0.9956076134699854,0.0021961932650073207,0.0021961932650073207,0.004392386530014641,89,0.9683163631578959,1,,,0.06391725217827511,0.005007709614421632,-0.040455994548149604,0.7240235368167446,0.2668196694983559,0.7573380357930471,-0.02144535420129551,0.9880934038264264,0.06425572040009171,-0.025065722658071974,1.0075004558032519
matrix_OZ_s_loss,direct O/X + reconstructed O/X from Na/Cl/O,0.0025,O32640-Na88-Cl88-1-allSk.dat,0,main,32640,88,88,176,0.9946367625548513,0.002681618722574354,0.002681618722574354,0.005363237445148708,89,0.9514077712671122,1,,,0.062939879306414,0.0015907567215467306,-0.044338138064087734,0.807176926486654,0.3073232832391331,0.8149867146363522,-0.028931750732255686,1.145258418408449,0.06329101537804054,-0.03022696322527805,1.1184051038006362
matrix_OZ_s_loss,direct O/X + reconstructed O/X from Na/Cl/O,0.0025,O32640-Na104-Cl104-1-allSk.dat,0,main,32640,104,104,208,0.9936678032148076,0.0031660983925962008,0.0031660983925962008,0.0063321967851924016,89,0.9255255462992624,1,,,0.06385171940089757,0.007112545784690631,-0.03787805785348258,0.6988402778805619,0.20970999862967107,0.6713304505240857,-0.02089671933347061,0.8761209724983902,0.06434749885503001,-0.02175450221051936,0.8947953628319949
matrix_OZ_s_loss,direct O/X + reconstructed O/X from Na/Cl/O,0.0025,O32640-Na120-Cl120-1-allSk.dat,0,main,32640,120,120,240,0.9927007299270073,0.0036496350364963502,0.0036496350364963502,0.0072992700729927005,89,0.9218953377178467,1,,,0.062047513385646576,0.0052867621467290234,-0.046693801439803485,0.7019550892225453,0.22139422581770804,0.7120805259860477,-0.02878236088553301,0.9999948751222503,0.06250402048247783,-0.029279198272990782,0.9284120334220046
matrix_OZ_s_loss,direct O/X + reconstructed O/X from Na/Cl/O,0.0025,O32640-Na136-Cl136-1-allSk.dat,0,main,32640,136,136,272,0.9917355371900827,0.004132231404958678,0.004132231404958678,0.008264462809917356,89,0.9470944014068843,1,,,0.06419398720068546,0.009099699448028927,-0.04686327098691972,0.6953969891389811,0.21766099123603375,0.6811882500509624,-0.024687731418348086,0.9005695503690149,0.06453568457881705,-0.026702877516972985,0.9059536108310055
matrix_OZ_s_loss,direct O/X + reconstructed O/X from Na/Cl/O,0.0025,O32640-Na160-Cl160-1-allSk.dat,0,main,32640,160,160,320,0.9902912621359223,0.0048543689320388345,0.0048543689320388345,0.009708737864077669,89,0.9499854240147547,1,,,0.06406122643874751,-0.0005685282700654743,-0.05408579170645669,0.7513127767960093,0.30901184827281036,0.7814618741481403,-0.039849729849870084,1.1136223396583966,0.0644951692650425,-0.03864644027653821,1.0753991737448851
matrix_OZ_s_loss,direct O/X + reconstructed O/X from Na/Cl/O,0.0025,O32640-Na176-Cl176-1-allSk.dat,0,main,32640,176,176,352,0.9893307468477207,0.00533462657613967,0.00533462657613967,0.01066925315227934,89,0.9363853816354668,1,,,0.06461756588985705,-0.00197014131150098,-0.061265496558615976,0.6462477320506552,0.289499391189642,0.7646254923126816,-0.04199538647012762,0.9925254317213871,0.06511384419174018,-0.04471434835061655,0.9949360033713104
matrix_OZ_s_loss,direct O/X + reconstructed O/X from Na/Cl/O,0.0025,O32640-Na192-Cl192-1-allSk.dat,0,main,32640,192,192,384,0.9883720930232558,0.005813953488372093,0.005813953488372093,0.011627906976744186,89,0.9396602549882156,1,,,0.06430053618187945,-0.0020285066790832512,-0.052738418259874784,0.6574205382587477,0.2830513079976163,0.632642300680591,-0.03687195137919266,0.9431902542979064,0.06485953329744,-0.03872606400907187,0.9280827274672856
matrix_OZ_s_loss,direct O/X + reconstructed O/X from Na/Cl/O,0.0025,O32640-Na224-Cl224-1-allSk.dat,0,Sk_files_more,32640,224,224,448,0.9864603481624759,0.006769825918762089,0.006769825918762089,0.013539651837524178,89,0.9208928141202848,1,,,0.06289125702519693,-0.004797791373421168,-0.05502237265985445,0.6211651862461974,0.26891887995001823,0.628681250467072,-0.04035929732809364,0.9026359894405999,0.06364874441183209,-0.0422992436396208,0.8938420983066528
matrix_OZ_s_loss,direct O/X + reconstructed O/X from Na/Cl/O,0.0025,O32640-Na240-Cl240-1-allSk.dat,0,Sk_files_more,32640,240,240,480,0.9855072463768116,0.007246376811594203,0.007246376811594203,0.014492753623188406,89,0.9088918655762137,1,,,0.06300706635700082,0.0006775240197871177,-0.05175843962811961,0.605774346428119,0.23949327571682086,0.5965594912478114,-0.03317850142742198,0.8530783154971554,0.06384765528143119,-0.03611966181586967,0.840660194554786
