# k^2  MgMg MgMg_error  MgCl MgCl_error  MgNa MgNa_error  ClCl ClCl_error  ClNa ClNa_error  NaNa NaNa_error
0.000000e+00 8.320000e+02 0.000000e+00 1.734506e+03 1.136868e-13 1.274388e+03 0.000000e+00 3.616000e+03 0.000000e+00 2.656771e+03 0.000000e+00 1.952000e+03 0.000000e+00
2.924239e-04 1.167895e-01 4.029154e-02 6.289357e-02 1.461742e-02 -6.677742e-02 3.566947e-02 7.253278e-02 6.853643e-03 1.667140e-02 1.226745e-02 1.116508e-01 3.863585e-02
1.169696e-03 9.617893e-02 2.384994e-02 5.556919e-02 1.177298e-02 -4.811384e-02 1.623837e-02 9.257052e-02 2.792706e-03 5.301426e-02 1.339301e-02 1.386938e-01 6.130460e-03
2.631815e-03 4.553221e-01 1.272551e-01 1.474026e-01 4.103372e-02 -3.526447e-01 1.011086e-01 1.070453e-01 1.622862e-02 -3.582416e-02 2.921797e-02 3.908526e-01 9.084890e-02
4.678782e-03 1.644234e-01 2.035618e-02 7.848666e-02 1.064971e-02 -8.358641e-02 2.139173e-02 8.634088e-02 7.150146e-03 2.346804e-02 6.329645e-03 1.607056e-01 1.950873e-02
7.310598e-03 4.302156e-01 4.994168e-02 1.225923e-01 1.031774e-02 -3.074814e-01 4.559391e-02 8.483767e-02 6.337120e-03 -2.564343e-02 1.630610e-02 3.522438e-01 3.008006e-02
1.052726e-02 3.888779e-01 6.351538e-02 1.498041e-01 2.730890e-02 -2.044331e-01 1.997680e-02 1.140187e-01 1.607543e-02 -1.695567e-02 6.101199e-03 2.610149e-01 5.526821e-03
1.432877e-02 4.493369e-01 4.501444e-02 1.366312e-01 1.111735e-02 -2.359143e-01 3.804618e-02 1.022161e-01 6.579923e-03 -1.029140e-02 7.687073e-03 3.163470e-01 3.878117e-02
2.924239e-04 1.108886e-01 1.479474e-02 6.084042e-02 1.473990e-02 -5.989118e-02 2.590491e-02 7.831268e-02 1.162469e-02 2.922476e-02 9.899565e-03 1.199277e-01 4.014250e-02
5.848478e-04 1.394187e-01 5.267881e-02 4.969215e-02 9.372293e-03 -1.110643e-01 5.505498e-02 7.388893e-02 8.139442e-03 3.549817e-02 1.542168e-02 1.922299e-01 5.732274e-02
1.462120e-03 1.614732e-01 5.351045e-02 5.435572e-02 1.028993e-02 -1.313309e-01 5.996032e-02 8.478043e-02 1.055169e-02 4.577762e-02 1.135882e-02 2.381889e-01 7.062073e-02
2.924239e-03 3.203720e-01 1.030949e-01 1.233007e-01 2.785331e-02 -2.136696e-01 8.528880e-02 9.397321e-02 6.041071e-03 -2.249894e-02 2.457613e-02 2.364856e-01 7.267152e-02
4.971206e-03 2.567907e-01 4.675065e-02 9.969125e-02 8.371689e-03 -1.625285e-01 6.067539e-02 9.358166e-02 1.145179e-02 1.025005e-02 1.275390e-02 2.405182e-01 6.005797e-02
7.603022e-03 2.637363e-01 2.510205e-02 1.093970e-01 1.924240e-02 -1.340679e-01 1.835547e-02 1.022269e-01 1.523581e-02 1.187799e-02 8.170120e-03 1.957951e-01 1.269322e-02
1.081968e-02 4.703366e-01 1.071248e-01 1.633754e-01 3.323295e-02 -2.466947e-01 7.056423e-02 1.187884e-01 1.250837e-02 -8.484056e-03 2.444033e-02 3.113958e-01 4.361942e-02
1.462120e-02 7.344333e-01 1.625728e-01 2.276048e-01 6.047736e-02 -4.003415e-01 8.808606e-02 1.390069e-01 1.808679e-02 -6.440619e-02 3.701621e-02 3.991769e-01 5.824031e-02
1.169696e-03 2.495219e-01 7.238160e-02 1.094294e-01 2.720989e-02 -1.638473e-01 5.822265e-02 9.560422e-02 1.370266e-02 -7.402173e-03 2.278326e-02 2.021427e-01 4.580204e-02
1.462120e-03 2.484341e-01 8.378450e-02 8.211652e-02 2.917541e-02 -1.996706e-01 8.771965e-02 8.201708e-02 1.463463e-02 7.768798e-03 1.896884e-02 2.671443e-01 1.140244e-01
2.339391e-03 3.049678e-01 8.853112e-02 9.667689e-02 2.436079e-02 -2.498122e-01 8.010091e-02 9.157031e-02 1.501760e-02 3.679341e-03 1.703522e-02 3.318089e-01 8.253010e-02
3.801511e-03 1.835450e-01 2.434252e-02 8.699452e-02 1.234331e-02 -9.940426e-02 1.760432e-02 9.659087e-02 1.113914e-02 2.580770e-02 3.677643e-03 1.718234e-01 1.849512e-02
5.848478e-03 3.086390e-01 2.157166e-02 1.153094e-01 1.218025e-02 -1.903817e-01 1.718284e-02 9.769349e-02 4.558600e-03 -3.677961e-03 1.226276e-02 2.379318e-01 2.231383e-02
8.480293e-03 4.020788e-01 6.752136e-02 1.321174e-01 2.476472e-02 -2.502793e-01 3.467158e-02 8.873497e-02 9.376612e-03 -2.851458e-02 1.383906e-02 2.748755e-01 2.612574e-02
1.169696e-02 3.446651e-01 3.401439e-02 1.038660e-01 5.114693e-03 -1.881832e-01 2.531670e-02 8.796159e-02 5.195512e-03 -4.705486e-03 1.239408e-02 2.359616e-01 8.139092e-03
1.549847e-02 7.074058e-01 5.131044e-02 2.193687e-01 3.126896e-02 -3.625151e-01 3.558313e-02 1.334133e-01 1.653066e-02 -5.053156e-02 7.961820e-03 3.609547e-01 4.832148e-02
2.631815e-03 3.317342e-01 9.846537e-02 1.266195e-01 3.351389e-02 -2.292386e-01 7.619056e-02 1.030375e-01 1.138126e-02 -1.402568e-02 2.973242e-02 2.724566e-01 5.565291e-02
2.924239e-03 1.570561e-01 3.576054e-02 6.159075e-02 1.817803e-02 -1.124172e-01 2.374289e-02 7.330658e-02 9.767672e-03 2.342405e-02 1.116577e-02 1.930782e-01 3.365558e-02
3.801511e-03 1.872229e-01 1.432766e-02 9.813637e-02 1.109055e-02 -9.114099e-02 2.079046e-02 1.058256e-01 1.062873e-02 2.122940e-02 9.241191e-03 1.579185e-01 2.113690e-02
5.263630e-03 2.466090e-01 6.648621e-02 9.538966e-02 2.375353e-02 -1.537499e-01 4.492785e-02 9.389679e-02 7.808609e-03 7.464669e-03 2.016225e-02 2.148553e-01 3.287454e-02
7.310598e-03 3.431136e-01 1.108100e-01 1.277344e-01 3.202616e-02 -2.139007e-01 8.616505e-02 9.881810e-02 6.711333e-03 -1.992818e-02 2.863363e-02 2.561846e-01 6.549945e-02
9.942413e-03 4.852918e-01 5.726751e-02 1.690239e-01 1.799380e-02 -2.651449e-01 3.769925e-02 1.141626e-01 5.169026e-03 -2.897543e-02 1.077190e-02 2.910519e-01 3.120963e-02
1.315908e-02 4.221509e-01 7.095479e-02 1.207426e-01 1.137364e-02 -2.709362e-01 6.808597e-02 9.272682e-02 4.879699e-03 -1.732419e-02 1.071495e-02 3.160888e-01 6.853054e-02
1.696059e-02 6.399546e-01 1.074016e-01 1.853916e-01 3.766016e-02 -3.464635e-01 5.462928e-02 1.175205e-01 1.130792e-02 -2.935048e-02 1.918720e-02 4.074081e-01 4.529033e-02
4.678782e-03 2.302287e-01 1.817812e-02 1.035108e-01 1.341671e-02 -1.220012e-01 2.498808e-02 1.018070e-01 1.318777e-02 1.305832e-02 6.055525e-03 1.820089e-01 3.357011e-02
4.971206e-03 3.250643e-01 8.641815e-02 1.198042e-01 2.794453e-02 -2.085942e-01 6.226310e-02 9.419642e-02 1.298127e-02 -1.215084e-02 2.149884e-02 2.523347e-01 4.553652e-02
5.848478e-03 1.940877e-01 3.282341e-02 7.666693e-02 1.346431e-02 -1.194568e-01 4.655941e-02 8.666171e-02 1.123071e-02 2.398647e-02 1.078217e-02 2.027050e-01 5.570327e-02
7.310598e-03 4.057069e-01 1.072299e-01 1.386646e-01 1.854123e-02 -2.582488e-01 9.510548e-02 1.010188e-01 4.100451e-03 -2.188814e-02 1.938089e-02 2.969181e-01 8.880065e-02
9.357565e-03 4.515368e-01 9.545597e-02 1.514763e-01 3.508492e-02 -2.565519e-01 5.581305e-02 1.062074e-01 1.602122e-02 -2.277938e-02 2.020022e-02 2.802666e-01 3.401115e-02
1.198938e-02 6.855102e-01 1.222946e-01 2.361836e-01 4.647548e-02 -3.671877e-01 7.482333e-02 1.448414e-01 2.143433e-02 -5.794985e-02 3.072639e-02 3.602163e-01 2.479680e-02
1.520604e-02 6.761155e-01 1.763243e-01 2.127908e-01 5.777108e-02 -2.897590e-01 7.326815e-02 1.308906e-01 1.502652e-02 -3.410217e-02 2.673101e-02 3.116936e-01 3.455332e-02
1.900755e-02 9.363726e-01 1.696866e-01 2.830446e-01 5.502436e-02 -4.431690e-01 7.391865e-02 1.632941e-01 2.354140e-02 -8.035188e-02 1.672683e-02 4.042626e-01 4.637603e-02
7.310598e-03 2.981925e-01 5.316097e-02 1.167263e-01 1.668678e-02 -1.590781e-01 4.183860e-02 1.058735e-01 8.340085e-03 1.104527e-02 1.914888e-02 2.189965e-01 2.352916e-02
7.603022e-03 2.817619e-01 5.495556e-02 9.629166e-02 1.853800e-02 -1.895270e-01 4.511800e-02 9.346833e-02 9.147912e-03 1.134374e-02 1.208045e-02 2.842725e-01 3.286088e-02
8.480293e-03 3.115730e-01 6.370346e-02 1.265206e-01 2.803661e-02 -1.576078e-01 2.744579e-02 1.023152e-01 1.533169e-02 -1.682439e-03 1.166129e-02 2.166953e-01 1.951529e-02
9.942413e-03 4.844145e-01 1.045906e-01 1.617332e-01 4.804514e-02 -2.851976e-01 5.220293e-02 1.164406e-01 2.226053e-02 -2.522805e-02 2.075382e-02 3.212603e-01 3.876508e-02
1.198938e-02 5.149558e-01 1.189328e-01 1.788412e-01 3.287499e-02 -2.773138e-01 8.180136e-02 1.258698e-01 7.676406e-03 -2.808877e-02 2.751885e-02 3.070184e-01 5.244564e-02
1.462120e-02 6.106004e-01 1.304829e-01 2.221804e-01 5.325384e-02 -3.083879e-01 6.524337e-02 1.406455e-01 2.153817e-02 -5.564108e-02 2.635062e-02 3.358602e-01 4.504481e-02
1.783786e-02 7.373055e-01 2.476957e-01 2.097819e-01 6.036341e-02 -3.816588e-01 1.341997e-01 1.271695e-01 1.403447e-02 -4.431561e-02 3.909017e-02 4.407965e-01 8.618528e-02
2.163937e-02 1.195117e+00 2.351429e-01 3.570008e-01 7.399904e-02 -5.186696e-01 9.201920e-02 1.872533e-01 2.158723e-02 -9.822754e-02 3.689352e-02 4.695928e-01 3.128746e-02
1.052726e-02 5.125196e-01 1.357834e-01 1.852359e-01 5.450572e-02 -2.804953e-01 7.777867e-02 1.246233e-01 2.470796e-02 -2.128029e-02 2.680983e-02 3.430091e-01 5.387722e-02
1.081968e-02 3.082005e-01 3.773673e-02 1.190093e-01 1.837533e-02 -1.406937e-01 8.223984e-03 1.034666e-01 1.335906e-02 4.788144e-04 7.822453e-03 1.927974e-01 1.640040e-02
1.169696e-02 5.773500e-01 7.270371e-02 1.992199e-01 2.956828e-02 -2.886429e-01 5.278526e-02 1.324228e-01 1.373015e-02 -2.829293e-02 1.697615e-02 3.082213e-01 7.171952e-02
1.315908e-02 5.863439e-01 1.308670e-01 1.881002e-01 4.160833e-02 -3.269807e-01 7.745308e-02 1.236163e-01 1.158741e-02 -3.183537e-02 2.585022e-02 3.859293e-01 6.183006e-02
1.520604e-02 6.187260e-01 1.312859e-01 1.948262e-01 4.352164e-02 -2.794692e-01 5.954679e-02 1.190214e-01 2.090442e-02 -3.935797e-02 1.732308e-02 2.942766e-01 3.098783e-02
1.783786e-02 7.618591e-01 6.943320e-02 2.305676e-01 3.030861e-02 -4.022511e-01 4.416035e-02 1.369589e-01 1.246793e-02 -4.288193e-02 1.206520e-02 4.727246e-01 4.164728e-02
2.105452e-02 9.802821e-01 2.582884e-01 2.874170e-01 8.328611e-02 -4.215818e-01 8.179030e-02 1.792938e-01 3.014017e-02 -5.176231e-02 3.141227e-02 4.250157e-01 4.126674e-02
2.485603e-02 1.001449e+00 1.772691e-01 2.661813e-01 3.613206e-02 -3.942346e-01 9.960828e-02 1.706376e-01 1.787567e-02 -4.914623e-02 1.725641e-02 4.258293e-01 6.027562e-02
1.432877e-02 4.763130e-01 4.805193e-02 1.520686e-01 3.160384e-02 -2.263062e-01 2.967678e-02 1.105051e-01 1.543574e-02 -4.336614e-03 1.204556e-02 3.016826e-01 3.416223e-02
1.462120e-02 7.705087e-01 1.730617e-01 2.713572e-01 5.430715e-02 -3.697483e-01 1.051910e-01 1.610237e-01 2.218735e-02 -7.915173e-02 2.706002e-02 3.445425e-01 7.540260e-02
1.549847e-02 8.233984e-01 2.649979e-01 2.546093e-01 7.912400e-02 -4.297900e-01 1.314602e-01 1.459459e-01 2.302883e-02 -7.726440e-02 4.436538e-02 4.287227e-01 5.547711e-02
1.696059e-02 6.824448e-01 1.283179e-01 2.126860e-01 4.449060e-02 -3.136489e-01 5.493424e-02 1.293410e-01 1.289778e-02 -4.202921e-02 2.174436e-02 3.498813e-01 2.816406e-02
1.900755e-02 8.150790e-01 1.294601e-01 2.592850e-01 3.695636e-02 -4.232750e-01 1.022858e-01 1.567273e-01 1.679187e-02 -8.210810e-02 2.568146e-02 4.235589e-01 8.504735e-02
2.163937e-02 6.155217e-01 6.543015e-02 1.990378e-01 2.731619e-02 -2.755575e-01 3.636373e-02 1.301687e-01 1.296323e-02 -4.841651e-02 1.166167e-02 3.285254e-01 2.630152e-02
2.485603e-02 1.235649e+00 2.200856e-01 3.512196e-01 7.554648e-02 -5.020108e-01 9.877260e-02 1.862320e-01 2.321084e-02 -9.066723e-02 3.287635e-02 4.643769e-01 7.176452e-02
2.865754e-02 9.993916e-01 5.246867e-02 2.667749e-01 3.106006e-02 -3.910609e-01 1.529308e-02 1.755843e-01 1.383722e-02 -5.817240e-02 1.784121e-02 4.837778e-01 1.005067e-02
2.924239e-04 6.632996e-02 9.555617e-03 2.618976e-02 6.254873e-03 -4.880336e-02 1.315376e-02 6.141927e-02 5.757637e-03 4.973820e-02 4.103528e-03 1.309193e-01 1.690811e-02
5.848478e-04 1.679116e-01 2.704885e-02 7.035041e-02 1.960238e-02 -1.213624e-01 2.734392e-02 8.991182e-02 1.942031e-02 3.180875e-02 1.419321e-02 2.048431e-01 2.448496e-02
1.462120e-03 1.199394e-01 2.006863e-02 6.195876e-02 8.192449e-03 -6.611618e-02 1.670266e-02 9.437115e-02 9.738824e-03 5.032566e-02 1.566708e-02 1.605029e-01 7.885714e-03
2.924239e-03 2.031982e-01 4.762716e-02 7.913157e-02 2.901722e-02 -1.425471e-01 3.062013e-02 8.186876e-02 1.354394e-02 1.032884e-02 2.046155e-02 2.015172e-01 2.771004e-02
4.971206e-03 2.213409e-01 2.982698e-02 9.763917e-02 1.139476e-02 -1.228786e-01 2.303500e-02 8.630596e-02 5.570754e-03 -1.059145e-03 1.001548e-02 1.666253e-01 2.098825e-02
7.603022e-03 2.946543e-01 3.486554e-02 1.197606e-01 1.520958e-02 -1.708715e-01 2.901600e-02 9.888346e-02 1.265973e-02 -6.883560e-03 7.078387e-03 2.292568e-01 2.968346e-02
1.081968e-02 3.211170e-01 6.615654e-02 1.197209e-01 2.945943e-02 -1.627383e-01 3.209166e-02 9.840373e-02 1.335469e-02 2.898786e-03 1.130441e-02 2.456322e-01 3.166221e-02
