# k^2  LiLi LiLi_error  LiCl LiCl_error  LiNa LiNa_error  ClCl ClCl_error  ClNa ClNa_error  NaNa NaNa_error
0.000000e+00 1.120000e+03 0.000000e+00 1.893146e+03 0.000000e+00 1.526303e+03 0.000000e+00 3.200000e+03 0.000000e+00 2.579922e+03 0.000000e+00 2.080000e+03 0.000000e+00
3.071116e-04 4.131345e-01 1.790245e-01 1.150179e-01 4.191734e-02 -1.592414e-01 8.235692e-02 7.188752e-02 8.557451e-03 5.318404e-03 2.071072e-02 1.251658e-01 3.716489e-02
1.228446e-03 8.096742e-01 2.183677e-01 1.428449e-01 5.516387e-02 -4.175205e-01 9.266823e-02 8.412232e-02 1.222189e-02 -6.634818e-05 2.918081e-02 3.131626e-01 4.114901e-02
2.764004e-03 6.150832e-01 1.259050e-01 7.637328e-02 1.819091e-02 -3.433636e-01 8.057099e-02 5.985552e-02 4.491449e-03 2.091634e-02 1.483359e-02 2.826609e-01 5.704169e-02
4.913786e-03 6.337004e-01 9.256610e-02 1.042834e-01 1.984943e-02 -3.075488e-01 3.588173e-02 6.162570e-02 6.704471e-03 1.574394e-03 1.002559e-02 2.368724e-01 2.145287e-02
7.677790e-03 6.410948e-01 8.935719e-02 1.064876e-01 2.137298e-02 -3.312413e-01 5.379471e-02 6.258594e-02 8.541089e-03 -9.924972e-03 1.011047e-02 2.587532e-01 3.599342e-02
1.105602e-02 8.688918e-01 1.244160e-01 1.763074e-01 2.218898e-02 -4.112417e-01 6.872614e-02 8.564226e-02 3.266738e-03 -3.046429e-02 1.267417e-02 3.151646e-01 4.552458e-02
1.504847e-02 8.847181e-01 1.572837e-01 1.489969e-01 2.853145e-02 -4.241925e-01 6.674744e-02 8.830332e-02 7.137111e-03 -1.467535e-02 1.702768e-02 3.598371e-01 2.264816e-02
3.071116e-04 5.186414e-01 1.009442e-01 7.893916e-02 2.789104e-02 -2.813540e-01 4.699819e-02 5.804216e-02 5.948902e-03 1.410366e-02 2.130580e-02 2.245809e-01 2.579769e-02
6.142232e-04 1.151721e+00 2.536849e-01 1.630908e-01 4.240610e-02 -6.393325e-01 1.456107e-01 7.330546e-02 7.865767e-03 -2.782500e-02 2.774887e-02 4.364599e-01 8.268027e-02
