# k^2  LiLi LiLi_error  LiCl LiCl_error  LiNa LiNa_error  ClCl ClCl_error  ClNa ClNa_error  NaNa NaNa_error
0.000000e+00 1.760000e+03 0.000000e+00 2.373184e+03 0.000000e+00 1.591980e+03 0.000000e+00 3.200000e+03 0.000000e+00 2.146625e+03 0.000000e+00 1.440000e+03 0.000000e+00
3.160997e-04 1.575318e-01 2.677340e-02 4.607404e-02 1.242047e-02 -1.021841e-01 3.795321e-02 4.759716e-02 7.306367e-03 2.045526e-02 4.228277e-03 1.431755e-01 4.480195e-02
1.264399e-03 4.658651e-01 8.449728e-02 1.107207e-01 1.996493e-02 -3.387281e-01 7.378623e-02 6.599065e-02 7.123516e-03 -2.461576e-02 1.439094e-02 3.339921e-01 6.459859e-02
2.844897e-03 4.105074e-01 1.453234e-01 9.502119e-02 2.048825e-02 -3.065888e-01 1.341164e-01 6.654647e-02 1.009009e-02 -8.211811e-03 1.352482e-02 3.364500e-01 1.245463e-01
5.057595e-03 5.023686e-01 1.192383e-01 9.233852e-02 2.343754e-02 -3.920933e-01 1.062038e-01 7.234600e-02 4.055509e-03 2.909034e-04 2.574714e-02 4.363796e-01 8.853348e-02
7.902493e-03 5.747153e-01 8.918867e-02 1.378951e-01 1.933649e-02 -3.866483e-01 6.680086e-02 7.553633e-02 4.467504e-03 -3.876023e-02 1.709908e-02 3.854677e-01 4.759321e-02
1.137959e-02 5.979639e-01 1.285228e-01 1.321916e-01 3.668495e-02 -4.439047e-01 8.195529e-02 7.614907e-02 1.206306e-02 -3.999544e-02 2.473417e-02 4.947238e-01 5.603076e-02
1.548889e-02 6.691450e-01 7.863686e-02 1.408232e-01 2.200726e-02 -4.591712e-01 5.152262e-02 9.807234e-02 6.580730e-03 -2.304623e-02 2.173794e-02 5.204379e-01 4.782730e-02
3.160997e-04 8.586453e-02 1.503649e-02 5.375681e-02 6.518100e-03 -1.376335e-02 1.202605e-02 6.056746e-02 7.941619e-03 3.132772e-02 6.378491e-03 6.364448e-02 1.692536e-02
6.321994e-04 3.085321e-01 4.068820e-02 6.485879e-02 1.026173e-02 -2.440946e-01 5.008548e-02 5.422261e-02 5.409283e-03 8.142282e-03 1.037327e-02 2.843487e-01 5.520507e-02
1.580499e-03 4.436668e-01 7.274230e-02 9.457180e-02 1.730444e-02 -3.473271e-01 6.046887e-02 6.901968e-02 5.510303e-03 -5.150451e-03 1.140132e-02 3.806447e-01 5.776530e-02
3.160997e-03 7.048081e-01 1.304585e-01 1.723297e-01 2.504268e-02 -4.966164e-01 1.046115e-01 7.518654e-02 7.881614e-03 -7.409109e-02 1.552602e-02 4.411042e-01 9.385450e-02
5.373695e-03 7.768972e-01 1.032859e-01 1.563076e-01 1.971236e-02 -6.030432e-01 9.932651e-02 7.329487e-02 7.588427e-03 -6.604533e-02 1.470336e-02 5.875530e-01 9.893774e-02
8.218592e-03 5.346971e-01 6.111822e-02 1.045439e-01 1.335335e-02 -4.079979e-01 8.842322e-02 7.274074e-02 3.805376e-03 -1.072983e-02 6.827440e-03 4.696396e-01 1.141419e-01
1.169569e-02 5.616729e-01 8.690715e-02 1.314328e-01 2.477700e-02 -4.091829e-01 6.265421e-02 8.362781e-02 1.011994e-02 -3.587124e-02 1.494785e-02 4.625563e-01 4.927793e-02
1.580499e-02 8.050740e-01 1.197895e-01 2.092044e-01 3.457256e-02 -5.049113e-01 7.791982e-02 1.093447e-01 1.598707e-02 -7.060084e-02 1.812927e-02 5.221938e-01 6.124445e-02
1.264399e-03 3.229653e-01 1.222055e-01 9.722079e-02 2.069860e-02 -1.971201e-01 1.084178e-01 6.769791e-02 6.141192e-03 -3.876730e-03 2.153331e-02 2.081559e-01 9.005195e-02
1.580499e-03 5.883067e-01 2.052405e-01 1.459727e-01 3.697874e-02 -4.256933e-01 1.862767e-01 8.658504e-02 1.547881e-02 -3.232287e-02 2.058929e-02 4.262370e-01 1.810816e-01
2.528798e-03 3.192557e-01 4.274782e-02 7.615055e-02 2.449547e-02 -2.287819e-01 3.764646e-02 6.054881e-02 8.543433e-03 7.002068e-03 1.371596e-02 2.691725e-01 5.050700e-02
4.109296e-03 5.282191e-01 9.942122e-02 1.300995e-01 2.952675e-02 -3.814898e-01 7.562512e-02 7.591754e-02 7.321537e-03 -3.238868e-02 2.577195e-02 3.952357e-01 6.192349e-02
6.321994e-03 5.290515e-01 7.323757e-02 9.418317e-02 1.293705e-02 -4.036570e-01 7.479545e-02 6.149818e-02 5.440583e-03 -1.142778e-02 9.725878e-03 4.337243e-01 7.617590e-02
9.166891e-03 4.917277e-01 4.697670e-02 1.236438e-01 1.908207e-02 -3.070727e-01 2.421480e-02 7.868561e-02 1.005693e-02 -1.393108e-02 5.967630e-03 3.356783e-01 3.230717e-02
1.264399e-02 5.113439e-01 7.129788e-02 1.066611e-01 2.347491e-02 -3.635994e-01 4.793105e-02 8.041315e-02 6.418825e-03 -1.432535e-02 1.523136e-02 4.405373e-01 3.173600e-02
1.675328e-02 7.434445e-01 7.768479e-02 1.713693e-01 1.719045e-02 -5.109508e-01 4.906972e-02 1.055043e-01 2.955791e-03 -5.812194e-02 1.205391e-02 5.538587e-01 4.291213e-02
2.844897e-03 3.905162e-01 6.323174e-02 8.210584e-02 1.034121e-02 -2.916780e-01 5.828794e-02 5.700939e-02 3.118380e-03 -4.066654e-03 1.188120e-02 3.234845e-01 5.048443e-02
3.160997e-03 3.417281e-01 4.512716e-02 6.180086e-02 1.383348e-02 -2.748358e-01 4.142359e-02 5.499231e-02 6.571096e-03 1.076662e-02 1.055951e-02 3.238434e-01 4.435487e-02
4.109296e-03 5.956844e-01 8.950428e-02 1.158279e-01 1.087322e-02 -4.722370e-01 1.019319e-01 7.259009e-02 9.368972e-03 -1.821075e-02 6.735372e-03 5.104150e-01 1.092810e-01
5.689795e-03 4.939541e-01 8.356921e-02 1.000040e-01 1.275921e-02 -3.781141e-01 7.773237e-02 6.903818e-02 7.722577e-03 -1.384533e-02 7.674922e-03 4.115659e-01 7.947458e-02
7.902493e-03 5.111022e-01 7.571897e-02 1.064744e-01 1.503392e-02 -3.727686e-01 5.668965e-02 6.663479e-02 2.825010e-03 -2.493976e-02 1.483106e-02 3.897685e-01 3.874827e-02
1.074739e-02 5.719272e-01 1.096659e-01 1.404592e-01 4.170436e-02 -3.851812e-01 6.068767e-02 8.182581e-02 1.111532e-02 -4.565412e-02 2.864033e-02 4.026448e-01 3.080455e-02
1.422449e-02 7.624441e-01 8.025807e-02 1.816745e-01 7.853173e-03 -5.356707e-01 9.038226e-02 1.042593e-01 6.252821e-03 -6.578650e-02 1.995771e-02 5.746022e-01 9.270488e-02
